datetime,open,high,low,close,volume
2025-04-01,225.44,227.11,217.32001,222.77,33900
2025-03-31,224.78,234.17,224.78,227.89,34200
2025-03-28,222.72,224.69,220.06,224.06,7900
2025-03-27,228.60001,229.60001,223.08,223.60001,21300
2025-03-26,227.67999,238.2,224.62,229.56,17700
2025-03-25,224.0,230.28999,223.00999,228.00999,44300
2025-03-24,221.46001,225.5,220.39999,224.03,30600
2025-03-21,211.67999,220.48,205.0,216.14,12700
2025-03-20,214.0,215.62,211.19,215.0,10000
2025-03-19,209.2,213.83,209.0,213.83,8100
2025-03-18,205.56,207.46001,204.02,207.46001,5300
2025-03-17,207.0,207.0,203.97,205.42999,5200
2025-03-14,198.83,208.83,198.83,203.7,9000
2025-03-13,203.97,203.97,198.0,199.67,14000
2025-03-12,197.56,202.73,197.13,201.0,13600
2025-03-11,183.47,197.67999,183.47,197.67999,23400
2025-03-10,186.0,188.25,182.5,183.81,16700
2025-03-07,182.58,191.0,180.81,188.34,25900
2025-03-06,184.17,187.24001,182.0,183.2,34600
2025-03-05,187.57001,190.17999,182.35001,187.55,15500
2025-03-04,186.53999,189.86,182.0,188.62,14400
2025-03-03,194.94,196.5,189.67999,189.67999,14300
2025-02-28,192.25,198.33,192.25,195.89999,13100
2025-02-27,201.28,202.06,192.98,193.11,4100
2025-02-26,193.55,199.0,193.55,199.0,7700
2025-02-25,196.03,196.09,191.17,194.69,9100
2025-02-24,193.2,197.2,190.7,194.03999,11000
2025-02-21,199.5,199.96001,192.25,193.60001,10500
2025-02-20,195.98,197.21001,192.50999,196.64999,8700
2025-02-19,204.0,205.39999,197.10001,198.39,20800
2025-02-18,193.12,203.99001,193.0,203.99001,13100
2025-02-14,191.28,195.92,191.28,194.17999,6000
2025-02-13,195.14999,197.89,190.81,194.8,11800
2025-02-12,197.7,199.0,194.48,196.50999,14500
2025-02-11,202.5,204.74001,194.2,198.60001,24500
2025-02-10,202.05,205.83,202.05,202.7,7300
2025-02-07,204.09,207.0,197.12,197.12,17800
2025-02-06,210.78999,213.50999,202.63,206.49001,22800
2025-02-05,214.10001,217.86,212.14999,212.84,15100
2025-02-04,207.44,213.50999,207.44,213.28,24700
2025-02-03,211.5,216.22,209.8,209.8,21600
2025-01-31,236.00999,236.44,213.56,217.89999,28600
2025-01-30,226.3,239.87,225.03,232.50999,22800
2025-01-29,213.97,224.89,212.5,224.89,35400
2025-01-28,205.2,216.22,203.03,216.22,26200
2025-01-27,221.14999,226.50999,205.00999,205.08,23000
2025-01-24,220.0,227.0,218.0,223.60001,20000
2025-01-23,221.8,223.0,218.60001,220.0,14400
2025-01-22,212.78999,227.36,210.10001,218.99001,38100
2025-01-21,214.44,216.7,207.69,212.78999,28300
2025-01-17,210.0,216.0,201.0,213.37,46000
2025-01-16,216.0,216.0,208.97,210.74001,8500
2025-01-15,217.0,218.5,210.87,212.78999,17800
2025-01-14,202.89999,213.25,202.3,213.25,14000
2025-01-13,203.0,211.64999,200.0,205.02,17600
2025-01-10,209.69,215.0,205.25,207.21001,10900
2025-01-08,196.96001,214.99001,196.96001,209.10001,9100
2025-01-07,215.69,216.10001,203.2,203.2,6000
2025-01-06,211.5,212.56,206.12,212.05,8400
2025-01-03,205.63,211.59,200.10001,211.5,8500
2025-01-02,218.75,232.78,203.10001,205.89999,15900
2024-12-31,223.0,223.0,215.75,219.59,44200
2024-12-30,213.8,243.49001,213.8,223.89,22000
2024-12-27,224.52,232.3,211.47,216.42,15000
2024-12-26,203.0,227.81,202.0,227.0,17800
2024-12-24,176.0,201.2,176.0,201.2,18700
2024-12-23,172.95,180.10001,172.95,174.5,6400
2024-12-20,164.0,173.0,163.77,172.44,11300
2024-12-19,175.97,175.97,166.35001,169.97,4700
2024-12-18,184.39999,184.39999,173.5,174.17,6000
2024-12-17,182.5,186.42,181.39999,185.10001,10000
