datetime,open,high,low,close,volume
2025-04-01,0.08025,0.094,0.0655,0.0655,7706
2025-03-31,0.0801,0.0801,0.0634,0.08,15600
2025-03-28,0.085,0.1011,0.06975,0.1011,54122
2025-03-27,0.085,0.085,0.07,0.085,9910
2025-03-26,0.0701,0.08375,0.0701,0.0702,358392
2025-03-25,0.09,0.095,0.0701,0.08,48687
2025-03-24,0.0516,0.087,0.0516,0.087,55305
2025-03-21,0.0675,0.0885,0.0675,0.0885,119117
2025-03-20,0.0675,0.075,0.0675,0.071,42021
2025-03-19,0.09,0.09,0.0675,0.07,22287
2025-03-18,0.0856,0.09,0.0675,0.09,53829
2025-03-17,0.08,0.08,0.06375,0.0675,126079
2025-03-14,0.095,0.095,0.055,0.08,84219
2025-03-13,0.0949,0.0949,0.055,0.065,21157
2025-03-12,0.0475,0.0975,0.0475,0.055,615106
2025-03-11,0.0505,0.0505,0.04,0.044,357669
2025-03-10,0.095,0.11,0.0411,0.0411,951818
2025-03-07,0.05,0.1799,0.048,0.0795,1150457
2025-03-06,0.065,0.0795,0.032,0.0473,810484
2025-03-05,0.196,0.196,0.15,0.154,259115
2025-03-04,0.155,0.185,0.155,0.1844,278878
2025-03-03,0.25,0.2502,0.16,0.176,237870
2025-02-28,0.1941,0.24,0.18,0.24,432815
2025-02-27,0.275,0.275,0.2,0.2001,487706
2025-02-26,0.28,0.299,0.259,0.259,110389
2025-02-25,0.2981,0.32,0.2701,0.2701,75490
2025-02-24,0.415,0.415,0.26,0.29,132641
2025-02-21,0.34,0.3596,0.31,0.3195,177579
2025-02-20,0.43,0.43,0.3093,0.31,564387
2025-02-19,0.366,0.4975,0.366,0.46,206564
2025-02-18,0.3796,0.399,0.361,0.366,17716
2025-02-14,0.355,0.385,0.355,0.3756,79218
2025-02-13,0.37,0.4,0.355,0.3825,49278
2025-02-12,0.3923,0.4094,0.3629,0.3669,44952
2025-02-11,0.39,0.436,0.39,0.39,29631
2025-02-10,0.449,0.449,0.3967,0.4099,56460
2025-02-07,0.39,0.4395,0.39,0.4225,16269
2025-02-06,0.39,0.449,0.39,0.429,17725
2025-02-05,0.39,0.4199,0.39,0.4199,7206
2025-02-04,0.39,0.4002,0.3834,0.3985,33324
2025-02-03,0.4857,0.4857,0.3989,0.42994,60657
2025-01-31,0.43,0.472,0.4079,0.47,18292
2025-01-30,0.46,0.4605,0.437,0.453,11323
2025-01-29,0.46,0.46,0.4302,0.46,26793
