datetime,open,high,low,close,volume
2025-04-01,10.07,10.36,9.97,10.2,936300
2025-03-31,10.16,10.44,9.97,10.07,1792200
2025-03-28,10.54,10.561,10.12,10.3,1756700
2025-03-27,10.16,10.77,10.11,10.62,1951500
2025-03-26,10.08,10.57,9.89,10.02,2366400
2025-03-25,9.19,9.29,9.09,9.11,1142600
2025-03-24,9.17,9.345,9.07,9.21,1138700
2025-03-21,9.07,9.2,8.97,9.04,3526800
2025-03-20,9.08,9.5,9.07,9.3,860600
2025-03-19,9.01,9.49,8.92,9.27,1220100
2025-03-18,9.0,9.085,8.9,9.02,922900
2025-03-17,9.0,9.188,8.94,9.09,1009100
2025-03-14,9.22,9.32,9.07,9.22,1282700
2025-03-13,9.38,9.515,8.98,9.03,725000
2025-03-12,9.42,9.54,9.23,9.39,717500
2025-03-11,9.17,9.36,9.05,9.17,1302200
2025-03-10,9.1,9.31,8.95,9.12,1203700
2025-03-07,9.44,9.49,9.11,9.38,1183000
2025-03-06,9.46,9.59,9.36,9.53,1035300
2025-03-05,9.49,9.84,9.48,9.62,957200
2025-03-04,9.65,9.83,9.44,9.46,1196300
2025-03-03,10.67,10.69,9.875,9.9,1160600
2025-02-28,10.17,10.65,10.136,10.58,1270300
2025-02-27,10.35,10.445,10.185,10.2,1175400
2025-02-26,10.19,10.41,10.15,10.35,1274900
2025-02-25,10.25,10.42,10.06,10.18,1265800
2025-02-24,10.0,10.36,9.9,10.25,1494200
2025-02-21,10.92,11.12,9.87,10.0,1917600
2025-02-20,12.03,12.5,10.8,10.82,1885400
2025-02-19,11.76,11.99,11.65,11.76,776900
2025-02-18,12.0,12.13,11.86,11.96,724300
2025-02-14,12.01,12.09,11.855,11.87,531900
2025-02-13,11.84,11.96,11.71,11.95,554300
2025-02-12,11.75,11.86,11.67,11.8,742100
2025-02-11,11.68,12.01,11.65,11.95,727800
2025-02-10,12.15,12.15,11.72,11.82,958800
2025-02-07,12.05,12.21,11.94,12.09,832000
2025-02-06,12.04,12.06,11.845,12.05,670700
2025-02-05,12.14,12.21,11.92,12.0,782900
2025-02-04,12.09,12.26,12.036,12.12,805800
2025-02-03,12.19,12.28,11.91,11.98,1221500
2025-01-31,12.69,12.97,12.42,12.5,1153500
2025-01-30,12.69,12.91,12.6,12.73,490400
2025-01-29,12.67,12.885,12.45,12.62,669700
2025-01-28,12.79,12.92,12.5,12.77,728000
2025-01-27,13.33,13.57,12.78,12.82,1026700
2025-01-24,13.55,13.67,13.385,13.41,862500
