datetime,open,high,low,close,volume
2025-04-01,24.97,24.97,24.97,24.97,24370
2025-03-31,24.97,24.97,24.97,24.97,22130
2025-03-28,24.97,24.97,24.97,24.97,23830
2025-03-27,24.97,24.97,24.97,24.97,23640
2025-03-26,24.97,24.97,24.97,24.97,23750
2025-03-24,24.97,24.97,24.97,24.97,23260
2025-03-21,24.97,24.97,24.97,24.97,22760
2025-03-20,24.97,24.97,24.97,24.97,22290
2025-03-19,24.97,24.97,24.97,24.97,22080
2025-03-18,24.97,24.97,24.97,24.97,22320
2025-03-17,24.97,24.97,24.97,24.97,20870
2025-03-14,24.97,24.97,24.97,24.97,23750
2025-03-13,24.97,24.97,24.97,24.97,23420
2025-03-12,24.97,24.97,24.97,24.97,23690
2025-03-11,24.97,24.97,24.97,24.97,23890
2025-03-10,24.97,24.97,24.97,24.97,24020
2025-03-07,24.97,24.97,24.97,24.97,23040
2025-03-06,24.97,24.97,24.97,24.97,34470
2025-03-05,24.97,24.97,24.97,24.97,37760
2025-03-04,24.97,24.97,24.97,24.97,31640
2025-03-03,24.97,24.97,24.97,24.97,43510
2025-02-28,24.97,24.97,24.97,24.97,32650
2025-02-27,24.97,24.97,24.97,24.97,33130
2025-02-26,24.97,24.97,24.97,24.97,37390
2025-02-25,24.97,24.97,24.97,24.97,35450
2025-02-24,24.97,24.97,24.97,24.97,34460
2025-02-21,24.97,24.97,24.97,24.97,37520
2025-02-20,24.97,24.97,24.97,24.97,35120
2025-02-19,24.97,24.97,24.97,24.97,22400
2025-02-18,0.0,24.97,0.0,24.97,37150
2025-02-14,24.97,24.97,24.97,24.97,22450
2025-02-13,24.97,24.97,24.97,24.97,35670
2025-02-12,24.97,24.97,24.97,24.97,39520
2025-02-11,24.97,24.97,24.97,24.97,37240
2025-02-10,24.97,24.97,0.0,24.97,38900
2025-02-07,24.97,24.97,0.0,24.97,37070
2025-02-06,24.97,24.97,24.97,24.97,38780
2025-02-05,24.97,24.97,24.97,24.97,35470
2025-02-04,24.97,24.97,24.97,24.97,24230
2025-02-03,24.97,24.97,24.97,24.97,33860
2025-01-31,24.97,24.97,24.97,24.97,23910
2025-01-30,24.97,24.97,24.97,24.97,36170
2025-01-29,24.97,24.97,24.97,24.97,22450
2025-01-28,0.0,24.97,24.97,24.97,25010
2025-01-27,24.97,24.97,0.0,24.97,35340
2025-01-24,24.97,24.97,24.97,24.97,35770
2025-01-23,24.97,24.97,24.97,24.97,37290
2025-01-22,24.97,24.97,24.97,24.97,32860
2025-01-21,24.97,24.97,24.97,24.97,37180
2025-01-17,24.97,24.97,0.0,24.97,29500
2025-01-16,24.97,24.97,24.97,24.97,32220
2025-01-15,24.97,24.97,24.97,24.97,33270
2025-01-14,24.97,24.97,24.97,24.97,34340
2025-01-13,24.97,24.97,24.97,24.97,34990
2025-01-10,24.97,24.97,24.97,24.97,38640
2025-01-08,24.97,24.97,24.97,24.97,33060
2025-01-07,24.97,24.97,24.97,24.97,34910
2025-01-06,24.97,24.97,24.97,24.97,32200
2025-01-03,24.97,24.97,24.97,24.97,43740
2025-01-02,24.97,24.97,24.97,24.97,43650
2024-12-31,24.97,24.97,24.97,24.97,43820
2024-12-30,24.97,24.97,24.97,24.97,39520
2024-12-27,24.97,24.97,24.97,24.97,33620
2024-12-26,24.97,24.97,24.97,24.97,31050
2024-12-24,24.97,24.97,24.97,24.97,16650
2024-12-23,24.97,24.97,24.97,24.97,36980
2024-12-20,24.97,24.97,24.97,24.97,38570
2024-12-19,24.97,24.97,24.97,24.97,34790
2024-12-18,24.97,24.97,24.97,24.97,32080
2024-12-17,24.97,24.97,24.97,24.97,39100
2024-12-16,24.97,24.97,24.97,24.97,35910
2024-12-13,24.97,24.97,24.97,24.97,58000
2024-12-12,24.97,24.97,24.97,24.97,20860
2024-12-11,24.97,24.97,24.97,24.97,37150
2024-12-10,24.97,24.97,24.97,24.97,31420
2024-12-09,24.97,24.97,24.97,24.97,23400
2024-12-06,24.97,24.97,24.97,24.97,46920
2024-12-05,24.97,24.97,24.97,24.97,33930
2024-12-04,24.97,24.97,24.97,24.97,45130
2024-12-03,24.97,24.97,24.97,24.97,45820
2024-12-02,24.97,24.97,24.97,24.97,40450
2024-11-29,24.97,24.97,24.97,24.97,15830
2024-11-27,24.97,24.97,0.0,24.97,24600
2024-11-26,24.97,24.97,24.97,24.97,35280
2024-11-25,24.97,24.97,24.97,24.97,35100
2024-11-22,24.97,24.97,24.97,24.97,48840
2024-11-21,24.97,24.97,24.97,24.97,45360
2024-11-20,24.97,24.97,24.97,24.97,34500
2024-11-19,24.97,24.97,24.97,24.97,23450
2024-11-18,24.97,24.97,24.97,24.97,43070
2024-11-15,24.97,24.97,24.97,24.97,38680
2024-11-14,24.97,24.97,24.97,24.97,43650
2024-11-13,24.97,24.97,24.97,24.97,46980
2024-11-12,24.97,24.97,24.97,24.97,37680
2024-11-11,24.97,24.97,24.97,24.97,39590
2024-11-08,24.97,24.97,24.97,24.97,33140
2024-11-07,24.97,24.97,24.97,24.97,30870
2024-11-06,24.97,24.97,0.0,24.97,37070
2024-11-05,24.97,24.97,24.97,24.97,34970
2024-11-04,24.97,24.97,24.97,24.97,22480
