datetime,open,high,low,close,volume
2025-04-01,47.99,48.68,46.54,46.88,1095300
2025-03-31,47.92,48.8,47.088,48.36,1211800
2025-03-28,49.47,50.48,48.795,48.88,664500
2025-03-27,49.33,50.522,49.33,49.44,715400
2025-03-26,51.09,51.404,49.4,49.56,881900
2025-03-25,52.6,53.58,50.72,51.05,790400
2025-03-24,53.3,53.7,51.61,52.53,1521900
2025-03-21,53.23,53.23,51.06,52.65,3695700
2025-03-20,53.67,54.11,52.47,53.05,890900
2025-03-19,54.45,54.54,52.43,54.35,1048600
2025-03-18,52.58,54.55,51.84,54.52,784600
2025-03-17,54.16,54.25,52.26,53.01,1284600
2025-03-14,55.0,55.39,53.53,54.78,1271500
2025-03-13,57.9,58.7,54.79,54.9,1399200
2025-03-12,59.575,60.6,56.66,57.65,2252400
2025-03-11,55.9,60.14,54.12,59.76,2617900
2025-03-10,50.08,57.973,48.5,55.95,5227800
2025-03-07,38.89,39.9,37.94,38.35,1598900
2025-03-06,37.92,39.4,37.92,39.05,1033300
2025-03-05,38.78,39.635,37.665,38.45,1509600
2025-03-04,38.24,39.7,37.63,38.66,1623000
2025-03-03,40.81,42.51,37.2,38.5,2396000
2025-02-28,35.97,37.66,35.97,37.59,720400
2025-02-27,36.04,37.21,35.95,36.34,999000
2025-02-26,35.48,36.25,34.81,36.15,1024900
2025-02-25,36.04,36.82,33.7,35.09,1614800
2025-02-24,38.75,38.92,35.86,36.0,1143000
2025-02-21,39.6,39.9,38.435,38.75,659600
2025-02-20,38.41,39.07,37.83,38.49,618700
2025-02-19,37.82,38.645,37.5,38.53,456600
2025-02-18,38.5,39.1,37.635,37.75,496400
2025-02-14,38.74,39.37,38.36,38.67,368300
2025-02-13,37.62,38.72,37.38,38.68,371700
2025-02-12,36.43,37.54,36.34,37.42,421700
2025-02-11,37.77,38.01,36.7,36.99,908000
2025-02-10,39.05,39.52,37.74,37.99,704300
2025-02-07,37.81,39.66,37.81,38.88,756800
2025-02-06,38.36,39.31,37.7,37.75,528200
2025-02-05,37.72,38.62,37.72,38.52,552600
2025-02-04,37.55,38.32,37.06,37.58,466700
2025-02-03,37.08,37.5,36.65,37.2,491900
2025-01-31,38.92,39.64,37.58,37.8,624300
2025-01-30,38.7,39.45,37.98,39.12,333500
2025-01-29,37.67,38.845,37.67,38.21,327400
2025-01-28,38.44,39.23,37.91,37.99,466000
2025-01-27,37.73,39.89,37.51,38.36,587800
2025-01-24,37.58,38.7,37.0,37.69,431200
2025-01-23,36.79,37.94,36.72,37.8,525000
2025-01-22,38.06,38.47,36.56,36.88,610900
2025-01-21,37.18,38.5,37.18,38.1,461100
2025-01-17,36.98,37.43,36.34,36.82,485300
2025-01-16,37.52,37.68,35.03,36.54,672700
2025-01-15,37.66,40.07,37.57,37.94,699300
2025-01-14,37.29,37.32,36.45,36.67,439200
2025-01-13,36.02,37.16,35.47,37.14,623900
2025-01-10,36.8,37.64,36.3,36.61,493200
2025-01-08,38.46,38.9,36.95,37.62,670600
2025-01-07,38.28,39.183,38.03,38.45,1060400
2025-01-06,39.45,39.85,37.48,38.09,747300
2025-01-03,38.82,40.16,38.698,39.57,375200
2025-01-02,38.85,39.62,38.575,38.98,468000
2024-12-31,39.0,39.86,38.13,38.6,419600
2024-12-30,38.57,38.85,38.04,38.51,304600
2024-12-27,39.2,39.68,38.5,38.96,469800
2024-12-26,38.98,39.67,38.845,39.51,402200
2024-12-24,40.43,40.44,38.9,39.3,249300
2024-12-23,41.2,41.275,40.07,40.6,875800
2024-12-20,39.01,41.68,38.91,41.49,2368500
2024-12-19,38.94,40.0,38.61,39.54,747200
2024-12-18,40.71,41.18,38.615,39.02,636700
2024-12-17,40.99,41.125,39.63,40.69,512300
2024-12-16,41.19,41.97,41.05,41.46,691500
2024-12-13,40.35,41.455,39.6,41.08,530600
2024-12-12,41.69,42.08,39.85,40.38,584400
2024-12-11,41.68,42.195,40.95,41.0,729200
2024-12-10,40.7,42.38,40.54,41.6,593300
2024-12-09,42.03,42.58,40.3,40.5,411900
2024-12-06,41.96,42.765,41.31,42.06,543400
2024-12-05,40.74,43.05,40.7,41.68,809000
2024-12-04,41.71,42.18,40.0,40.58,713300
2024-12-03,43.06,43.49,41.0,41.25,680900
2024-12-02,43.07,43.825,42.5,43.26,568600
2024-11-29,44.59,45.258,43.59,43.8,320200
2024-11-27,44.88,45.6,43.8,44.95,569500
2024-11-26,45.27,46.515,44.285,44.83,688800
2024-11-25,47.2,48.29,45.51,45.53,1324500
2024-11-22,43.3,47.5,42.399,46.46,1322100
2024-11-21,40.98,43.38,40.72,41.65,936400
2024-11-20,38.29,41.18,37.795,40.65,1048400
2024-11-19,38.27,39.82,33.31,38.65,3045700
2024-11-18,40.98,41.05,39.7,40.39,489900
2024-11-15,41.17,41.84,39.41,41.11,1086800
2024-11-14,42.67,43.14,40.91,41.04,719200
2024-11-13,43.59,43.85,42.39,42.67,594300
2024-11-12,46.12,46.64,42.95,43.17,652900
2024-11-11,46.9,48.35,46.43,46.5,558200
2024-11-08,48.86,48.86,45.23,46.23,682800
2024-11-07,47.43,48.69,46.53,47.61,427900
2024-11-06,48.16,48.67,46.39,47.6,1081500
2024-11-05,47.15,47.31,43.86,45.9,848600
2024-11-04,46.3,47.76,45.365,46.76,375800
2024-11-01,46.11,47.015,45.99,46.76,422400
2024-10-31,47.18,47.32,45.65,45.84,439800
2024-10-30,48.01,48.3,47.44,47.62,286100
2024-10-29,47.95,48.615,47.58,48.43,312800
2024-10-28,47.69,48.89,47.35,48.2,355900
2024-10-25,47.3,47.95,46.835,47.26,300200
2024-10-24,46.71,47.3,46.34,46.95,283500
2024-10-23,46.31,46.68,45.48,46.59,415600
2024-10-22,45.38,46.53,45.33,46.44,310100
2024-10-21,46.8,47.03,45.51,45.96,439600
2024-10-18,47.2,47.53,46.69,46.97,588700
2024-10-17,47.11,47.535,46.68,47.02,554500
2024-10-16,47.78,48.015,46.77,46.99,614800
2024-10-15,46.62,48.323,46.59,47.64,600800
2024-10-14,44.96,46.9,44.77,46.35,601900
2024-10-11,43.56,45.34,43.56,45.08,600100
2024-10-10,43.64,44.525,43.18,43.59,686300
2024-10-09,43.95,44.61,43.33,44.18,605800
2024-10-08,44.15,44.67,43.92,43.96,384300
