datetime,open,high,low,close,volume
2025-04-01,4.95,5.05,4.48,4.68,28100
2025-03-31,5.56,5.57,4.4,4.81,45500
2025-03-28,5.615,5.827,5.4,5.4,5700
2025-03-27,5.39,5.7,5.39,5.7,9700
2025-03-26,5.6,5.694,5.351,5.52,20400
2025-03-25,5.99,6.0,5.32,5.55,113400
2025-03-24,6.0,6.149,5.47,5.72,57900
2025-03-21,5.8,6.075,5.59,5.7,48300
2025-03-20,6.1,6.166,5.76,5.82,21100
2025-03-19,5.8,6.33,5.8,6.1,69700
2025-03-18,6.44,6.44,5.5,5.64,37900
2025-03-17,5.9,6.841,5.85,6.2,114200
2025-03-14,5.4,6.815,5.4,5.8,329600
2025-03-13,5.57,5.6,5.114,5.42,26500
2025-03-12,6.06,6.06,5.213,5.57,31600
2025-03-11,6.0,6.5,5.07,5.852,106700
2025-03-10,6.5,6.9,6.05,6.15,63700
2025-03-07,6.19,7.99,6.04,6.41,114300
2025-03-06,6.2,7.45,6.15,6.53,146800
2025-03-05,6.39,8.076,6.1,7.64,761600
2025-03-04,5.41,6.61,5.0,5.96,392800
2025-03-03,5.18,11.0,5.025,5.5,7696000
2025-02-28,5.65,5.75,5.0,5.0,16900
2025-02-27,5.0,6.49,4.951,5.11,174600
2025-02-26,4.905,5.0,4.86,4.93,10700
2025-02-25,4.971,4.99,4.65,4.88,20700
2025-02-24,4.642,5.0,4.45,4.64,19700
2025-02-21,4.96,4.97,4.59,4.68,3900
2025-02-20,4.61,4.956,4.61,4.661,2700
2025-02-19,4.71,4.73,4.71,4.73,1000
2025-02-18,4.62,4.74,4.5,4.5,3200
2025-02-14,4.63,4.968,4.63,4.77,7100
2025-02-13,4.85,4.87,4.64,4.7,10900
2025-02-12,4.85,4.9,4.75,4.78,6600
2025-02-11,4.66,4.9,4.66,4.77,10700
2025-02-10,4.96,5.0,4.65,4.69,19000
2025-02-07,4.9,5.07,4.662,4.9,18500
2025-02-06,4.61,5.0,4.45,4.69,103600
2025-02-05,4.8,4.8,4.09,4.49,18900
2025-02-04,3.98,4.46,3.96,4.45,13300
2025-02-03,4.66,4.75,4.057,4.43,35500
2025-01-31,4.92,5.085,4.64,4.64,20700
2025-01-30,4.97,4.99,4.255,4.75,60400
2025-01-29,5.05,5.575,4.68,4.76,94800
2025-01-28,5.02,5.59,4.79,4.85,37200
2025-01-27,4.92,4.94,4.5,4.81,109200
2025-01-24,5.15,5.79,4.7,4.83,94200
2025-01-23,5.12,5.44,4.58,4.83,43600
2025-01-22,5.515,5.7,4.817,4.817,235400
2025-01-21,5.5,5.5,4.86,5.21,45700
2025-01-17,5.21,5.82,5.21,5.341,186500
2025-01-16,5.75,5.75,4.55,5.19,211300
2025-01-15,5.35,5.88,5.2,5.63,92900
2025-01-14,6.7,6.894,5.0,5.4,195000
2025-01-13,5.5,7.05,5.45,6.24,292400
2025-01-10,3.95,5.61,3.85,5.35,499200
2025-01-08,4.3,4.41,3.7,4.03,59200
2025-01-07,4.51,4.65,4.27,4.65,7100
2025-01-06,4.64,4.64,4.51,4.51,15200
2025-01-03,4.41,4.838,4.41,4.62,20900
2025-01-02,4.4,5.05,4.35,4.64,61800
2024-12-31,4.47,4.59,4.105,4.49,53900
2024-12-30,5.04,5.61,4.55,4.8,157600
2024-12-27,3.94,4.96,3.55,4.67,77200
2024-12-26,3.92,5.0,3.8,3.99,168600
2024-12-24,4.35,4.44,3.92,4.1,77800
2024-12-23,4.27,5.17,3.86,4.21,51700
2024-12-20,4.94,4.94,4.38,4.39,4900
2024-12-19,4.69,5.17,4.326,4.46,18800
2024-12-18,4.3,5.0,4.3,4.5,14800
2024-12-17,4.31,5.37,4.2,4.48,73700
2024-12-16,5.0,5.76,4.38,4.77,109800
2024-12-13,5.6,6.2,5.52,5.63,37100
2024-12-12,6.49,7.39,5.7,5.8,35400
2024-12-11,6.29,6.37,5.68,5.73,30500
2024-12-10,7.05,7.93,6.4,6.58,82700
2024-12-09,10.7,14.0,9.0,9.18,131500
2024-12-06,21.99,50.82,15.8,18.9,158400
2024-12-05,5.6,17.67,5.6,17.67,24700
2024-12-04,25.01,25.14,24.98,25.13,214700
2024-12-03,24.95,25.29,24.95,24.98,474300
