datetime,open,high,low,close,volume
2025-04-01,10.29,10.29,10.29,10.29,0
2025-03-31,10.29,10.29,10.29,10.29,0
2025-03-28,10.29,10.29,10.29,10.29,0
2025-03-27,10.29,10.29,10.29,10.29,0
2025-03-26,10.29,10.29,10.29,10.29,0
2025-03-25,10.29,10.29,10.29,10.29,0
2025-03-24,10.29,10.29,10.29,10.29,0
2025-03-21,10.29,10.29,10.29,10.29,0
2025-03-20,10.29,10.29,10.29,10.29,0
2025-03-19,10.29,10.29,10.29,10.29,0
2025-03-18,10.29,10.29,10.29,10.29,0
2025-03-17,10.29,10.29,10.29,10.29,0
2025-03-14,10.29,10.29,10.29,10.29,0
2025-03-13,10.29,10.29,10.29,10.29,0
2025-03-12,10.29,10.29,10.29,10.29,0
2025-03-11,10.29,10.29,10.29,10.29,0
2025-03-10,10.29,10.29,10.29,10.29,0
2025-03-07,10.29,10.29,10.29,10.29,0
2025-03-06,10.29,10.29,10.29,10.29,0
2025-03-05,10.29,10.29,10.29,10.29,0
2025-03-04,10.29,10.29,10.29,10.29,0
2025-03-03,10.29,10.29,10.29,10.29,0
2025-02-28,10.29,10.29,10.29,10.29,0
2025-02-27,10.29,10.29,10.29,10.29,0
2025-02-26,10.29,10.29,10.29,10.29,0
2025-02-25,10.29,10.29,10.29,10.29,0
2025-02-24,10.29,10.29,10.29,10.29,0
2025-02-21,10.29,10.29,10.29,10.29,200
2025-02-20,10.25,10.25,10.25,10.25,0
2025-02-19,10.25,10.25,10.25,10.25,0
2025-02-18,10.25,10.25,10.25,10.25,0
2025-02-14,10.25,10.25,10.25,10.25,0
2025-02-13,10.25,10.25,10.25,10.25,0
2025-02-12,10.25,10.25,10.25,10.25,0
2025-02-11,10.25,10.25,10.25,10.25,0
2025-02-10,10.25,10.25,10.25,10.25,0
2025-02-07,10.25,10.25,10.25,10.25,0
2025-02-06,10.25,10.25,10.25,10.25,0
2025-02-05,10.25,10.25,10.25,10.25,0
2025-02-04,10.25,10.25,10.25,10.25,0
2025-02-03,10.25,10.25,10.25,10.25,0
2025-01-31,10.25,10.25,10.25,10.25,600
2025-01-30,10.22,10.22,10.22,10.22,0
2025-01-29,10.22,10.22,10.22,10.22,0
2025-01-28,10.25,10.41,10.22,10.22,8500
2025-01-27,10.19,10.19,10.19,10.19,0
2025-01-24,10.19,10.19,10.19,10.19,0
2025-01-23,10.19,10.19,10.19,10.19,0
2025-01-22,10.19,10.19,10.19,10.19,0
2025-01-21,10.19,10.19,10.19,10.19,0
2025-01-17,10.19,10.19,10.19,10.19,0
2025-01-16,10.19,10.19,10.19,10.19,0
2025-01-15,10.19,10.19,10.19,10.19,300
2025-01-14,10.19,10.19,10.19,10.19,0
2025-01-13,10.19,10.19,10.19,10.19,0
2025-01-10,10.19,10.19,10.19,10.19,0
2025-01-08,10.19,10.19,10.19,10.19,0
2025-01-07,10.19,10.19,10.19,10.19,0
2025-01-06,10.19,10.19,10.19,10.19,0
2025-01-03,10.19,10.19,10.19,10.19,0
2025-01-02,10.19,10.19,10.19,10.19,0
2024-12-31,10.19,10.19,10.19,10.19,0
2024-12-30,10.19,10.19,10.19,10.19,0
2024-12-27,10.19,10.19,10.19,10.19,0
2024-12-26,10.2,10.2,10.19,10.19,1000
2024-12-24,10.13,10.13,10.13,10.13,0
2024-12-23,10.13,10.13,10.13,10.13,0
2024-12-20,10.14,10.14,10.13,10.13,20700
2024-12-19,10.14,10.14,10.14,10.14,5500
2024-12-18,10.15,10.15,10.15,10.15,0
2024-12-17,10.15,10.15,10.15,10.15,300
2024-12-16,10.15,10.15,10.08,10.14,25300
2024-12-13,10.15,10.15,10.15,10.15,300
2024-12-12,10.14,10.14,10.14,10.14,16800
2024-12-11,10.12,10.12,10.12,10.12,0
2024-12-10,10.12,10.12,10.12,10.12,0
2024-12-09,10.12,10.12,10.12,10.12,0
2024-12-06,10.12,10.12,10.12,10.12,200000
2024-12-05,10.13,10.13,10.13,10.13,0
2024-12-04,10.13,10.13,10.13,10.13,0
2024-12-03,10.13,10.13,10.13,10.13,25500
2024-12-02,10.31,10.31,10.11,10.13,38800
2024-11-29,10.135,10.135,10.12,10.12,2900
2024-11-27,10.09,10.12,10.09,10.112,71400
2024-11-26,10.09,10.09,10.09,10.09,100
2024-11-25,10.08,10.08,10.08,10.08,6000
