datetime,open,high,low,close,volume
2025-04-01,1.49,1.49,1.37,1.37,26000
2025-03-31,1.41,1.41,1.34,1.39,12000
2025-03-28,1.4,1.4,1.23,1.25,42800
2025-03-27,1.32,1.46,1.29,1.34,3400
2025-03-26,1.36,1.42,1.34,1.35,9000
2025-03-25,1.39,1.39,1.27,1.38,31400
2025-03-24,1.33,1.43,1.33,1.4,7700
2025-03-21,1.43,1.43,1.4,1.4,16200
2025-03-20,1.46,1.47,1.37,1.47,26000
2025-03-19,1.47,1.58,1.34,1.45,196100
2025-03-18,1.34,1.53,1.31,1.4,320100
2025-03-17,1.3,1.33,1.27,1.29,20800
2025-03-14,1.34,1.34,1.3,1.32,5100
2025-03-13,1.36,1.36,1.3,1.3,81000
2025-03-12,1.31,1.34,1.31,1.31,5900
2025-03-11,1.31,1.34,1.31,1.31,10100
2025-03-10,1.37,1.39,1.31,1.31,26800
2025-03-07,1.45,1.47,1.36,1.4,54800
2025-03-06,1.31,1.38,1.31,1.37,6200
2025-03-05,1.36,1.39,1.33,1.33,36100
2025-03-04,1.4,1.4,1.36,1.37,13100
2025-03-03,1.49,1.49,1.4,1.4,29700
2025-02-28,1.41,1.45,1.4,1.44,4800
2025-02-27,1.53,1.53,1.4,1.4,11300
2025-02-26,1.35,1.44,1.35,1.44,35200
2025-02-25,1.46,1.53,1.35,1.4,45000
2025-02-24,1.43,1.45,1.42,1.44,16200
2025-02-21,1.5,1.54,1.35,1.4,101100
2025-02-20,1.53,1.55,1.42,1.5,148200
2025-02-19,1.55,1.55,1.51,1.51,10800
2025-02-18,1.59,1.62,1.56,1.56,17900
2025-02-14,1.58,1.58,1.5,1.54,37400
2025-02-13,1.57,1.57,1.5,1.53,23800
2025-02-12,1.56,1.59,1.52,1.53,27300
2025-02-11,1.54,1.68,1.52,1.55,49600
2025-02-10,1.58,1.59,1.55,1.55,15600
2025-02-07,1.59,1.59,1.54,1.59,38800
2025-02-06,1.64,1.64,1.55,1.58,35800
2025-02-05,1.57,1.61,1.52,1.61,32900
2025-02-04,1.62,1.78,1.58,1.58,76700
2025-02-03,1.58,1.67,1.53,1.65,68200
2025-01-31,1.61,1.62,1.54,1.58,62300
2025-01-30,1.59,1.62,1.54,1.55,137700
2025-01-29,1.75,1.75,1.5,1.56,120100
2025-01-28,1.82,1.82,1.65,1.65,103300
2025-01-27,1.8,1.87,1.75,1.81,79600
2025-01-24,1.66,1.79,1.61,1.77,232500
2025-01-23,1.47,1.66,1.46,1.63,271700
2025-01-22,1.5,1.5,1.4,1.43,69000
2025-01-21,1.49,1.49,1.38,1.4,23600
2025-01-17,1.47,1.47,1.45,1.47,5600
2025-01-16,1.45,1.45,1.41,1.41,11300
2025-01-15,1.45,1.46,1.39,1.42,33300
2025-01-14,1.38,1.5,1.38,1.4,70900
2025-01-13,1.37,1.39,1.35,1.37,14700
2025-01-10,1.39,1.41,1.35,1.4,57600
2025-01-08,1.4,1.45,1.38,1.43,12300
2025-01-07,1.47,1.48,1.38,1.41,26700
2025-01-06,1.48,1.51,1.36,1.4,117000
2025-01-03,1.42,1.48,1.38,1.45,45700
2025-01-02,1.3,1.42,1.23,1.38,1182800
2024-12-31,1.28,1.34,1.23,1.32,252100
2024-12-30,1.24,1.38,1.24,1.28,288300
2024-12-27,1.28,1.29,1.24,1.25,153100
2024-12-26,1.3,1.33,1.29,1.29,112200
2024-12-24,1.29,1.29,1.26,1.27,81000
2024-12-23,1.32,1.35,1.25,1.26,66000
2024-12-20,1.34,1.34,1.29,1.3,537700
2024-12-19,1.37,1.42,1.32,1.34,41400
2024-12-18,1.45,1.48,1.35,1.35,70300
2024-12-17,1.5,1.52,1.43,1.47,9400
2024-12-16,1.51,1.55,1.49,1.51,26000
2024-12-13,1.54,1.59,1.45,1.54,43000
2024-12-12,1.52,1.54,1.48,1.51,19700
2024-12-11,1.53,1.57,1.47,1.54,18000
2024-12-10,1.6,1.6,1.46,1.5,21100
2024-12-09,1.64,1.65,1.58,1.58,106000
2024-12-06,1.64,1.66,1.58,1.62,36600
2024-12-05,1.58,1.62,1.58,1.6,14300
2024-12-04,1.62,1.62,1.56,1.56,48100
2024-12-03,1.67,1.67,1.56,1.57,115300
2024-12-02,1.53,1.69,1.5,1.66,41900
2024-11-29,1.55,1.56,1.48,1.51,10400
2024-11-27,1.48,1.51,1.46,1.46,12800
2024-11-26,1.42,1.56,1.4,1.4,37000
2024-11-25,1.46,1.52,1.44,1.45,29400
2024-11-22,1.39,1.48,1.37,1.44,35300
2024-11-21,1.34,1.43,1.26,1.35,32000
2024-11-20,1.25,1.4,1.23,1.25,166700
2024-11-19,1.34,1.34,1.24,1.27,33100
2024-11-18,1.36,1.4,1.34,1.34,21400
2024-11-15,1.37,1.43,1.36,1.4,18900
2024-11-14,1.38,1.45,1.36,1.45,5400
2024-11-13,1.42,1.45,1.4,1.4,3100
2024-11-12,1.37,1.44,1.36,1.42,21600
2024-11-11,1.51,1.51,1.41,1.42,15700
2024-11-08,1.48,1.48,1.4,1.45,19300
2024-11-07,1.54,1.56,1.41,1.51,14000
2024-11-06,1.47,1.56,1.47,1.56,7600
2024-11-05,1.43,1.55,1.42,1.48,4100
2024-11-04,1.54,1.56,1.52,1.52,12600
2024-11-01,1.5,1.54,1.47,1.54,4000
2024-10-31,1.44,1.54,1.42,1.54,48800
2024-10-30,1.45,1.52,1.37,1.41,17000
2024-10-29,1.43,1.45,1.42,1.44,6700
2024-10-28,1.41,1.45,1.41,1.44,6900
2024-10-25,1.5,1.56,1.45,1.45,66700
2024-10-24,1.45,1.45,1.42,1.45,15400
2024-10-23,1.33,1.55,1.33,1.43,42000
2024-10-22,1.61,1.61,1.29,1.32,90700
2024-10-21,1.61,1.65,1.56,1.6,2900
2024-10-18,1.62,1.65,1.61,1.63,66800
2024-10-17,1.67,1.67,1.62,1.65,19400
2024-10-16,1.6,1.72,1.6,1.7,21400
2024-10-15,1.58,1.64,1.56,1.57,8800
2024-10-14,1.59,1.61,1.58,1.58,2400
2024-10-11,1.58,1.67,1.57,1.65,54500
2024-10-10,1.59,1.63,1.57,1.62,20100
2024-10-09,1.58,1.58,1.54,1.54,800
2024-10-08,1.62,1.62,1.56,1.58,1900
2024-10-07,1.49,1.62,1.49,1.57,20300
2024-10-04,1.69,1.69,1.54,1.54,2700
2024-10-03,1.61,1.68,1.53,1.65,35800
2024-10-02,1.59,1.63,1.59,1.63,16600
2024-10-01,1.63,1.63,1.63,1.63,500
2024-09-30,1.55,1.63,1.5,1.63,8900
2024-09-27,1.44,1.64,1.44,1.61,9900
2024-09-26,1.58,1.61,1.57,1.61,35700
2024-09-25,1.6,1.64,1.58,1.62,2900
2024-09-24,1.61,1.63,1.61,1.61,3800
2024-09-23,1.57,1.62,1.57,1.62,12200
2024-09-20,1.73,1.74,1.58,1.58,39500
2024-09-19,1.81,1.82,1.78,1.78,4200
2024-09-18,1.88,1.88,1.78,1.78,25100
2024-09-17,1.8,1.86,1.77,1.84,22200
2024-09-16,1.75,1.89,1.72,1.8,57100
2024-09-13,1.8,1.84,1.76,1.8,62100
2024-09-12,1.77,1.77,1.65,1.76,8800
2024-09-11,1.72,1.73,1.63,1.7,6500
2024-09-10,1.78,1.78,1.67,1.67,11400
2024-09-09,1.77,1.81,1.74,1.79,5000
2024-09-06,1.75,1.83,1.71,1.8,21700
2024-09-05,1.8,1.82,1.72,1.79,9700
2024-09-04,1.66,1.81,1.54,1.81,9000
2024-09-03,1.8,1.8,1.72,1.75,2700
2024-08-30,1.69,1.8,1.68,1.8,12000
2024-08-29,1.65,1.77,1.65,1.77,7600
2024-08-28,1.72,1.72,1.66,1.67,2600
2024-08-27,1.72,1.76,1.67,1.72,15700
2024-08-26,1.83,1.83,1.7,1.76,11700
2024-08-23,1.72,1.83,1.72,1.81,30100
2024-08-22,1.82,1.82,1.66,1.73,8600
2024-08-21,1.74,1.82,1.58,1.76,39300
2024-08-20,1.58,1.73,1.55,1.7,107500
2024-08-19,1.42,1.58,1.42,1.58,28500
2024-08-16,1.36,1.41,1.36,1.41,6000
2024-08-15,1.43,1.47,1.36,1.38,55500
2024-08-14,1.42,1.47,1.37,1.42,9100
2024-08-13,1.39,1.48,1.39,1.47,10500
2024-08-12,1.47,1.47,1.35,1.44,15400
2024-08-09,1.46,1.48,1.38,1.44,13100
2024-08-08,1.47,1.52,1.44,1.5,49100
2024-08-07,1.48,1.48,1.43,1.48,14900
2024-08-06,1.39,1.46,1.39,1.46,13900
2024-08-05,1.4,1.4,1.31,1.35,16500
2024-08-02,1.35,1.38,1.35,1.36,3100
2024-08-01,1.42,1.45,1.33,1.38,11500
2024-07-31,1.52,1.52,1.42,1.46,40100
2024-07-30,1.48,1.62,1.44,1.55,19500
2024-07-29,1.43,1.48,1.43,1.44,25900
2024-07-26,1.3,1.42,1.3,1.4,17600
2024-07-25,1.33,1.36,1.31,1.33,26500
2024-07-24,1.39,1.42,1.33,1.33,8300
2024-07-23,1.42,1.42,1.34,1.38,6100
2024-07-22,1.49,1.49,1.41,1.42,15200
2024-07-19,1.45,1.46,1.38,1.43,5600
2024-07-18,1.47,1.52,1.43,1.47,8800
2024-07-17,1.45,1.45,1.44,1.44,1100
2024-07-16,1.43,1.47,1.43,1.45,6000
2024-07-15,1.47,1.47,1.38,1.4,24700
2024-07-12,1.46,1.48,1.42,1.47,10100
2024-07-11,1.42,1.44,1.42,1.44,3500
2024-07-10,1.35,1.43,1.35,1.38,8500
2024-07-09,1.35,1.39,1.35,1.39,4900
2024-07-08,1.37,1.39,1.35,1.35,7900
2024-07-05,1.39,1.44,1.35,1.37,25700
2024-07-03,1.34,1.4,1.34,1.4,5500
2024-07-02,1.39,1.46,1.34,1.34,22500
2024-07-01,1.4,1.44,1.35,1.43,3900
2024-06-28,1.43,1.48,1.42,1.42,21300
2024-06-27,1.41,1.43,1.4,1.43,5300
2024-06-26,1.4,1.44,1.39,1.39,21000
2024-06-25,1.4,1.42,1.37,1.38,20100
2024-06-24,1.37,1.48,1.37,1.4,28700
2024-06-21,1.49,1.5,1.4,1.41,47600
2024-06-20,1.35,1.46,1.35,1.4,20000
2024-06-18,1.44,1.44,1.22,1.33,144100
2024-06-17,1.46,1.52,1.43,1.46,28300
2024-06-14,1.47,1.51,1.47,1.48,2000
2024-06-13,1.52,1.52,1.5,1.5,8000
2024-06-12,1.46,1.5,1.46,1.49,51400
2024-06-11,1.5,1.51,1.46,1.48,10000
2024-06-10,1.5,1.55,1.47,1.48,23900
2024-06-07,1.51,1.52,1.5,1.5,38700
2024-06-06,1.54,1.56,1.39,1.54,44900
2024-06-05,1.5,1.57,1.48,1.54,12800
2024-06-04,1.51,1.58,1.49,1.51,22100
2024-06-03,1.55,1.56,1.51,1.55,10200
2024-05-31,1.57,1.63,1.56,1.57,10100
2024-05-30,1.64,1.7,1.57,1.58,3500
2024-05-29,1.61,1.61,1.57,1.57,2800
