datetime,open,high,low,close,volume
2025-04-01,11.08,11.26,10.85,10.89,54500
2025-03-31,10.88,11.17,10.55,11.16,56300
2025-03-28,11.42,11.42,10.93,10.97,75500
2025-03-27,11.72,11.79,11.38,11.48,41400
2025-03-26,12.04,12.1,11.57,11.75,57500
2025-03-25,12.3,12.33,11.97,12.09,48500
2025-03-24,12.23,12.48,11.93,12.35,66300
2025-03-21,12.32,12.41,11.96,12.04,106800
2025-03-20,12.64,12.67,12.42,12.46,27500
2025-03-19,12.53,12.68,12.36,12.62,41500
2025-03-18,12.65,12.65,12.44,12.5,28300
2025-03-17,12.37,12.67,12.25,12.65,39200
2025-03-14,12.3,12.53,12.14,12.49,46500
2025-03-13,12.69,12.72,12.14,12.24,95700
2025-03-12,12.75,12.96,12.58,12.69,56300
2025-03-11,12.6,12.77,12.39,12.72,36200
2025-03-10,12.61,12.77,12.5,12.55,62000
2025-03-07,12.76,12.78,12.44,12.73,51000
2025-03-06,12.88,12.94,12.66,12.74,59500
2025-03-05,13.11,13.19,12.92,12.97,59400
2025-03-04,12.98,13.25,12.87,13.1,38700
2025-03-03,13.2,13.29,12.94,13.1,45700
2025-02-28,12.92,13.24,12.9,13.2,72400
2025-02-27,13.13,13.26,12.86,12.97,59600
2025-02-26,13.07,13.35,13.0,13.17,51100
2025-02-25,13.0,13.2,12.97,13.04,58400
2025-02-24,13.14,13.29,12.9,12.97,72600
2025-02-21,13.48,13.48,12.95,13.02,50600
2025-02-20,13.46,13.55,13.26,13.34,31400
2025-02-19,13.44,13.55,13.26,13.5,21500
2025-02-18,13.25,13.6,13.17,13.55,37300
2025-02-14,13.17,13.35,13.0,13.33,35500
2025-02-13,13.07,13.11,12.95,13.11,43600
2025-02-12,13.29,13.35,12.99,13.0,61000
2025-02-11,12.92,13.42,12.92,13.29,44200
2025-02-10,13.01,13.22,12.91,13.03,53600
2025-02-07,13.09,13.3,12.9,13.01,46500
2025-02-06,13.14,13.3,13.05,13.1,40500
2025-02-05,13.43,13.49,13.1,13.15,60300
2025-02-04,13.08,13.32,13.08,13.3,32100
2025-02-03,12.99,13.09,12.85,13.05,62000
2025-01-31,13.03,13.4,12.92,13.2,87800
2025-01-30,13.37,13.46,12.94,13.02,58200
2025-01-29,13.18,13.32,12.83,13.21,85500
2025-01-28,13.33,13.33,13.0,13.19,75200
2025-01-27,13.51,13.88,13.08,13.32,129600
2025-01-24,13.29,13.37,13.03,13.12,74300
2025-01-23,13.36,13.45,13.22,13.36,57100
2025-01-22,13.65,13.79,13.43,13.51,39200
2025-01-21,13.52,13.78,13.32,13.69,65300
2025-01-17,13.45,13.6,13.23,13.56,42000
2025-01-16,13.46,13.47,13.19,13.43,47700
2025-01-15,13.01,13.38,12.91,13.33,63200
2025-01-14,12.33,12.84,12.23,12.84,64300
2025-01-13,12.51,12.78,12.26,12.33,74200
2025-01-10,13.0,13.17,12.7,13.02,84700
2025-01-08,13.7,13.74,12.5,12.86,178900
2025-01-07,15.0,15.0,14.37,14.74,76100
2025-01-06,14.4,15.38,14.35,14.87,107200
2025-01-03,14.35,14.36,14.2,14.33,16400
