datetime,open,high,low,close,volume
2025-04-01,4.64,4.9,4.64,4.74,23800
2025-03-31,4.53,4.82,4.53,4.69,27500
2025-03-28,4.67,4.83,4.53,4.54,27000
2025-03-27,4.56,4.97,4.56,4.89,21500
2025-03-26,4.9,5.04,4.59,4.59,26200
2025-03-25,4.65,4.9,4.6,4.88,87500
2025-03-24,5.08,5.11,4.45,4.59,90400
2025-03-21,4.93,5.11,4.7,4.97,145000
2025-03-20,4.39,4.79,4.37,4.67,28700
2025-03-19,4.34,4.6,4.34,4.38,29500
2025-03-18,4.2,4.62,4.15,4.41,78800
2025-03-17,3.92,4.2,3.86,4.05,42700
2025-03-14,3.9,3.95,3.88,3.89,14600
2025-03-13,3.98,4.01,3.9,4.01,9000
2025-03-12,3.92,4.2,3.91,3.94,5400
2025-03-11,3.91,4.0,3.91,3.93,5600
2025-03-10,4.03,4.04,3.89,3.9,23500
2025-03-07,4.12,4.3,4.03,4.03,10700
2025-03-06,4.16,4.23,4.04,4.2,19100
2025-03-05,3.99,4.25,3.99,4.22,21500
2025-03-04,4.0,4.24,3.79,4.04,63900
2025-03-03,4.34,4.38,4.11,4.11,38800
2025-02-28,4.4,4.55,4.32,4.38,38400
2025-02-27,4.6,4.7,4.56,4.62,20700
2025-02-26,4.84,4.86,4.72,4.72,28100
2025-02-25,4.75,4.95,4.75,4.75,12600
2025-02-24,5.02,5.23,4.78,4.84,31500
2025-02-21,5.13,5.22,5.02,5.04,16200
2025-02-20,5.05,5.22,5.02,5.21,11400
2025-02-19,5.12,5.51,5.1,5.23,11300
2025-02-18,5.31,5.67,5.11,5.16,44200
2025-02-14,5.29,5.6,5.2,5.35,18900
2025-02-13,5.5,5.52,5.15,5.26,39700
2025-02-12,5.73,5.73,5.46,5.46,22500
2025-02-11,5.66,5.77,5.4,5.61,191400
2025-02-10,5.55,5.68,5.32,5.36,64200
2025-02-07,5.46,5.67,5.45,5.54,56300
2025-02-06,5.5,5.51,5.29,5.5,38900
2025-02-05,5.51,5.63,5.41,5.54,31600
2025-02-04,5.67,5.67,5.24,5.46,59300
2025-02-03,5.44,5.64,5.27,5.53,161200
2025-01-31,4.91,5.48,4.91,5.23,140200
2025-01-30,4.53,5.1,4.49,5.01,233800
2025-01-29,4.39,4.5,4.39,4.42,4900
2025-01-28,4.39,4.59,4.27,4.52,33100
2025-01-27,4.39,4.45,4.24,4.37,29600
2025-01-24,4.38,4.45,4.37,4.39,24100
2025-01-23,4.22,4.44,4.1,4.44,56900
2025-01-22,4.24,4.24,4.08,4.08,37700
2025-01-21,4.1,4.15,3.91,4.13,55900
2025-01-17,4.44,4.44,3.81,4.15,87600
2025-01-16,4.06,4.6,4.06,4.56,132700
2025-01-15,4.0,4.12,3.94,4.11,15000
2025-01-14,3.94,3.94,3.81,3.94,5500
2025-01-13,3.9,4.01,3.8,3.88,21200
2025-01-10,3.8,3.91,3.8,3.83,14100
2025-01-08,3.86,3.87,3.85,3.87,8600
2025-01-07,3.81,4.0,3.8,3.87,3400
2025-01-06,4.0,4.11,4.0,4.01,4200
2025-01-03,3.9,4.08,3.89,4.08,2100
2025-01-02,3.81,3.91,3.81,3.82,600
2024-12-31,3.93,3.93,3.8,3.91,22100
2024-12-30,3.76,3.96,3.76,3.87,4300
2024-12-27,3.76,3.95,3.76,3.83,16800
2024-12-26,3.81,3.99,3.81,3.88,20500
2024-12-24,3.6,3.86,3.6,3.8,19200
2024-12-23,3.67,3.77,3.58,3.61,9000
2024-12-20,3.62,3.68,3.62,3.66,9300
2024-12-19,3.68,3.99,3.62,3.69,6500
2024-12-18,3.76,3.89,3.67,3.67,19700
2024-12-17,3.88,4.0,3.75,3.75,15000
2024-12-16,4.08,4.08,3.91,3.91,11900
2024-12-13,4.23,4.23,3.95,4.05,16100
2024-12-12,4.23,4.33,4.16,4.23,4100
2024-12-11,4.29,4.39,4.16,4.17,11600
2024-12-10,4.18,4.29,4.18,4.18,3200
2024-12-09,4.23,4.35,4.23,4.25,6000
2024-12-06,4.19,4.3,4.19,4.29,9700
2024-12-05,4.25,4.28,4.16,4.19,8800
2024-12-04,4.09,4.38,4.09,4.18,7000
2024-12-03,4.26,4.27,4.07,4.15,12100
2024-12-02,4.22,4.34,4.19,4.29,15500
2024-11-29,4.15,4.25,4.1,4.24,5700
2024-11-27,4.08,4.16,4.07,4.11,3300
2024-11-26,4.05,4.16,4.05,4.16,2800
2024-11-25,4.11,4.25,4.02,4.04,25200
2024-11-22,4.07,4.14,4.03,4.07,2700
2024-11-21,3.95,4.17,3.95,4.14,15800
2024-11-20,3.97,4.07,3.97,4.07,2500
2024-11-19,3.95,3.96,3.95,3.96,1800
2024-11-18,3.96,4.08,3.95,3.96,5700
2024-11-15,3.96,4.08,3.96,4.01,2200
2024-11-14,3.92,4.07,3.92,4.06,6100
2024-11-13,4.02,4.09,3.94,3.94,8500
2024-11-12,4.03,4.15,4.02,4.02,8700
2024-11-11,4.05,4.17,4.02,4.02,25900
2024-11-08,4.08,4.16,4.07,4.1,5700
2024-11-07,4.09,4.13,4.04,4.09,3700
2024-11-06,4.13,4.17,4.0,4.16,5500
2024-11-05,4.08,4.15,4.06,4.14,4700
2024-11-04,4.0,4.08,4.0,4.01,5200
2024-11-03,3.9971,4.075,3.9971,4.01,5211
2024-11-01,4.0,4.08,4.0,4.04,3500
2024-10-31,4.0,4.075,4.0,4.0387,3541
2024-10-30,4.21,4.21,4.11,4.12,7400
2024-10-29,4.19,4.24,4.18,4.18,3500
2024-10-28,4.24,4.25,4.16,4.25,4700
2024-10-25,4.08,4.23,4.08,4.2,5100
2024-10-24,4.14,4.25,4.12,4.25,48400
2024-10-23,4.08,4.12,4.02,4.12,9900
2024-10-22,4.03,4.1,4.03,4.07,5700
2024-10-21,4.13,4.14,4.02,4.03,22500
2024-10-18,4.07,4.13,4.07,4.12,4200
2024-10-17,4.14,4.14,4.01,4.13,6400
2024-10-16,4.07,4.14,4.0,4.14,23500
2024-10-15,3.97,4.09,3.96,4.03,33100
2024-10-14,3.95,4.02,3.85,3.85,12200
2024-10-11,3.99,4.04,3.8,3.94,15500
2024-10-10,4.02,4.04,3.99,4.02,2400
2024-10-09,4.1,4.21,3.99,4.05,10900
2024-10-08,4.1,4.2,4.1,4.14,16600
2024-10-07,4.05,4.2,4.05,4.18,55300
2024-10-04,4.0,4.1,3.98,4.1,14400
2024-10-03,4.08,4.08,3.95,4.05,6900
2024-10-02,3.95,4.09,3.91,4.0,14500
2024-10-01,4.0,4.1,3.9,3.93,32400
2024-09-30,3.75,4.08,3.75,4.08,20000
2024-09-27,3.7,3.74,3.65,3.74,4100
2024-09-26,3.68,3.75,3.55,3.7,18800
2024-09-25,3.68,3.68,3.58,3.62,10300
2024-09-24,3.52,3.68,3.5,3.56,18100
2024-09-23,3.78,3.79,3.54,3.7,2100
2024-09-20,3.62,3.78,3.53,3.71,25600
2024-09-19,3.72,3.74,3.51,3.74,9700
2024-09-18,3.53,3.86,3.53,3.71,11500
2024-09-17,3.76,3.95,3.65,3.8,70000
2024-09-16,3.98,4.5,3.98,4.3,178600
2024-09-13,3.73,3.95,3.62,3.95,24900
2024-09-12,3.83,3.83,3.63,3.7,5100
2024-09-11,3.63,3.75,3.61,3.73,10300
2024-09-10,3.77,3.77,3.61,3.62,4900
2024-09-09,3.69,3.84,3.68,3.68,13100
2024-09-06,3.68,3.82,3.68,3.82,7700
2024-09-05,3.75,3.85,3.7,3.71,2100
2024-09-04,3.77,3.83,3.77,3.82,3600
2024-09-03,3.82,3.83,3.68,3.83,7900
2024-08-30,3.69,3.77,3.68,3.77,7600
2024-08-29,3.76,3.76,3.68,3.69,7400
2024-08-28,3.86,3.86,3.75,3.76,1800
2024-08-27,3.73,3.82,3.73,3.75,1200
2024-08-26,3.76,3.89,3.71,3.88,8000
2024-08-23,3.68,3.97,3.68,3.87,3300
2024-08-22,3.74,3.74,3.6,3.73,4800
2024-08-21,3.36,3.68,3.36,3.64,1500
2024-08-20,3.5,3.66,3.5,3.57,4400
