datetime,open,high,low,close,volume
2025-04-01,233.87,242.89,231.00999,239.06,773100
2025-03-31,227.53999,238.24001,221.97,234.41,974700
2025-03-28,240.25,243.05,228.14999,236.28,852400
2025-03-27,240.07001,249.64999,233.5,243.42,953600
2025-03-26,254.17999,255.05,240.0,243.58,608100
2025-03-25,257.35999,264.57999,250.56,252.89999,831200
2025-03-24,248.0,261.54999,248.0,257.84,1199300
2025-03-21,226.89999,246.14999,225.67999,242.17999,1263400
2025-03-20,226.60001,240.64999,223.17,234.03,1209200
2025-03-19,219.73,239.35001,215.0,230.03999,1306900
2025-03-18,217.37,224.36,215.69,221.84,717300
2025-03-17,224.38,228.5,214.11,225.32001,1089000
2025-03-14,221.00999,226.77,216.55,225.06,1056600
2025-03-13,236.64,238.34,212.03999,216.63,1420800
2025-03-12,241.31,248.14,235.11,241.02,1104300
2025-03-11,235.0,243.47,224.13,230.57001,1216800
2025-03-10,260.0,260.0,226.61,233.41,1567700
2025-03-07,277.67999,279.0,250.10001,262.42999,1499200
2025-03-06,283.23001,292.64999,275.89001,280.97,782100
2025-03-05,292.17999,294.41,284.23999,289.48001,612900
2025-03-04,300.0,300.0,278.54001,292.17999,1477500
2025-03-03,322.92001,326.0,304.39999,307.23001,812900
2025-02-28,325.09,331.76999,318.04999,322.07001,862700
2025-02-27,351.22,351.97,326.94,327.97,807100
2025-02-26,353.25,365.67001,348.29999,353.76999,630900
2025-02-25,345.12,355.0,341.37,348.54001,656400
2025-02-24,340.09,352.98001,328.10999,346.20001,976600
2025-02-21,369.59,369.59,336.95999,340.09,844600
2025-02-20,382.17001,387.47,362.34,365.92999,677000
2025-02-19,381.75,385.07999,376.73001,381.89001,455100
2025-02-18,382.32999,389.20001,376.07999,388.25,543200
2025-02-14,385.28,389.25,380.01001,382.32999,411900
2025-02-13,379.13,385.29001,374.97,380.35001,400400
2025-02-12,374.98999,374.98999,366.29999,374.14999,810000
2025-02-11,399.70999,402.0,377.04001,384.42001,625200
2025-02-10,400.0,404.34,398.03,402.22,290600
2025-02-07,413.42999,416.0,392.32001,397.10001,464500
2025-02-06,418.95999,419.5,410.28,415.26999,236400
2025-02-05,406.57001,415.14999,404.01001,414.73001,343600
2025-02-04,398.51999,407.5,397.54999,406.07999,496700
2025-02-03,404.51001,409.48001,386.38,395.14001,924400
2025-01-31,429.20999,432.88,415.75,419.10999,373800
2025-01-30,430.14999,436.98999,427.85999,433.16,481800
2025-01-29,423.51001,430.82999,419.73001,422.01001,343100
2025-01-28,410.59,425.94,403.17999,423.14001,597700
2025-01-27,411.88,418.64001,407.82999,411.0,737600
2025-01-24,434.01001,434.84,413.07999,418.73999,1012800
2025-01-23,441.98999,441.98999,430.48999,434.45999,509100
2025-01-22,450.66,451.13,439.29999,442.81,383700
2025-01-21,454.10001,455.84,444.91,454.51999,641500
2025-01-17,439.67999,448.84,437.17001,447.23001,671600
2025-01-16,433.03,435.42001,424.20999,432.82999,435700
2025-01-15,433.29999,435.75,426.98999,428.64999,635800
2025-01-14,425.35999,429.5,411.48001,416.04001,579000
2025-01-13,414.20999,421.92999,406.42001,419.51999,802500
2025-01-10,404.34,415.70001,402.28,413.95001,642100
2025-01-08,405.20999,408.32999,394.0,408.26999,486700
2025-01-07,417.56,418.45001,397.19,403.82001,397500
2025-01-06,411.29999,420.12,411.29999,414.95999,551600
2025-01-03,396.98999,405.45999,392.25,405.45999,313700
2025-01-02,395.63,398.34,392.19,395.10001,319500
2024-12-31,393.89999,398.0,390.79999,393.59,337000
2024-12-30,394.70001,397.66,386.0,393.92999,372500
2024-12-27,405.48001,406.82001,395.81,398.07001,383300
2024-12-26,407.39999,412.53,405.60001,407.0,315200
2024-12-24,410.0,414.70001,407.60001,413.70001,191100
2024-12-23,395.39999,411.57001,393.0,408.23001,530900
2024-12-20,385.0,403.57999,384.95001,398.26001,768400
2024-12-19,401.57001,402.35001,382.29999,388.01999,854400
2024-12-18,412.92001,426.07001,393.88,396.39001,872700
2024-12-17,416.89999,420.41,406.39999,411.72,824900
2024-12-16,445.0,445.5,414.14001,414.98001,1312900
2024-12-13,443.97,457.26001,429.07001,446.04001,3056500
2024-12-12,392.98001,396.37,377.12,381.38,1715400
2024-12-11,395.62,403.39999,390.48001,398.95001,645700
2024-12-10,392.70999,398.0,384.0,386.09,719800
2024-12-09,381.35001,400.48999,381.35001,396.78,1060900
2024-12-06,377.92001,384.0,369.47,376.10001,693200
2024-12-05,375.98999,383.89999,370.66,370.72,534800
2024-12-04,382.82999,382.82999,373.76001,376.07001,373200
2024-12-03,379.76999,383.16,372.04999,379.10001,426300
2024-12-02,386.5,387.88,378.31,379.26001,423600
2024-11-29,387.76001,391.76999,384.89001,385.14001,228200
2024-11-27,389.79001,392.0,382.85001,386.56,406200
2024-11-26,381.39999,389.45001,378.09,385.64001,512900
2024-11-25,375.67001,398.22,375.67001,389.14001,1054900
2024-11-22,352.54001,370.95999,351.47,368.01001,873600
2024-11-21,340.0,345.5,335.64999,344.73001,475800
