datetime,open,high,low,close,volume
2025-03-31,0.201,0.201,0.201,0.201,167
2025-03-20,0.12,0.12,0.12,0.12,1000
2025-03-14,0.125,0.125,0.125,0.125,1000
2025-03-07,0.1202,0.1202,0.1202,0.1202,167
2025-03-04,0.16,0.25,0.16,0.25,705
2025-02-27,0.1202,0.1202,0.1202,0.1202,1000
2025-02-24,0.3,0.3,0.3,0.3,3615
2025-02-20,0.1201,0.1201,0.1201,0.1201,1000
2025-02-07,0.05,0.05,0.05,0.05,249
2025-01-30,0.65,0.68,0.5216,0.68,29157
2025-01-29,0.75,0.767,0.58,0.58,2611
2025-01-28,0.75,0.8399,0.7,0.7,3680
2025-01-27,0.69,0.74,0.69,0.74,1868
2025-01-24,0.97,0.97,0.8,0.8,8333
2025-01-23,0.73,1.19,0.73,0.9,34778
2025-01-22,0.7171,1.16,0.69,0.83,84646
2025-01-21,0.7178,0.96,0.69,0.8271,36996
2025-01-17,0.6,2.15,0.6,0.7804,223475
2025-01-16,0.5,0.93,0.4999,0.5445,23752
2025-01-15,0.57,0.57,0.52,0.5699,6183
2025-01-14,0.5848,0.67,0.5167,0.59,6698
2025-01-13,0.5,0.95,0.39,0.62425,28224
2025-01-10,0.46,0.46,0.46,0.46,236
2025-01-08,0.57,0.57,0.46,0.46,1946
2025-01-07,0.75,0.75,0.6103,0.6103,13540
2025-01-06,0.72,1.0,0.65,0.75,49483
2025-01-02,0.4,0.4697,0.38,0.4697,511
2024-12-31,0.357,0.357,0.357,0.357,167
2024-12-30,0.32,0.3599,0.2907,0.3599,715
2024-12-27,0.3205,0.3205,0.205,0.29,6007
2024-12-26,0.3305,0.3305,0.28,0.3105,5795
2024-12-24,0.3405,0.4005,0.3405,0.4005,213
2024-12-23,0.32,0.3805,0.3105,0.3305,2800
2024-12-20,0.25,0.25,0.25,0.25,105
2024-12-19,0.321,0.321,0.3,0.3,2101
2024-12-18,0.32,0.32,0.32,0.32,500
2024-12-11,0.35,0.35,0.35,0.35,1000
2024-12-10,4.5,4.5,4.5,4.5,24
2024-12-09,0.3701,0.38,0.34,0.38,1182
2024-12-06,0.4,0.4,0.4,0.4,510
2024-12-05,4.5,4.5,4.5,4.5,35
2024-12-04,0.5,0.5,0.367,0.434,2882
2024-12-03,0.3,0.7,0.3,0.6,11847
2024-12-02,0.4899,0.4899,0.4899,0.4899,250
2024-11-29,4.5,4.5,4.5,4.5,400
2024-11-27,0.53,0.5499,0.53,0.5499,1098
2024-11-26,0.5142,0.55,0.5142,0.55,2025
2024-11-22,4.5,4.5,4.0,4.0,10
2024-11-21,4.25,4.25,4.25,4.25,2400
2024-11-20,0.4542,0.4542,0.4542,0.4542,180
2024-11-19,4.1,4.2,4.1,4.2,2500
2024-11-18,4.1,4.1,4.0,4.1,9100
2024-11-15,0.4542,0.4542,0.4542,0.4542,200
2024-11-14,3.25,3.55,3.25,3.5,2
2024-11-13,0.48,0.48,0.4542,0.4542,501
2024-11-11,0.5762,0.6,0.55,0.55,3128
2024-11-08,3.0,3.0,3.0,3.0,2000
2024-11-05,2.25,3.0,2.25,2.99,2300
2024-11-04,0.461,0.461,0.461,0.461,211
2024-11-01,2.5,2.5,2.41,2.41,1000
2024-10-31,0.471,0.521,0.47,0.521,611
2024-10-30,2.2,3.0,2.0,3.0,35
2024-10-29,2.95,2.95,2.95,2.95,100
2024-10-25,0.541,0.541,0.541,0.541,200
