datetime,open,high,low,close,volume
2025-04-01,21.58,22.26,21.56,22.01,743400
2025-03-31,21.71,21.885,21.25,21.49,1010600
2025-03-28,22.91,23.072,21.89,22.27,868400
2025-03-27,22.98,23.85,22.653,23.17,747400
2025-03-26,23.31,23.55,22.72,22.87,823500
2025-03-25,23.49,24.12,23.16,23.31,1146100
2025-03-24,22.8,23.62,22.63,23.51,1264300
2025-03-21,21.34,22.21,20.83,22.16,1435600
2025-03-20,21.86,22.47,21.69,21.94,990900
2025-03-19,21.78,22.625,21.78,22.17,1134500
2025-03-18,21.89,22.13,21.49,21.77,1071500
2025-03-17,22.26,22.62,21.78,22.37,1219700
2025-03-14,22.57,22.91,22.14,22.31,1622800
2025-03-13,23.9,23.97,20.84,21.26,2888900
2025-03-12,25.27,25.35,23.715,24.0,1259500
2025-03-11,24.81,24.81,23.12,24.67,1715600
2025-03-10,23.44,25.26,23.1,24.87,1957300
2025-03-07,23.0,24.08,22.41,24.04,1239800
2025-03-06,23.51,24.13,22.756,23.01,847300
2025-03-05,24.3,24.37,23.69,24.29,1152300
2025-03-04,24.42,24.57,23.5,24.19,2173500
2025-03-03,26.5,26.857,24.66,25.0,2046300
2025-02-28,26.3,27.505,25.92,26.56,1406900
2025-02-27,26.92,27.06,25.98,26.25,1490900
2025-02-26,27.21,27.7,24.7,26.89,3008200
2025-02-25,29.73,29.74,26.78,28.32,3013200
2025-02-24,29.0,30.53,28.64,29.73,2317800
2025-02-21,29.78,29.85,27.9,28.61,2280900
2025-02-20,30.1,30.43,28.84,29.33,1540000
2025-02-19,30.88,30.88,29.8,30.32,1417700
2025-02-18,30.77,31.26,30.695,31.25,958500
2025-02-14,31.73,31.86,30.52,31.1,1054200
2025-02-13,31.05,32.06,30.825,31.57,1010100
2025-02-12,29.45,30.86,28.825,30.86,1099600
2025-02-11,29.67,30.21,29.215,30.19,1075500
2025-02-10,29.63,30.6,29.23,30.0,1081400
2025-02-07,30.99,30.995,29.3,29.31,865300
2025-02-06,31.12,31.86,30.77,30.97,914100
2025-02-05,32.03,32.22,30.04,30.71,943600
2025-02-04,31.5,32.015,31.21,31.78,1403800
2025-02-03,30.19,31.81,29.56,31.09,1070900
2025-01-31,31.38,32.58,31.38,31.58,764700
2025-01-30,30.42,31.4,30.01,31.39,1060400
2025-01-29,31.25,32.15,29.97,29.97,936600
2025-01-28,30.84,31.395,30.17,31.24,914300
2025-01-27,30.8,31.64,30.45,30.84,748600
2025-01-24,31.29,32.02,31.01,31.51,1210400
2025-01-23,32.59,33.68,31.41,31.44,1472100
2025-01-22,31.14,32.105,30.78,31.21,863200
2025-01-21,30.45,31.02,29.55,31.0,856700
2025-01-17,30.17,30.6,29.45,30.02,1054000
2025-01-16,29.46,29.745,29.13,29.6,761600
2025-01-15,29.53,29.74,28.83,29.66,718500
2025-01-14,29.45,29.96,28.14,28.56,894800
2025-01-13,29.13,29.815,28.39,29.4,1878300
2025-01-10,30.08,30.91,29.18,29.3,1181300
2025-01-08,30.49,30.92,29.82,30.91,745000
2025-01-07,31.38,31.5,30.17,30.7,1130000
2025-01-06,34.06,34.15,30.99,31.32,3514300
2025-01-03,33.72,34.39,33.43,33.75,596600
2025-01-02,33.84,34.13,32.88,33.56,589100
2024-12-31,34.18,34.21,33.35,33.49,803000
2024-12-30,33.06,34.37,32.33,34.18,853300
2024-12-27,32.75,33.6,32.34,33.58,717800
2024-12-26,33.5,33.88,32.98,33.06,568800
2024-12-24,33.67,34.245,33.47,33.81,238600
2024-12-23,33.94,34.53,33.48,33.65,541400
2024-12-20,33.04,34.82,32.97,34.1,1685600
2024-12-19,34.6,35.432,33.4,33.76,1059300
2024-12-18,36.82,36.92,32.74,33.69,1142400
2024-12-17,37.71,39.578,36.23,36.51,839300
2024-12-16,36.87,38.68,36.87,38.11,677400
2024-12-13,38.1,38.64,36.42,37.09,1003700
2024-12-12,37.78,38.36,37.42,38.16,792400
2024-12-11,36.34,38.64,35.98,37.99,1131900
