datetime,open,high,low,close,volume
2025-04-01,42.73,42.94,42.24,42.67,1191100
2025-03-31,42.25,42.61,41.42,42.37,1147600
2025-03-28,44.65,44.85,43.41,43.42,1079900
2025-03-27,45.71,46.08,45.21,45.25,899800
2025-03-26,45.31,45.46,44.81,45.41,752700
2025-03-25,46.43,46.74,45.49,45.52,933600
2025-03-24,46.97,47.29,45.8,46.12,911400
2025-03-21,45.8,46.38,45.77,46.18,1096000
2025-03-20,46.72,47.16,46.58,46.86,2351400
2025-03-19,47.0,47.61,46.65,47.23,2846600
2025-03-18,47.8,47.8,47.0,47.1,3991100
2025-03-17,47.53,48.09,47.34,47.81,1700400
2025-03-14,46.89,47.38,46.48,47.3,2172000
2025-03-13,46.53,46.85,46.04,46.4,4379300
2025-03-12,47.31,47.47,46.34,46.43,3172900
2025-03-11,46.6,47.07,45.86,46.92,1840500
2025-03-10,47.28,47.63,45.9,47.15,3048600
2025-03-07,47.59,48.44,45.54,48.34,2215300
2025-03-06,48.92,49.52,47.08,47.79,3016000
2025-03-05,48.38,50.13,48.17,50.08,1473000
2025-03-04,47.01,47.03,45.37,46.57,3093200
2025-03-03,48.19,48.98,48.02,48.28,2520700
2025-02-28,47.73,48.56,47.58,48.53,2629700
2025-02-27,47.02,47.96,46.74,47.76,2667800
2025-02-26,46.97,47.26,46.43,47.21,1638200
2025-02-25,46.08,46.3,45.33,45.6,1344900
2025-02-24,45.5,46.11,45.29,45.31,1869500
2025-02-21,45.7,46.55,45.07,45.16,1276800
2025-02-20,44.65,45.67,44.65,45.53,1430000
2025-02-19,44.75,45.02,44.42,44.59,1405400
2025-02-18,46.22,46.38,45.47,45.51,2196600
2025-02-14,46.18,46.28,45.34,45.34,2039900
2025-02-13,46.29,46.76,45.63,45.65,1949200
2025-02-12,45.47,46.09,45.21,45.65,1941700
2025-02-11,45.69,45.82,44.99,45.0,906100
2025-02-10,45.84,46.0,45.14,45.4,1271600
2025-02-07,47.44,47.49,45.97,46.01,1707500
2025-02-06,46.73,47.63,46.72,46.84,1187500
2025-02-05,47.13,47.82,46.67,46.87,1340600
2025-02-04,47.23,47.49,46.92,47.11,756900
2025-02-03,46.31,47.29,45.58,46.35,1120200
2025-01-31,47.96,48.14,46.63,46.69,1491600
2025-01-30,47.25,48.34,47.04,48.18,1293900
2025-01-29,47.21,47.38,46.74,46.79,983500
2025-01-28,46.45,47.79,46.24,47.42,2022500
2025-01-27,47.26,47.62,46.12,46.22,1851700
2025-01-24,45.95,46.3,45.09,46.14,985000
2025-01-23,45.05,46.37,44.68,45.53,1297500
2025-01-22,43.93,44.23,43.5,44.19,1494600
2025-01-21,42.68,43.89,42.6,43.82,1042800
2025-01-17,41.44,41.69,41.23,41.65,1187900
2025-01-16,42.25,42.28,41.45,41.54,630600
2025-01-15,42.63,43.36,42.25,42.28,1000600
2025-01-14,42.47,42.71,42.14,42.64,1121200
2025-01-13,41.92,42.07,41.05,41.88,1957800
2025-01-10,43.62,43.77,42.53,42.96,1976200
2025-01-08,44.6,44.86,43.83,44.5,1013600
2025-01-07,43.57,45.91,43.45,44.99,1924700
2025-01-06,42.66,43.32,42.66,43.14,1720300
2025-01-03,42.84,43.04,42.2,42.75,869600
2025-01-02,43.6,43.82,42.83,42.91,578300
2024-12-31,43.93,44.16,43.46,43.59,373700
2024-12-30,43.74,44.1,43.3,43.94,607700
2024-12-27,43.62,44.09,43.62,44.07,661200
2024-12-26,44.22,44.32,43.87,43.92,390000
2024-12-24,44.4,44.91,44.24,44.25,885200
2024-12-23,44.66,44.8,43.88,44.06,1143400
2024-12-20,44.51,45.22,44.31,44.7,1085800
2024-12-19,44.66,44.93,44.28,44.49,1264300
2024-12-18,45.43,45.98,43.96,44.12,1177200
2024-12-17,45.26,45.9,44.74,45.43,1250000
2024-12-16,45.12,45.21,44.62,44.73,744100
2024-12-13,46.12,46.22,45.07,45.45,1170900
2024-12-12,46.59,46.78,45.53,45.57,861900
2024-12-11,46.36,46.59,45.56,46.0,833800
2024-12-10,45.99,46.64,45.69,46.27,1192300
2024-12-09,46.97,47.11,45.9,45.91,874700
2024-12-06,46.79,47.0,46.3,46.65,769400
2024-12-05,45.47,47.41,45.28,46.86,1771100
2024-12-04,44.53,44.94,44.4,44.41,908800
2024-12-03,45.02,45.15,44.36,44.53,972500
2024-12-02,43.92,44.39,43.8,44.22,767400
2024-11-29,43.76,44.42,43.76,44.04,618700
2024-11-27,43.36,43.86,43.17,43.86,780700
2024-11-26,43.37,43.63,42.68,43.32,1265200
2024-11-25,43.37,44.03,43.37,43.79,1442400
2024-11-22,42.55,43.08,42.47,42.98,1622200
2024-11-21,43.75,43.82,42.85,42.88,850700
2024-11-20,44.34,44.53,43.9,43.94,2406500
2024-11-19,44.22,45.08,43.93,45.02,1947300
2024-11-18,44.35,44.81,43.85,44.75,1006400
2024-11-15,45.19,45.19,44.4,44.87,1091300
2024-11-14,45.1,45.37,44.77,45.08,1475100
2024-11-13,45.0,45.12,44.41,44.58,1329100
2024-11-12,45.8,46.16,44.85,45.47,1301100
2024-11-11,46.42,46.8,45.95,46.35,1392200
2024-11-08,46.9,47.09,45.66,45.68,1498600
2024-11-07,46.39,47.41,46.32,47.3,1218400
2024-11-06,46.68,46.68,44.86,45.88,2614900
2024-11-05,45.45,46.9,45.21,46.29,2024100
2024-11-04,45.76,45.78,43.83,44.06,2022700
2024-11-01,44.74,45.98,44.59,45.54,1568300
2024-10-31,44.75,45.15,43.75,44.26,1505500
2024-10-30,44.15,45.24,44.15,44.88,825400
2024-10-29,44.34,44.68,44.03,44.62,1497500
2024-10-28,45.55,45.75,45.11,45.43,974900
2024-10-25,44.89,45.23,44.46,45.06,907700
2024-10-24,45.42,45.71,44.38,44.59,971600
2024-10-23,45.55,45.55,44.42,45.21,1097300
2024-10-22,44.92,46.06,44.92,45.61,1385800
2024-10-21,44.9,45.18,44.63,45.1,902100
2024-10-18,44.73,45.61,44.28,45.43,1201900
2024-10-17,44.75,45.48,44.6,44.75,1496600
2024-10-16,44.11,44.94,43.82,44.83,1693800
2024-10-15,44.87,45.46,44.39,44.52,1419400
2024-10-14,44.03,44.65,43.81,44.19,1061900
2024-10-11,43.65,44.26,43.29,43.53,1672000
2024-10-10,43.29,43.83,43.26,43.3,962600
2024-10-09,43.42,44.58,43.38,43.8,1279700
2024-10-08,43.25,43.43,42.86,43.42,1543800
2024-10-07,43.84,43.87,42.09,42.1,1878800
2024-10-04,43.08,43.77,42.75,43.15,2535400
2024-10-03,42.79,43.88,42.37,42.8,1437600
2024-10-02,43.48,43.48,42.91,43.01,2513000
2024-10-01,45.45,45.69,43.68,44.35,2244900
2024-09-30,45.4,45.66,44.32,45.18,1353300
2024-09-27,46.86274,46.93077,45.06202,45.09003,1882497
2024-09-26,47.29092,47.47499,46.31853,47.09884,2724410
2024-09-25,46.13845,46.52661,45.81433,46.43057,2887844
2024-09-24,45.38615,45.95038,45.32613,45.87835,1448670
2024-09-23,45.29012,45.39416,45.04202,45.36615,2049930
2024-09-20,45.64626,45.70228,45.16607,45.51421,2111655
2024-09-19,45.89836,46.33053,45.31813,46.06643,2197121
2024-09-18,44.42977,44.95398,43.80552,44.10164,2018442
2024-09-17,45.06602,45.32613,44.27371,44.45778,1947971
2024-09-16,42.77711,42.94918,42.54502,42.78912,1110306
2024-09-13,42.81313,43.29332,42.14886,42.70508,2717413
2024-09-12,43.77751,43.92957,42.61705,42.80912,3002798
2024-09-11,44.79792,45.46619,44.45778,44.99,1155788
2024-09-10,45.07803,45.20208,44.58583,44.96999,1409186
2024-09-09,45.05802,45.62625,44.80192,45.2421,1687075
2024-09-06,44.41777,45.01801,44.27371,44.97399,2143142
2024-09-05,44.30972,45.29812,44.19368,45.21809,1501149
2024-09-04,43.14526,44.0056,43.04922,43.92157,1277489
2024-09-03,44.14566,44.72989,44.14566,44.61785,1424930
2024-08-30,43.83754,44.62585,43.83754,44.60184,815924
2024-08-29,43.44138,44.21368,43.44138,43.88556,870652
2024-08-28,43.63345,43.96159,43.32533,43.55342,1048830
2024-08-27,44.81393,44.82593,43.30532,43.31733,2507497
2024-08-26,42.29292,42.45698,41.72469,41.7407,1137795
2024-08-23,41.65266,42.40096,41.45258,42.31292,1365953
2024-08-22,41.71268,41.83673,40.79632,40.82433,1162535
2024-08-21,41.2565,41.4966,40.87235,40.91236,1319722
2024-08-20,41.55262,41.59264,40.92837,40.92837,1174780
2024-08-19,41.40856,41.40856,41.04442,41.28452,685726
2024-08-16,41.10444,41.31653,40.95238,41.07243,1544382
2024-08-15,40.71228,41.44858,40.71228,41.08443,1319472
2024-08-14,41.48459,41.56863,40.43617,40.45218,950120
2024-08-13,41.08443,41.57263,41.0044,41.2365,3556327
2024-08-12,41.64466,41.64466,40.57223,40.62825,2193622
2024-08-09,41.2565,41.96078,41.2565,41.66066,2726659
2024-08-08,39.01561,40.86835,38.82753,40.86435,2793882
2024-08-07,39.76791,39.76791,38.96358,39.13565,1281487
2024-08-06,39.30772,39.90796,38.79152,38.87555,2295332
2024-08-05,38.65947,39.93597,38.40736,39.40776,1118303
2024-08-02,39.4838,39.53581,39.03161,39.51981,3423380
2024-08-01,40.03601,40.21609,39.64386,40.01601,3186475
2024-07-31,40.72829,40.83233,39.62785,40.53621,4317023
2024-07-30,40.29612,41.08043,40.21609,40.7483,1874750
2024-07-29,40.96439,41.09644,39.86795,39.89196,3276439
2024-07-26,40.61625,41.88876,40.27211,40.98439,7033186
2024-07-25,39.33173,40.26011,38.31133,39.11164,4302029
2024-07-24,38.37135,38.65546,37.93117,38.02321,2840114
2024-07-23,38.38736,38.76751,37.88715,38.07523,3336915
2024-07-22,38.43538,39.09564,36.97079,38.69548,10233905
2024-07-19,45.97039,46.2585,45.67427,45.7463,2595212
2024-07-18,47.42297,47.53101,46.20648,46.34254,1289984
2024-07-17,47.85514,48.54342,47.82313,48.08723,798431
2024-07-16,47.32693,48.4874,47.22289,48.19528,1445172
2024-07-15,47.98319,48.03922,47.2429,47.43898,1626599
2024-07-12,47.59504,48.02721,47.0108,47.81112,1867753
2024-07-11,47.72709,48.82353,47.503,48.59944,1446671
2024-07-10,48.15126,48.23129,47.47899,47.71909,816423
2024-07-09,48.06723,48.15126,47.16687,47.64706,2767393
2024-07-08,48.19928,48.29132,47.499,47.63906,1922731
2024-07-05,47.7551,47.78711,47.13085,47.47099,1997701
2024-07-03,46.51861,47.31092,46.51861,47.15886,1916733
2024-07-02,45.63826,45.7423,45.15406,45.40616,1411935
2024-07-01,46.7507,46.93477,45.5102,45.62625,1570871
2024-06-28,46.35054,46.88676,46.35054,46.59464,2232857
2024-06-27,45.7583,46.7347,45.65026,46.68668,1488654
2024-06-26,45.85034,46.27851,45.48619,45.84634,1746801
2024-06-25,46.67467,47.46299,46.60264,47.36695,1767043
2024-06-24,45.87435,46.93877,45.86235,46.39456,1042083
2024-06-21,45.10604,45.95438,44.7579,45.71429,1706317
2024-06-20,45.64226,46.33854,45.01801,45.07803,2376049
2024-06-18,47.09084,47.11084,46.47059,47.11084,1069322
2024-06-17,46.79071,47.62305,46.66667,47.38295,591513
2024-06-14,46.60264,47.11485,46.43057,47.0068,1161035
2024-06-13,47.73509,47.83113,47.12285,47.40696,774940
2024-06-12,47.81913,48.77151,47.78711,48.29132,1192523
2024-06-11,47.31893,47.54302,46.81473,47.15086,1007847
2024-06-10,48.04722,48.05522,47.51901,47.85914,1475410
2024-06-07,48.88755,49.29172,48.59544,48.64746,949120
2024-06-06,49.83593,50.15606,49.39576,49.47179,1136295
2024-06-05,50.02001,50.88836,49.76791,50.012,1602359
2024-06-04,49.36775,50.16807,49.18367,50.12405,1283736
2024-06-03,49.2477,49.67587,48.97159,49.35975,1038584
2024-05-31,48.30732,48.80752,48.22329,48.67547,1330218
2024-05-30,48.13525,48.36735,47.72709,48.13525,1595362
2024-05-29,47.61505,48.31933,47.2429,48.04722,1668582
2024-05-28,49.18768,49.36775,48.85554,48.9956,1116553
2024-05-24,50.08403,50.13605,48.69948,49.07563,2183626
2024-05-23,50.30812,51.18848,49.85194,51.10044,2785885
2024-05-22,49.61985,50.63225,49.13165,49.37575,3850459
2024-05-21,48.85554,49.23169,48.13525,48.72749,3593062
2024-05-20,50.07603,50.28011,48.87155,49.08764,2655937
2024-05-17,50.26411,50.66827,50.03201,50.2561,1917233
2024-05-16,51.4926,51.5046,50.45218,50.58823,1981707
2024-05-15,51.63665,51.90876,50.9964,51.30852,1509146
2024-05-14,51.33253,51.64866,51.17247,51.46058,1417183
2024-05-13,52.13285,52.13285,51.34454,51.44458,1117053
2024-05-10,52.2529,52.38895,51.7567,51.7607,3352409
2024-05-09,52.66106,52.78511,51.07243,52.09284,2638694
2024-05-08,52.493,53.66947,52.493,52.66106,1884246
2024-05-07,53.2573,54.37775,51.11645,51.28452,2713414
2024-05-06,55.87035,56.78672,55.83833,56.55862,335866
2024-05-03,56.09044,56.41857,55.53421,56.14246,891393
2024-05-02,55.02601,56.07443,54.87795,55.93837,513545
2024-05-01,54.08964,55.16206,53.41336,54.65786,462315
2024-04-30,55.40216,55.85834,54.43777,54.5018,615504
2024-04-29,55.95838,56.17047,55.66227,55.96639,385096
2024-04-26,55.87435,56.05842,55.54222,55.9864,418583
2024-04-25,55.14606,56.07443,54.53782,56.02241,1196021
2024-04-24,55.94638,56.28651,55.22209,55.36214,741703
2024-04-23,56.27851,57.499,56.04242,57.04282,778189
2024-04-22,55.78231,56.7347,55.63425,56.33453,655488
2024-04-19,54.60184,55.92637,54.60184,55.57423,1044832
2024-04-18,56.17847,56.17847,53.92557,54.18167,1801279
2024-04-17,55.72229,55.72229,54.17367,54.56182,1141543
2024-04-16,55.02201,55.02201,54.28571,54.34574,800430
2024-04-15,56.2625,56.53461,55.03801,55.26611,852159
2024-04-12,55.22609,55.87835,54.4938,55.7463,1848011
2024-04-11,57.05882,58.43137,56.92277,58.27531,712965
2024-04-10,59.14366,59.70388,58.03121,58.36735,932877
2024-04-09,59.57983,59.88395,58.76751,59.2557,761445
2024-04-08,59.39976,60.31613,59.11565,59.45578,923630
2024-04-05,57.31092,58.66346,57.31092,58.31933,1174030
2024-04-04,58.81152,59.52781,57.37495,57.69107,2251599
2024-04-03,57.72309,58.76751,57.72309,58.51141,1062575
2024-04-02,57.21088,57.52301,56.42257,57.09884,947121
