datetime,open,high,low,close,volume
2025-04-01,17.54,17.75,17.33,17.5,2071400
2025-03-31,17.45,17.75,17.43,17.47,1908100
2025-03-28,17.48,17.58,17.3,17.54,1748500
2025-03-27,17.28,17.63,17.22,17.38,1679100
2025-03-26,17.21,17.39,17.21,17.26,1935700
2025-03-25,17.4,17.41,17.07,17.15,2062000
2025-03-24,17.17,17.4,17.17,17.35,2391700
2025-03-21,17.26,17.36,17.11,17.26,3671100
2025-03-20,17.63,17.63,17.25,17.33,3143900
2025-03-19,17.7,17.77,17.48,17.61,2641000
2025-03-18,17.61,17.93,17.61,17.78,4075500
2025-03-17,17.3,17.72,17.3,17.62,2267500
2025-03-14,16.8,17.31,16.61,17.3,2344500
2025-03-13,16.69,17.13,16.61,16.86,2619400
2025-03-12,16.6,16.72,16.29,16.59,3004400
2025-03-11,17.07,17.21,16.52,16.62,2293300
2025-03-10,16.89,17.27,16.89,17.07,2403600
2025-03-07,16.57,17.0,16.49,16.86,2255600
2025-03-06,17.01,17.04,16.45,16.57,2346400
2025-03-05,16.98,17.31,16.79,17.09,2253200
2025-03-04,16.73,17.08,16.64,17.03,3440200
2025-03-03,16.51,16.88,16.51,16.81,1885900
2025-02-28,16.48,16.7,16.46,16.61,2970400
2025-02-27,16.38,16.53,16.26,16.45,1223800
2025-02-26,16.46,16.59,16.36,16.39,2290400
2025-02-25,15.91,16.51,15.86,16.42,2300200
2025-02-24,15.89,16.14,15.81,15.88,2245100
2025-02-21,16.51,16.64,15.6,15.89,2553600
2025-02-20,16.42,16.64,15.87,16.39,2894300
2025-02-19,16.33,16.58,16.33,16.55,2383500
2025-02-18,16.52,16.81,16.45,16.46,2719000
2025-02-14,16.43,16.62,16.28,16.52,2832700
2025-02-13,16.14,16.72,16.11,16.68,3356300
2025-02-12,16.03,16.22,15.87,16.1,3127500
2025-02-11,16.51,16.53,16.16,16.24,3180400
2025-02-10,16.7,16.71,16.32,16.63,2754300
2025-02-07,16.72,16.87,16.45,16.69,4093800
2025-02-06,16.99,17.08,16.67,16.79,2130200
2025-02-05,16.9,17.02,16.79,16.89,1236500
2025-02-04,16.94,17.02,16.61,16.72,1941900
2025-02-03,16.52,17.05,16.45,16.91,1812600
2025-01-31,16.7,16.93,16.65,16.71,1787800
2025-01-30,16.74,16.87,16.5,16.76,1790500
2025-01-29,17.04,17.13,16.34,16.58,2357200
2025-01-28,17.36,17.49,16.94,17.0,1580100
2025-01-27,17.01,17.49,16.89,17.44,1676200
2025-01-24,16.75,16.93,16.67,16.92,975600
2025-01-23,16.63,16.81,16.51,16.75,1054700
2025-01-22,16.99,17.0,16.58,16.6,1204400
2025-01-21,17.0,17.26,17.0,17.05,1457700
2025-01-17,17.27,17.27,16.82,16.94,1729900
2025-01-16,17.02,17.18,16.97,17.18,1058700
2025-01-15,17.17,17.21,16.96,17.0,1292700
2025-01-14,16.58,16.88,16.53,16.8,1903000
2025-01-13,16.42,16.63,16.35,16.61,2583400
2025-01-10,16.87,17.01,16.45,16.59,2069700
2025-01-08,16.72,17.27,16.64,17.18,2442900
2025-01-07,16.75,17.03,16.7,16.8,1873300
2025-01-06,17.14,17.16,16.59,16.63,1992600
2025-01-03,17.06,17.34,17.02,17.26,1208900
2025-01-02,17.29,17.33,16.92,17.05,1308900
2024-12-31,17.19,17.36,17.12,17.32,2086900
2024-12-30,16.98,17.08,16.77,17.04,1272700
2024-12-27,16.98,17.09,16.86,17.02,2318900
2024-12-26,17.01,17.18,16.93,17.1,717300
2024-12-24,16.89,17.1,16.81,17.08,499600
2024-12-23,16.93,17.02,16.65,16.91,1288300
2024-12-20,16.67,17.1,16.53,16.96,5428300
2024-12-19,16.98,17.17,16.72,16.73,2173800
2024-12-18,17.74,17.93,16.89,16.9,3036300
2024-12-17,17.37,17.65,17.29,17.65,2887100
2024-12-16,17.51,17.6,17.34,17.37,2312600
2024-12-13,17.33,17.59,17.27,17.5,2506500
2024-12-12,17.73,17.81,17.36,17.37,1829800
2024-12-11,17.92,17.99,17.5,17.68,2857000
2024-12-10,17.86,18.09,17.77,17.94,1758300
2024-12-09,18.05,18.09,17.77,17.79,2198100
2024-12-06,18.36,18.36,17.82,18.04,2193800
