datetime,open,high,low,close,volume
2025-04-01,23.025,23.2499,23.01,23.15,32238
2025-03-31,23.01,23.24,22.78,23.0,254493
2025-03-28,23.2,23.3999,23.01,23.01,54447
2025-03-27,23.19,23.4036,22.92,23.03,47245
2025-03-26,23.4,23.4,23.05,23.19,28166
2025-03-25,23.35,23.5099,23.25,23.45,65819
2025-03-24,23.31,23.4999,23.23,23.24,27000
2025-03-21,23.37,23.4,23.11,23.23,54390
2025-03-20,23.35,23.5,23.29,23.35,39564
2025-03-19,23.81,23.85,23.04,23.35,303133
2025-03-18,24.22,24.22,23.5771,23.67,60822
2025-03-17,23.51,24.47,23.35,24.23,74108
2025-03-14,23.17,23.58,23.16,23.31,46071
2025-03-13,23.78,23.85,23.54,23.64,74391
2025-03-12,23.81,23.81,23.45,23.8,50854
2025-03-11,23.97,23.97,23.74,23.85,19618
2025-03-10,23.985,24.2897,23.63,23.84,23102
2025-03-07,24.03,24.1,23.8,23.89,21643
2025-03-06,24.26,24.47,23.8,23.94,46737
2025-03-05,24.35,24.4907,24.2,24.41,14808
2025-03-04,24.2,24.8,24.06,24.22,36195
2025-03-03,23.86,24.11,23.8101,24.1,52105
2025-02-28,23.66,24.1,23.66,23.76,74058
2025-02-27,23.68,23.755,23.53,23.58,61576
2025-02-26,23.62,23.77,23.5274,23.68,38006
2025-02-25,23.71,23.755,23.44,23.63,42388
2025-02-24,23.62,23.71,23.445,23.62,26494
2025-02-21,23.7,23.74,23.53,23.53,33481
2025-02-20,23.47,23.8199,23.47,23.63,66221
2025-02-19,23.54,23.6,23.25,23.58,37796
2025-02-18,23.61,23.7141,23.36,23.5101,28566
2025-02-14,23.62,23.75,23.5226,23.6,36998
2025-02-13,23.62,23.7,23.5,23.56,25683
2025-02-12,23.4,23.6793,23.4,23.56,21613
2025-02-11,23.41,23.58,23.38,23.44,14401
2025-02-10,23.46,23.5,23.3,23.37,29474
2025-02-07,23.375,23.4825,23.26,23.36,42299
2025-02-06,23.22,23.41,22.9,23.31,112956
2025-02-05,23.03,23.49,23.0101,23.175,62481
2025-02-04,23.19,23.19,22.9001,23.02,75316
2025-02-03,23.0,23.57,23.0,23.1228,51948
2025-01-31,23.82,24.01,23.1,23.33,132838
2025-01-30,24.25,24.25,23.7901,23.8,27599
2025-01-29,24.45,24.45,23.87,24.08,57053
2025-01-28,24.43,24.4899,24.1273,24.4,26389
2025-01-27,24.15,24.3,23.85,24.29,42408
2025-01-24,24.23,24.4,24.0318,24.25,37088
2025-01-23,24.17,24.28,23.92,24.18,51683
2025-01-22,24.4,24.4,23.76,24.14,62068
2025-01-21,24.18,24.4,23.8901,24.38,46915
2025-01-17,24.5,24.55,24.04,24.14,47033
2025-01-16,24.44,24.6,23.9001,24.4,145336
2025-01-15,24.5,24.6,24.02,24.37,470428
2025-01-14,22.96,24.41,22.96,24.15,386216
2025-01-13,24.0,24.28,22.61,22.95,368031
2025-01-10,24.5,25.0,24.07,24.51,234056
2025-01-08,25.85,25.85,24.5,24.6,550152
2025-01-07,26.05,26.1,25.81,25.81,20253
2025-01-06,26.165,26.165,26.0242,26.03,14297
2025-01-03,26.14,26.25,26.09,26.13,50214
2025-01-02,25.99,26.09,25.91,26.09,31398
2024-12-31,25.92,26.07,25.79,25.85,227266
2024-12-30,25.92,26.01,25.845,26.01,27072
2024-12-27,25.87,26.04,25.81,25.96,28747
2024-12-26,26.0397,26.05,25.79,25.8706,31038
2024-12-24,25.84,26.0631,25.78,26.05,23912
2024-12-23,26.12,26.12,25.9,25.94,30846
2024-12-20,26.08,26.225,25.98,26.11,55443
2024-12-19,26.11,26.11,25.87,25.9744,30966
2024-12-18,26.34,26.4,26.01,26.11,26905
2024-12-17,26.28,26.35,26.19,26.35,18059
2024-12-16,26.18,26.43,26.13,26.16,28665
2024-12-13,26.2,26.27,26.04,26.14,41534
2024-12-12,26.67,26.68,26.53,26.68,28578
2024-12-11,26.79,26.8496,26.67,26.67,35869
2024-12-10,26.88,26.88,26.68,26.83,16780
2024-12-09,26.95,26.9607,26.7,26.89,12719
2024-12-06,26.94,26.9425,26.85,26.89,14939
2024-12-05,26.74,26.83,26.67,26.83,16782
2024-12-04,26.65,26.8127,26.65,26.71,19260
2024-12-03,26.86,26.9104,26.66,26.68,9293
2024-12-02,26.95,26.95,26.74,26.84,19540
2024-11-29,26.78,26.9194,26.69,26.83,267983
2024-11-27,26.88,26.88,26.59,26.68,18210
2024-11-26,26.91,26.91,26.69,26.73,24922
2024-11-25,27.02,27.02,26.78,26.81,15583
2024-11-22,26.86,26.92,26.72,26.83,16260
2024-11-21,26.65,26.8,26.64,26.73,18605
2024-11-20,26.67,26.7,26.5,26.57,27245
2024-11-19,26.87,26.87,26.635,26.67,14793
2024-11-18,27.05,27.05,26.81,26.81,13789
2024-11-15,27.02,27.0575,26.77,27.0,11625
2024-11-14,27.05,27.05,26.8857,27.02,16659
2024-11-13,27.19,27.19,26.91,26.91,19228
2024-11-12,27.28,27.28,26.96,26.97,19944
2024-11-11,27.5,27.5,27.16,27.17,19010
2024-11-08,27.43,27.55,27.42,27.47,22354
2024-11-07,27.16,27.44,27.0508,27.44,29892
2024-11-06,27.03,27.14,26.93,27.06,25342
2024-11-05,26.9,27.21,26.875,27.1,24334
2024-11-04,26.84,26.85,26.72,26.82,13327
2024-11-01,26.75,26.8331,26.62,26.74,56358
2024-10-31,27.09,27.09,26.6,26.69,68969
2024-10-30,27.08,27.2,26.8944,27.06,14410
2024-10-29,26.86,27.03,26.7504,27.02,31528
2024-10-28,27.0,27.03,26.75,26.85,18698
2024-10-25,26.94,27.05,26.8,26.86,24201
2024-10-24,26.93,26.95,26.73,26.94,12871
2024-10-23,26.92,26.99,26.64,26.88,14899
2024-10-22,26.9,27.0366,26.69,26.93,14923
2024-10-21,26.95,26.95,26.68,26.78,41247
2024-10-18,26.98,27.0724,26.88,26.88,22256
2024-10-17,27.13,27.15,26.9506,26.97,10557
2024-10-16,27.14,27.18,27.0592,27.13,12367
2024-10-15,27.06,27.14,27.0,27.05,10991
2024-10-14,27.19,27.19,26.91,27.0,34692
2024-10-11,26.92,27.19,26.92,27.19,19225
2024-10-10,27.19,27.19,26.81,26.87,39197
2024-10-09,27.07,27.26,27.07,27.2,35439
2024-10-08,26.98,27.15,26.89,27.0624,22750
2024-10-07,27.05,27.05,26.8,26.95,17988
2024-10-04,27.17,27.17,26.95,26.99,14000
2024-10-03,27.14,27.22,27.02,27.12,12860
2024-10-02,26.99,27.05,26.85,27.04,22001
2024-10-01,26.93,26.98,26.8352,26.95,19761
2024-09-30,27.13,27.15,26.74,26.77,85332
2024-09-27,27.09,27.22,26.89,26.9,25341
2024-09-26,27.11,27.12,26.91,26.99,15698
2024-09-25,27.0,27.0183,26.84,27.0,17023
2024-09-24,26.97,27.04,26.78,26.93,29694
2024-09-23,26.88,26.96,26.844,26.88,13651
2024-09-20,26.91,27.06,26.8458,26.9,19217
2024-09-19,26.88,27.09,26.76,26.86,35249
2024-09-18,26.86,26.8799,26.72,26.72,28231
2024-09-17,26.88,26.9,26.77,26.77,37944
2024-09-16,26.84,26.85,26.7,26.75,39027
2024-09-13,26.84,26.9,26.71,26.76,42405
2024-09-12,27.18,27.42,27.17,27.2,30938
2024-09-11,27.18,27.2999,27.05,27.05,32565
2024-09-10,27.06,27.2,27.0,27.11,23018
2024-09-09,26.81,27.02,26.81,27.02,18331
2024-09-06,26.82,26.86,26.62,26.71,33126
2024-09-05,27.0,27.0,26.63,26.83,17347
2024-09-04,26.52,26.74,26.52,26.69,56257
2024-09-03,26.44,26.45,26.4,26.44,15271
2024-08-30,26.57,26.57,26.35,26.39,47615
2024-08-29,26.54,26.54,26.4,26.49,24149
2024-08-28,26.5,26.57,26.44,26.5,38528
2024-08-27,26.48,26.6045,26.44,26.44,39402
2024-08-26,26.58,26.6,26.35,26.4634,49455
2024-08-23,26.49,26.56,26.34,26.49,67397
2024-08-22,26.52,26.59,26.34,26.44,46116
2024-08-21,26.53,26.5899,26.44,26.45,25146
2024-08-20,26.7,26.7,26.4514,26.47,28367
2024-08-19,26.62,26.66,26.5446,26.66,13643
2024-08-16,26.62,26.64,26.43,26.55,14660
2024-08-15,26.72,26.7444,26.45,26.51,21043
2024-08-14,26.57,26.79,26.55,26.64,32055
2024-08-13,26.6,26.67,26.55,26.56,16862
2024-08-12,26.58,26.69,26.51,26.5108,13695
2024-08-09,26.65,26.65,26.4231,26.48,12903
2024-08-08,26.56,26.59,26.2501,26.59,18269
2024-08-07,26.25,26.45,26.2,26.41,30727
2024-08-06,26.01,26.16,25.89,26.03,34153
2024-08-05,25.87,26.08,25.78,25.94,25827
2024-08-02,26.3,26.3435,26.248,26.29,20638
2024-08-01,26.27,26.37,26.25,26.36,38486
2024-07-31,26.62,26.65,26.1,26.17,125332
2024-07-30,26.62,26.62,26.44,26.451,7214
2024-07-29,26.68,26.68,26.4,26.455,20136
2024-07-26,26.66,26.66,26.53,26.55,10254
2024-07-25,26.53,26.53,26.36,26.42,21921
2024-07-24,26.5,26.5,26.21,26.24,25562
