datetime,open,high,low,close,volume
2025-04-01,22.3,22.53,22.15,22.43,27474
2025-03-31,22.95,22.95,22.09,22.24,101422
2025-03-28,22.67,22.9,22.56,22.6,27578
2025-03-27,23.0999,23.0999,22.52,22.76,49509
2025-03-26,23.34,23.34,22.71,22.75,8035
2025-03-25,22.9,23.015,22.88,22.94,7696
2025-03-24,22.89,23.03,22.89,22.97,3967
2025-03-21,23.09,23.09,22.7601,22.95,12023
2025-03-20,22.84,23.08,22.84,23.08,7007
2025-03-19,23.02,23.08,22.9,22.98,15041
2025-03-18,23.13,23.2729,22.98,23.09,10751
2025-03-17,23.01,23.2499,23.01,23.13,28478
2025-03-14,22.98,23.2,22.57,23.01,193098
2025-03-13,23.9,24.24,23.225,23.45,138007
2025-03-12,23.83,23.94,23.73,23.92,18717
2025-03-11,23.79,23.83,23.61,23.83,16917
2025-03-10,23.78,23.88,23.64,23.8,7823
2025-03-07,23.6,23.88,23.6,23.88,15128
2025-03-06,23.62,23.8066,23.62,23.68,8988
2025-03-05,23.857,23.8899,23.7217,23.79,6421
2025-03-04,23.9,23.99,23.7645,23.87,9796
2025-03-03,23.855,23.91,23.8,23.87,11963
2025-02-28,23.77,23.98,23.5901,23.8,35849
2025-02-27,23.84,23.84,23.6,23.8,20032
2025-02-26,23.83,23.88,23.725,23.88,17470
2025-02-25,23.8,23.94,23.72,23.88,25495
2025-02-24,23.6,23.82,23.58,23.79,14866
2025-02-21,23.67,23.7,23.5,23.65,569621
2025-02-20,23.14,23.6,23.14,23.54,85632
2025-02-19,22.82,23.25,22.82,23.25,20564
2025-02-18,22.905,23.0395,22.76,22.97,78178
2025-02-14,22.79,23.0272,22.79,22.96,19840
2025-02-13,23.03,23.05,22.8301,22.9,33658
2025-02-12,22.64,22.9881,22.6,22.93,26766
2025-02-11,22.68,22.93,22.68,22.81,22780
2025-02-10,22.75,22.8868,22.68,22.68,24738
2025-02-07,22.79,22.93,22.61,22.73,26349
2025-02-06,22.7,23.0577,22.6101,22.9,49841
