datetime,open,high,low,close,volume
2025-04-01,1.43,1.48,1.3,1.34,280300
2025-03-31,1.55,1.55,1.32,1.44,232600
2025-03-28,1.66,1.663,1.17,1.55,1058000
2025-03-27,1.7,1.709,1.61,1.65,358800
2025-03-26,1.81,1.88,1.65,1.71,689100
2025-03-25,1.985,2.0,1.76,1.77,863200
2025-03-24,1.93,2.06,1.85,1.91,1038500
2025-03-21,1.75,2.16,1.62,2.01,2602700
2025-03-20,1.76,1.9,1.53,1.69,1865100
2025-03-19,1.865,2.069,1.69,1.9,18347400
2025-03-18,3.03,3.17,1.53,1.59,62793500
2025-03-17,1.68,2.6,1.51,2.48,26794100
2025-03-14,1.3,1.58,1.2,1.49,580600
2025-03-13,1.27,1.35,1.0,1.24,4022500
2025-03-12,1.22,1.338,1.13,1.26,242200
2025-03-11,1.29,1.39,1.205,1.26,210800
2025-03-10,1.5,1.54,1.35,1.41,399300
2025-03-07,2.09,2.15,1.51,1.58,1592900
2025-03-06,3.25,3.61,2.26,2.41,49208800
2025-03-05,2.29,2.42,2.2,2.2,4900
2025-03-04,2.45,2.45,2.009,2.12,7300
2025-03-03,2.78,2.78,2.43,2.48,3300
2025-02-28,2.78,2.78,2.25,2.65,3800
2025-02-27,2.64,2.64,2.64,2.64,0
2025-02-26,2.68,2.77,2.462,2.64,4000
2025-02-25,2.5,2.635,2.5,2.575,5000
2025-02-24,2.908,2.93,2.65,2.65,4900
2025-02-21,2.66,2.796,2.66,2.796,1400
2025-02-20,2.94,2.99,2.605,2.73,18000
2025-02-19,3.27,3.27,2.81,2.85,25300
2025-02-18,3.1,3.145,3.03,3.03,3300
2025-02-14,3.267,3.267,3.097,3.148,3300
2025-02-13,3.17,3.17,3.17,3.17,900
2025-02-12,3.2,3.2,3.01,3.01,4000
2025-02-11,3.152,3.7,3.1,3.25,51500
2025-02-10,3.34,3.44,3.13,3.27,7100
2025-02-07,3.07,3.65,3.07,3.45,6100
2025-02-06,3.57,3.61,3.2,3.3,18100
2025-02-05,3.595,3.595,3.595,3.595,1700
2025-02-04,3.8,3.8,3.545,3.55,5200
2025-02-03,3.81,3.9,3.8,3.9,7300
2025-01-31,3.84,3.87,3.6,3.87,9500
2025-01-30,3.7,4.01,3.48,3.9,8900
2025-01-29,3.757,4.1,3.5,3.87,19700
2025-01-28,4.13,4.13,3.683,3.72,3100
2025-01-27,4.31,4.4,4.0,4.0,9300
2025-01-24,4.1,4.36,4.1,4.36,2800
2025-01-23,4.104,4.46,4.034,4.195,43400
2025-01-22,4.37,4.37,4.24,4.37,1300
2025-01-21,4.28,4.5,4.1,4.5,8900
2025-01-17,4.75,5.159,4.5,4.625,4200
2025-01-16,4.2,4.963,4.2,4.57,20800
2025-01-15,3.9,4.298,3.9,4.21,6800
2025-01-14,4.25,4.48,3.94,4.14,20000
2025-01-13,4.82,4.82,4.15,4.65,9600
2025-01-10,5.0,5.044,4.412,4.75,9000
2025-01-08,5.24,5.267,5.01,5.07,5000
2025-01-07,5.77,5.98,5.34,5.4,9000
2025-01-06,6.4,6.407,5.599,5.81,11300
2025-01-03,5.849,6.18,5.849,6.05,6300
2025-01-02,6.262,6.39,6.0,6.003,3800
2024-12-31,6.41,6.447,6.0,6.05,4200
2024-12-30,6.3,6.56,6.06,6.2,16700
2024-12-27,6.7,6.87,6.061,6.2,7200
2024-12-26,7.688,7.688,6.45,6.65,10700
2024-12-24,7.4,7.487,7.4,7.487,1800
2024-12-23,7.708,8.0,7.57,7.57,4200
2024-12-20,7.55,8.15,7.55,7.58,34600
2024-12-19,7.99,8.19,7.461,8.13,5000
2024-12-18,7.273,8.19,7.273,7.8,20200
2024-12-17,7.69,8.0,7.625,8.0,6000
2024-12-16,7.43,8.0,7.23,7.78,25100
2024-12-13,7.63,8.13,7.39,7.47,9300
2024-12-12,8.05,8.05,7.82,7.82,3500
