datetime,open,high,low,close,volume
2025-04-01,25.25,25.4,25.16,25.216,19455
2025-03-31,25.8,25.8,25.06,25.06,40225
2025-03-28,26.12,26.22,25.99,26.04,5936
2025-03-27,25.88,26.0,25.8,26.0,6937
2025-03-26,25.81,25.9,25.8,25.88,6786
2025-03-25,25.6001,26.0697,25.6001,26.06,4749
2025-03-24,25.7,25.87,25.5,25.65,15121
2025-03-21,25.96,25.96,25.51,25.57,8226
2025-03-20,25.99,25.99,25.89,25.9,1249
2025-03-19,25.8,25.91,25.8,25.91,736
2025-03-18,25.91,25.93,25.84,25.9053,1728
2025-03-17,25.97,26.12,25.87,26.12,4622
2025-03-14,26.1199,26.1199,25.75,25.75,4271
2025-03-13,25.86,25.9912,25.85,25.989,4328
2025-03-12,26.1,26.1095,25.8755,26.06,17207
2025-03-11,25.93,26.1,25.93,26.0898,2562
2025-03-10,25.9192,26.01,25.9081,25.93,2031
2025-03-07,26.0537,26.0537,25.87,25.97,1959
2025-03-06,25.936,25.95,25.68,25.94,3654
2025-03-05,25.85,26.06,25.8,25.95,7082
2025-03-04,25.85,25.95,25.68,25.85,6532
2025-03-03,25.8,25.9738,25.8,25.945,2128
2025-02-28,25.8217,25.93,25.81,25.91,7643
2025-02-27,25.72,25.825,25.65,25.81,6592
2025-02-26,25.695,25.72,25.65,25.72,4832
2025-02-25,25.59,25.72,25.59,25.72,2386
2025-02-24,25.56,25.645,25.54,25.59,6164
2025-02-21,25.5,25.66,25.5,25.56,17010
2025-02-20,25.4422,25.48,25.4,25.47,11630
2025-02-19,25.31,25.41,25.31,25.41,10050
2025-02-18,25.31,25.42,25.3,25.31,9677
2025-02-14,25.38,25.5,25.25,25.5,15348
2025-02-13,25.45,25.533,25.25,25.41,9613
2025-02-12,25.25,25.5,25.23,25.3995,24212
2025-02-11,25.34,25.55,25.3,25.39,6308
2025-02-10,25.44,25.44,25.26,25.34,8768
2025-02-07,25.4,25.5291,25.3,25.38,6533
2025-02-06,25.5,25.55,25.4,25.49,10152
2025-02-05,25.42,25.63,25.42,25.55,10210
2025-02-04,25.3,25.4295,25.3,25.37,11525
2025-02-03,25.2,25.3199,25.2,25.3,30623
2025-01-31,25.57,25.75,25.12,25.15,107979
2025-01-30,25.7362,25.7362,25.5599,25.64,3255
2025-01-29,25.64,25.7475,25.5,25.53,5064
2025-01-28,25.5277,25.65,25.5277,25.62,2237
2025-01-27,25.67,25.67,25.5,25.6068,3474
2025-01-24,25.52,25.6544,25.52,25.64,2487
2025-01-23,25.5,25.58,25.5,25.57,5908
2025-01-22,25.51,25.68,25.5,25.57,5417
2025-01-21,25.6887,25.86,25.58,25.6,14988
2025-01-17,25.68,25.8,25.5,25.5,22471
2025-01-16,26.05,26.1,25.58,25.6,27155
2025-01-15,26.0142,26.05,25.56,25.9601,4841
2025-01-14,25.68,25.95,25.52,25.95,8396
2025-01-13,25.53,25.84,25.53,25.6884,5696
2025-01-10,25.71,25.9308,25.58,25.6473,24487
2025-01-08,25.66,26.0406,25.66,25.75,11721
2025-01-07,26.0,26.09,25.8,25.8,14500
2025-01-06,26.05,26.05,25.81,25.81,7185
2025-01-03,26.0,26.0499,25.8,26.0,3159
2025-01-02,26.0674,26.2,25.6368,26.0,9925
2024-12-31,25.17,26.35,25.17,26.33,17418
2024-12-30,25.58,25.7925,25.55,25.62,7464
2024-12-27,25.96,25.97,25.5,25.55,21253
2024-12-26,26.01,26.01,25.95,25.9611,2389
2024-12-24,26.04,26.04,25.93,25.96,1617
2024-12-23,25.8996,26.23,25.8996,25.92,4708
2024-12-20,25.8,25.8561,25.78,25.8561,5001
2024-12-19,26.0,26.0301,25.61,25.8501,2612
2024-12-18,26.1,26.25,26.05,26.05,2893
2024-12-17,26.1454,26.2653,26.11,26.19,2297
2024-12-16,26.15,26.2753,26.1,26.14,3674
2024-12-13,26.16,26.16,26.16,26.16,1308
2024-12-12,26.1,26.2,26.1,26.14,2794
2024-12-11,26.1,26.215,26.1,26.15,3758
2024-12-10,26.1,26.12,26.1,26.12,362
2024-12-09,26.05,26.1,26.05,26.1,1634
2024-12-06,26.2799,26.2799,25.98,26.05,2447
