datetime,open,high,low,close,volume
2025-04-01,25.2907,25.3,25.1,25.11,5527
2025-03-31,25.236,25.31,25.1,25.1,31867
2025-03-28,25.7999,25.7999,25.72,25.7202,1089
2025-03-27,25.78,25.792,25.78,25.7818,770
2025-03-26,25.7758,25.78,25.7758,25.78,449
2025-03-25,25.66,25.7418,25.66,25.7418,2658
2025-03-24,25.64,25.68,25.64,25.6557,3618
2025-03-21,25.66,25.69,25.62,25.62,1369
2025-03-20,25.72,25.72,25.6288,25.65,2079
2025-03-19,25.654,25.7063,25.654,25.6756,774
2025-03-18,25.6,25.6,25.555,25.6,2337
2025-03-17,25.6684,25.6684,25.6,25.6,4873
2025-03-14,25.8,25.8,25.5,25.5,5409
2025-03-13,25.7999,25.7999,25.7999,25.7999,769
2025-03-12,25.59,25.59,25.535,25.5801,3548
2025-03-11,25.565,25.575,25.565,25.5691,891
2025-03-10,25.5772,25.5799,25.53,25.53,3917
2025-03-07,25.495,25.5396,25.49,25.52,2763
2025-03-06,25.44,25.57,25.44,25.5081,1089
2025-03-05,25.38,25.5,25.38,25.5,2321
2025-03-04,25.44,25.46,25.36,25.39,3326
2025-03-03,25.47,25.4862,25.43,25.43,6123
2025-02-28,25.39,25.5,25.39,25.46,3887
2025-02-27,25.38,25.38,25.38,25.38,157
2025-02-26,25.37,25.48,25.37,25.38,1736
2025-02-25,25.41,25.42,25.36,25.37,3882
2025-02-24,25.5101,25.55,25.39,25.41,19782
2025-02-21,25.55,25.5881,25.5167,25.5167,7798
2025-02-20,25.57,25.575,25.5,25.55,5905
2025-02-19,25.47,25.57,25.4397,25.57,8445
2025-02-18,25.44,25.52,25.38,25.5,7125
2025-02-14,25.58,25.58,25.5,25.56,3840
2025-02-13,25.51,25.5506,25.47,25.47,3920
2025-02-12,25.5,25.8,25.5,25.54,6150
2025-02-11,25.5,25.75,25.43,25.5,15228
2025-02-10,25.59,25.6457,25.45,25.6457,13382
2025-02-07,25.608,25.608,25.53,25.59,1246
2025-02-06,25.55,25.5792,25.5317,25.5345,8380
2025-02-05,25.5348,25.61,25.5254,25.55,11374
2025-02-04,25.53,25.53,25.5292,25.5292,543
2025-02-03,25.5,25.5,25.45,25.4508,2277
2025-01-31,25.5075,25.51,25.5,25.5,3801
2025-01-30,25.4984,25.5279,25.4984,25.5279,4448
2025-01-29,25.52,25.52,25.49,25.5,2262
2025-01-28,25.47,25.47,25.46,25.46,1203
2025-01-27,25.4763,25.505,25.4763,25.49,9226
2025-01-24,25.4,25.5108,25.37,25.44,6744
2025-01-23,25.48,25.48,25.4283,25.4283,1180
2025-01-22,25.5001,25.55,25.3596,25.3596,8558
2025-01-21,25.37,25.5,25.35,25.5,6604
2025-01-17,25.45,25.45,25.35,25.35,3080
2025-01-16,25.3,25.44,25.27,25.35,8167
2025-01-15,25.34,25.5,25.25,25.25,7175
2025-01-14,25.35,25.35,25.22,25.22,2533
2025-01-13,25.14,25.3499,25.1,25.3499,21243
2025-01-10,25.3,25.39,25.1,25.2,13922
2025-01-08,25.4,25.4,25.35,25.35,1142
2025-01-07,25.46,25.5,25.35,25.35,5963
2025-01-06,25.28,25.43,25.27,25.42,6238
2025-01-03,25.33,25.4699,25.29,25.44,4924
2025-01-02,25.347,25.44,25.21,25.44,21095
2024-12-31,25.44,25.72,25.0,25.11,72948
2024-12-30,25.75,26.0,25.75,26.0,3872
2024-12-27,25.8,25.8414,25.75,25.75,6458
2024-12-26,25.55,25.8448,25.55,25.8448,2711
2024-12-24,25.6902,25.6902,25.6,25.6,2850
2024-12-23,25.61,25.85,25.61,25.72,2933
2024-12-20,25.7753,25.7753,25.67,25.6733,2878
2024-12-19,25.8,25.8,25.6626,25.7,4168
2024-12-18,25.7006,25.9899,25.7,25.91,6050
2024-12-17,25.85,25.85,25.7,25.7,6810
2024-12-16,25.8,25.85,25.8,25.85,871
2024-12-13,25.8,25.8085,25.8,25.8,1697
2024-12-12,25.8,25.84,25.8,25.8,1360
2024-12-11,25.8,25.85,25.8,25.85,1962
2024-12-10,25.85,25.85,25.8234,25.8234,3424
2024-12-09,25.85,25.85,25.825,25.85,1264
2024-12-06,25.79,25.85,25.78,25.8493,3628
2024-12-05,25.8,25.8199,25.6501,25.78,3549
2024-12-04,25.77,25.77,25.64,25.65,2300
2024-12-03,25.73,25.73,25.65,25.6859,2521
2024-12-02,25.8,25.86,25.8,25.86,1720
2024-11-29,25.74,25.82,25.74,25.8,2946
2024-11-27,25.6,25.7335,25.6,25.73,1979
2024-11-26,25.62,25.7,25.6,25.6404,2111
2024-11-25,25.63,25.73,25.63,25.64,610
2024-11-22,25.6,25.6836,25.6,25.626,2927
2024-11-21,25.6078,25.7599,25.6001,25.6001,2706
2024-11-20,25.66,25.66,25.6,25.6,2917
2024-11-19,25.6,25.6,25.59,25.6,5365
2024-11-18,25.59,25.6456,25.59,25.6117,3741
2024-11-15,25.6,25.6,25.5899,25.59,2303
2024-11-14,25.5,25.6279,25.5,25.6,3429
2024-11-13,25.51,25.5588,25.21,25.55,1188
2024-11-12,25.58,25.58,25.51,25.51,2672
2024-11-11,25.6322,25.65,25.55,25.64,2948
2024-11-08,25.55,25.6,25.55,25.59,4686
2024-11-07,25.61,25.6699,25.5604,25.66,2744
2024-11-06,25.55,25.64,25.53,25.6096,5219
2024-11-05,25.6,25.6,25.5,25.5692,2322
2024-11-04,25.6,25.69,25.5,25.6,3271
2024-11-01,25.42,25.54,25.42,25.54,1313
2024-10-31,25.62,25.71,25.4,25.71,12769
2024-10-30,25.61,25.76,25.61,25.76,4417
2024-10-29,25.72,25.72,25.6616,25.6616,798
2024-10-28,25.72,25.7398,25.6452,25.7278,4408
2024-10-25,25.78,25.7801,25.74,25.74,1008
2024-10-24,25.77,25.8,25.77,25.78,614
2024-10-23,25.7,25.7,25.5634,25.63,3998
2024-10-22,25.6,25.77,25.6,25.77,3848
2024-10-21,25.6,25.62,25.4617,25.53,3143
2024-10-18,25.7,25.7,25.46,25.618,4067
2024-10-17,25.6145,25.7,25.5805,25.5805,2414
2024-10-16,25.7,25.7,25.6022,25.65,6065
2024-10-15,25.57,25.7167,25.57,25.6199,4936
2024-10-14,25.6,25.75,25.47,25.57,2605
2024-10-11,25.4345,25.57,25.4152,25.57,1635
2024-10-10,25.44,25.47,25.4105,25.4501,3255
2024-10-09,25.4,25.47,25.4,25.46,10077
2024-10-08,25.35,25.41,25.34,25.4,5053
2024-10-07,25.355,25.36,25.3454,25.3454,1592
2024-10-04,25.47,25.47,25.39,25.39,3321
2024-10-03,25.44,25.47,25.4,25.465,10406
2024-10-02,25.4,25.95,25.3,25.95,7295
2024-10-01,25.3,25.41,25.3,25.4095,7607
2024-09-30,25.355,25.3899,25.26,25.27,16008
2024-09-27,25.8,25.8,25.8,25.8,1261
2024-09-26,25.795,25.81,25.74,25.81,8599
2024-09-25,25.74,25.7562,25.695,25.74,4677
2024-09-24,25.64,25.67,25.49,25.67,9189
2024-09-23,25.82,25.82,25.43,25.65,14507
2024-09-20,25.73,25.75,25.7,25.7261,2432
2024-09-19,25.63,25.7599,25.59,25.75,6409
2024-09-18,25.55,25.6058,25.55,25.6058,3016
2024-09-17,25.55,25.58,25.55,25.55,1534
2024-09-16,25.54,25.58,25.25,25.58,19549
2024-09-13,25.5,25.57,25.5,25.54,10397
2024-09-12,25.53,25.5386,25.5,25.52,4473
2024-09-11,25.46,25.54,25.38,25.54,3249
2024-09-10,25.45,25.5667,25.4,25.52,6989
2024-09-09,25.43,25.48,25.43,25.44,9241
2024-09-06,25.48,25.48,25.3077,25.43,9810
2024-09-05,25.4,25.48,25.35,25.47,6373
2024-09-04,25.25,25.38,25.25,25.35,11611
2024-09-03,25.28,25.34,25.21,25.28,17950
2024-08-30,25.5,25.5,25.1,25.28,68660
2024-08-29,25.5125,25.5125,25.45,25.49,2095
2024-08-28,25.522,25.5393,25.5193,25.5193,508
2024-08-27,25.47,25.47,25.43,25.45,1204
2024-08-26,25.51,25.57,25.51,25.51,4807
2024-08-23,25.4402,25.5,25.4402,25.5,2616
2024-08-22,25.47,25.48,25.4001,25.4392,13511
2024-08-21,25.5,25.5,25.45,25.47,4591
2024-08-20,25.7,25.7,25.44,25.44,4295
2024-08-19,25.53,25.9,25.4301,25.5,13037
2024-08-16,25.42,25.4431,25.42,25.4431,1252
2024-08-15,25.31,25.52,25.31,25.4285,4602
2024-08-14,25.39,25.45,25.39,25.43,2374
2024-08-13,25.26,25.3644,25.26,25.36,5873
2024-08-12,25.43,25.435,25.2801,25.2801,4543
2024-08-09,25.39,25.45,25.39,25.43,1612
2024-08-08,25.33,25.41,25.33,25.41,1469
2024-08-07,25.35,25.4101,25.35,25.3933,3175
2024-08-06,25.22,25.35,25.22,25.35,1788
2024-08-05,25.29,25.39,25.1,25.2199,6618
2024-08-02,25.52,25.52,25.41,25.475,3088
2024-08-01,25.85,25.85,25.6141,25.6141,5910
2024-07-31,25.55,25.8986,25.4,25.85,15840
2024-07-30,25.57,25.64,25.57,25.64,1420
2024-07-29,25.66,25.66,25.5504,25.57,2957
2024-07-26,25.55,25.62,25.55,25.62,886
2024-07-25,25.53,25.68,25.53,25.68,8263
2024-07-24,25.5626,25.59,25.5626,25.59,4467
2024-07-23,25.6807,25.6807,25.63,25.63,590
2024-07-22,25.6381,25.6381,25.57,25.57,3278
2024-07-19,25.6899,25.6899,25.6899,25.6899,481
2024-07-18,25.69,25.69,25.69,25.69,434
2024-07-17,25.75,25.75,25.54,25.5492,6628
2024-07-16,25.7635,25.7635,25.51,25.55,9668
2024-07-15,25.7,25.7999,25.6324,25.78,2958
2024-07-12,25.69,25.8,25.58,25.735,4036
2024-07-11,25.85,25.85,25.6562,25.75,2739
2024-07-10,25.56,25.56,25.51,25.53,1587
2024-07-09,25.8,25.825,25.42,25.56,3846
2024-07-08,25.6,25.846,25.58,25.846,4065
