datetime,open,high,low,close,volume
2025-04-01,88.55,92.0,88.01,89.95,31300
2025-03-31,90.35,91.25,88.11,89.04,72300
2025-03-28,89.02,90.35,88.25,90.35,24700
2025-03-27,87.69,89.23,87.38,89.23,19100
2025-03-26,86.95,88.48,86.95,87.38,23600
2025-03-25,86.5,88.3,86.37,87.38,25100
2025-03-24,87.9,88.91,84.41,86.48,26800
2025-03-21,86.4,88.23,85.66,87.85,109500
2025-03-20,86.96,87.41,85.14,86.74,24900
2025-03-19,85.75,87.47,84.84,87.47,30200
2025-03-18,85.22,85.99,83.51,85.47,38500
2025-03-17,84.65,85.56,83.64,85.51,32800
2025-03-14,85.24,85.24,82.41,84.64,20200
2025-03-13,86.0,86.0,84.4,85.49,20600
2025-03-12,85.46,85.86,83.83,85.81,24000
2025-03-11,87.95,87.95,85.08,85.6,29100
2025-03-10,90.03,90.03,86.29,87.67,40200
2025-03-07,87.2,90.07,87.2,90.03,32700
2025-03-06,87.38,87.48,85.32,86.89,36300
2025-03-05,87.42,87.5,85.72,87.33,22300
2025-03-04,83.25,87.14,82.34,86.64,37900
2025-03-03,81.84,82.99,80.66,82.99,29300
2025-02-28,80.45,81.28,80.0,81.2,17700
2025-02-27,81.49,81.6,80.6,80.7,14400
2025-02-26,82.0,82.0,80.65,81.99,22400
2025-02-25,80.44,82.3,79.65,81.98,39600
2025-02-24,80.49,81.38,80.04,80.22,21800
2025-02-21,80.06,81.0,79.22,80.49,31100
2025-02-20,79.37,80.0,77.08,79.57,16700
2025-02-19,79.5,80.17,77.77,80.17,12300
2025-02-18,81.45,81.45,79.61,80.07,15400
2025-02-14,80.34,81.05,80.01,81.05,21100
2025-02-13,79.1,80.45,78.79,80.28,21600
2025-02-12,78.78,79.44,77.99,79.09,11900
2025-02-11,76.68,79.99,76.68,79.53,12700
2025-02-10,75.48,77.51,75.48,76.8,10400
2025-02-07,71.27,74.0,70.98,74.0,13800
2025-02-06,74.5,75.0,73.15,74.55,7600
2025-02-05,73.18,74.89,73.18,74.47,8600
2025-02-04,72.04,73.87,72.0,73.34,15600
2025-02-03,71.85,73.0,71.85,72.27,8900
2025-01-31,71.68,73.36,71.48,72.91,9400
2025-01-30,72.41,73.2,71.82,72.15,8900
2025-01-29,72.2,72.91,71.8,72.8,7000
2025-01-28,73.05,73.83,72.05,72.68,8800
2025-01-27,73.78,76.31,73.4,73.4,17600
2025-01-24,72.91,74.74,72.27,74.41,14600
2025-01-23,72.06,73.3,71.12,73.3,18400
2025-01-22,73.19,73.61,71.76,72.59,12000
2025-01-21,71.51,73.73,71.51,73.33,14000
2025-01-17,74.05,75.0,72.21,73.4,12900
2025-01-16,72.75,74.46,72.62,74.46,11800
2025-01-15,73.54,73.78,72.59,73.03,9000
2025-01-14,72.45,73.15,71.04,72.86,12900
2025-01-13,70.76,72.85,70.76,72.41,10400
2025-01-10,74.06,74.06,70.58,71.34,35000
2025-01-08,75.37,75.71,74.56,75.55,10100
2025-01-07,76.22,76.25,75.66,75.69,13100
2025-01-06,78.01,78.01,76.0,76.13,15400
2025-01-03,77.94,78.66,76.72,78.51,11000
2025-01-02,78.91,78.94,77.48,78.43,12300
2024-12-31,79.4,81.39,78.57,79.26,14200
2024-12-30,77.78,79.38,77.78,79.38,10200
2024-12-27,78.65,78.65,77.48,78.37,11000
2024-12-26,77.7,79.15,76.99,79.0,12500
2024-12-24,77.73,78.17,77.73,77.92,3700
2024-12-23,76.92,77.71,76.24,77.4,18400
2024-12-20,77.14,79.93,75.0,76.47,92900
2024-12-19,76.28,78.19,76.02,78.16,15200
2024-12-18,77.3,78.79,76.19,76.22,22000
2024-12-17,78.77,78.77,76.44,78.12,17900
2024-12-16,79.85,80.17,77.58,78.7,20100
2024-12-13,75.88,80.65,75.88,80.57,35500
2024-12-12,74.3,74.64,74.07,74.56,18400
2024-12-11,73.25,74.89,73.25,74.51,20400
2024-12-10,73.02,74.19,73.02,73.65,15200
2024-12-09,73.2,73.85,72.73,73.64,11100
2024-12-06,72.51,72.95,71.69,72.9,16200
2024-12-05,73.1,73.57,72.14,72.76,20000
2024-12-04,72.07,73.46,71.68,73.46,15000
2024-12-03,73.5,73.5,71.68,72.69,12700
2024-12-02,72.18,73.37,72.18,73.37,12000
2024-11-29,70.7,72.26,70.7,72.1,9000
2024-11-27,72.13,73.39,70.2,71.0,17000
2024-11-26,71.46,72.35,71.21,71.76,14200
2024-11-25,73.98,73.98,71.73,71.88,20300
2024-11-22,73.24,74.0,72.66,72.98,17000
2024-11-21,70.56,72.88,70.52,71.97,25400
2024-11-20,69.38,70.18,68.8,69.96,15800
2024-11-19,70.0,70.1,68.28,69.93,11600
2024-11-18,69.31,72.04,69.31,70.02,32800
2024-11-15,67.27,69.26,66.58,68.93,25900
2024-11-14,65.29,66.97,64.9,66.56,27800
2024-11-13,65.54,66.52,64.85,65.44,22900
2024-11-12,66.51,66.94,65.7,65.97,24700
2024-11-11,64.95,67.01,64.5,66.03,17000
2024-11-08,64.3,65.0,63.74,64.42,17300
2024-11-07,65.39,68.95,63.4,63.82,42100
2024-11-06,65.35,68.67,65.22,67.94,36000
2024-11-05,61.96,64.27,61.96,64.21,16600
2024-11-04,62.23,63.38,62.23,62.27,11300
2024-11-01,62.17,63.15,62.17,62.54,13900
2024-10-31,61.9,62.44,61.75,61.83,18500
2024-10-30,62.7,63.12,61.8,61.97,13200
2024-10-29,62.84,62.84,62.31,62.63,10600
2024-10-28,62.48,63.65,62.09,63.2,19500
2024-10-25,62.39,62.8,61.46,61.61,10700
2024-10-24,61.47,62.58,61.4,62.36,17000
2024-10-23,61.43,61.95,60.92,61.95,8600
2024-10-22,62.21,62.21,61.27,61.66,15300
2024-10-21,63.68,63.68,61.82,61.91,18700
2024-10-18,64.69,64.69,63.37,63.58,13700
2024-10-17,63.68,64.78,63.58,64.78,14100
2024-10-16,63.35,64.75,63.35,64.17,11800
2024-10-15,64.24,64.85,63.75,63.75,15500
2024-10-14,63.43,64.28,63.43,63.89,18900
2024-10-11,63.2,63.64,62.99,63.54,14000
2024-10-10,62.21,63.27,62.21,62.86,20200
2024-10-09,62.29,62.79,62.16,62.42,15200
2024-10-08,62.34,62.78,62.0,62.3,17400
2024-10-07,61.25,62.07,61.14,61.98,20200
2024-10-04,62.44,63.31,62.0,62.02,19600
2024-10-03,62.37,63.54,61.13,62.68,40600
2024-10-02,62.0,62.63,61.75,62.02,17300
2024-10-01,61.79,62.65,61.62,61.99,23700
2024-09-30,62.59,63.43,61.9,62.33,14700
2024-09-27,63.49,64.08,61.75,62.99,13100
2024-09-26,62.94,63.43,62.5,62.99,15500
2024-09-25,61.0,62.63,60.75,62.45,42900
2024-09-24,61.93,61.95,61.03,61.3,16400
2024-09-23,60.81,61.72,60.66,61.6,31800
2024-09-20,63.11,63.11,60.24,60.79,179300
2024-09-19,64.37,64.37,63.07,63.58,14700
2024-09-18,63.37,65.5,62.65,63.58,38500
2024-09-17,61.69,63.74,61.38,62.7,30900
2024-09-16,61.06,62.0,61.0,61.64,23700
2024-09-13,60.85,61.69,60.63,61.38,14900
2024-09-12,60.0,60.64,59.96,60.2,10300
2024-09-11,59.51,60.05,59.21,59.91,22500
2024-09-10,59.92,60.34,59.8,60.09,23500
2024-09-09,60.0,60.8,59.73,60.06,21300
2024-09-06,59.83,60.18,59.56,59.98,29600
2024-09-05,60.88,60.88,60.13,60.13,8000
2024-09-04,59.93,60.71,59.83,60.47,21200
2024-09-03,60.07,60.61,59.65,59.7,22200
2024-08-30,59.9,60.39,59.89,60.27,11400
2024-08-29,59.99,60.36,59.76,59.87,14900
2024-08-28,59.31,60.44,59.31,60.2,14400
2024-08-27,60.4,60.41,59.7,59.76,12600
2024-08-26,61.3,61.58,60.55,60.74,27200
2024-08-23,60.25,61.0,60.25,60.5,14900
2024-08-22,60.55,61.22,59.97,60.06,19800
2024-08-21,60.68,61.6,60.68,61.12,12400
2024-08-20,60.71,60.9,60.09,60.35,31500
2024-08-19,61.59,62.4,60.47,60.78,28200
2024-08-16,61.5,62.99,61.49,61.93,46400
2024-08-15,61.95,62.71,61.18,61.47,21800
2024-08-14,61.33,61.49,60.49,61.26,23300
2024-08-13,60.25,61.19,59.9,60.79,17100
2024-08-12,60.76,62.0,59.16,59.51,23200
2024-08-09,58.02,60.39,57.26,60.39,49200
2024-08-08,57.89,59.1,57.89,58.47,22900
2024-08-07,58.62,59.0,57.78,58.12,40300
2024-08-06,57.28,58.1,57.1,58.05,22900
2024-08-05,58.11,58.11,56.36,57.56,37200
2024-08-02,59.49,60.04,59.06,59.5,23300
2024-08-01,60.79,61.29,59.3,59.9,24700
2024-07-31,60.25,61.97,60.0,60.34,24900
2024-07-30,59.71,60.5,59.52,60.06,23700
2024-07-29,61.6,62.0,59.76,60.0,39700
2024-07-26,61.73,62.0,60.9,61.74,11700
2024-07-25,60.63,62.0,60.63,61.06,16000
2024-07-24,61.32,62.22,60.17,60.2,22100
2024-07-23,60.65,61.88,60.65,61.32,15500
2024-07-22,60.23,61.52,59.84,61.0,21400
2024-07-19,61.7,61.75,60.56,60.68,17600
2024-07-18,63.36,63.36,61.42,61.71,14600
2024-07-17,61.94,63.77,61.94,63.59,34700
2024-07-16,60.04,62.41,59.79,62.09,33200
2024-07-15,59.74,60.33,59.2,59.48,25300
2024-07-12,60.91,61.2,59.1,59.35,21700
2024-07-11,59.61,61.25,58.9,60.35,55700
2024-07-10,59.6,60.1,58.54,58.95,45100
2024-07-09,60.26,60.81,59.36,59.6,26700
2024-07-08,60.0,61.0,59.82,60.39,30900
2024-07-05,59.49,60.53,59.0,59.83,51800
2024-07-03,59.48,59.91,59.43,59.87,13000
2024-07-02,58.85,60.5,58.85,59.75,30500
2024-07-01,57.74,59.38,57.74,59.1,57700
2024-06-28,57.91,57.97,57.1,57.4,63700
2024-06-27,57.87,58.26,56.99,57.48,34600
2024-06-26,56.94,58.07,56.8,57.48,28700
2024-06-25,57.15,58.04,56.98,56.98,28800
2024-06-24,57.09,58.67,57.0,57.11,32000
2024-06-21,58.21,58.21,56.84,56.84,93900
2024-06-20,58.42,60.22,58.07,58.07,27600
2024-06-18,58.0,59.26,58.0,58.27,18900
2024-06-17,56.53,57.89,55.97,57.4,51200
2024-06-14,57.31,57.85,51.79,57.09,70700
2024-06-13,56.91,57.75,55.88,57.31,21500
2024-06-12,59.5,59.5,56.99,57.35,29900
2024-06-11,57.87,59.55,57.51,59.55,17200
2024-06-10,58.58,58.78,57.73,58.37,18100
2024-06-07,59.06,59.72,58.68,58.9,17400
2024-06-06,58.74,59.84,58.5,59.76,21900
2024-06-05,60.4,60.4,58.96,59.28,39100
2024-06-04,60.31,60.59,59.5,60.07,24300
2024-06-03,59.2,60.63,59.0,60.27,40500
2024-05-31,59.58,60.0,59.05,59.12,105800
2024-05-30,59.94,60.0,59.44,59.88,21800
2024-05-29,59.6,60.37,58.61,59.04,25800
2024-05-28,60.76,60.89,59.47,60.4,35600
2024-05-24,58.68,60.37,58.68,60.32,20400
2024-05-23,60.5,60.87,58.58,58.89,23200
2024-05-22,60.51,62.05,59.79,60.46,52600
2024-05-21,60.04,61.13,60.04,60.86,37300
2024-05-20,62.26,62.8,60.76,60.83,38700
2024-05-17,63.25,63.37,62.03,62.29,17000
2024-05-16,60.0,63.01,60.0,63.01,24800
2024-05-15,60.24,60.52,59.57,60.18,47800
2024-05-14,59.85,59.85,58.81,59.31,19800
2024-05-13,60.2,60.58,59.43,59.56,15300
2024-05-10,60.43,60.7,59.44,59.83,23400
2024-05-09,59.99,60.91,59.99,60.9,13100
2024-05-08,59.5,59.99,59.22,59.87,15000
2024-05-07,57.76,59.71,57.76,59.63,28400
2024-05-06,58.25,59.71,56.89,57.34,30600
2024-05-03,60.47,60.57,57.86,57.86,27100
2024-05-02,58.93,60.32,58.93,60.0,21200
2024-05-01,57.75,58.78,57.75,58.52,20000
2024-04-30,57.85,58.37,57.52,58.09,19900
2024-04-29,57.8,58.35,57.8,58.21,26200
2024-04-26,58.67,58.82,57.63,57.89,16900
2024-04-25,57.6,58.15,57.57,57.94,23400
2024-04-24,56.63,58.43,56.6,58.43,24100
2024-04-23,57.0,57.45,56.69,57.17,18700
2024-04-22,58.68,58.77,56.75,56.96,20600
2024-04-19,56.39,57.81,56.39,57.81,28400
2024-04-18,56.94,57.55,56.78,56.78,20800
2024-04-17,56.94,57.1,56.08,56.18,27500
2024-04-16,56.21,57.58,56.21,56.77,23100
2024-04-15,55.59,56.61,55.57,56.44,30300
2024-04-12,56.74,56.9,55.58,55.64,29000
2024-04-11,55.07,57.31,54.67,57.0,27500
2024-04-10,54.69,55.6,54.29,54.85,34800
2024-04-09,56.21,56.35,55.63,55.98,20200
2024-04-08,55.71,56.56,55.71,55.83,17500
2024-04-05,56.2,56.77,55.55,55.77,24100
2024-04-04,55.47,57.34,55.47,56.67,35800
2024-04-03,57.17,57.32,55.93,56.02,31000
2024-04-02,56.15,57.14,56.0,56.65,27500
