datetime,open,high,low,close,volume
2025-04-01,5.75,5.75,5.0,5.34,15300
2025-03-31,5.53,5.82,4.946,5.67,20900
2025-03-28,4.6,5.75,4.6,5.29,60300
2025-03-27,4.75,4.75,4.75,4.75,400
2025-03-26,4.723,4.85,4.51,4.85,6500
2025-03-25,4.8,4.8,4.373,4.62,14500
2025-03-24,4.72,4.84,4.61,4.84,4300
2025-03-21,4.385,4.8,4.385,4.8,15700
2025-03-20,4.43,4.56,4.4,4.54,3000
2025-03-19,4.5,4.5,4.19,4.43,10300
2025-03-18,4.32,4.47,4.32,4.44,1200
2025-03-17,4.15,4.395,4.15,4.395,2300
2025-03-14,4.26,4.327,4.16,4.17,6300
2025-03-13,4.3,4.5,4.1,4.11,7400
2025-03-12,4.67,4.87,4.3,4.37,19300
2025-03-11,4.64,4.75,4.64,4.64,10100
2025-03-10,4.804,4.954,4.78,4.78,8800
2025-03-07,4.8,4.936,4.8,4.8,6100
2025-03-06,4.7,4.83,4.7,4.7,3500
2025-03-05,4.75,4.76,4.66,4.69,7500
2025-03-04,4.87,4.895,4.655,4.76,6300
2025-03-03,4.967,4.967,4.967,4.967,700
2025-02-28,4.75,4.98,4.75,4.98,18700
2025-02-27,4.64,4.745,4.64,4.74,3300
2025-02-26,4.77,4.864,4.64,4.64,5200
2025-02-25,4.78,4.89,4.65,4.66,4600
2025-02-24,4.8,4.8,4.68,4.68,2400
2025-02-21,5.0,5.0,4.73,4.73,6500
2025-02-20,4.89,4.89,4.89,4.89,1000
2025-02-19,5.02,5.07,4.8,4.8,11500
2025-02-18,5.17,5.349,4.848,4.85,12000
2025-02-14,4.6,5.641,4.6,5.09,63400
2025-02-13,4.6,4.677,4.6,4.66,2600
2025-02-12,4.6,4.635,4.6,4.6,7200
2025-02-11,4.55,4.555,4.5,4.555,2900
2025-02-10,4.6,4.75,4.6,4.6,3900
2025-02-07,4.68,4.68,4.51,4.51,3800
2025-02-06,4.6,4.678,4.55,4.6,7800
2025-02-05,4.755,4.755,4.6,4.6,2600
2025-02-04,5.0,5.0,4.62,4.62,16500
2025-02-03,4.76,4.94,4.76,4.91,23400
2025-01-31,4.845,4.908,4.7,4.7,2300
2025-01-30,4.637,4.92,4.6,4.6,7400
2025-01-29,4.81,4.81,4.63,4.63,8600
2025-01-28,4.715,4.869,4.7,4.77,11600
2025-01-27,4.82,4.875,4.7,4.7,5800
2025-01-24,4.7,4.8,4.7,4.7,6400
2025-01-23,4.76,4.96,4.7,4.7,10600
2025-01-22,4.86,4.99,4.75,4.76,13200
2025-01-21,4.86,5.19,4.7,4.92,40600
2025-01-17,4.925,5.32,4.746,4.81,41500
2025-01-16,5.22,5.33,4.7,4.75,16700
2025-01-15,5.4,5.4,4.73,4.81,48300
2025-01-14,4.6,5.24,4.6,4.9,51400
2025-01-13,4.77,4.8,4.7,4.71,6400
2025-01-10,4.82,4.9,4.685,4.76,10800
2025-01-08,4.842,5.103,4.62,4.62,12000
2025-01-07,4.66,4.86,4.6,4.79,16800
2025-01-06,5.03,5.35,4.72,4.72,24500
2025-01-03,5.13,5.22,5.01,5.177,15700
2025-01-02,4.81,5.17,4.81,5.1,19500
2024-12-31,5.0,5.11,4.78,5.01,14700
2024-12-30,5.55,5.55,5.01,5.01,7700
2024-12-27,5.79,6.36,5.18,5.64,65000
2024-12-26,5.28,5.99,4.8,5.28,31900
2024-12-24,5.73,5.83,5.2,5.23,11900
2024-12-23,6.05,6.28,5.32,5.4,25100
2024-12-20,5.6,6.0,5.6,6.0,22800
2024-12-19,6.34,6.89,5.343,5.534,44400
2024-12-18,4.51,6.49,4.51,6.13,149700
2024-12-17,4.325,5.0,4.324,4.79,42600
2024-12-16,4.51,4.65,4.15,4.15,27000
2024-12-13,4.79,4.95,4.3,4.51,13900
2024-12-12,5.07,5.07,4.7,4.7,19800
2024-12-11,5.055,5.25,4.76,4.76,13500
2024-12-10,5.305,5.359,4.93,5.24,17900
2024-12-09,5.5,5.61,5.23,5.25,6600
2024-12-06,5.8,5.885,5.23,5.51,14300
2024-12-05,5.968,5.977,5.553,5.835,18500
2024-12-04,5.58,6.24,5.041,5.75,48500
2024-12-03,5.14,5.94,4.55,5.66,169100
2024-12-02,5.4,5.4,4.75,4.75,188600
2024-11-29,4.8,5.25,4.8,5.25,6600
2024-11-27,4.55,4.55,4.55,4.55,0
2024-11-26,4.87,4.99,4.541,4.55,7500
2024-11-25,4.73,4.935,4.71,4.75,11000
2024-11-22,4.96,5.179,4.81,5.05,12900
2024-11-21,5.47,5.65,4.9,4.9,20800
2024-11-20,5.0,5.49,4.79,5.26,25400
2024-11-19,5.106,5.45,5.0,5.0,10500
2024-11-18,4.84,5.18,4.84,5.0,13100
2024-11-15,5.0,5.157,4.557,4.83,7400
2024-11-14,5.5,5.79,5.0,5.0,15600
2024-11-13,5.0,5.761,5.0,5.0,13700
2024-11-12,5.33,5.5,5.123,5.19,5000
2024-11-11,4.68,5.49,4.68,5.27,18500
2024-11-08,4.767,5.12,3.81,4.36,44000
2024-11-07,5.21,5.59,4.5,4.525,27100
2024-11-06,6.04,6.422,5.03,5.3,40200
2024-11-05,6.45,6.77,6.03,6.11,8000
2024-11-04,7.1,7.1,6.16,6.415,26500
2024-11-01,7.02,7.03,6.51,6.871,6000
2024-10-31,6.75,7.08,6.46,6.82,22900
2024-10-30,7.125,7.15,6.76,6.76,13100
2024-10-29,7.5,7.75,6.97,6.97,14200
2024-10-28,7.07,7.32,6.817,7.1,27000
2024-10-25,7.62,7.71,6.385,6.877,14200
2024-10-24,7.97,7.97,7.0,7.0,18000
2024-10-23,7.32,7.6,7.32,7.45,14100
2024-10-22,7.53,7.7,7.5,7.65,2200
2024-10-21,7.85,8.05,7.51,7.51,9500
2024-10-18,7.4,7.94,7.4,7.94,9900
2024-10-17,7.56,7.99,7.31,7.708,18700
2024-10-16,7.49,8.14,7.4,7.56,20000
2024-10-15,7.25,7.39,7.01,7.39,9500
2024-10-14,6.89,7.43,6.76,6.76,27400
2024-10-11,6.95,7.0,6.9,6.9,1100
