datetime,open,high,low,close,volume
2025-04-01,33.92,37.61,33.5,36.34,735100
2025-03-31,35.19,36.69,32.5,34.89,1135700
2025-03-28,37.345,37.36667,34.80333,35.165,651600
2025-03-27,38.53667,39.73333,36.99333,37.58167,542400
2025-03-26,41.745,42.16667,38.26667,39.47333,1084200
2025-03-25,42.19667,43.8325,41.26533,41.74833,588000
2025-03-24,40.16667,43.0,40.16667,42.15167,781800
2025-03-21,37.71,39.46333,37.21333,39.32167,612000
2025-03-20,39.20083,40.51783,38.5035,38.66,597000
2025-03-19,36.295,39.72833,36.295,38.35167,1045200
2025-03-18,38.72167,38.72167,36.04333,36.275,694800
2025-03-17,39.01833,39.51667,37.78,39.16667,694800
2025-03-14,36.55667,39.37333,36.55667,38.75167,545400
2025-03-13,38.85833,39.085,35.19,36.20667,609000
2025-03-12,38.86167,40.38667,37.645,39.55667,1764000
2025-03-11,35.61333,36.96167,34.465,36.75,1108200
2025-03-10,36.995,36.995,33.0,34.02,1177200
2025-03-07,37.76,39.14167,34.16667,38.94167,975600
2025-03-06,42.145,42.5,36.77583,37.625,1717200
2025-03-05,43.855,44.5,42.35,43.51,858000
2025-03-04,43.04,45.5,40.94,43.665,1129800
2025-03-03,50.575,51.5,44.52667,45.42,1075800
2025-02-28,45.71167,50.22817,44.83333,49.85167,1160400
2025-02-27,50.39,53.20333,45.83333,47.68667,1663800
2025-02-26,55.83333,57.10167,47.6735,51.03833,2584800
2025-02-25,46.66667,49.39,44.66333,48.57333,2212200
2025-02-24,49.09167,49.09167,44.35,47.37,1083000
2025-02-21,51.99167,53.53,46.55583,47.775,1052400
2025-02-20,55.00167,55.00167,48.66833,51.40167,1179600
2025-02-19,57.75333,58.21667,54.86667,55.12333,794400
2025-02-18,58.58,58.66667,54.83333,57.99667,919200
2025-02-14,56.375,59.75833,54.16667,56.69333,1123800
2025-02-13,51.00333,56.02667,50.88167,55.83333,1402200
2025-02-12,42.73167,51.93167,42.73167,50.88667,1304400
2025-02-11,47.99967,47.99967,42.52,44.10833,940200
2025-02-10,44.66667,51.83833,44.225,46.25667,1292400
2025-02-07,41.66667,45.59667,41.63883,42.38667,727800
2025-02-06,41.0,42.37083,39.52667,40.865,463200
2025-02-05,40.77167,40.99833,39.52667,40.335,421800
2025-02-04,38.54167,40.65167,37.87667,40.16167,539400
2025-02-03,36.47667,39.09333,35.83333,38.43,461400
2025-01-31,39.115,41.09667,38.32167,39.00167,532200
2025-01-30,40.07667,41.64667,37.915,38.945,583800
2025-01-29,38.96833,40.72167,38.58167,40.34333,283200
2025-01-28,37.53667,39.71083,36.33333,39.29833,604800
2025-01-27,37.065,38.305,36.33333,37.54667,720600
2025-01-24,39.39333,40.83333,38.83333,39.17667,497400
2025-01-23,38.21333,39.82833,37.57183,39.78833,580800
2025-01-22,38.54167,39.5225,36.19367,38.25167,687600
2025-01-21,38.94,40.00167,35.15333,38.29333,1245000
2025-01-17,43.54,44.54267,36.89333,37.5,1515600
2025-01-16,53.88,54.12833,43.74083,43.75167,1657800
2025-01-15,40.31167,44.95,40.31167,43.26167,889800
2025-01-14,38.095,40.93583,37.45167,38.90333,606600
2025-01-13,36.18,37.65333,35.03833,36.99,693600
2025-01-10,40.33333,40.33333,37.14,38.105,766800
2025-01-08,41.58,42.29167,39.595,41.35333,523800
2025-01-07,46.91667,46.91667,41.68433,42.365,888600
2025-01-06,46.90833,47.23333,44.19833,46.00833,652800
2025-01-03,45.62,46.75,43.83317,46.44833,819000
2025-01-02,43.41833,45.46667,40.33333,45.465,1119600
2025-01-01,260.51001,272.79999,242.0,272.79001,186780
2024-12-31,43.16833,44.76167,41.355,42.63333,1117200
2024-12-30,42.76333,43.83333,40.357,42.5,599400
2024-12-29,256.57999,263.0,242.1423,255.0,99868
2024-12-27,44.55167,44.92,42.5,44.17667,575400
2024-12-26,42.16667,46.52683,42.16667,45.385,624000
2024-12-25,253.0,279.16119,253.0,272.31,103981
2024-12-24,44.83167,44.83167,42.01667,42.62333,271200
