datetime,open,high,low,close,volume
2025-04-01,24.95,24.95,24.95,24.95,0
2025-03-31,24.965,24.965,24.965,24.965,100
2025-03-28,24.91,24.91,24.91,24.91,1025
2025-03-27,24.917,24.917,24.917,24.917,1025
2025-03-26,24.985,24.985,24.985,24.985,0
2025-03-25,24.925,24.925,24.925,24.925,0
2025-03-24,24.92,24.92,24.92,24.92,1025
2025-03-21,24.93,24.93,24.93,24.93,1025
2025-03-20,24.915,24.915,24.915,24.915,1025
2025-03-19,24.88,24.88,24.86,24.875,1000
2025-03-18,24.93,24.93,24.875,24.875,2000
2025-03-17,25.064,25.064,25.064,25.064,42
2025-03-14,25.062,25.062,25.062,25.062,42
2025-03-13,25.062,25.062,25.062,25.062,100
2025-03-12,25.062,25.062,25.062,25.062,801
2025-03-11,25.062,25.062,25.062,25.062,801
2025-03-10,25.03,25.03,25.03,25.03,801
2025-03-07,25.0,25.062,25.0,25.062,800
2025-03-06,25.067,25.067,25.067,25.067,40
2025-03-05,25.068,25.068,25.068,25.068,40
2025-03-04,25.055,25.055,25.055,25.055,40
2025-03-03,25.035,25.035,25.035,25.035,40
2025-02-28,25.061,25.061,25.061,25.061,40
2025-02-27,24.995,24.995,24.995,24.995,40
2025-02-26,24.975,24.975,24.975,24.975,100
2025-02-25,24.965,24.965,24.965,24.965,2
2025-02-24,24.95,24.95,24.95,24.95,2
2025-02-21,24.937,24.937,24.937,24.937,2
2025-02-20,24.926,24.926,24.926,24.926,2
2025-02-19,24.927,24.927,24.927,24.927,100
2025-02-18,24.926,24.926,24.926,24.926,101
2025-02-14,24.923,24.923,24.923,24.923,101
2025-02-13,24.916,24.916,24.916,24.916,101
2025-02-12,24.9,24.905,24.9,24.905,100
2025-02-11,24.91,24.911,24.907,24.911,4100
2025-02-10,24.92,24.92,24.845,24.845,11800
2025-02-07,24.844,24.844,24.844,24.844,1001
2025-02-06,24.845,24.92,24.845,24.893,1000
2025-02-05,24.882,24.882,24.882,24.882,300
2025-02-04,24.9,24.9,24.883,24.883,300
2025-02-03,24.871,24.871,24.871,24.871,1
2025-01-31,24.862,24.862,24.862,24.862,1
2025-01-30,24.865,24.865,24.865,24.865,100
2025-01-29,24.91,24.91,24.873,24.873,500
2025-01-28,24.863,24.863,24.863,24.863,1100
2025-01-27,24.855,24.855,24.855,24.855,1100
2025-01-24,24.88,24.88,24.844,24.844,1100
2025-01-23,24.811,24.811,24.811,24.811,0
2025-01-22,24.817,24.817,24.817,24.817,0
2025-01-21,24.75,24.839,24.75,24.839,1000
2025-01-17,24.765,24.765,24.765,24.765,0
2025-01-16,24.766,24.766,24.766,24.766,0
2025-01-15,24.775,24.775,24.775,24.775,620
2025-01-14,24.76,24.76,24.731,24.731,1600
2025-01-13,24.704,24.704,24.704,24.704,601
2025-01-10,24.71,24.75,24.71,24.75,300
2025-01-08,24.769,24.769,24.769,24.769,1
2025-01-07,24.745,24.745,24.745,24.745,100
2025-01-06,24.727,24.727,24.727,24.727,5
2025-01-03,24.726,24.726,24.726,24.726,5
2025-01-02,24.714,24.714,24.714,24.714,5
2024-12-31,24.656,24.656,24.656,24.656,100
2024-12-30,24.648,24.648,24.648,24.648,100
2024-12-27,24.69,24.693,24.69,24.693,500
2024-12-26,24.671,24.671,24.671,24.671,300
2024-12-24,24.73,24.73,24.713,24.713,300
2024-12-23,24.715,24.715,24.715,24.715,98
2024-12-20,24.718,24.718,24.718,24.718,98
2024-12-19,24.722,24.722,24.722,24.722,100
2024-12-18,24.735,24.735,24.735,24.735,52
2024-12-17,25.113,25.113,25.113,25.113,52
2024-12-16,25.111,25.111,25.111,25.111,100
2024-12-13,25.101,25.101,25.101,25.101,100
2024-12-12,25.122,25.122,25.122,25.122,100
2024-12-11,25.131,25.131,25.131,25.131,1
2024-12-10,25.131,25.131,25.131,25.131,1
2024-12-09,25.131,25.131,25.131,25.131,100
2024-12-06,25.132,25.132,25.132,25.132,100
2024-12-05,25.16,25.16,25.151,25.151,100
2024-12-04,25.13,25.13,25.13,25.13,462
2024-12-03,25.116,25.116,25.116,25.116,462
2024-12-02,25.13,25.13,25.101,25.101,500
2024-11-29,25.1,25.1,25.1,25.1,0
2024-11-27,25.07,25.07,25.07,25.07,4278
2024-11-26,25.041,25.041,25.041,25.041,4278
2024-11-25,25.07,25.07,25.07,25.07,4278
2024-11-22,25.036,25.036,25.036,25.036,4278
2024-11-21,25.031,25.031,25.031,25.031,4278
2024-11-20,25.031,25.031,25.031,25.031,4278
2024-11-19,25.09,25.13,25.054,25.054,4300
2024-11-18,25.032,25.032,25.032,25.032,100
2024-11-15,25.04,25.04,25.04,25.04,2700
2024-11-14,25.046,25.046,25.046,25.046,0
2024-11-13,25.061,25.061,25.061,25.061,0
2024-11-12,25.1,25.1,25.061,25.061,300
2024-11-11,25.105,25.105,25.105,25.105,2700
2024-11-08,25.12,25.12,25.087,25.087,2700
2024-11-07,25.1,25.1,25.07,25.07,800
2024-11-06,25.041,25.041,25.041,25.041,100
2024-11-05,25.066,25.066,25.066,25.066,1
2024-11-04,25.066,25.066,25.066,25.066,1
2024-11-01,25.054,25.054,25.054,25.054,100
2024-10-31,25.046,25.046,25.046,25.046,1
2024-10-30,25.031,25.031,25.031,25.031,1
2024-10-29,25.037,25.037,25.037,25.037,1
2024-10-28,25.042,25.042,25.042,25.042,1
2024-10-25,25.051,25.051,25.051,25.051,100
2024-10-24,25.052,25.052,25.052,25.052,1104
2024-10-23,25.056,25.056,25.056,25.056,1104
2024-10-22,25.061,25.061,25.061,25.061,1104
2024-10-21,25.061,25.061,25.061,25.061,1104
2024-10-18,25.087,25.087,25.087,25.087,1104
2024-10-17,25.064,25.064,25.064,25.064,1104
2024-10-16,25.091,25.091,25.091,25.091,1104
