datetime,open,high,low,close,volume
2025-04-01,1.25,1.34,1.23,1.31,836500
2025-03-31,1.28,1.3,1.22,1.27,617500
2025-03-28,1.34,1.35,1.26,1.29,650300
2025-03-27,1.35,1.36,1.31,1.36,439600
2025-03-26,1.38,1.41,1.33,1.35,642000
2025-03-25,1.31,1.38,1.31,1.38,536600
2025-03-24,1.3,1.35,1.28,1.31,880400
2025-03-21,1.31,1.328,1.22,1.3,4568200
2025-03-20,1.31,1.349,1.26,1.31,1395600
2025-03-19,1.37,1.37,1.29,1.3,1434800
2025-03-18,1.38,1.41,1.32,1.37,1147700
2025-03-17,1.42,1.42,1.3,1.4,1951900
2025-03-14,1.34,1.46,1.34,1.45,1279800
2025-03-13,1.33,1.35,1.295,1.34,423000
2025-03-12,1.36,1.365,1.29,1.32,691500
2025-03-11,1.23,1.33,1.22,1.33,908100
2025-03-10,1.18,1.275,1.18,1.23,1033500
2025-03-07,1.29,1.34,1.261,1.31,1472600
2025-03-06,1.35,1.37,1.265,1.29,947200
2025-03-05,1.23,1.38,1.23,1.37,1365200
2025-03-04,1.18,1.25,1.15,1.22,1040900
2025-03-03,1.3,1.32,1.185,1.2,1080500
2025-02-28,1.28,1.3,1.24,1.3,613400
2025-02-27,1.31,1.36,1.27,1.29,741100
2025-02-26,1.27,1.37,1.27,1.33,1633300
2025-02-25,1.34,1.34,1.22,1.26,1965000
2025-02-24,1.41,1.415,1.3,1.34,1578400
2025-02-21,1.46,1.47,1.37,1.4,1116900
2025-02-20,1.47,1.53,1.43,1.45,1126800
2025-02-19,1.45,1.49,1.42,1.48,1156400
2025-02-18,1.48,1.52,1.44,1.49,796100
2025-02-14,1.55,1.55,1.48,1.5,934600
2025-02-13,1.46,1.54,1.445,1.54,653600
2025-02-12,1.42,1.495,1.42,1.45,1689100
2025-02-11,1.47,1.491,1.43,1.44,814900
2025-02-10,1.5,1.51,1.45,1.49,871900
2025-02-07,1.56,1.56,1.47,1.5,1025400
2025-02-06,1.53,1.58,1.51,1.53,638000
2025-02-05,1.55,1.61,1.51,1.51,922000
2025-02-04,1.49,1.59,1.485,1.55,1086800
2025-02-03,1.47,1.51,1.41,1.49,1099400
2025-01-31,1.56,1.57,1.49,1.53,1037600
2025-01-30,1.53,1.575,1.51,1.54,906200
2025-01-29,1.53,1.55,1.48,1.51,719400
2025-01-28,1.54,1.557,1.465,1.51,1114100
2025-01-27,1.6,1.618,1.5,1.55,1570600
2025-01-24,1.63,1.69,1.6,1.62,1025300
2025-01-23,1.6,1.635,1.58,1.61,757600
2025-01-22,1.62,1.665,1.6,1.63,1245300
2025-01-21,1.68,1.689,1.59,1.62,1394100
2025-01-17,1.7,1.75,1.64,1.68,1374200
2025-01-16,1.67,1.74,1.6,1.68,3728100
2025-01-15,1.53,1.63,1.51,1.57,1563000
2025-01-14,1.57,1.57,1.46,1.49,1112500
2025-01-13,1.6,1.6,1.51,1.53,1174000
2025-01-10,1.7,1.7,1.58,1.64,1350600
2025-01-08,1.64,1.73,1.57,1.7,1879400
