datetime,open,high,low,close,volume
2025-04-01,88.0,91.0,83.86,84.55,844811
2025-03-31,88.9,92.5225,86.0,88.57,768087
2025-03-28,93.33,94.23,89.52,92.2,515450
2025-03-27,97.33,97.99,91.88,94.34,567425
2025-03-26,100.17,101.247,93.23,96.44,885063
2025-03-25,103.19,105.0,99.58,100.59,506031
2025-03-24,107.61,107.98,102.72,103.19,660344
2025-03-21,94.66,104.56,93.4,104.39,705415
2025-03-20,95.79,100.68,94.63,96.71,420267
2025-03-19,90.83,97.797,90.83,97.44,597824
2025-03-18,93.57,93.57,88.2819,90.79,371548
2025-03-17,99.0,99.5,94.09,94.46,668885
2025-03-14,91.19,101.35,90.2,98.47,915498
2025-03-13,91.81,92.725,86.216,89.32,630704
2025-03-12,92.01,94.9899,87.25,92.08,521719
2025-03-11,90.14,94.09,86.35,87.17,1014757
2025-03-10,94.36,95.8154,88.74,89.66,1032193
2025-03-07,97.0,98.83,89.77,98.01,709405
2025-03-06,101.19,103.7,94.51,97.27,731918
2025-03-05,100.18,105.67,96.13,105.31,542936
2025-03-04,91.2,101.17,88.06,99.0,1073815
2025-03-03,103.94,106.73,94.0,94.35,1278495
2025-02-28,99.74,103.52,97.12,102.85,604528
2025-02-27,100.53,105.4,93.35,101.0,1102520
2025-02-26,97.18,103.07,96.13,99.13,921160
2025-02-25,94.705,97.0,87.81,95.85,1388260
2025-02-24,96.75,97.48,90.9959,95.0,1087970
2025-02-21,102.68,103.56,90.26,95.83,1151200
2025-02-20,108.77,108.77,98.51,101.58,1674350
2025-02-19,112.94,115.5999,104.1,111.31,1758750
2025-02-18,94.97,113.9199,92.63,112.76,5041050
2025-02-14,77.39,78.49,74.45,76.35,1267940
2025-02-13,70.71,78.7675,70.635,78.0,1632110
2025-02-12,65.75,71.9209,65.1,70.97,975100
2025-02-11,66.25,69.745,65.51,67.8,1416510
2025-02-10,60.04,68.24,60.04,68.15,1367863
2025-02-07,62.22,64.25,58.62,59.54,1280873
2025-02-06,67.65,68.6315,62.0,62.17,1485520
2025-02-05,71.11,76.13,60.35,67.18,4466607
2025-02-04,70.15,75.0,69.23,72.02,1078507
2025-02-03,70.37,73.2,68.33,69.98,763144
2025-01-31,77.99,80.95,74.77,74.85,393036
2025-01-30,75.79,82.49,75.79,77.86,674464
2025-01-29,78.48,79.99,74.74,75.67,418862
2025-01-28,76.0,79.4917,74.845,79.24,652707
2025-01-27,76.51,79.45,73.5,74.86,711652
2025-01-24,78.12,81.5,77.495,79.27,877320
2025-01-23,75.32,78.26,71.67,77.66,650445
2025-01-22,75.16,81.8857,75.06,75.77,754654
2025-01-21,69.62,75.22,69.62,74.36,818028
2025-01-17,69.64,72.04,68.5953,69.48,514781
2025-01-16,72.45,74.14,66.8076,68.26,865892
2025-01-15,73.58,77.0,72.0,72.41,809400
2025-01-14,85.72,86.52,70.69,72.005,2296487
2025-01-13,87.0,92.97,81.82,85.01,1424381
2025-01-10,95.69,95.69,85.6,89.38,725363
2025-01-08,95.16,97.33,89.5001,96.57,752798
2025-01-07,94.18,98.87,86.51,97.04,1553265
2025-01-06,79.27,89.66,78.5,89.61,1260882
2025-01-03,79.17,81.81,77.825,79.14,432560
2025-01-02,76.81,85.29,74.935,79.63,733828
2024-12-31,77.12,78.97,74.83,76.86,390590
2024-12-30,76.1,77.81,73.57,76.58,370381
2024-12-27,78.75,78.92,74.1,78.05,416973
2024-12-26,77.37,81.9,76.7,79.45,427799
2024-12-24,78.1,78.1,74.75,77.4,138883
2024-12-23,77.11,78.5999,75.23,76.4,326232
2024-12-20,72.35,78.75,72.25,77.4,693134
2024-12-19,76.95,80.61,73.48,75.3,458102
2024-12-18,79.12,83.78,76.68,76.93,1156439
2024-12-17,80.91,83.53,76.51,79.2,598155
2024-12-16,75.58,80.655,74.5,80.5,686351
2024-12-13,72.05,76.2262,70.69,75.43,268358
2024-12-12,73.21,76.755,70.98,71.77,302941
2024-12-11,72.945,75.195,71.4,73.83,318365
2024-12-10,72.41,74.99,71.4,71.94,378717
2024-12-09,76.37,80.5522,70.27,72.86,645505
2024-12-06,79.78,84.77,76.2101,77.2,785309
2024-12-05,79.91,81.6,75.63,78.85,600144
2024-12-04,75.05,80.99,74.5,79.63,634757
2024-12-03,77.18,81.4,73.93,75.05,574794
2024-12-02,78.01,80.63,75.2001,77.24,514835
2024-11-29,79.59,82.2,77.98,78.39,185920
2024-11-27,82.78,82.78,76.56,79.43,398395
2024-11-26,80.48,82.8,78.0847,80.52,406366
2024-11-25,81.38,82.4,75.17,80.46,687642
2024-11-22,72.55,79.7464,70.32,78.71,549559
2024-11-21,69.16,75.4899,69.0001,72.07,675502
2024-11-20,70.96,71.46,68.01,69.38,459571
2024-11-19,69.01,72.505,67.27,71.04,450456
2024-11-18,66.36,75.21,66.0,71.1,759049
2024-11-15,73.95,74.41,68.01,68.43,570624
2024-11-14,79.83,81.39,72.02,73.73,736459
2024-11-13,78.36,82.181,75.09,78.48,661269
2024-11-12,72.85,78.45,72.12,76.92,492298
2024-11-11,80.57,83.22,71.45,73.39,889341
2024-11-08,75.9,80.13,74.7,77.8,674679
2024-11-07,77.04,79.1537,74.68,75.18,639836
2024-11-06,76.94,78.3322,75.29,75.95,550670
