datetime,open,high,low,close,volume
2025-04-01,8.74,9.11,8.665,8.93,24604100
2025-03-31,8.64,8.75,8.31,8.71,23438400
2025-03-28,9.13,9.21,8.81,8.89,20197800
2025-03-27,9.28,9.34,9.14,9.17,21307300
2025-03-26,9.66,9.68,9.26,9.41,22336700
2025-03-25,9.59,9.7,9.42,9.63,20013500
2025-03-24,9.55,9.67,9.39,9.54,21246300
2025-03-21,9.14,9.36,9.095,9.33,37538500
2025-03-20,9.02,9.59,8.99,9.23,59659200
2025-03-19,8.75,9.22,8.75,9.04,37970100
2025-03-18,8.91,9.07,8.66,8.73,25183100
2025-03-17,8.7,9.1,8.655,8.99,26734900
2025-03-14,8.58,8.68,8.455,8.64,26363200
2025-03-13,8.85,8.87,8.34,8.37,30348400
2025-03-12,9.04,9.14,8.775,8.89,34670300
2025-03-11,9.0,9.185,8.82,8.86,34704300
2025-03-10,9.49,9.588,9.05,9.08,25559200
2025-03-07,9.52,9.84,9.36,9.72,22471800
2025-03-06,9.625,9.93,9.52,9.6,22203700
2025-03-05,9.62,9.84,9.51,9.79,17542200
2025-03-04,9.6,9.855,9.24,9.6,27931800
2025-03-03,10.32,10.38,9.76,9.77,22076100
2025-02-28,9.97,10.26,9.86,10.25,21464800
2025-02-27,10.2,10.305,9.93,9.99,18277900
2025-02-26,10.48,10.585,10.1,10.16,23920000
2025-02-25,10.35,10.52,10.1,10.4,19790500
2025-02-24,10.39,10.55,10.1,10.42,17995900
2025-02-21,10.7,10.8,10.33,10.34,17290500
2025-02-20,10.78,10.83,10.572,10.68,16000300
2025-02-19,10.92,10.97,10.72,10.78,18582700
2025-02-18,10.88,11.045,10.715,11.04,23782000
2025-02-14,11.12,11.2,10.83,10.85,19265700
2025-02-13,10.76,11.26,10.757,11.25,29099000
2025-02-12,10.67,10.92,10.67,10.73,20670700
2025-02-11,10.44,10.92,10.35,10.87,24893000
2025-02-10,10.805,11.09,10.675,10.71,30217300
2025-02-07,10.72,11.05,10.6,10.92,31624300
2025-02-06,10.49,10.79,10.35,10.69,40553400
2025-02-05,11.535,11.57,10.59,10.63,91226400
2025-02-04,11.19,11.71,11.185,11.6,65699100
2025-02-03,11.0,11.3,10.955,11.17,56262600
2025-01-31,11.43,11.73,11.26,11.29,23140800
2025-01-30,11.64,11.665,11.14,11.35,19930600
2025-01-29,11.25,11.77,11.19,11.63,27625300
