datetime,open,high,low,close,volume
2025-04-01,20.5,20.61,20.37,20.4,72300
2025-03-31,20.5,20.67,20.4,20.42,436900
2025-03-28,20.68,20.695,20.52,20.52,69000
2025-03-27,20.55,20.74,20.55,20.65,188900
2025-03-26,20.76,20.83,20.55,20.62,123700
2025-03-25,20.89,20.92,20.73,20.82,55900
2025-03-24,20.96,21.04,20.83,20.86,66700
2025-03-21,20.83,20.97,20.83,20.91,36200
2025-03-20,20.96,21.03,20.82,20.87,49300
2025-03-19,20.88,21.0,20.86,20.93,87600
2025-03-18,20.96,20.98,20.84,20.93,46800
2025-03-17,20.87,21.05,20.813,20.99,52500
2025-03-14,20.74,20.88,20.54,20.81,58600
2025-03-13,20.73,20.79,20.56,20.69,80700
2025-03-12,20.7,20.81,20.55,20.73,49300
2025-03-11,20.56,20.65,20.51,20.65,193600
2025-03-10,20.65,20.663,20.55,20.6,144800
2025-03-07,20.81,20.89,20.61,20.67,62400
2025-03-06,20.81,20.868,20.71,20.77,62500
2025-03-05,20.91,20.97,20.81,20.88,45000
2025-03-04,21.03,21.03,20.76,20.88,62900
2025-03-03,20.96,21.16,20.93,21.04,218400
2025-02-28,20.92,21.01,20.8,20.96,140800
2025-02-27,20.79,20.9,20.74,20.86,222800
2025-02-26,20.93,20.96,20.71,20.8,96300
2025-02-25,20.86,20.981,20.8,20.86,138400
2025-02-24,20.72,20.79,20.63,20.73,69000
2025-02-21,20.67,20.72,20.59,20.71,120500
2025-02-20,20.72,20.75,20.54,20.63,66300
2025-02-19,20.66,20.77,20.5,20.66,55700
2025-02-18,20.8,20.91,20.68,20.71,66600
2025-02-14,20.85,20.91,20.798,20.84,79500
2025-02-13,20.65,20.8,20.623,20.76,69800
2025-02-12,20.64,20.64,20.27,20.54,152100
2025-02-11,20.83,20.9,20.78,20.82,67500
2025-02-10,20.77,20.85,20.68,20.85,95500
2025-02-07,20.66,20.77,20.6,20.7,244000
2025-02-06,20.87,20.93,20.68,20.77,87800
2025-02-05,20.77,20.94,20.68,20.86,76400
2025-02-04,20.58,20.8,20.561,20.65,66900
2025-02-03,20.72,20.88,20.56,20.59,55300
2025-01-31,21.1,21.28,20.75,20.76,149800
2025-01-30,21.11,21.22,21.0,21.14,94200
2025-01-29,21.28,21.39,20.9,21.05,124600
2025-01-28,21.77,21.77,21.54,21.6,55700
2025-01-27,21.45,21.812,21.45,21.77,192400
