datetime,open,high,low,close,volume
2025-04-01,4.95,4.95,4.64,4.64,4900
2025-03-31,4.31,5.0,4.301,4.9,30400
2025-03-28,4.582,4.69,4.49,4.525,7000
2025-03-27,4.7,4.7,4.563,4.6,6200
2025-03-26,4.74,4.78,4.66,4.66,17600
2025-03-25,4.802,5.044,4.71,4.71,7200
2025-03-24,5.04,5.197,4.89,4.95,9000
2025-03-21,4.89,5.0,4.8,4.9,1700
2025-03-20,5.005,5.032,4.86,4.98,7900
2025-03-19,4.73,5.0,4.73,4.99,11000
2025-03-18,4.737,4.983,4.737,4.98,2300
2025-03-17,4.9,5.2,4.812,5.0,9400
2025-03-14,4.7,4.88,4.7,4.86,6900
2025-03-13,4.98,4.98,4.471,4.69,6000
2025-03-12,4.85,5.28,4.7,4.949,23600
2025-03-11,5.06,5.06,4.8,4.84,10200
2025-03-10,5.45,5.45,4.86,4.95,9400
2025-03-07,5.3,5.45,5.12,5.34,8400
2025-03-06,5.79,5.79,5.16,5.23,5400
2025-03-05,5.447,5.447,5.051,5.37,3800
2025-03-04,5.08,5.21,4.85,5.05,14100
2025-03-03,5.62,5.764,5.08,5.08,7300
2025-02-28,5.191,5.46,5.06,5.3,19000
2025-02-27,5.45,5.47,5.04,5.18,21900
2025-02-26,5.67,5.85,5.42,5.45,14400
2025-02-25,5.6,5.85,5.19,5.8,37100
2025-02-24,6.2,6.2,5.65,5.65,28900
2025-02-21,6.12,6.12,5.8,6.09,15400
2025-02-20,6.0,6.299,5.9,5.94,25800
2025-02-19,5.91,6.3,5.91,6.0,11800
2025-02-18,6.1,6.244,5.98,6.09,12100
2025-02-14,6.16,6.38,6.013,6.235,31400
2025-02-13,5.96,6.11,5.86,6.11,17200
2025-02-12,6.064,6.27,5.7,5.9,35600
2025-02-11,6.32,6.32,6.01,6.05,15200
2025-02-10,6.4,6.606,6.25,6.4,7800
2025-02-07,6.645,6.645,6.25,6.34,20000
2025-02-06,6.6,6.763,6.52,6.52,7400
