datetime,open,high,low,close,volume
2025-04-01,24.43,24.43,24.31,24.42,12389
2025-03-31,24.3816,24.53,24.17,24.25,96060
2025-03-28,24.44,24.49,24.38,24.42,6542
2025-03-27,24.49,24.53,24.44,24.49,8498
2025-03-26,24.54,24.54,24.43,24.44,5702
2025-03-25,24.55,24.55,24.4066,24.53,4928
2025-03-24,24.48,24.56,24.4,24.49,9273
2025-03-21,24.4,24.53,24.36,24.44,17929
2025-03-20,24.56,24.56,24.36,24.4,10698
2025-03-19,24.4,24.49,24.37,24.42,44617
2025-03-18,24.4,24.57,24.36,24.39,21648
2025-03-17,24.47,24.53,24.4282,24.4333,16755
2025-03-14,24.48,24.48,24.37,24.47,5201
2025-03-13,24.39,24.49,24.35,24.3999,21554
2025-03-12,24.45,24.45,24.32,24.39,9011
2025-03-11,24.39,24.47,24.3,24.46,6838
2025-03-10,24.5112,24.53,24.3,24.32,23372
2025-03-07,24.4,24.51,24.2501,24.51,12899
2025-03-06,24.49,24.51,24.34,24.44,5700
2025-03-05,24.41,24.4292,24.34,24.3401,8197
2025-03-04,24.3301,24.53,24.2544,24.53,16505
2025-03-03,24.52,24.52,24.3263,24.38,11732
2025-02-28,24.35,24.47,24.28,24.39,159138
2025-02-27,24.61,24.63,24.59,24.59,7134
2025-02-26,24.64,24.64,24.61,24.61,9251
2025-02-25,24.65,24.65,24.49,24.59,21346
2025-02-24,24.65,24.65,24.61,24.6266,25225
2025-02-21,24.61,24.65,24.61,24.61,52164
2025-02-20,24.64,24.64,24.62,24.63,38031
2025-02-19,24.64,24.64,24.6,24.6,2422
2025-02-18,24.61,24.64,24.48,24.62,138114
2025-02-14,24.42,24.64,24.42,24.6039,9847
2025-02-13,24.62,24.62,24.5401,24.6199,1257
2025-02-12,24.62,24.6399,24.5205,24.6399,1622
2025-02-11,24.6,24.6,24.44,24.6,6409
2025-02-10,24.31,24.65,24.31,24.58,17163
2025-02-07,24.61,24.61,24.56,24.59,4910
2025-02-06,24.58,24.59,24.4733,24.59,3858
2025-02-05,24.505,24.58,24.5,24.57,1231
2025-02-04,24.53,24.54,24.52,24.54,11681
2025-02-03,24.385,24.43,24.38,24.4255,3974
2025-01-31,24.52,24.52,24.47,24.47,10430
2025-01-30,24.5,24.5,24.48,24.48,6467
2025-01-29,24.5131,24.5131,24.45,24.475,5492
2025-01-28,24.475,24.5196,24.4419,24.46,35665
2025-01-27,24.45,24.5,24.42,24.45,29714
2025-01-24,24.47,24.49,24.41,24.49,6560
2025-01-23,24.5,24.5,24.4736,24.49,4292
2025-01-22,24.5,24.53,24.4615,24.48,152417
2025-01-21,24.4,24.53,24.4,24.53,1155
2025-01-17,24.5,24.5142,24.4999,24.5,6729
2025-01-16,24.48,24.49,24.45,24.45,6810
2025-01-15,24.4,24.49,24.38,24.436,10310
2025-01-14,24.3922,24.4,24.32,24.4,5838
2025-01-13,24.32,24.4,24.32,24.36,10197
2025-01-10,24.36,24.4,24.32,24.35,13091
2025-01-08,24.39,24.39,24.32,24.32,11400
2025-01-07,24.37,24.3858,24.31,24.32,7199
2025-01-06,24.35,24.4,24.31,24.35,8292
2025-01-03,24.33,24.46,24.31,24.4,9679
2025-01-02,24.35,24.432,24.2999,24.39,19032
2024-12-31,24.33,24.41,24.23,24.25,72367
2024-12-30,24.26,24.5,24.23,24.33,22132
2024-12-27,24.37,24.43,24.27,24.28,7862
2024-12-26,24.45,24.45,24.32,24.32,10540
2024-12-24,24.4,24.4,24.27,24.33,16994
2024-12-23,24.3,24.39,24.265,24.3611,44463
2024-12-20,24.27,24.36,24.2549,24.27,5280
2024-12-19,24.27,24.35,24.2499,24.27,9734
2024-12-18,24.39,24.3999,24.29,24.29,3015
2024-12-17,24.27,24.39,24.27,24.39,9201
2024-12-16,24.27,24.3499,24.27,24.3,9326
2024-12-13,24.294,24.32,24.294,24.3059,6154
2024-12-12,24.34,24.34,24.32,24.32,1594
2024-12-11,24.285,24.35,24.285,24.3,4793
2024-12-10,24.29,24.3,24.2749,24.29,18303
2024-12-09,24.3566,24.391,24.29,24.2978,17499
2024-12-06,24.41,24.47,24.35,24.35,3549
2024-12-05,24.28,24.4,24.27,24.395,11422
2024-12-04,24.26,24.3,24.26,24.27,4233
2024-12-03,24.26,24.3,24.26,24.2601,6681
2024-12-02,24.36,24.36,24.26,24.27,3519
2024-11-29,24.35,24.43,24.3,24.43,11150
2024-11-27,24.585,24.64,24.55,24.6,35614
2024-11-26,24.6215,24.6215,24.55,24.5838,33620
2024-11-25,24.5981,24.69,24.57,24.59,12147
2024-11-22,24.5665,24.5665,24.54,24.54,5404
2024-11-21,24.56,24.5601,24.51,24.545,4536
2024-11-20,24.35,24.6,24.35,24.57,2137
2024-11-19,24.58,24.5958,24.56,24.5729,2406
2024-11-18,24.59,24.61,24.56,24.5918,3448
2024-11-15,24.56,24.61,24.56,24.6047,4999
2024-11-14,24.61,24.61,24.5431,24.5843,5086
2024-11-13,24.53,24.6,24.53,24.58,4218
2024-11-12,24.6,24.6,24.51,24.56,4914
2024-11-11,24.55,24.55,24.5463,24.55,1559
2024-11-08,24.4966,24.55,24.44,24.55,12168
2024-11-07,24.5,24.5167,24.5,24.5059,1653
2024-11-06,24.535,24.535,24.44,24.5,1884
2024-11-05,24.4605,24.5,24.43,24.5,1469
2024-11-04,24.56,24.56,24.47,24.5,3886
2024-11-01,24.41,24.49,24.383,24.49,4862
2024-10-31,24.4,24.5,24.4,24.5,5833
2024-10-30,24.3864,24.47,24.3722,24.47,1646
2024-10-29,24.4,24.45,24.33,24.45,3423
2024-10-28,24.45,24.45,24.326,24.45,3490
2024-10-25,24.37,24.3999,24.3521,24.3582,2702
2024-10-24,24.3716,24.4,24.35,24.3714,2323
2024-10-23,24.32,24.4539,24.32,24.44,7178
2024-10-22,24.42,24.42,24.3,24.4,8296
2024-10-21,24.4,24.47,24.38,24.4,17240
2024-10-18,24.395,24.4054,24.36,24.38,3181
2024-10-17,24.39,24.4,24.34,24.4,3293
2024-10-16,24.3812,24.41,24.3801,24.4,6662
2024-10-15,24.37,24.4,24.32,24.39,4741
2024-10-14,24.38,24.3999,24.37,24.385,2302
2024-10-11,24.3837,24.4,24.29,24.3999,2887
2024-10-10,24.4,24.4,24.3,24.3,1236
2024-10-09,24.3065,24.35,24.29,24.35,4986
2024-10-08,24.3774,24.4,24.35,24.35,3043
2024-10-07,24.28,24.4,24.28,24.39,13808
2024-10-04,24.39,24.39,24.3501,24.39,4537
2024-10-03,24.4,24.4,24.3862,24.3862,8415
2024-10-02,24.3758,24.38,24.36,24.3697,4469
2024-10-01,24.3,24.38,24.28,24.37,5740
2024-09-30,24.24,24.3,24.23,24.3,16523
2024-09-27,24.3,24.3,24.26,24.29,12596
2024-09-26,24.38,24.38,24.25,24.3391,9383
2024-09-25,24.38,24.38,24.25,24.35,4476
2024-09-24,24.25,24.37,24.22,24.37,5434
2024-09-23,24.28,24.3,24.25,24.3,6837
2024-09-20,24.29,24.29,24.27,24.27,2483
2024-09-19,24.2876,24.29,24.22,24.29,3969
2024-09-18,24.1885,24.25,24.1,24.25,3745
2024-09-17,24.24,24.24,24.18,24.24,7257
2024-09-16,24.24,24.24,24.12,24.23,6486
2024-09-13,24.08,24.24,24.06,24.24,6636
2024-09-12,24.06,24.085,24.0315,24.085,4682
2024-09-11,24.04,24.06,24.01,24.06,10374
2024-09-10,23.98,24.07,23.95,24.0645,8327
2024-09-09,23.91,23.97,23.9,23.9223,2808
2024-09-06,23.9,23.97,23.9,23.9458,2481
2024-09-05,23.955,23.97,23.887,23.91,6364
2024-09-04,23.85,23.99,23.85,23.945,11930
2024-09-03,23.86,24.05,23.815,23.86,6071
2024-08-30,23.86,24.05,23.76,23.8,73432
2024-08-29,24.33,24.35,24.01,24.08,10342
2024-08-28,24.3298,24.3299,24.28,24.3,7399
2024-08-27,24.23,24.3,24.21,24.2626,6758
2024-08-26,24.28,24.29,24.2701,24.28,2297
2024-08-23,24.235,24.31,24.148,24.2648,8901
2024-08-22,24.258,24.28,24.08,24.18,5634
2024-08-21,24.23,24.3202,24.03,24.2435,10049
2024-08-20,24.31,24.33,24.2,24.3,4062
2024-08-19,24.26,24.3,24.25,24.3,5834
2024-08-16,24.24,24.3,24.2301,24.265,3530
2024-08-15,24.3,24.3,24.1395,24.2,7322
2024-08-14,24.26,24.27,24.25,24.2534,2626
2024-08-13,24.27,24.27,24.156,24.24,3786
2024-08-12,24.15,24.25,24.02,24.24,3762
2024-08-09,24.155,24.18,24.14,24.1595,6568
2024-08-08,24.17,24.2139,24.02,24.125,14621
2024-08-07,24.125,24.2499,24.0,24.17,8175
2024-08-06,24.2,24.2,24.1,24.1999,3586
2024-08-05,24.23,24.28,23.8,24.18,18015
2024-08-02,24.2,24.2,24.0,24.2,7925
2024-08-01,24.28,24.28,24.21,24.25,3758
2024-07-31,24.04,24.28,24.04,24.28,5216
2024-07-30,24.12,24.2,24.12,24.2,1345
2024-07-29,24.2,24.2,24.15,24.15,1010
2024-07-26,24.07,24.22,24.07,24.2,2677
2024-07-25,24.15,24.1858,24.12,24.15,2939
2024-07-24,24.0819,24.2,24.0,24.18,4804
2024-07-23,24.13,24.19,24.02,24.14,7842
2024-07-22,24.01,24.23,24.01,24.1999,4300
2024-07-19,24.12,24.18,24.12,24.18,1017
2024-07-18,24.19,24.19,24.14,24.14,634
2024-07-17,24.2102,24.2102,24.1857,24.1857,1303
2024-07-16,24.09,24.17,24.03,24.17,8881
2024-07-15,24.1,24.104,24.005,24.104,1891
2024-07-12,23.95,24.13,23.95,24.13,3670
2024-07-11,24.15,24.15,24.11,24.15,842
2024-07-10,24.1498,24.15,24.1498,24.15,2539
2024-07-09,24.066,24.1234,24.066,24.12,1993
2024-07-08,24.02,24.14,24.02,24.14,3467
2024-07-05,24.01,24.13,23.97,24.13,2210
2024-07-03,24.13,24.13,24.0501,24.13,1290
2024-07-02,23.98,24.13,23.98,24.13,13580
2024-07-01,23.86,24.04,23.86,24.0305,3910
2024-06-28,24.04,24.13,23.91,23.91,3949
2024-06-27,23.97,24.05,23.86,24.05,2775
2024-06-26,23.87,24.05,23.87,24.05,8066
2024-06-25,23.9,24.04,23.9,24.03,2206
2024-06-24,23.99,24.04,23.91,24.03,3892
2024-06-21,23.87,23.95,23.87,23.95,9972
2024-06-20,23.86,24.04,23.86,23.93,8636
2024-06-18,23.99,24.05,23.9,24.0152,6693
2024-06-17,24.02,24.02,23.8992,23.99,6491
2024-06-14,23.94,24.03,23.8775,24.03,4052
2024-06-13,23.87,23.975,23.87,23.9699,3468
2024-06-12,24.0318,24.0318,23.8713,23.8713,6048
2024-06-11,23.9521,23.9521,23.86,23.93,4788
2024-06-10,23.93,24.0245,23.85,23.85,2790
2024-06-07,23.9301,24.04,23.93,23.99,1295
2024-06-06,23.99,24.04,23.9577,23.9577,3062
2024-06-05,23.9596,24.0001,23.95,24.0,4181
2024-06-04,23.941,24.02,23.941,23.99,1808
2024-06-03,24.0584,24.0584,23.91,23.91,7465
2024-05-31,23.89,24.13,23.875,24.13,47026
2024-05-30,24.1025,24.13,24.045,24.13,3334
2024-05-29,24.1,24.1299,23.97,24.1,7205
2024-05-28,24.16,24.16,24.02,24.05,9027
2024-05-24,24.0067,24.08,24.0067,24.08,1158
2024-05-23,24.03,24.08,24.0,24.08,7663
2024-05-22,24.03,24.08,24.01,24.08,4872
2024-05-21,23.96,24.08,23.96,24.0,4723
2024-05-20,24.08,24.08,24.0,24.05,2957
2024-05-17,24.0356,24.0799,23.968,24.06,2573
2024-05-16,24.05,24.08,23.9899,24.05,7277
2024-05-15,24.05,24.08,24.05,24.08,2004
2024-05-14,24.07,24.07,24.03,24.03,4193
2024-05-13,23.99,23.99,23.9727,23.99,6940
2024-05-10,23.98,23.99,23.98,23.99,2066
2024-05-09,23.95,23.99,23.95,23.99,3837
2024-05-08,23.99,24.0137,23.9275,23.99,6427
2024-05-07,24.065,24.08,24.0595,24.08,5211
2024-05-06,24.06,24.0799,24.06,24.0799,3121
2024-05-03,23.97,24.08,23.96,24.08,30725
2024-05-02,23.8495,23.8495,23.756,23.77,16827
2024-05-01,23.835,23.89,23.78,23.78,30957
2024-04-30,23.85,23.89,23.75,23.85,21088
2024-04-29,23.88,23.95,23.86,23.89,2023
2024-04-26,23.99,23.99,23.861,23.88,4107
2024-04-25,23.99,23.99,23.8905,23.8905,1484
2024-04-24,23.85,23.97,23.85,23.92,1055
2024-04-23,23.86,23.8807,23.83,23.86,3222
2024-04-22,23.89,23.89,23.8102,23.831,1077
2024-04-19,23.89,23.89,23.85,23.85,1167
2024-04-18,23.8245,23.93,23.8245,23.93,1664
2024-04-17,23.8,23.99,23.8,23.932,1429
2024-04-16,23.835,23.88,23.8,23.88,2265
2024-04-15,23.85,23.88,23.64,23.87,12047
