datetime,open,high,low,close,volume
2025-04-01,8.2,8.2,6.5991,6.5991,19321
2025-03-31,4.03,4.4566,4.0,4.03,7750
2025-03-28,4.16,4.48,3.9,3.94,26412
2025-03-27,4.72,4.86,4.01,4.01,35196
2025-03-26,4.5,4.8,4.3,4.64,45738
2025-03-25,5.65,5.65,4.36,4.76,39895
2025-03-24,6.07,6.1,5.55,5.65,49494
2025-03-21,6.0,6.2,5.5,6.2,537729
2025-03-20,5.94,6.35,5.51,6.01,89502
2025-03-19,5.475,6.15,5.0,6.09,58791
2025-03-18,5.99,6.0,5.13,5.81,55857
2025-03-17,4.95,6.05,4.95,5.91,77225
2025-03-14,5.78,5.96,4.8,4.94,66407
2025-03-13,5.0,6.5,4.7001,6.0,72952
2025-03-12,5.02,5.69,4.6883,5.14,62003
2025-03-11,4.84,5.0,3.75,4.99,47839
2025-03-10,3.71,4.93,3.5282,4.87,58434
2025-03-07,3.66,3.66,3.3638,3.57,5944
2025-03-06,3.87,4.0,3.6167,3.68,23723
2025-03-05,4.45,4.61,3.89,4.03,45188
2025-03-04,3.29,4.61,2.85,4.61,137790
2025-03-03,2.13,3.9,2.13,3.29,615565
2025-03-02,2.13,3.9,2.13,3.29,615565
2025-02-28,2.1,2.18,2.1,2.11,4603
2025-02-27,2.1,2.18,2.1,2.11,4603
2025-02-26,2.13,2.15,2.07,2.12,2162
2025-02-25,2.1301,2.27,2.0001,2.22,35434
2025-02-24,2.32,2.32,2.13,2.21,7474
2025-02-23,2.6669,2.6669,2.2426,2.3,11079
2025-02-21,2.4,2.4,2.4,2.4,9198
2025-02-20,2.4,2.5,2.2,2.5,10198
2025-02-19,2.2,2.79,2.15,2.31,52123
2025-02-18,2.5,2.53,2.19,2.33,10138
2025-02-17,2.9,3.1894,2.05,2.35,48951
2025-02-14,3.286,3.3259,2.89,2.89,10141
2025-02-13,3.286,3.3259,2.85,2.89,10154
2025-02-12,3.24,3.29,2.95,2.95,16031
2025-02-11,3.34,3.44,3.01,3.13,11254
2025-02-10,3.3,3.57,3.23,3.23,10611
2025-02-09,3.0,3.28,2.9,3.28,16057
2025-02-07,3.13,3.24,3.0,3.0,8298
2025-02-06,8.2,8.2,6.5991,6.5991,19321
2025-02-05,3.338,3.48,3.2275,3.345,3488
2025-02-04,3.6188,3.727,3.17,3.43,3439
2025-02-03,4.1,4.25,3.45,3.53,23846
2025-02-02,4.2,4.2232,4.0,4.21,7385
2025-01-31,4.27,4.43,4.062,4.062,18955
2025-01-30,4.27,4.43,4.062,4.33,19193
2025-01-29,4.2,4.4034,4.0,4.145,5702
