datetime,open,high,low,close,volume
2025-04-01,0.0169,0.017,0.0136,0.0136,49580
2025-02-05,0.0169,0.017,0.0169,0.017,49580
2025-02-04,0.0169,0.0169,0.0169,0.0169,8965
2025-01-15,0.002,0.002,0.002,0.002,7950
2025-01-08,0.0169,0.0169,0.0018,0.0018,1000
2024-12-27,0.0015,0.0015,0.0015,0.0015,7500
2024-12-26,0.0014,0.0014,0.0014,0.0014,1000
2024-12-23,0.017,0.0179,0.017,0.0179,15855
2024-12-17,0.0105,0.0105,0.0105,0.0105,4000
2024-12-12,0.0105,0.0105,0.0105,0.0105,6800
2024-12-10,0.007,0.0212,0.007,0.0212,42200
2024-12-05,0.0011,0.0011,0.0011,0.0011,3000
2024-11-13,0.0026,0.0026,0.001,0.001,90580
2024-10-15,0.0026,0.0026,0.0026,0.0026,135
2024-09-16,0.0025,0.0025,0.0025,0.0025,10000
2024-07-29,0.0036,0.0036,0.0024,0.0024,75000
2024-07-18,0.0035,0.0035,0.0035,0.0035,300
2024-07-17,0.0117,0.0117,0.0022,0.0035,161345
2024-06-25,0.018,0.065,0.018,0.065,55216
2024-06-24,0.014,0.014,0.014,0.014,10000
2024-06-20,0.0101,0.0101,0.006,0.006,29999
2024-06-07,0.025,0.025,0.025,0.025,10000
2024-06-03,0.025,0.025,0.017,0.017,10764
2024-05-30,0.0021,0.028,0.0021,0.028,122
2024-05-24,0.0036,0.0036,0.0036,0.0036,5000
2024-05-15,0.0021,0.0021,0.0021,0.0021,122
2024-05-06,0.00245,0.00245,0.00245,0.00245,49
2024-04-09,0.00194,0.00194,0.00194,0.00194,49
