datetime,open,high,low,close,volume
2025-04-01,30.53,31.14,30.02,30.89,63900
2025-03-31,30.48,31.18,30.3,30.53,104800
2025-03-28,30.37,30.94,30.37,30.75,43500
2025-03-27,30.71,30.79,30.42,30.61,32500
2025-03-26,30.77,31.17,30.13,30.48,28700
2025-03-25,30.38,31.04,29.32,30.91,257400
2025-03-24,30.49,30.77,30.22,30.42,39100
2025-03-21,29.92,30.87,29.9,30.38,152100
2025-03-20,29.66,30.4,28.8,29.98,73200
2025-03-19,29.37,30.13,28.9,30.0,125700
2025-03-18,28.98,30.44,28.97,29.37,290800
2025-03-17,28.25,29.37,28.25,29.01,79800
2025-03-14,28.08,28.61,27.67,28.3,103700
2025-03-13,26.73,28.7,26.73,28.32,197600
2025-03-12,27.79,27.79,26.59,26.71,179600
2025-03-11,28.2,28.2,27.18,27.51,159500
2025-03-10,29.5,30.42,27.45,27.96,215100
2025-03-07,29.9,30.1,29.01,29.37,385900
2025-03-06,30.85,31.51,28.17,29.62,493100
2025-03-05,30.7,31.21,30.7,31.02,265000
2025-03-04,30.89,32.38,30.44,30.49,234400
2025-03-03,32.59,32.59,30.75,30.95,334800
2025-02-28,33.35,33.68,32.27,32.86,354100
2025-02-27,35.73,35.73,33.14,33.28,307700
2025-02-26,35.41,35.99,35.24,35.9,197400
2025-02-25,35.2,35.59,34.91,35.54,229200
2025-02-24,34.89,35.15,34.76,35.01,253300
2025-02-21,34.6,34.94,34.55,34.85,271400
2025-02-20,34.19,34.44,34.16,34.38,234200
2025-02-19,34.05,34.42,34.05,34.31,246500
2025-02-18,33.98,34.44,33.98,34.09,237500
2025-02-14,34.22,34.86,34.02,34.1,286900
2025-02-13,34.04,34.49,33.42,34.16,250300
2025-02-12,34.15,35.14,33.85,33.85,249200
2025-02-11,34.32,34.71,34.32,34.41,232700
2025-02-10,33.93,34.96,33.85,34.62,309900
2025-02-07,33.89,34.26,33.85,34.05,273500
2025-02-06,33.86,34.81,32.97,34.06,400200
2025-02-05,33.64,34.24,33.64,33.85,318800
2025-02-04,33.79,34.43,33.46,33.62,291100
2025-02-03,34.1,34.97,33.87,34.07,512900
2025-01-31,35.27,36.21,33.97,34.04,275700
2025-01-30,36.0,36.02,35.21,35.48,284600
2025-01-29,35.92,36.0,35.5,35.78,273100
2025-01-28,37.86,38.22,35.61,35.79,512400
2025-01-27,38.14,38.55,37.8,37.99,174700
2025-01-24,37.5,38.27,37.5,38.15,238000
2025-01-23,36.95,37.56,36.23,37.5,253300
2025-01-22,37.83,38.45,37.05,37.09,199500
2025-01-21,37.18,37.83,37.1,37.5,354200
2025-01-17,36.69,36.94,35.97,36.88,410700
2025-01-16,36.85,36.99,36.1,36.64,312000
2025-01-15,35.78,37.08,35.78,36.81,563400
2025-01-14,35.73,35.94,34.76,35.55,636300
2025-01-13,38.36,38.36,35.7,35.84,758900
2025-01-10,38.6,38.76,37.52,38.44,498600
2025-01-08,38.95,39.15,38.67,39.0,236500
2025-01-07,39.71,40.07,38.82,38.98,221400
2025-01-06,39.51,40.21,39.51,39.71,224100
2025-01-03,39.75,39.98,39.5,39.52,167500
2025-01-02,39.66,40.0,39.5,39.68,299300
2024-12-31,39.63,39.78,39.47,39.6,146000
2024-12-30,39.4,39.73,39.4,39.63,136900
2024-12-27,39.53,39.61,39.25,39.44,172700
2024-12-26,39.55,40.0,39.53,39.67,121800
2024-12-24,39.56,39.77,39.52,39.68,56700
2024-12-23,39.65,39.8,39.27,39.52,156600
2024-12-20,40.1,40.17,39.55,39.75,309800
2024-12-19,39.73,40.04,39.52,39.91,117300
2024-12-18,39.96,39.99,39.5,39.7,110100
2024-12-17,39.96,40.01,39.88,39.96,167300
2024-12-16,39.96,40.05,39.83,40.01,253500
2024-12-13,39.88,40.05,39.59,40.03,152600
2024-12-12,40.0,40.0,39.62,39.99,103200
2024-12-11,40.08,40.39,39.94,40.0,145100
2024-12-10,40.13,40.3,39.94,39.94,213800
2024-12-09,40.0,40.24,39.87,40.13,203000
2024-12-06,40.0,40.03,39.89,40.0,368200
2024-12-05,39.9,40.05,39.76,39.93,142400
2024-12-04,39.49,40.03,39.35,39.91,144200
2024-12-03,39.49,39.55,39.19,39.49,151600
2024-12-02,39.51,39.68,39.4,39.61,204600
2024-11-29,39.42,39.58,39.42,39.45,35400
2024-11-27,39.5,39.68,39.41,39.54,120000
2024-11-26,39.64,39.78,39.31,39.58,186200
2024-11-25,39.3,39.61,39.12,39.56,239300
2024-11-22,39.2,39.58,39.1,39.33,174400
2024-11-21,39.19,39.24,39.08,39.19,124500
2024-11-20,39.15,39.2,39.07,39.17,202200
2024-11-19,39.06,39.23,38.99,39.19,228300
2024-11-18,38.66,39.26,38.29,39.25,359100
2024-11-15,38.23,38.95,38.2,38.72,125900
2024-11-14,38.12,38.37,37.86,38.09,165200
2024-11-13,38.58,38.58,38.14,38.17,180800
2024-11-12,38.43,38.93,38.43,38.56,326400
2024-11-11,38.63,38.71,38.31,38.48,199600
2024-11-08,38.47,38.74,38.42,38.46,119000
2024-11-07,38.34,38.83,38.3,38.4,272100
2024-11-06,38.57,38.85,38.02,38.49,428000
2024-11-05,37.48,37.79,37.14,37.66,184400
2024-11-04,37.61,37.82,37.39,37.57,145300
2024-11-01,37.63,37.87,37.52,37.63,239900
2024-10-31,37.5,37.6,37.5,37.52,256700
2024-10-30,37.57,37.84,37.5,37.5,226800
2024-10-29,37.63,37.7,37.5,37.51,249200
2024-10-28,37.76,38.42,37.61,37.8,209500
2024-10-25,38.14,38.37,37.51,37.59,366900
2024-10-24,38.22,38.32,38.1,38.13,180700
2024-10-23,38.19,38.62,38.19,38.28,163500
2024-10-22,38.25,38.46,38.21,38.28,134300
2024-10-21,38.21,38.52,38.21,38.41,217800
2024-10-18,38.36,38.38,38.24,38.26,278500
2024-10-17,38.51,38.61,38.35,38.38,283900
2024-10-16,38.51,38.91,38.35,38.53,266700
2024-10-15,38.33,38.92,38.33,38.55,390600
2024-10-14,38.53,38.55,38.32,38.32,282700
2024-10-11,38.55,38.76,38.51,38.57,249500
2024-10-10,38.6,38.7,38.54,38.66,180800
2024-10-09,38.2,38.61,38.2,38.55,212800
2024-10-08,38.35,38.35,38.19,38.2,294400
2024-10-07,38.47,38.58,38.14,38.26,215400
2024-10-04,38.37,38.49,38.07,38.42,114100
2024-10-03,38.31,38.41,38.11,38.2,196300
2024-10-02,38.26,38.54,38.23,38.37,95300
2024-10-01,38.76,38.76,38.27,38.41,73300
2024-09-30,38.42,38.79,38.41,38.78,106300
2024-09-27,38.57,38.74,38.18,38.49,62300
2024-09-26,39.03,39.39,38.39,38.47,364100
2024-09-25,39.18,39.18,38.8,38.83,307900
2024-09-24,39.3,39.38,39.02,39.12,131100
2024-09-23,39.27,39.53,39.25,39.34,234600
2024-09-20,39.29,39.51,39.26,39.26,549300
2024-09-19,39.54,39.54,39.19,39.4,245000
2024-09-18,39.2,39.76,39.2,39.3,344400
2024-09-17,39.48,39.49,39.24,39.26,310300
2024-09-16,39.33,39.51,39.21,39.44,203100
2024-09-13,39.32,39.38,38.98,39.36,282600
2024-09-12,39.2,39.22,38.99,39.01,339000
2024-09-11,39.51,39.79,39.22,39.23,347900
2024-09-10,39.26,39.69,39.24,39.62,279200
2024-09-09,38.9,39.35,38.85,39.32,352400
2024-09-06,38.93,39.01,38.69,38.83,382700
2024-09-05,38.93,39.0,38.77,39.0,254400
2024-09-04,39.2,39.26,38.79,38.81,354400
2024-09-03,39.55,39.64,39.18,39.22,301900
2024-08-30,39.61,39.77,39.5,39.63,181100
2024-08-29,39.88,39.88,39.55,39.67,333800
2024-08-28,39.5,39.68,39.48,39.56,277800
2024-08-27,39.59,39.59,39.43,39.53,222400
2024-08-26,39.83,39.83,39.4,39.57,325200
2024-08-23,39.97,40.12,39.66,39.71,414700
2024-08-22,40.1,40.1,39.96,39.96,302700
2024-08-21,40.28,40.28,40.02,40.06,198400
2024-08-20,40.1,40.16,40.0,40.02,306300
2024-08-19,40.08,40.16,40.03,40.12,46600
2024-08-16,39.7,40.23,39.7,40.06,487900
2024-08-15,39.6,39.82,39.38,39.72,361300
2024-08-14,40.18,40.2,39.31,39.31,445800
2024-08-13,40.18,40.37,40.0,40.02,1002400
2024-08-12,41.1,41.29,41.02,41.04,809700
2024-08-09,41.1,41.3,41.01,41.1,448200
2024-08-08,41.05,41.24,41.02,41.11,548700
2024-08-07,41.3,41.3,41.0,41.05,397000
2024-08-06,41.01,41.32,41.0,41.25,407300
2024-08-05,41.11,41.15,40.57,41.0,484100
2024-08-02,41.29,41.48,41.13,41.24,479500
2024-08-01,41.31,41.45,41.3,41.31,424800
2024-07-31,41.5,41.56,41.22,41.4,263100
2024-07-30,41.54,41.54,41.35,41.5,390200
2024-07-29,41.42,41.62,41.36,41.4,461600
2024-07-26,41.77,41.77,41.31,41.44,383000
2024-07-25,41.88,41.88,41.4,41.55,471800
2024-07-24,41.73,41.83,41.73,41.81,426400
2024-07-23,41.81,41.84,41.72,41.8,478300
2024-07-22,41.79,41.8,41.66,41.78,416000
2024-07-19,41.77,41.77,41.58,41.66,475200
2024-07-18,41.95,41.98,41.71,41.79,705100
2024-07-17,42.05,42.13,41.93,41.95,424900
2024-07-16,42.05,42.11,41.85,42.11,296900
2024-07-15,42.25,42.25,41.73,41.97,472900
2024-07-12,42.21,42.21,42.11,42.17,175400
2024-07-11,42.2,42.2,42.04,42.17,208200
2024-07-10,42.32,42.32,42.02,42.1,617400
2024-07-09,42.05,42.44,42.05,42.24,646500
2024-07-08,41.97,42.05,41.94,42.04,510300
2024-07-05,41.94,41.97,41.89,41.97,387400
2024-07-03,41.93,42.0,41.91,41.98,142500
2024-07-02,41.93,41.99,41.86,41.97,412500
2024-07-01,41.98,42.05,41.81,41.9,676500
2024-06-28,41.95,42.04,41.93,42.04,946000
2024-06-27,41.96,41.99,41.94,41.97,491600
2024-06-26,41.94,41.98,41.9,41.96,645100
2024-06-25,41.95,41.98,41.93,41.96,408500
2024-06-24,41.96,42.0,41.93,41.96,552000
2024-06-21,41.95,41.96,41.91,41.95,550800
2024-06-20,41.95,41.99,41.93,41.95,284200
2024-06-18,41.95,41.98,41.85,41.94,332500
2024-06-17,41.93,41.97,41.85,41.91,271500
2024-06-14,41.95,42.0,41.9,41.95,335100
2024-06-13,41.92,42.01,41.79,42.0,221200
2024-06-12,41.85,42.09,41.85,41.92,323000
2024-06-11,41.92,41.94,41.8,41.85,565900
2024-06-10,41.95,42.05,41.78,41.86,226900
2024-06-07,41.96,42.0,41.9,41.95,191200
2024-06-06,41.98,42.02,41.9,41.96,128200
2024-06-05,42.0,42.06,41.96,41.99,379200
2024-06-04,42.06,42.08,41.86,41.97,748100
2024-06-03,42.09,42.15,42.01,42.05,768800
2024-05-31,42.08,42.16,42.0,42.06,706700
2024-05-30,42.11,42.22,42.06,42.1,1203900
2024-05-29,42.3,42.36,42.05,42.1,2897500
2024-05-28,34.18,35.38,34.18,35.1,42900
2024-05-24,34.45,34.45,34.15,34.38,22400
2024-05-23,35.22,35.36,34.03,34.22,31600
2024-05-22,34.73,35.83,34.73,35.27,32500
2024-05-21,34.91,35.22,34.21,34.89,20800
2024-05-20,34.52,35.25,33.87,35.06,67000
2024-05-17,34.38,34.8,34.15,34.62,36900
2024-05-16,33.72,34.24,33.48,34.08,38900
2024-05-15,33.34,34.16,32.98,33.56,183300
2024-05-14,32.61,33.36,32.4,33.0,56600
2024-05-13,32.35,32.74,31.96,32.45,50000
2024-05-10,32.25,32.62,31.68,32.16,30300
2024-05-09,31.48,32.75,31.48,32.32,51100
2024-05-08,31.47,31.69,30.98,31.59,32300
2024-05-07,31.65,32.78,31.65,31.87,32400
2024-05-06,32.5,32.67,31.88,32.48,54200
2024-05-03,35.21,35.21,32.34,32.49,90400
2024-05-02,34.36,35.5,32.89,34.55,381000
2024-05-01,27.88,34.36,27.0,33.33,256600
2024-04-30,25.54,25.87,25.17,25.69,65800
2024-04-29,26.52,26.6,25.76,25.85,23900
2024-04-26,26.03,26.68,25.8,26.17,22700
2024-04-25,25.74,26.22,25.22,26.17,31800
2024-04-24,26.86,26.86,25.85,26.07,62800
2024-04-23,25.56,27.0,25.35,26.92,52900
2024-04-22,26.52,26.56,25.26,25.39,116300
2024-04-19,26.24,27.09,26.22,26.49,54900
2024-04-18,26.52,26.92,26.39,26.39,140400
2024-04-17,26.73,26.73,26.39,26.52,443000
2024-04-16,26.3,26.86,26.25,26.6,155400
2024-04-15,27.27,27.28,26.25,26.42,232300
2024-04-12,27.54,27.97,26.86,27.0,79500
2024-04-11,27.59,27.74,27.1,27.68,156900
2024-04-10,27.32,27.86,26.99,27.64,53700
2024-04-09,27.86,28.02,27.23,27.75,48100
2024-04-08,27.35,27.8,27.35,27.49,27700
2024-04-05,27.04,27.43,26.83,27.08,290200
2024-04-04,27.39,27.94,27.18,27.18,23900
2024-04-03,26.67,27.36,26.5,26.96,34500
2024-04-02,27.6,27.6,26.51,26.97,62400
