datetime,open,high,low,close,volume
2025-04-01,8.1,8.1,8.02,8.06,500
2025-03-31,8.0,8.11,8.0,8.11,2800
2025-03-28,8.02,8.02,8.01,8.01,800
2025-03-27,8.06,8.16,8.0,8.06,1700
2025-03-26,8.07,8.15,8.0,8.02,1500
2025-03-25,7.99,8.15,7.99,8.15,2100
2025-03-24,7.82,8.21,7.82,8.06,3000
2025-03-21,8.05,8.21,7.87,7.87,3900
2025-03-20,8.2,8.25,8.05,8.14,3300
2025-03-19,7.98,8.15,7.95,8.12,28300
2025-03-18,7.99,7.99,7.81,7.9,900
2025-03-17,7.74,7.96,7.7,7.86,7000
2025-03-14,7.68,7.99,7.68,7.81,3700
2025-03-13,7.89,7.89,7.7,7.7,3800
2025-03-12,7.8,7.82,7.75,7.77,7700
2025-03-11,7.7,7.82,7.3,7.53,2100
2025-03-10,7.8,7.8,7.65,7.7,3200
2025-03-07,7.82,7.82,7.65,7.67,3800
2025-03-06,7.66,7.76,7.66,7.76,1000
2025-03-05,7.65,7.75,7.65,7.66,600
2025-03-04,7.64,7.82,7.64,7.66,1900
2025-03-03,7.73,7.82,7.6,7.71,6700
2025-02-28,7.92,8.03,7.72,7.75,3500
2025-02-27,7.86,7.86,7.8,7.83,2300
2025-02-26,7.87,8.05,7.87,7.87,1500
2025-02-25,8.1,8.13,7.64,8.05,1500
2025-02-24,8.05,8.15,8.0,8.05,14200
2025-02-21,7.99,8.15,7.99,8.0,1700
2025-02-20,8.12,8.2,8.09,8.1,9200
2025-02-19,8.02,8.13,8.0,8.13,2300
2025-02-18,8.05,8.14,7.91,8.14,9200
2025-02-14,7.57,8.1,7.57,8.1,17700
2025-02-13,7.5,7.8,7.5,7.8,2300
2025-02-12,7.43,7.9,7.43,7.9,700
2025-02-11,7.61,7.87,7.61,7.87,2400
2025-02-10,7.45,7.75,7.45,7.75,6400
2025-02-07,7.74,8.03,7.74,7.81,3400
2025-02-06,7.84,8.05,7.61,8.05,9900
2025-02-05,7.66,7.96,7.66,7.7,2000
2025-02-04,7.65,7.88,7.65,7.83,4900
2025-02-03,7.33,7.53,7.21,7.5,4200
2025-01-31,7.63,7.99,7.1,7.4,15500
2025-01-30,7.6,8.3,7.5,7.75,4700
2025-01-29,7.88,7.88,7.5,7.71,4300
2025-01-28,7.76,7.85,7.66,7.8,8400
2025-01-27,8.0,8.0,7.61,7.79,5500
2025-01-24,8.0,8.05,7.8,8.0,11300
2025-01-23,8.42,8.42,7.9,8.17,37100
2025-01-22,7.86,8.24,7.86,8.0,6000
2025-01-21,8.0,8.24,7.9,7.9,3000
2025-01-17,8.2,8.21,8.02,8.02,2700
2025-01-16,8.05,8.39,7.93,8.33,8100
2025-01-15,8.12,8.15,8.0,8.04,6500
2025-01-14,8.5,8.5,7.96,8.3,3400
2025-01-13,8.0,8.42,7.75,8.42,4100
2025-01-10,8.31,8.31,8.01,8.04,1600
2025-01-08,8.4,8.5,8.19,8.28,3100
2025-01-07,7.79,8.39,7.79,8.26,22500
2025-01-06,8.54,8.54,7.9,7.96,14600
2025-01-03,8.72,8.72,8.45,8.57,7900
2025-01-02,9.06,9.06,8.26,8.55,13500
2024-12-31,7.02,9.99,6.73,9.25,223400
2024-12-30,6.8,6.99,6.29,6.92,15300
2024-12-27,6.63,6.77,6.63,6.66,12600
2024-12-26,6.66,6.75,6.2,6.5,13600
2024-12-24,6.45,6.83,6.45,6.78,2700
2024-12-23,6.39,6.58,6.39,6.56,2600
2024-12-20,6.78,6.78,6.38,6.44,10800
2024-12-19,6.92,6.98,6.51,6.65,3400
2024-12-18,6.51,7.0,6.51,6.81,9800
2024-12-17,6.7,6.9,6.7,6.75,6200
2024-12-16,6.86,6.87,6.51,6.77,12900
2024-12-13,6.87,7.0,6.75,6.99,7200
2024-12-12,6.7,7.07,6.7,7.0,7900
2024-12-11,7.09,7.19,7.09,7.1,3200
2024-12-10,7.11,7.3,7.09,7.2,3300
2024-12-09,7.5,7.5,7.24,7.25,5500
2024-12-06,7.43,7.5,7.14,7.38,2700
2024-12-05,7.51,7.51,6.64,7.29,23600
2024-12-04,7.55,7.55,7.3,7.41,3300
2024-12-03,7.58,7.58,7.35,7.45,1100
2024-12-02,7.5,7.51,7.06,7.51,15900
2024-11-29,7.19,7.61,7.04,7.61,6100
2024-11-27,7.28,7.38,6.89,7.29,7300
2024-11-26,6.81,7.32,6.81,7.24,8000
2024-11-25,7.13,7.35,6.85,7.08,11800
2024-11-22,7.26,7.26,7.06,7.15,9700
2024-11-21,7.06,7.47,7.06,7.24,20600
2024-11-20,7.38,7.47,7.08,7.08,12800
2024-11-19,7.38,7.5,7.32,7.39,2900
2024-11-18,7.75,7.79,7.07,7.3,20300
2024-11-15,7.71,7.92,7.71,7.92,1500
2024-11-14,7.65,7.93,7.65,7.79,7200
2024-11-13,7.91,7.91,7.68,7.84,3700
2024-11-12,8.0,8.13,7.77,7.93,8900
2024-11-11,7.8,8.03,7.65,8.01,28700
2024-11-08,7.96,7.96,7.67,7.72,3300
2024-11-07,7.76,8.03,7.67,8.03,8400
2024-11-06,7.86,7.96,7.66,7.94,7800
2024-11-05,7.96,7.98,7.66,7.81,9300
2024-11-04,7.96,8.01,7.66,7.88,8600
2024-11-01,7.88,7.88,7.88,7.88,200
2024-10-31,7.96,8.17,7.78,7.88,21300
2024-10-30,8.03,8.03,7.81,7.91,10600
2024-10-29,8.0,8.05,7.87,8.03,3200
2024-10-28,8.1,8.25,7.9,8.09,9900
2024-10-25,8.07,8.19,8.04,8.18,2400
2024-10-24,8.09,8.09,7.89,8.04,3300
2024-10-23,8.23,8.25,8.1,8.18,4600
2024-10-22,8.3,8.3,8.12,8.18,4700
2024-10-21,8.3,8.3,8.19,8.3,10400
2024-10-18,8.35,8.35,8.16,8.24,5300
2024-10-17,8.1,8.48,8.1,8.29,10600
2024-10-16,8.12,8.15,8.02,8.15,14300
2024-10-15,7.85,8.11,7.69,8.02,29000
2024-10-14,8.0,8.22,8.0,8.17,7200
2024-10-11,8.08,8.25,7.91,7.92,14000
2024-10-10,8.24,8.24,7.93,8.13,5300
2024-10-09,8.12,8.26,8.02,8.2,5000
2024-10-08,8.23,8.59,8.09,8.24,21600
2024-10-07,8.06,8.39,7.96,8.33,12000
2024-10-04,7.96,8.13,7.9,7.98,6700
2024-10-03,7.88,7.98,7.88,7.97,4900
2024-10-02,7.85,8.07,7.85,7.95,16000
2024-10-01,7.97,7.98,7.89,7.89,2500
2024-09-30,7.91,8.07,7.91,8.0,9200
