datetime,open,high,low,close,volume
2025-04-01,0.4,0.422,0.39,0.414,142800
2025-03-31,0.444,0.444,0.411,0.411,49100
2025-03-28,0.46,0.465,0.42,0.453,139900
2025-03-27,0.471,0.492,0.45,0.473,239600
2025-03-26,0.459,0.468,0.42,0.465,272600
2025-03-25,0.439,0.47,0.42,0.439,133700
2025-03-24,0.411,0.44,0.401,0.43,128800
2025-03-21,0.405,0.44,0.38,0.437,404600
2025-03-20,0.418,0.419,0.4,0.401,119200
2025-03-19,0.398,0.409,0.38,0.402,113300
2025-03-18,0.419,0.419,0.37,0.381,196400
2025-03-17,0.4,0.42,0.38,0.401,182400
2025-03-14,0.411,0.42,0.38,0.394,220700
2025-03-13,0.415,0.424,0.381,0.403,354400
2025-03-12,0.408,0.44,0.408,0.424,164300
2025-03-11,0.37,0.46,0.37,0.421,473900
2025-03-10,0.37,0.415,0.36,0.371,537000
2025-03-07,0.371,0.38,0.353,0.378,190300
2025-03-06,0.386,0.41,0.365,0.38,292600
2025-03-05,0.41,0.44,0.38,0.398,330800
2025-03-04,0.345,0.44,0.331,0.41,1659700
2025-03-03,0.372,0.39,0.336,0.345,1394900
2025-02-28,0.425,0.446,0.375,0.407,1293500
2025-02-27,0.6,0.62,0.467,0.485,3312700
2025-02-26,0.636,0.678,0.581,0.622,805500
2025-02-25,0.621,0.66,0.58,0.62,1872800
2025-02-24,0.776,0.79,0.66,0.674,2526500
2025-02-21,0.797,0.83,0.72,0.792,3293000
2025-02-20,0.89,0.927,0.809,0.857,3175500
2025-02-19,0.863,0.892,0.82,0.865,6541800
2025-02-18,0.886,1.09,0.811,0.95,80140000
2025-02-14,0.73,0.851,0.601,0.7,254392300
2025-02-13,0.342,0.359,0.322,0.358,127500
2025-02-12,0.329,0.366,0.31,0.337,209300
2025-02-11,0.32,0.329,0.31,0.314,61300
2025-02-10,0.3,0.33,0.3,0.315,146000
2025-02-07,0.339,0.355,0.308,0.316,171500
2025-02-06,0.331,0.35,0.323,0.335,58800
2025-02-05,0.333,0.335,0.321,0.335,98300
2025-02-04,0.335,0.349,0.311,0.333,175700
2025-02-03,0.351,0.351,0.332,0.335,165600
2025-01-31,0.35,0.368,0.345,0.352,123300
2025-01-30,0.385,0.395,0.334,0.35,415400
2025-01-29,0.38,0.395,0.38,0.389,126800
2025-01-28,0.39,0.41,0.361,0.381,202000
2025-01-27,0.422,0.45,0.39,0.403,364100
2025-01-24,0.437,0.46,0.435,0.436,114000
2025-01-23,0.46,0.48,0.431,0.45,333500
2025-01-22,0.451,0.5,0.44,0.467,652000
2025-01-21,0.455,0.492,0.445,0.455,366100
2025-01-17,0.469,0.469,0.448,0.45,212500
2025-01-16,0.413,0.46,0.412,0.448,258500
2025-01-15,0.494,0.498,0.406,0.436,717800
2025-01-14,0.538,0.548,0.48,0.504,471700
2025-01-13,0.54,0.554,0.5,0.554,643300
2025-01-10,0.639,0.672,0.556,0.563,1480300
2025-01-08,0.769,0.84,0.61,0.64,12944000
2025-01-07,0.7,0.7,0.641,0.685,214100
2025-01-06,0.67,0.695,0.645,0.686,652600
2025-01-03,0.671,0.671,0.61,0.654,504700
2025-01-02,0.624,0.678,0.605,0.66,592200
2024-12-31,0.66,0.67,0.609,0.629,798500
2024-12-30,0.61,0.73,0.594,0.68,1163100
2024-12-27,0.621,0.63,0.59,0.615,270300
2024-12-26,0.65,0.661,0.612,0.646,208000
2024-12-24,0.619,0.68,0.593,0.66,662300
2024-12-23,0.583,0.62,0.583,0.62,109800
2024-12-20,0.6,0.645,0.59,0.59,175400
2024-12-19,0.62,0.64,0.59,0.593,308300
2024-12-18,0.64,0.657,0.602,0.604,450400
2024-12-17,0.65,0.664,0.64,0.661,362800
2024-12-16,0.728,0.728,0.64,0.642,682000
2024-12-13,0.74,0.741,0.681,0.71,539500
2024-12-12,0.879,0.88,0.74,0.74,2060100
2024-12-11,0.76,0.8,0.74,0.743,561900
2024-12-10,0.745,0.828,0.745,0.79,793300
2024-12-09,0.71,0.846,0.7,0.745,1196000
2024-12-06,0.783,0.792,0.726,0.726,1688400
2024-12-05,0.886,0.886,0.741,0.785,7065500
2024-12-04,1.37,1.66,1.04,1.16,143643900
2024-12-03,0.63,0.64,0.61,0.63,105800
2024-12-02,0.626,0.65,0.6,0.622,150800
2024-11-29,0.65,0.66,0.635,0.64,60600
2024-11-27,0.65,0.69,0.621,0.641,73800
2024-11-26,0.69,0.69,0.6,0.67,297200
2024-11-25,0.78,0.81,0.68,0.699,1397400
2024-11-22,0.72,0.72,0.631,0.678,152500
2024-11-21,0.65,0.72,0.59,0.71,327900
2024-11-20,0.584,0.63,0.556,0.615,42500
2024-11-19,0.58,0.63,0.553,0.6,95800
2024-11-18,0.62,0.64,0.586,0.63,117900
2024-11-15,0.63,0.63,0.602,0.615,19900
2024-11-14,0.576,0.64,0.551,0.621,133800
2024-11-13,0.585,0.6,0.551,0.57,89600
2024-11-12,0.602,0.616,0.57,0.575,149300
2024-11-11,0.631,0.65,0.602,0.64,74400
2024-11-08,0.65,0.661,0.582,0.65,296700
2024-11-07,0.655,0.685,0.65,0.651,89100
2024-11-06,0.665,0.7,0.631,0.655,331700
2024-11-05,0.72,0.74,0.695,0.703,322400
2024-11-04,0.92,0.97,0.7,0.759,3001100
2024-11-01,0.73,0.869,0.73,0.84,1410800
2024-10-31,0.673,0.75,0.66,0.72,273800
2024-10-30,0.69,0.707,0.66,0.662,135500
2024-10-29,0.69,0.72,0.68,0.69,103100
2024-10-28,0.761,0.79,0.65,0.69,204700
2024-10-25,0.785,0.8,0.75,0.753,184500
2024-10-24,0.799,0.84,0.77,0.805,368000
2024-10-23,0.863,0.891,0.804,0.81,760400
2024-10-22,1.05,1.12,0.77,0.94,17676700
2024-10-21,0.72,0.737,0.68,0.736,7936100
2024-10-18,0.684,0.749,0.684,0.711,74800
2024-10-17,0.671,0.746,0.641,0.705,75800
2024-10-16,0.675,0.73,0.66,0.681,23100
2024-10-15,0.652,0.69,0.641,0.663,45200
2024-10-14,0.738,0.738,0.64,0.672,107100
2024-10-11,0.704,0.75,0.704,0.71,45000
2024-10-10,0.74,0.76,0.704,0.722,90800
2024-10-09,0.711,0.84,0.7,0.756,251800
2024-10-08,0.7,0.75,0.7,0.711,2700
2024-10-07,0.7,0.747,0.7,0.72,16800
2024-10-04,0.711,0.74,0.701,0.711,37600
2024-10-03,0.73,0.73,0.701,0.717,12400
2024-10-02,0.7,0.737,0.7,0.703,10800
2024-10-01,0.727,0.77,0.706,0.722,26500
2024-09-30,0.71,0.75,0.7,0.749,20900
2024-09-27,0.715,0.74,0.7,0.723,8100
2024-09-26,0.73,0.75,0.7,0.733,86500
2024-09-25,0.77,0.8,0.712,0.721,32400
2024-09-24,0.74,0.78,0.712,0.78,227600
2024-09-23,0.712,0.739,0.712,0.735,45400
2024-09-20,0.72,0.74,0.71,0.712,44100
2024-09-19,0.766,0.766,0.7,0.72,54900
2024-09-18,0.72,0.74,0.688,0.724,35700
2024-09-17,0.731,0.75,0.71,0.716,19000
2024-09-16,0.68,0.812,0.68,0.714,130100
2024-09-13,0.669,0.74,0.669,0.694,95700
2024-09-12,0.65,0.8,0.65,0.69,76000
2024-09-11,0.8,0.8,0.613,0.667,230600
2024-09-10,0.835,0.856,0.8,0.8,90500
2024-09-09,0.93,0.978,0.81,0.85,218300
2024-09-06,1.14,1.22,0.9,1.01,1207400
2024-09-05,0.87,1.25,0.838,1.22,1879000
2024-09-04,0.76,0.879,0.746,0.85,78100
2024-09-03,0.759,0.81,0.71,0.752,18500
2024-08-30,0.742,0.762,0.742,0.762,3900
2024-08-29,0.785,0.785,0.7,0.736,25400
2024-08-28,0.8,0.81,0.751,0.761,13400
2024-08-27,0.8,0.818,0.8,0.81,16700
2024-08-26,0.82,0.83,0.8,0.82,12000
2024-08-23,0.82,0.83,0.8,0.82,16900
2024-08-22,0.821,0.85,0.8,0.815,8700
2024-08-21,0.888,0.89,0.84,0.841,20900
2024-08-20,0.869,0.929,0.82,0.867,41100
2024-08-19,0.798,0.899,0.788,0.82,49700
2024-08-16,0.7,0.82,0.69,0.774,54400
2024-08-15,0.668,0.7,0.665,0.7,51400
2024-08-14,0.69,0.7,0.651,0.651,19900
2024-08-13,0.81,0.83,0.695,0.695,70900
2024-08-12,0.88,0.9,0.81,0.816,46000
2024-08-09,0.99,0.99,0.865,0.902,29300
2024-08-08,0.94,0.982,0.91,0.93,23200
2024-08-07,1.0,1.0,0.933,0.97,44700
2024-08-06,0.97,0.984,0.93,0.93,24700
2024-08-05,0.98,0.996,0.93,0.96,63900
2024-08-02,0.988,1.05,0.98,1.005,36700
2024-08-01,1.03,1.08,1.02,1.02,41400
2024-07-31,1.16,1.16,1.04,1.04,140500
2024-07-30,1.25,1.25,1.14,1.163,67700
2024-07-29,1.29,1.29,1.19,1.23,58300
2024-07-26,1.28,1.35,1.21,1.25,46800
2024-07-25,1.28,1.3,1.23,1.28,47500
2024-07-24,1.34,1.365,1.26,1.27,83000
2024-07-23,1.4,1.45,1.37,1.38,87300
2024-07-22,1.21,1.42,1.19,1.42,120900
2024-07-19,1.25,1.3,1.18,1.18,83200
2024-07-18,1.38,1.398,1.2,1.2,76800
2024-07-17,1.17,1.4,1.17,1.39,151100
2024-07-16,1.22,1.25,1.16,1.25,152200
2024-07-15,1.14,1.27,1.11,1.12,140200
2024-07-12,1.06,1.2,1.06,1.16,98200
2024-07-11,1.12,1.12,1.044,1.07,52500
