datetime,open,high,low,close,volume
2025-04-01,11.13,11.2,10.95,11.09,16397900
2025-03-31,11.08,11.28,11.02,11.21,19999800
2025-03-28,11.65,11.69,11.29,11.33,15818100
2025-03-27,11.68,11.91,11.46,11.81,37994000
2025-03-26,12.3,12.51,11.89,11.96,30806600
2025-03-25,12.41,12.42,12.26,12.4,11601600
2025-03-24,12.11,12.32,12.11,12.28,12709800
2025-03-21,11.95,12.12,11.94,12.07,14538400
2025-03-20,12.11,12.27,12.07,12.17,25832800
2025-03-19,12.54,12.75,12.51,12.67,6514800
2025-03-18,12.68,12.74,12.59,12.63,14938900
2025-03-17,12.44,12.6,12.41,12.57,12009200
2025-03-14,12.1,12.4,12.03,12.38,11070400
2025-03-13,11.99,12.05,11.82,11.83,19391800
2025-03-12,12.25,12.37,12.1,12.32,19176200
2025-03-11,12.82,12.84,12.2,12.48,27469900
2025-03-10,12.9,13.09,12.66,12.87,25405200
2025-03-07,12.47,12.86,12.44,12.73,19774700
2025-03-06,12.67,12.93,12.58,12.75,22798700
2025-03-05,12.58,13.0,12.47,12.89,25205100
2025-03-04,11.88,11.99,11.4,11.8,33070900
2025-03-03,13.04,13.14,12.22,12.34,24619200
2025-02-28,12.81,12.96,12.59,12.72,21867100
2025-02-27,12.8,12.83,12.56,12.56,16523400
2025-02-26,13.38,13.6,13.18,13.29,24085400
2025-02-25,14.25,14.28,13.9,14.03,15918600
2025-02-24,14.04,14.16,13.92,13.97,11899700
2025-02-21,14.22,14.23,13.9,13.94,8185500
2025-02-20,13.96,14.12,13.87,14.11,6728800
2025-02-19,13.99,14.03,13.84,13.91,8701600
2025-02-18,14.18,14.22,14.1,14.21,7417800
2025-02-14,14.03,14.19,13.98,14.05,12555300
2025-02-13,13.71,13.91,13.06,13.53,24495700
2025-02-12,13.1,13.34,13.07,13.29,14089300
2025-02-11,13.07,13.16,13.03,13.09,7787000
2025-02-10,12.98,13.05,12.92,12.97,5558700
2025-02-07,13.07,13.13,12.83,12.94,12958300
2025-02-06,13.15,13.15,12.92,12.94,12975800
2025-02-05,13.01,13.08,12.93,12.93,8996900
2025-02-04,12.95,13.15,12.93,13.14,9284000
2025-02-03,12.52,12.87,12.39,12.62,18099400
2025-01-31,13.37,13.65,12.99,13.13,16067800
2025-01-30,13.65,13.71,13.34,13.52,9740100
2025-01-29,13.35,13.44,13.3,13.36,7545900
2025-01-28,13.58,13.58,13.19,13.35,15083200
2025-01-27,13.53,13.67,13.53,13.66,8846500
2025-01-24,13.47,13.5,13.37,13.41,8346000
