datetime,open,high,low,close,volume
2025-04-01,9.29,9.4,9.265,9.35,1853200
2025-03-31,9.26,9.325,9.225,9.29,1468300
2025-03-28,9.38,9.38,9.21,9.26,2292800
2025-03-27,9.3,9.44,9.24,9.38,2847000
2025-03-26,9.32,9.38,9.3,9.35,2980900
2025-03-25,9.44,9.475,9.345,9.42,1050200
2025-03-24,9.51,9.54,9.405,9.43,1614100
2025-03-21,9.71,9.75,9.505,9.53,1752300
2025-03-20,9.69,9.895,9.69,9.83,1554400
2025-03-19,9.8,9.87,9.68,9.7,1206000
2025-03-18,9.63,9.69,9.55,9.67,1697200
2025-03-17,9.46,9.66,9.46,9.6,2324400
2025-03-14,9.45,9.52,9.42,9.47,2329400
2025-03-13,9.41,9.43,9.32,9.38,2880700
2025-03-12,9.47,9.51,9.39,9.4,1503000
2025-03-11,9.56,9.605,9.395,9.46,996200
2025-03-10,9.5,9.615,9.41,9.5,1929800
2025-03-07,9.54,9.63,9.501,9.59,1255900
2025-03-06,9.64,9.69,9.525,9.58,1320100
2025-03-05,9.4,9.685,9.4,9.64,2477600
2025-03-04,9.41,9.48,9.21,9.36,1688500
2025-03-03,9.68,9.73,9.39,9.4,1972600
2025-02-28,9.65,9.7,9.52,9.61,2268000
2025-02-27,9.84,9.915,9.77,9.78,2771500
2025-02-26,9.9,9.9,9.82,9.84,3002100
2025-02-25,9.89,10.02,9.87,9.91,1775900
2025-02-24,10.09,10.1,9.895,9.92,1004400
2025-02-21,10.09,10.16,10.01,10.06,1595800
2025-02-20,10.12,10.22,10.081,10.14,899500
2025-02-19,10.19,10.28,10.14,10.16,1066200
2025-02-18,10.17,10.245,10.091,10.17,2361800
2025-02-14,10.24,10.41,10.12,10.37,3155100
2025-02-13,10.07,10.375,10.04,10.29,2410700
2025-02-12,10.07,10.11,9.93,10.1,2637300
2025-02-11,10.29,10.31,10.145,10.15,1860200
2025-02-10,10.32,10.36,10.145,10.2,2794100
2025-02-07,10.48,10.48,10.26,10.29,1630000
2025-02-06,10.39,10.53,10.36,10.53,2041200
2025-02-05,10.46,10.5,10.33,10.35,2864800
2025-02-04,10.82,10.82,10.47,10.49,3199100
2025-02-03,10.74,10.86,10.695,10.85,1311100
2025-01-31,10.77,10.84,10.73,10.8,1788400
2025-01-30,10.65,10.75,10.592,10.7,2287800
2025-01-29,10.75,10.825,10.66,10.76,1506400
2025-01-28,10.81,10.831,10.705,10.74,1256400
2025-01-27,10.68,10.84,10.635,10.84,3320100
2025-01-24,10.58,10.73,10.57,10.68,710900
2025-01-23,10.49,10.85,10.47,10.59,2700000
2025-01-22,10.45,10.51,10.375,10.45,1764200
2025-01-21,10.32,10.449,10.245,10.4,1096100
2025-01-17,10.01,10.345,10.01,10.31,3429400
2025-01-16,10.05,10.11,9.93,10.05,1697500
2025-01-15,10.11,10.24,9.97,10.19,2010800
2025-01-14,10.18,10.26,10.105,10.12,683500
2025-01-13,10.1,10.3,10.08,10.17,1571900
2025-01-10,10.12,10.14,9.95,10.07,608000
2025-01-08,10.03,10.17,9.97,10.14,897500
2025-01-07,10.25,10.325,10.14,10.18,2560400
2025-01-06,10.23,10.285,10.175,10.23,1527500
2025-01-03,10.29,10.328,10.125,10.17,927100
2025-01-02,10.08,10.26,10.08,10.15,1486300
2024-12-31,10.08,10.175,10.08,10.12,506000
2024-12-30,10.09,10.13,9.965,10.07,1184400
2024-12-27,9.93,10.05,9.86,10.04,1658300
2024-12-26,9.97,10.095,9.94,10.07,1593300
2024-12-24,9.99,10.165,9.91,10.11,948000
2024-12-23,9.66,9.92,9.62,9.92,1597700
2024-12-20,9.77,9.87,9.72,9.76,2137700
2024-12-19,9.93,10.0,9.85,9.86,2722600
2024-12-18,10.01,10.1,9.78,9.88,3121400
2024-12-17,10.45,10.645,10.35,10.43,1432100
2024-12-16,10.31,10.545,10.31,10.33,1829200
2024-12-13,10.38,10.4,10.28,10.31,2057600
2024-12-12,10.57,10.57,10.41,10.46,2064500
2024-12-11,10.74,10.84,10.59,10.69,1748200
2024-12-10,10.83,10.86,10.665,10.7,1514800
2024-12-09,10.79,10.98,10.77,10.93,1833900
2024-12-06,10.81,10.81,10.695,10.72,1048600
2024-12-05,10.81,10.88,10.67,10.81,1381000
2024-12-04,10.69,10.82,10.68,10.8,2002500
2024-12-03,10.24,10.53,10.205,10.52,1958400
2024-12-02,10.32,10.35,10.15,10.24,2307200
2024-11-29,10.28,10.44,10.21,10.35,2267900
2024-11-27,10.28,10.34,10.03,10.04,5707900
2024-11-26,10.33,10.335,10.115,10.19,4625500
2024-11-25,10.5,10.535,10.32,10.32,2233500
2024-11-22,10.45,10.525,10.38,10.49,1380100
2024-11-21,10.4,10.59,10.375,10.56,2517900
2024-11-20,10.47,10.6,10.47,10.56,563500
2024-11-19,10.59,10.59,10.46,10.49,924500
2024-11-18,10.53,10.665,10.52,10.64,1878400
2024-11-15,10.45,10.82,10.41,10.64,1302700
2024-11-14,10.34,10.56,10.32,10.49,2383700
2024-11-13,10.3,10.335,10.215,10.29,880400
2024-11-12,10.16,10.31,10.127,10.27,1075900
2024-11-11,10.08,10.14,10.02,10.1,728800
2024-11-08,10.21,10.24,9.98,10.17,1467700
2024-11-07,10.46,10.46,10.23,10.36,1159100
2024-11-06,10.45,10.585,10.395,10.43,798400
2024-11-05,10.39,10.52,10.36,10.51,769500
2024-11-04,10.35,10.39,10.29,10.34,951600
2024-11-01,10.38,10.38,10.18,10.22,2387100
2024-10-31,10.51,10.53,10.26,10.27,2515600
2024-10-30,10.34,10.48,10.32,10.43,1368900
2024-10-29,10.47,10.495,10.32,10.34,1048500
2024-10-28,10.61,10.64,10.4,10.41,1911800
2024-10-25,10.35,10.55,10.335,10.41,1366000
2024-10-24,10.15,10.235,10.06,10.2,1251000
2024-10-23,10.1,10.17,10.06,10.14,896600
2024-10-22,9.88,10.25,9.88,10.15,1835600
2024-10-21,9.9,10.02,9.87,9.9,1208400
2024-10-18,9.82,9.835,9.72,9.82,1272000
2024-10-17,9.63,9.79,9.61,9.72,691800
2024-10-16,9.62,9.7,9.56,9.64,1207600
2024-10-15,9.75,9.78,9.615,9.67,1560700
2024-10-14,9.6,9.915,9.6,9.87,2527600
2024-10-11,9.64,9.83,9.595,9.67,1712400
2024-10-10,9.75,9.755,9.64,9.72,1050300
2024-10-09,9.99,9.99,9.73,9.75,1197900
2024-10-08,9.99,10.13,9.94,10.05,1081600
2024-10-07,10.18,10.32,10.145,10.2,1272800
2024-10-04,10.08,10.25,10.02,10.25,777200
2024-10-03,9.9,10.055,9.875,10.02,760900
2024-10-02,10.24,10.24,10.07,10.11,759300
2024-10-01,10.04,10.145,9.965,10.09,1045400
2024-09-30,10.03,10.1,9.955,10.0,580100
2024-09-27,9.98,10.135,9.965,10.02,1046800
2024-09-26,9.69,10.005,9.69,9.96,2178400
2024-09-25,9.68,9.68,9.48,9.48,715400
2024-09-24,9.56,9.775,9.56,9.72,1693600
2024-09-23,9.35,9.36,9.22,9.35,2877600
2024-09-20,9.56,9.6,9.42,9.44,1052400
2024-09-19,9.72,9.735,9.655,9.68,572100
2024-09-18,9.76,9.82,9.605,9.65,672800
2024-09-17,9.58,9.725,9.55,9.7,1349800
2024-09-16,9.78,9.84,9.58,9.62,1419500
2024-09-13,9.81,9.875,9.745,9.77,907100
2024-09-12,9.69,9.75,9.565,9.67,2227000
2024-09-11,9.73,9.815,9.655,9.79,1729900
2024-09-10,9.82,9.91,9.695,9.75,1213200
2024-09-09,9.7,9.76,9.67,9.7,432100
2024-09-06,9.91,9.93,9.695,9.73,825200
2024-09-05,9.87,9.92,9.76,9.89,758800
2024-09-04,9.71,9.915,9.71,9.82,1464800
2024-09-03,9.83,9.85,9.605,9.68,1197200
2024-08-30,9.81,9.845,9.685,9.74,2642100
2024-08-29,10.0,10.03,9.825,9.91,1867800
2024-08-28,10.08,10.2,10.06,10.11,561600
2024-08-27,10.01,10.165,9.99,10.11,951000
2024-08-26,10.23,10.27,10.06,10.1,1511500
2024-08-23,10.12,10.325,10.05,10.26,1471800
2024-08-22,10.23,10.29,10.065,10.13,3323400
2024-08-21,10.37,10.42,10.295,10.35,2242700
2024-08-20,10.1,10.28,10.1,10.24,2153800
2024-08-19,10.09,10.28,10.08,10.19,917200
2024-08-16,9.96,10.0,9.83,9.98,985100
2024-08-15,10.04,10.055,9.752,9.85,1370100
2024-08-14,10.02,10.12,10.005,10.03,3444300
