datetime,open,high,low,close,volume
2025-04-01,11.52,11.52,11.52,11.52,0
2025-03-31,11.52,11.52,11.52,11.52,0
2025-03-28,11.52,11.52,11.52,11.52,2000
2025-03-27,11.53,11.53,11.53,11.53,600
2025-03-26,11.52,11.52,11.52,11.52,13900
2025-03-25,11.52,11.52,11.52,11.52,5000
2025-03-24,11.52,11.52,11.52,11.52,0
2025-03-21,11.52,11.52,11.52,11.52,100
2025-03-20,11.53,11.53,11.53,11.53,0
2025-03-19,11.53,11.53,11.53,11.53,200
2025-03-18,11.49,11.49,11.49,11.49,0
2025-03-17,11.49,11.49,11.49,11.49,100000
2025-03-14,11.49,11.5,11.49,11.5,40800
2025-03-13,11.49,11.5,11.49,11.5,52900
2025-03-12,11.5,11.5,11.49,11.49,400
2025-03-11,11.45,11.45,11.45,11.45,0
2025-03-10,11.45,11.45,11.43,11.45,8500
2025-03-07,11.43,11.43,11.43,11.43,6100
2025-03-06,11.42,11.42,11.42,11.42,400
2025-03-05,11.4,11.4,11.4,11.4,5800
2025-03-04,11.38,11.38,11.38,11.38,700
2025-03-03,11.37,11.37,11.37,11.37,100
2025-02-28,11.37,11.45,11.37,11.37,700
2025-02-27,11.4,11.4,11.37,11.37,1100
2025-02-26,11.37,11.37,11.365,11.37,19200
2025-02-25,11.35,11.36,11.35,11.36,13400
2025-02-24,11.35,11.35,11.35,11.35,300
2025-02-21,11.33,11.33,11.33,11.33,0
2025-02-20,11.33,11.33,11.33,11.33,0
2025-02-19,11.33,11.33,11.33,11.33,0
2025-02-18,11.33,11.33,11.33,11.33,300
2025-02-14,11.31,11.31,11.31,11.31,0
2025-02-13,11.31,11.31,11.31,11.31,0
2025-02-12,11.31,11.31,11.31,11.31,2100
2025-02-11,11.33,11.33,11.33,11.33,0
2025-02-10,11.33,11.33,11.33,11.33,0
2025-02-07,11.33,11.33,11.33,11.33,0
2025-02-06,11.33,11.33,11.33,11.33,0
2025-02-05,11.33,11.33,11.33,11.33,2100
2025-02-04,11.35,11.35,11.35,11.35,0
2025-02-03,11.35,11.35,11.35,11.35,0
2025-01-31,11.35,11.35,11.35,11.35,0
2025-01-30,11.35,11.35,11.35,11.35,0
2025-01-29,11.35,11.35,11.35,11.35,1700
2025-01-28,11.35,11.35,11.35,11.35,0
2025-01-27,11.35,11.35,11.35,11.35,0
2025-01-24,11.35,11.35,11.35,11.35,0
2025-01-23,11.35,11.35,11.35,11.35,0
2025-01-22,11.29,11.35,11.29,11.35,84000
2025-01-21,11.28,11.28,11.28,11.28,25000
2025-01-17,11.27,11.27,11.27,11.27,900
2025-01-16,11.26,11.26,11.26,11.26,0
2025-01-15,11.26,11.26,11.26,11.26,0
2025-01-14,11.26,11.26,11.26,11.26,0
2025-01-13,11.26,11.26,11.26,11.26,0
2025-01-10,11.26,11.26,11.26,11.26,0
2025-01-08,11.26,11.26,11.26,11.26,4500
2025-01-07,11.26,11.26,11.26,11.26,0
2025-01-06,11.26,11.26,11.26,11.26,0
2025-01-03,11.26,11.26,11.26,11.26,0
2025-01-02,11.26,11.26,11.26,11.26,39200
2024-12-31,11.26,11.26,11.26,11.26,800
2024-12-30,11.26,11.26,11.26,11.26,1700
2024-12-27,11.225,11.225,11.225,11.225,0
2024-12-26,11.225,11.225,11.225,11.225,0
2024-12-24,11.225,11.225,11.225,11.225,900
2024-12-23,11.24,11.24,11.24,11.24,100
2024-12-20,11.22,11.22,11.22,11.22,0
2024-12-19,11.22,11.22,11.22,11.22,0
2024-12-18,11.23,11.25,11.22,11.22,94900
2024-12-17,11.25,11.25,11.22,11.24,14300
2024-12-16,11.25,11.25,11.24,11.24,900
2024-12-13,11.225,11.23,11.225,11.23,2100
2024-12-12,11.22,11.23,11.22,11.23,8500
2024-12-11,11.211,11.24,11.21,11.22,35300
2024-12-10,11.21,11.21,11.21,11.21,0
2024-12-09,11.21,11.22,11.21,11.21,77800
2024-12-06,11.2,11.217,11.2,11.21,400
2024-12-05,11.2,11.2,11.2,11.2,100
2024-12-04,11.21,11.218,11.21,11.21,8300
2024-12-03,11.21,11.22,11.2,11.205,301800
2024-12-02,11.21,11.21,11.2,11.2,860200
2024-11-29,11.215,11.215,11.215,11.215,0
2024-11-27,11.225,11.23,11.215,11.215,15200
2024-11-26,11.2,11.22,11.2,11.21,20900
2024-11-25,11.22,11.23,11.21,11.22,45300
2024-11-22,11.23,11.23,11.23,11.23,0
2024-11-21,11.23,11.23,11.23,11.23,0
2024-11-20,11.24,11.25,11.23,11.23,14300
2024-11-19,11.25,11.25,11.237,11.25,27600
2024-11-18,11.2,11.25,11.2,11.25,56800
2024-11-15,11.25,11.25,11.227,11.25,6400
2024-11-14,11.4,11.4,11.31,11.31,14900
2024-11-13,11.45,11.45,11.45,11.45,0
2024-11-12,11.65,11.65,11.45,11.45,425100
2024-11-11,11.7,11.7,11.7,11.7,0
2024-11-08,11.7,11.7,11.7,11.7,0
2024-11-07,11.7,11.7,11.7,11.7,0
2024-11-06,11.47,11.7,11.47,11.7,700
2024-11-05,11.4,11.4,11.38,11.4,6600
2024-11-04,11.43,11.43,11.43,11.43,0
2024-11-01,11.43,11.43,11.43,11.43,0
2024-10-31,11.43,11.43,11.405,11.43,10100
2024-10-30,11.43,11.43,11.43,11.43,0
2024-10-29,11.43,11.43,11.43,11.43,200
2024-10-28,11.37,11.38,11.36,11.38,18900
2024-10-25,11.38,11.38,11.37,11.37,621000
2024-10-24,11.36,11.38,11.36,11.38,1485400
2024-10-23,11.36,11.37,11.36,11.37,172200
2024-10-22,11.34,11.36,11.34,11.355,763600
2024-10-21,11.37,11.37,11.34,11.35,420100
2024-10-18,11.34,11.35,11.33,11.33,2300
2024-10-17,11.32,11.32,11.32,11.32,0
2024-10-16,11.32,11.32,11.32,11.32,8600
2024-10-15,11.4,11.4,11.324,11.324,1900
2024-10-14,11.32,11.5,11.32,11.376,5600
2024-10-11,11.31,11.33,11.31,11.33,177900
2024-10-10,11.3,11.3,11.3,11.3,5100
2024-10-09,11.3,11.3,11.3,11.3,1700
2024-10-08,11.32,11.32,11.32,11.32,0
2024-10-07,11.3,11.32,11.3,11.32,300
2024-10-04,11.3,11.3,11.3,11.3,0
2024-10-03,11.3,11.3,11.3,11.3,0
2024-10-02,11.29,11.3,11.29,11.3,111500
2024-10-01,11.24,11.29,11.24,11.29,35700
2024-09-30,11.233,11.233,11.233,11.233,0
2024-09-27,11.233,11.233,11.233,11.233,0
2024-09-26,11.23,11.233,11.23,11.233,3500
2024-09-25,11.23,11.24,11.22,11.24,1400
2024-09-24,11.22,11.24,11.22,11.24,1500
2024-09-23,11.23,11.23,11.23,11.23,1000
2024-09-20,11.23,11.23,11.23,11.23,0
2024-09-19,11.23,11.23,11.23,11.23,0
2024-09-18,11.21,11.23,11.21,11.23,3900
2024-09-17,11.201,11.22,11.201,11.22,3500
2024-09-16,11.217,11.217,11.217,11.217,0
2024-09-13,11.225,11.225,11.217,11.217,500
2024-09-12,11.21,11.21,11.21,11.21,19300
2024-09-11,11.21,11.21,11.21,11.21,500
2024-09-10,11.2,11.215,11.2,11.215,101000
2024-09-09,11.21,11.21,11.21,11.21,600
2024-09-06,11.21,11.21,11.2,11.205,579600
2024-09-05,11.16,11.2,11.16,11.2,280300
2024-09-04,11.2,11.2,11.2,11.2,1200
2024-09-03,11.16,11.16,11.16,11.16,4400
2024-08-30,11.16,11.16,11.16,11.16,0
2024-08-29,11.16,11.16,11.16,11.16,500
2024-08-28,11.18,11.18,11.16,11.16,150800
2024-08-27,11.18,11.18,11.16,11.16,900
2024-08-26,11.25,11.25,11.17,11.17,800
2024-08-23,11.18,11.19,11.17,11.19,782700
2024-08-22,11.17,11.248,11.17,11.248,2000
2024-08-21,11.196,11.196,11.196,11.196,500
2024-08-20,11.16,11.16,11.16,11.16,200
2024-08-19,11.18,11.18,11.18,11.18,100
2024-08-16,11.17,11.18,11.17,11.18,400
2024-08-15,11.16,11.16,11.16,11.16,700
2024-08-14,11.15,11.15,11.15,11.15,200
2024-08-13,11.12,11.17,11.12,11.16,2800
2024-08-12,11.17,11.17,11.17,11.17,600
2024-08-09,11.17,11.17,11.17,11.17,0
2024-08-08,11.17,11.17,11.17,11.17,250200
2024-08-07,11.17,11.17,11.17,11.17,416300
2024-08-06,11.16,11.16,11.16,11.16,1000
2024-08-05,11.15,11.15,11.15,11.15,0
2024-08-02,11.15,11.15,11.15,11.15,700
2024-08-01,11.13,11.145,11.13,11.145,500
2024-07-31,11.15,11.15,11.15,11.15,1000
2024-07-30,11.15,11.15,11.15,11.15,250000
2024-07-29,11.18,11.18,11.13,11.13,700
2024-07-26,11.07,11.14,11.06,11.14,3800
2024-07-25,11.12,11.12,11.12,11.12,0
2024-07-24,11.12,11.12,11.12,11.12,0
2024-07-23,11.12,11.12,11.12,11.12,1200
2024-07-22,11.14,11.14,11.14,11.14,0
2024-07-19,11.14,11.14,11.14,11.14,1300
2024-07-18,11.15,11.15,11.15,11.15,9
2024-07-17,11.15,11.15,11.15,11.15,500
2024-07-16,11.14,11.14,11.14,11.14,0
2024-07-15,11.14,11.14,11.14,11.14,700
2024-07-12,11.111,11.17,11.11,11.16,6800
2024-07-11,11.12,11.15,11.12,11.13,1800
2024-07-10,11.12,11.16,11.12,11.153,3000
2024-07-09,11.15,11.15,11.15,11.15,300
2024-07-08,11.15,11.15,11.12,11.13,2900
2024-07-05,11.13,11.13,11.13,11.13,1100
2024-07-03,11.13,11.13,11.13,11.13,0
2024-07-02,11.13,11.14,11.13,11.13,232600
2024-07-01,11.124,11.124,11.124,11.124,900
2024-06-28,11.12,11.12,11.12,11.12,2500
2024-06-27,11.14,11.14,11.12,11.12,606100
2024-06-26,11.13,11.14,11.13,11.14,2800
2024-06-25,11.13,11.13,11.12,11.13,4700
2024-06-24,11.12,11.12,11.12,11.12,60000
2024-06-21,11.12,11.12,11.12,11.12,10000
2024-06-20,11.12,11.12,11.12,11.12,0
2024-06-18,11.12,11.12,11.12,11.12,5200
2024-06-17,11.12,11.12,11.11,11.115,4100
2024-06-14,11.12,11.12,11.12,11.12,3100
2024-06-13,11.11,11.13,11.11,11.12,315800
2024-06-12,11.12,11.12,11.11,11.11,1200
2024-06-11,11.11,11.11,11.11,11.11,300
2024-06-10,11.11,11.113,11.11,11.113,3000
2024-06-07,11.125,11.125,11.11,11.11,7000
2024-06-06,11.11,11.11,11.11,11.11,90300
2024-06-05,11.125,11.125,11.11,11.11,2400
2024-06-04,11.11,11.12,11.1,11.11,424500
2024-06-03,11.12,11.12,11.1,11.11,206400
2024-05-31,11.1,11.1,11.1,11.1,28800
2024-05-30,11.1,11.1,11.1,11.1,4700
2024-05-29,11.09,11.09,11.09,11.09,300
2024-05-28,11.13,11.13,11.09,11.09,100400
