datetime,open,high,low,close,volume
2025-04-01,3.87,3.897,3.76,3.84,6660900
2025-03-31,3.92,3.92,3.72,3.87,6691800
2025-03-28,4.14,4.159,3.88,3.88,6791600
2025-03-27,4.06,4.13,3.995,4.13,4612100
2025-03-26,4.0,4.11,3.93,3.97,4632600
2025-03-25,4.11,4.22,4.02,4.07,6654000
2025-03-24,4.01,4.08,3.975,4.03,3052800
2025-03-21,4.08,4.1,3.95,4.0,5384000
2025-03-20,4.06,4.21,4.05,4.13,5582400
2025-03-19,4.19,4.199,4.04,4.14,6755600
2025-03-18,4.26,4.31,4.16,4.19,6276500
2025-03-17,4.06,4.22,4.06,4.15,5311700
2025-03-14,4.11,4.15,4.02,4.08,6585500
2025-03-13,3.99,4.14,3.97,4.06,10453700
2025-03-12,3.87,4.02,3.845,3.98,7849500
2025-03-11,3.68,3.9,3.68,3.87,7604200
2025-03-10,3.81,3.82,3.555,3.6,7149200
2025-03-07,3.86,3.99,3.75,3.86,6458500
2025-03-06,3.81,3.95,3.81,3.86,6526700
2025-03-05,3.6,3.87,3.6,3.86,7561400
2025-03-04,3.52,3.6,3.41,3.58,8968400
2025-03-03,3.58,3.655,3.495,3.52,5489000
2025-02-28,3.46,3.55,3.415,3.53,5427800
2025-02-27,3.68,3.699,3.53,3.54,5784900
2025-02-26,3.6,3.8,3.58,3.75,4621800
2025-02-25,3.67,3.68,3.55,3.64,5653500
2025-02-24,3.66,3.75,3.58,3.7,5046400
2025-02-21,3.72,3.73,3.58,3.62,9399100
2025-02-20,3.72,3.76,3.65,3.72,7757400
2025-02-19,3.64,3.72,3.565,3.67,7338800
2025-02-18,3.71,3.72,3.57,3.62,6017700
2025-02-14,3.67,3.849,3.59,3.62,11091000
2025-02-13,3.49,3.57,3.385,3.54,7401500
2025-02-12,3.25,3.495,3.21,3.47,7188000
2025-02-11,3.25,3.29,3.18,3.22,3525400
2025-02-10,3.36,3.407,3.26,3.28,5873900
2025-02-07,3.35,3.39,3.22,3.25,5579200
2025-02-06,3.31,3.32,3.222,3.32,4844200
2025-02-05,3.31,3.37,3.26,3.29,8577700
2025-02-04,3.16,3.3,3.15,3.28,5285000
2025-02-03,3.07,3.249,3.04,3.15,5781100
2025-01-31,3.28,3.3,3.1,3.14,5334700
2025-01-30,3.18,3.29,3.14,3.22,6060300
2025-01-29,2.99,3.11,2.99,3.1,5325700
2025-01-28,3.0,3.035,2.93,3.02,3759400
2025-01-27,3.05,3.065,2.95,2.99,3964800
2025-01-24,3.09,3.14,3.07,3.12,3418300
2025-01-23,3.06,3.11,2.99,3.0,6942500
2025-01-22,3.18,3.18,3.09,3.1,3096000
2025-01-21,3.13,3.25,3.115,3.17,5435100
2025-01-17,3.04,3.14,2.98,3.08,3828800
2025-01-16,3.2,3.27,3.06,3.06,3668300
2025-01-15,3.17,3.21,3.062,3.2,4478500
2025-01-14,2.98,3.18,2.95,3.16,5193400
2025-01-13,3.01,3.02,2.92,2.94,2734800
2025-01-10,3.11,3.14,3.01,3.02,4551300
2025-01-08,3.13,3.14,3.01,3.06,2953600
2025-01-07,3.13,3.199,3.06,3.09,3465100
2025-01-06,3.1,3.15,3.035,3.05,2463800
2025-01-03,3.15,3.155,3.05,3.07,1836500
2025-01-02,3.04,3.18,3.04,3.15,2857000
2024-12-31,2.92,3.05,2.91,3.0,2348800
2024-12-30,2.98,3.01,2.88,2.91,3842300
2024-12-27,3.04,3.04,2.95,3.0,1828600
2024-12-26,3.04,3.09,3.03,3.06,1818600
2024-12-24,3.01,3.06,2.96,3.04,1927600
2024-12-23,2.99,3.02,2.97,3.0,3050400
2024-12-20,3.0,3.05,2.96,2.98,5876600
2024-12-19,2.9,3.03,2.9,2.97,5132200
2024-12-18,3.06,3.07,2.87,2.88,3364400
2024-12-17,3.01,3.08,2.99,3.07,2294200
2024-12-16,3.11,3.11,2.99,3.02,2342200
2024-12-13,3.11,3.125,3.025,3.05,2488600
2024-12-12,3.25,3.25,3.13,3.14,1920300
2024-12-11,3.23,3.32,3.215,3.29,2560200
2024-12-10,3.25,3.28,3.19,3.2,2084600
2024-12-09,3.27,3.44,3.21,3.23,5624500
2024-12-06,3.18,3.2,3.1,3.14,1692300
2024-12-05,3.12,3.24,3.12,3.22,3505300
2024-12-04,3.26,3.28,3.11,3.12,4589700
2024-12-03,3.24,3.32,3.24,3.26,3404000
2024-12-02,3.28,3.28,3.205,3.23,1781600
2024-11-29,3.29,3.33,3.25,3.29,2831800
2024-11-27,3.35,3.35,3.24,3.26,3010400
2024-11-26,3.35,3.36,3.285,3.32,3257600
2024-11-25,3.36,3.365,3.3,3.34,3814200
2024-11-22,3.46,3.46,3.345,3.42,5860200
2024-11-21,3.41,3.498,3.28,3.37,11768100
2024-11-20,3.46,3.59,3.21,3.56,15683700
2024-11-19,4.13,4.13,3.98,4.05,2658000
2024-11-18,4.02,4.14,4.01,4.09,3294000
2024-11-15,3.91,3.96,3.83,3.9,4724700
2024-11-14,3.85,4.02,3.84,3.98,4884800
2024-11-13,4.0,4.03,3.88,3.89,2604700
2024-11-12,3.87,3.98,3.85,3.95,4109000
2024-11-11,4.07,4.22,3.8,3.9,4735200
2024-11-08,4.52,4.58,4.02,4.13,4498200
2024-11-07,4.54,4.645,4.5,4.59,3486600
2024-11-06,4.38,4.57,4.27,4.44,3906200
2024-11-05,4.57,4.67,4.51,4.53,1864800
2024-11-04,4.62,4.645,4.51,4.51,1971800
2024-11-01,4.73,4.78,4.59,4.61,3700700
2024-10-31,4.78,4.81,4.54,4.69,3604900
2024-10-30,4.99,4.99,4.79,4.86,2568800
2024-10-29,4.95,5.027,4.87,4.98,3349100
2024-10-28,4.7,4.98,4.65,4.88,3888900
2024-10-25,4.69,4.81,4.66,4.68,2493500
2024-10-24,4.89,4.9,4.63,4.72,3133400
2024-10-23,4.92,4.93,4.66,4.78,4838600
2024-10-22,5.12,5.14,4.94,4.97,3031100
2024-10-21,5.23,5.32,4.91,4.98,4317800
2024-10-18,4.99,5.13,4.9,5.06,5100200
2024-10-17,4.83,4.83,4.71,4.71,1490700
2024-10-16,4.93,5.0,4.73,4.78,2842000
2024-10-15,4.83,4.88,4.69,4.88,1599600
2024-10-14,4.85,5.03,4.8,4.85,2193000
2024-10-11,4.9,4.98,4.831,4.86,1548700
2024-10-10,4.78,4.875,4.67,4.82,2502500
2024-10-09,4.67,4.71,4.524,4.7,1476000
2024-10-08,4.61,4.695,4.55,4.64,1973900
2024-10-07,4.59,4.71,4.53,4.68,3038300
2024-10-04,4.48,4.7,4.47,4.55,1952000
2024-10-03,4.41,4.54,4.35,4.54,1876500
2024-10-02,4.45,4.58,4.4,4.46,1772300
2024-10-01,4.44,4.51,4.355,4.39,1686400
2024-09-30,4.53,4.58,4.32,4.37,3098900
2024-09-27,4.6,4.64,4.53,4.64,3006700
2024-09-26,4.53,4.68,4.483,4.64,3217100
2024-09-25,4.45,4.545,4.415,4.49,3015500
2024-09-24,4.14,4.49,4.1,4.46,3867600
2024-09-23,4.25,4.25,4.085,4.09,2844800
2024-09-20,4.07,4.25,4.04,4.25,21265700
2024-09-19,4.15,4.18,3.99,4.01,3734300
2024-09-18,4.12,4.26,3.97,3.97,3607200
2024-09-17,3.95,4.16,3.94,4.09,3342200
2024-09-16,4.16,4.17,3.94,3.95,4737500
2024-09-13,3.84,4.145,3.81,4.11,5863700
2024-09-12,3.47,3.73,3.435,3.73,3471700
2024-09-11,3.4,3.4,3.3,3.38,1689500
2024-09-10,3.34,3.4,3.29,3.38,1660000
2024-09-09,3.43,3.44,3.32,3.32,1781700
2024-09-06,3.5,3.525,3.36,3.39,1827000
2024-09-05,3.63,3.64,3.475,3.51,1248800
2024-09-04,3.49,3.575,3.46,3.49,1302500
2024-09-03,3.76,3.8,3.47,3.5,2543700
2024-08-30,3.94,3.95,3.73,3.79,4795100
2024-08-29,3.82,4.02,3.79,3.96,3299200
2024-08-28,3.72,3.835,3.68,3.78,2004800
2024-08-27,3.85,3.88,3.8,3.82,1031300
2024-08-26,3.89,3.92,3.845,3.88,1572800
2024-08-23,3.9,3.92,3.83,3.86,2324700
2024-08-22,3.85,3.905,3.83,3.87,2010100
2024-08-21,3.81,3.935,3.78,3.89,1584900
2024-08-20,3.85,3.91,3.79,3.9,1753000
2024-08-19,3.62,3.81,3.59,3.8,2022300
2024-08-16,3.46,3.63,3.41,3.62,2779500
2024-08-15,3.51,3.52,3.381,3.41,1817400
2024-08-14,3.4,3.52,3.255,3.42,1885100
2024-08-13,3.2,3.23,3.135,3.22,1854500
2024-08-12,3.19,3.245,3.09,3.2,2150800
2024-08-09,3.16,3.215,3.11,3.17,899900
2024-08-08,3.18,3.225,3.13,3.14,1324600
2024-08-07,3.22,3.28,3.11,3.14,1657300
2024-08-06,3.14,3.235,3.12,3.21,888700
2024-08-05,3.09,3.135,2.965,3.11,1627100
2024-08-02,3.5,3.575,3.26,3.32,1958500
2024-08-01,3.8,3.81,3.41,3.5,2927200
2024-07-31,3.85,3.85,3.652,3.73,2179300
2024-07-30,3.7,3.795,3.7,3.75,909800
2024-07-29,3.7,3.739,3.61,3.69,1096700
2024-07-26,3.73,3.778,3.65,3.68,819100
2024-07-25,3.55,3.72,3.54,3.67,1638400
2024-07-24,3.8,3.88,3.71,3.72,1204900
2024-07-23,3.72,3.76,3.7,3.73,680700
2024-07-22,3.67,3.73,3.63,3.7,820000
2024-07-19,3.53,3.73,3.51,3.73,1585800
