datetime,open,high,low,close,volume
2025-04-01,27.46,27.91,26.36,27.18,179600
2025-03-31,27.63,28.11,27.29,27.52,264200
2025-03-28,28.34,28.5,27.55,28.11,187700
2025-03-27,27.53,28.75,27.53,28.53,90000
2025-03-26,29.01,29.12,27.38,27.7,164200
2025-03-25,29.48,29.78,28.41,29.0,113200
2025-03-24,29.2,29.67,28.79,29.34,143100
2025-03-21,27.58,28.48,27.27,27.74,190800
2025-03-20,27.16,28.17,27.15,28.0,153300
2025-03-19,27.86,28.14,26.18,27.13,285500
2025-03-18,27.54,28.1,27.3,27.96,130400
2025-03-17,26.7,28.61,26.0,28.1,148000
2025-03-14,27.42,28.12,26.77,26.92,185000
2025-03-13,28.49,29.19,27.35,27.42,155700
2025-03-12,29.8,30.89,27.91,28.49,287700
2025-03-11,28.84,32.0,28.73,29.42,531900
2025-03-10,29.02,29.7,26.77,27.37,355200
2025-03-07,29.5,30.2,27.3,28.31,236800
2025-03-06,28.62,30.2,28.61,29.08,271200
2025-03-05,27.99,28.62,27.99,28.62,106600
2025-03-04,30.0,31.67,27.52,28.16,260600
2025-03-03,29.12,30.0,29.12,29.4,175200
2025-02-28,29.96,30.97,28.03,29.05,266400
2025-02-27,29.5,31.4,29.5,30.09,350300
2025-02-26,29.0,30.04,29.0,29.3,177600
2025-02-25,28.08,29.08,27.37,28.91,237900
2025-02-24,28.6,28.98,27.67,28.35,196400
2025-02-21,28.0,28.67,28.0,28.26,207100
2025-02-20,28.6,28.8,27.85,27.92,215300
2025-02-19,29.27,29.27,27.99,28.53,216000
2025-02-18,28.47,28.7,28.0,28.25,138200
2025-02-14,28.23,28.58,27.88,28.17,117900
2025-02-13,27.66,28.26,26.7,28.13,228900
2025-02-12,27.17,28.1,26.66,26.66,101300
2025-02-11,25.52,27.26,25.4,27.16,227000
2025-02-10,25.25,25.87,25.25,25.52,106100
2025-02-07,25.44,25.7,25.08,25.25,104300
2025-02-06,26.41,26.41,25.23,25.43,74800
2025-02-05,26.0,26.72,25.6,26.25,253800
2025-02-04,25.45,26.1,25.31,26.01,217000
2025-02-03,24.34,25.15,24.01,25.12,164000
2025-01-31,24.5,24.91,23.09,24.82,132300
2025-01-30,24.44,24.9,24.26,24.6,155500
