datetime,open,high,low,close,volume
2025-04-01,22.28,22.593,22.25,22.593,3200
2025-03-31,22.01,22.345,21.725,22.345,4100
2025-03-28,22.8,22.8,22.441,22.49,4100
2025-03-27,23.23,23.32,23.09,23.09,5200
2025-03-26,24.06,24.06,23.4,23.4,6400
2025-03-25,24.09,24.209,24.081,24.15,15200
2025-03-24,23.86,24.06,23.86,24.06,5000
2025-03-21,23.26,23.56,23.24,23.56,2900
2025-03-20,23.528,23.528,23.45,23.472,5400
2025-03-19,23.25,23.58,23.16,23.501,4800
2025-03-18,23.26,23.265,22.973,23.119,7500
2025-03-17,23.67,23.77,23.42,23.628,4700
2025-03-14,23.25,23.465,23.25,23.465,2500
2025-03-13,23.0,23.0,22.722,22.722,3500
2025-03-12,23.35,23.35,22.98,23.18,2100
2025-03-11,22.491,22.865,22.42,22.68,5400
2025-03-10,23.03,23.03,22.289,22.44,12100
2025-03-07,23.51,23.61,23.045,23.61,4300
2025-03-06,23.91,24.21,23.46,23.514,4900
2025-03-05,24.28,24.66,24.21,24.65,10600
2025-03-04,24.08,24.517,23.731,24.28,17800
2025-03-03,25.32,25.32,24.22,24.3,17000
2025-02-28,24.68,25.14,24.55,25.14,4900
2025-02-27,25.97,25.97,24.8,24.8,5400
2025-02-26,25.692,25.95,25.52,25.705,8700
2025-02-25,25.81,25.81,25.12,25.43,23100
2025-02-24,26.44,26.45,25.9,25.91,15100
2025-02-21,27.24,27.24,26.36,26.38,1200
2025-02-20,27.255,27.255,26.98,27.143,3600
2025-02-19,27.33,27.45,27.24,27.413,5200
2025-02-18,27.68,27.68,27.43,27.51,3800
2025-02-14,27.275,27.534,27.275,27.515,2000
2025-02-13,27.061,27.368,27.061,27.368,2600
2025-02-12,26.65,26.93,26.65,26.891,5500
2025-02-11,27.05,27.1,26.93,27.025,3200
2025-02-10,27.033,27.2,27.033,27.171,3800
2025-02-07,27.17,27.25,26.7,26.765,4500
2025-02-06,26.97,27.06,26.83,27.02,10400
2025-02-05,26.54,26.86,26.53,26.79,12400
2025-02-04,26.29,26.45,26.29,26.448,12300
2025-02-03,25.59,26.23,25.59,26.055,11800
2025-01-31,26.69,26.967,26.34,26.4,23400
2025-01-30,26.34,26.43,26.19,26.43,5400
2025-01-29,26.26,26.34,25.99,26.25,33100
2025-01-28,25.574,26.46,25.53,26.44,19100
2025-01-27,25.73,26.024,25.3,25.6,40500
2025-01-24,27.61,27.657,27.275,27.37,24300
2025-01-23,27.24,27.515,27.14,27.5,19100
2025-01-22,27.33,27.57,27.33,27.435,22400
2025-01-21,26.57,26.85,26.5,26.82,10000
2025-01-17,26.48,26.59,26.46,26.49,7100
2025-01-16,26.47,26.47,26.13,26.14,10000
2025-01-15,25.93,26.25,25.93,26.2,8400
2025-01-14,25.73,25.74,25.4,25.47,7200
2025-01-13,25.26,25.45,25.26,25.45,2200
