datetime,open,high,low,close,volume
2025-04-01,7.69,7.78,7.56,7.7,48300
2025-03-31,7.62,7.78,7.55,7.7,83900
2025-03-28,7.91,7.98,7.62,7.7,74200
2025-03-27,7.89,7.99,7.84,7.91,52600
2025-03-26,7.84,8.0,7.84,7.94,60800
2025-03-25,7.95,8.07,7.85,7.91,112300
2025-03-24,7.95,8.03,7.68,7.91,135000
2025-03-21,7.44,7.94,7.34,7.78,473900
2025-03-20,7.36,7.7,7.36,7.6,60700
2025-03-19,7.29,7.53,7.29,7.51,49900
2025-03-18,7.33,7.36,7.13,7.33,79500
2025-03-17,7.28,7.41,7.19,7.32,87900
2025-03-14,7.28,7.43,7.26,7.34,57800
2025-03-13,7.52,7.62,7.12,7.26,81100
2025-03-12,7.07,7.76,7.07,7.61,174300
2025-03-11,6.76,6.91,6.65,6.78,63600
2025-03-10,6.98,7.08,6.79,6.79,92200
2025-03-07,6.85,7.11,6.82,7.06,62400
2025-03-06,6.85,6.98,6.8,6.92,57500
2025-03-05,7.0,7.03,6.8,6.92,103700
2025-03-04,7.11,7.14,6.91,6.93,113100
2025-03-03,7.77,7.94,7.2,7.21,95400
2025-02-28,7.8,7.89,7.74,7.79,45800
2025-02-27,7.9,7.91,7.72,7.78,55800
2025-02-26,7.92,8.01,7.75,7.9,84800
2025-02-25,8.04,8.12,7.95,7.96,66800
2025-02-24,8.18,8.19,7.95,8.02,62500
2025-02-21,8.1,8.26,7.94,8.11,87300
2025-02-20,7.98,8.07,7.92,8.06,45800
2025-02-19,7.96,8.1,7.89,8.01,69500
2025-02-18,7.95,8.1,7.83,8.07,94500
2025-02-14,8.0,8.08,7.88,7.91,63600
2025-02-13,7.89,7.99,7.75,7.93,51200
2025-02-12,7.88,8.16,7.83,7.84,73300
2025-02-11,8.01,8.22,8.01,8.09,58000
2025-02-10,8.05,8.34,8.0,8.12,119900
2025-02-07,7.98,8.0,7.81,7.92,44600
2025-02-06,8.01,8.04,7.7,7.9,62900
2025-02-05,7.77,7.98,7.77,7.97,106400
2025-02-04,7.66,7.79,7.66,7.72,72200
2025-02-03,7.75,7.91,7.66,7.72,98300
2025-01-31,7.91,8.03,7.79,7.85,117800
2025-01-30,7.9,8.14,7.9,7.93,58200
2025-01-29,7.69,7.96,7.68,7.87,55300
2025-01-28,7.68,7.86,7.68,7.73,59700
2025-01-27,7.86,8.0,7.68,7.68,76800
2025-01-24,7.74,7.98,7.72,7.85,97300
2025-01-23,7.79,7.98,7.65,7.74,107300
2025-01-22,8.03,8.12,7.84,7.84,100400
2025-01-21,7.95,8.09,7.88,8.03,94500
2025-01-17,7.97,8.0,7.8,7.94,75300
2025-01-16,7.97,8.03,7.89,7.9,83900
2025-01-15,7.98,8.01,7.86,7.91,64400
2025-01-14,7.69,7.93,7.6,7.78,82400
2025-01-13,7.35,7.68,7.33,7.67,77700
2025-01-10,7.48,7.6,7.33,7.42,122900
2025-01-08,7.38,7.69,7.36,7.54,102600
2025-01-07,7.82,7.92,7.37,7.48,169200
2025-01-06,7.92,8.09,7.78,7.81,124800
2025-01-03,7.8,7.97,7.72,7.87,113300
2025-01-02,7.69,7.99,7.62,7.83,156500
2024-12-31,7.65,7.82,7.56,7.68,133200
2024-12-30,7.61,7.83,7.49,7.56,125800
2024-12-27,7.78,7.95,7.56,7.68,195800
2024-12-26,7.7,7.94,7.68,7.82,122500
2024-12-24,7.64,7.83,7.64,7.74,69000
2024-12-23,7.73,7.94,7.54,7.66,151200
2024-12-20,7.65,8.15,7.65,7.71,180700
2024-12-19,7.71,8.0,7.47,7.72,127700
2024-12-18,8.03,8.18,7.59,7.61,134400
2024-12-17,8.04,8.16,7.84,8.02,120900
2024-12-16,8.0,8.3,7.98,8.12,68000
2024-12-13,8.0,8.12,7.88,8.01,106000
2024-12-12,8.07,8.14,7.87,8.0,113700
2024-12-11,8.09,8.28,7.97,8.13,89700
2024-12-10,7.95,8.12,7.82,8.05,114200
2024-12-09,7.75,7.97,7.73,7.88,91400
2024-12-06,7.72,7.8,7.52,7.67,94600
2024-12-05,7.62,7.7,7.5,7.66,82000
2024-12-04,7.66,7.89,7.49,7.66,134200
2024-12-03,7.51,7.67,7.22,7.67,169000
2024-12-02,7.13,7.52,7.13,7.46,87900
2024-11-29,7.22,7.26,7.1,7.17,83700
2024-11-27,7.12,7.21,7.02,7.13,90300
2024-11-26,7.1,7.13,7.02,7.05,74100
2024-11-25,7.22,7.3,7.1,7.1,115000
2024-11-22,7.11,7.21,7.11,7.17,77400
2024-11-21,7.13,7.18,7.03,7.12,63400
2024-11-20,7.07,7.14,6.92,7.01,80700
2024-11-19,6.94,7.11,6.89,7.11,239300
2024-11-18,7.08,7.14,6.98,6.98,148200
2024-11-15,7.0,7.12,6.96,7.08,193800
2024-11-14,7.13,7.13,6.86,6.92,101600
2024-11-13,7.2,7.2,7.04,7.05,154500
2024-11-12,6.86,7.33,6.86,7.07,287800
2024-11-11,8.5,8.53,6.56,6.96,757300
2024-11-08,8.7,8.73,8.58,8.73,105000
2024-11-07,9.15,9.15,8.66,8.69,108200
2024-11-06,8.71,9.22,8.7,9.14,243500
2024-11-05,8.29,8.48,8.29,8.47,101700
2024-11-04,8.1,8.48,8.05,8.25,101100
2024-11-01,7.84,8.16,7.79,8.15,175700
2024-10-31,7.76,7.78,7.64,7.75,104800
2024-10-30,7.83,7.94,7.75,7.76,137400
2024-10-29,7.89,7.89,7.76,7.83,57500
2024-10-28,7.77,7.9,7.73,7.88,119200
2024-10-25,7.6,7.73,7.57,7.67,119000
2024-10-24,7.78,7.78,7.45,7.54,76700
2024-10-23,7.8,7.8,7.63,7.7,45400
2024-10-22,7.91,7.91,7.73,7.83,119900
2024-10-21,8.16,8.25,7.9,7.9,96700
2024-10-18,8.01,8.21,7.95,8.11,68200
2024-10-17,8.06,8.15,7.84,8.0,150600
2024-10-16,7.23,8.54,7.23,7.99,626000
2024-10-15,7.21,7.35,7.19,7.2,80400
2024-10-14,7.24,7.29,7.09,7.23,60500
