datetime,open,high,low,close,volume
2025-04-01,75.5,77.16,74.95,76.62,750500
2025-03-31,76.0,76.82,75.11,75.81,905800
2025-03-28,80.16,80.57,76.57,77.08,781000
2025-03-27,80.51,81.45,79.54,80.83,656700
2025-03-26,80.36,81.44,79.15,80.02,431200
2025-03-25,81.35,81.41,79.74,80.13,632000
2025-03-24,79.77,81.48,79.24,81.22,679400
2025-03-21,79.1,80.27,78.08,79.08,2241800
2025-03-20,78.51,80.98,77.97,80.25,798100
2025-03-19,80.06,81.83,79.11,81.17,917200
2025-03-18,81.58,82.51,80.71,81.8,633500
2025-03-17,80.18,82.44,80.18,81.8,762400
2025-03-14,78.04,80.88,77.51,80.59,884100
2025-03-13,77.76,79.27,75.78,76.77,959000
2025-03-12,79.16,79.63,77.58,78.44,1162700
2025-03-11,81.8,81.8,77.11,78.77,1414100
2025-03-10,84.92,84.97,81.74,82.13,1856800
2025-03-07,86.69,88.86,83.02,85.7,1887300
2025-03-06,80.1,86.94,79.72,86.43,1828700
2025-03-05,81.75,86.69,78.88,81.4,4154300
2025-03-04,97.15,97.77,93.64,95.23,1011600
2025-03-03,102.05,104.57,99.19,99.71,1112700
2025-02-28,98.43,100.41,98.08,99.39,507600
2025-02-27,101.09,101.52,98.16,98.19,380800
2025-02-26,102.42,103.47,100.47,101.49,636300
2025-02-25,100.38,102.34,100.31,102.13,674300
2025-02-24,99.34,101.75,98.11,100.75,580700
2025-02-21,101.6,101.6,98.97,98.99,561300
2025-02-20,101.8,102.18,99.92,100.53,386200
2025-02-19,102.86,102.86,100.47,101.89,395100
2025-02-18,104.17,105.75,103.72,104.13,558800
2025-02-14,103.8,105.74,102.76,103.92,667600
2025-02-13,102.26,102.84,101.17,102.53,385100
2025-02-12,101.77,101.77,99.63,101.68,558400
2025-02-11,100.62,103.82,100.62,102.99,554300
2025-02-10,100.82,102.11,98.61,101.16,591000
2025-02-07,101.01,101.01,98.23,99.39,549200
2025-02-06,102.76,103.39,100.45,100.9,393100
2025-02-05,101.75,103.02,99.92,102.26,395700
2025-02-04,99.91,102.16,99.42,101.7,447500
2025-02-03,99.39,101.64,96.94,100.2,682300
2025-01-31,105.05,105.82,101.52,102.84,1401100
2025-01-30,104.0,106.83,103.17,105.39,814200
2025-01-29,101.45,102.89,100.92,102.52,597700
2025-01-28,102.81,103.55,101.03,101.52,719000
