datetime,open,high,low,close,volume
2025-04-01,0.6,0.6,0.5,0.53,37200
2025-03-31,0.51,0.51,0.45,0.5,475300
2025-03-28,0.62,0.62,0.59,0.59,13300
2025-03-27,0.6,0.63,0.59,0.62,13200
2025-03-26,0.61,0.64,0.59,0.64,6500
2025-03-25,0.64,0.66,0.61,0.64,52100
2025-03-24,0.63,0.64,0.59,0.64,23300
2025-03-21,0.6,0.64,0.58,0.63,33500
2025-03-20,0.57,0.62,0.57,0.62,8300
2025-03-19,0.58,0.61,0.56,0.61,59300
2025-03-18,0.57,0.61,0.57,0.59,22500
2025-03-17,0.57,0.59,0.57,0.57,12100
2025-03-14,0.6,0.6,0.56,0.56,20600
2025-03-13,0.58,0.6,0.56,0.56,31500
2025-03-12,0.56,0.6,0.55,0.55,22000
2025-03-11,0.55,0.6,0.55,0.55,33600
2025-03-10,0.57,0.6,0.52,0.53,21100
2025-03-07,0.52,0.6,0.52,0.55,38100
2025-03-06,0.55,0.55,0.51,0.51,50900
2025-03-05,0.51,0.55,0.51,0.55,22900
2025-03-04,0.53,0.54,0.51,0.54,16200
2025-03-03,0.56,0.56,0.53,0.54,24600
2025-02-28,0.59,0.6,0.54,0.56,75400
2025-02-27,0.56,0.58,0.55,0.58,19900
2025-02-26,0.57,0.6,0.54,0.55,27800
2025-02-25,0.56,0.63,0.56,0.58,32400
2025-02-24,0.6,0.64,0.52,0.54,202000
2025-02-21,0.65,0.67,0.6,0.6,48100
2025-02-20,0.62,0.64,0.61,0.61,59900
2025-02-19,0.62,0.64,0.61,0.63,58500
2025-02-18,0.67,0.67,0.62,0.62,68800
2025-02-14,0.63,0.68,0.62,0.67,96900
2025-02-13,0.64,0.64,0.6,0.63,9200
2025-02-12,0.62,0.63,0.61,0.61,25900
2025-02-11,0.63,0.65,0.61,0.62,30700
2025-02-10,0.61,0.65,0.61,0.63,37100
2025-02-08,0.625,0.6299,0.611,0.6175,2260
2025-02-07,0.7,0.7,0.63,0.65,11400
2025-02-06,0.63,0.69,0.6,0.69,31000
2025-02-05,0.64,0.65,0.62,0.63,7900
2025-02-04,0.58,0.64,0.56,0.62,77100
2025-02-03,0.58,0.63,0.56,0.56,79100
2025-01-31,0.71,0.71,0.54,0.64,326400
2025-01-30,0.7,0.72,0.68,0.7,51700
2025-01-29,0.74,0.75,0.69,0.7,35100
2025-01-28,0.78,0.78,0.73,0.73,108300
2025-01-27,0.68,0.78,0.68,0.72,152400
2025-01-24,0.65,0.7,0.64,0.68,63000
2025-01-23,0.7,0.72,0.69,0.71,137000
2025-01-22,0.63,0.73,0.63,0.71,226800
2025-01-21,0.65,0.69,0.63,0.63,59600
2025-01-17,0.61,0.68,0.61,0.67,70500
2025-01-16,0.59,0.65,0.57,0.62,60300
2025-01-15,0.58,0.62,0.55,0.58,50400
2025-01-14,0.6,0.64,0.56,0.58,88200
2025-01-13,0.58,0.61,0.55,0.58,72300
2025-01-10,0.57,0.61,0.55,0.6,87000
2025-01-08,0.65,0.65,0.55,0.58,58000
2025-01-07,0.62,0.65,0.61,0.64,31500
2025-01-06,0.62,0.65,0.58,0.62,181200
2025-01-03,0.6,0.63,0.59,0.62,97800
2025-01-02,0.53,0.6,0.53,0.59,240300
2024-12-31,0.51,0.55,0.51,0.52,61500
2024-12-30,0.51,0.55,0.51,0.54,121800
2024-12-27,0.51,0.55,0.51,0.53,163100
2024-12-26,0.6,0.61,0.5,0.51,643700
2024-12-24,0.6,0.63,0.6,0.62,18200
2024-12-23,0.63,0.63,0.61,0.61,18600
2024-12-20,0.62,0.69,0.6,0.64,76400
2024-12-19,0.6,0.66,0.6,0.62,45500
2024-12-18,0.63,0.66,0.61,0.61,64700
2024-12-17,0.66,0.67,0.61,0.63,179800
2024-12-16,0.64,0.68,0.64,0.68,58600
2024-12-13,0.68,0.68,0.64,0.65,63000
2024-12-12,0.7,0.72,0.65,0.66,72500
2024-12-11,0.71,0.73,0.68,0.7,79200
2024-12-10,0.75,0.76,0.7,0.73,169400
2024-12-09,0.67,0.75,0.64,0.75,108800
2024-12-06,0.7,0.72,0.67,0.69,44700
2024-12-05,0.72,0.74,0.62,0.68,338200
2024-12-04,0.76,0.78,0.71,0.72,76100
2024-12-03,0.76,0.8,0.75,0.77,60700
2024-12-02,0.71,0.77,0.71,0.75,66400
2024-11-29,0.72,0.72,0.62,0.71,96300
2024-11-27,0.75,0.77,0.68,0.72,76700
2024-11-26,0.69,0.77,0.69,0.76,72200
2024-11-25,0.73,0.74,0.71,0.73,81800
2024-11-22,0.68,0.71,0.65,0.7,92300
2024-11-21,0.73,0.73,0.67,0.7,66000
2024-11-20,0.69,0.72,0.67,0.71,37500
2024-11-19,0.7,0.7,0.66,0.67,34800
2024-11-18,0.79,0.79,0.67,0.68,85700
2024-11-15,0.69,0.75,0.65,0.69,115700
2024-11-14,0.87,0.91,0.65,0.66,410100
2024-11-13,0.87,0.91,0.87,0.89,38500
2024-11-12,0.9,0.93,0.87,0.91,52600
2024-11-11,0.91,0.92,0.87,0.89,48600
2024-11-08,0.87,0.93,0.86,0.91,38100
2024-11-07,0.91,0.93,0.89,0.9,38700
2024-11-06,0.86,0.94,0.81,0.91,77000
2024-11-05,0.94,0.94,0.88,0.89,17800
2024-11-04,0.92,0.92,0.87,0.89,34300
2024-11-01,0.94,0.95,0.9,0.92,34500
2024-10-31,0.91,0.98,0.91,0.94,23000
2024-10-30,0.91,1.0,0.91,0.92,24800
2024-10-29,1.0,1.0,0.93,0.96,20300
2024-10-28,0.93,1.02,0.93,1.0,56900
2024-10-25,0.95,0.98,0.94,0.97,19100
2024-10-24,0.96,1.02,0.94,0.96,90400
2024-10-23,1.02,1.04,0.95,0.97,74200
2024-10-22,1.03,1.03,0.92,0.94,96400
2024-10-21,1.1,1.15,1.0,1.04,207700
2024-10-18,1.06,1.14,1.05,1.1,181100
2024-10-17,0.85,1.19,0.83,1.16,1441600
2024-10-16,0.82,0.85,0.8,0.83,51400
2024-10-15,0.8,0.82,0.79,0.8,12300
2024-10-14,0.77,0.82,0.76,0.78,23100
2024-10-11,0.83,0.83,0.77,0.79,35100
2024-10-10,0.78,0.82,0.76,0.8,20900
2024-10-09,0.81,0.83,0.77,0.77,32500
2024-10-08,0.82,0.82,0.79,0.79,21000
2024-10-07,0.78,0.83,0.77,0.79,25900
2024-10-04,0.79,0.86,0.71,0.78,96800
2024-10-03,0.82,0.85,0.75,0.79,77600
2024-10-02,0.85,0.87,0.81,0.81,90100
2024-10-01,0.85,0.9,0.84,0.85,36500
2024-09-30,0.9,0.9,0.83,0.86,52400
2024-09-27,0.8,0.86,0.78,0.86,54000
2024-09-26,0.8,0.81,0.75,0.81,97300
2024-09-25,0.89,0.89,0.78,0.8,272200
2024-09-24,0.91,0.96,0.85,0.87,106600
2024-09-23,0.95,0.96,0.89,0.91,30800
2024-09-20,0.95,0.99,0.88,0.92,78800
2024-09-19,0.9,0.98,0.9,0.94,34100
2024-09-18,0.86,0.95,0.86,0.9,178700
2024-09-17,0.9,0.9,0.86,0.87,30500
2024-09-16,0.87,0.93,0.87,0.88,55300
2024-09-13,0.92,0.94,0.85,0.9,94000
2024-09-12,0.92,0.97,0.9,0.9,76300
2024-09-11,0.92,1.03,0.9,0.92,62800
2024-09-10,1.02,1.03,0.9,0.93,85200
2024-09-09,0.97,1.05,0.96,1.04,96000
2024-09-06,1.0,1.04,0.96,0.99,44200
2024-09-05,1.0,1.05,0.92,1.01,131100
2024-09-04,1.01,1.04,0.95,0.96,80200
2024-09-03,1.05,1.08,0.98,1.0,124300
2024-08-30,0.96,1.05,0.96,1.04,129500
2024-08-29,1.0,1.0,0.94,0.98,84100
2024-08-28,0.95,1.0,0.93,0.93,54700
2024-08-27,1.0,1.02,0.93,0.97,183700
2024-08-26,0.92,1.0,0.9,0.95,115800
2024-08-23,0.9,0.92,0.88,0.9,45700
2024-08-22,0.95,0.95,0.88,0.9,59500
2024-08-21,0.86,0.94,0.86,0.91,30600
2024-08-20,0.93,0.94,0.89,0.9,31400
2024-08-19,0.86,0.94,0.86,0.93,42000
2024-08-16,0.92,0.93,0.86,0.89,39300
2024-08-15,0.85,0.94,0.85,0.87,19700
2024-08-14,0.9,0.95,0.83,0.86,140400
2024-08-13,0.99,0.99,0.9,0.91,42500
2024-08-12,0.96,0.98,0.92,0.96,38600
2024-08-09,1.0,1.02,0.95,0.98,34300
2024-08-08,0.94,0.97,0.94,0.96,58700
2024-08-07,0.92,0.96,0.9,0.92,47700
2024-08-06,0.88,0.96,0.87,0.87,38800
2024-08-05,0.86,0.9,0.86,0.88,11800
2024-08-02,0.95,0.95,0.89,0.9,21300
2024-08-01,1.0,1.0,0.91,0.93,36600
2024-07-31,1.03,1.03,0.97,0.99,29100
2024-07-30,1.07,1.07,1.0,1.01,52600
2024-07-29,0.88,1.09,0.84,1.06,392500
2024-07-26,0.89,0.9,0.86,0.89,9800
2024-07-25,0.83,0.9,0.83,0.88,10600
2024-07-24,0.86,0.89,0.83,0.86,32100
2024-07-23,0.87,0.87,0.83,0.85,73900
2024-07-22,0.85,0.87,0.85,0.87,32900
2024-07-19,0.89,0.9,0.86,0.87,19400
2024-07-18,0.92,0.92,0.86,0.86,67000
2024-07-17,0.92,0.92,0.91,0.92,11200
2024-07-16,0.93,0.93,0.9,0.91,46600
2024-07-15,0.91,0.93,0.91,0.92,15400
2024-07-12,0.91,0.94,0.89,0.93,47200
2024-07-11,0.9,0.91,0.89,0.9,11400
2024-07-10,0.93,0.93,0.89,0.89,10000
2024-07-09,0.93,0.93,0.86,0.89,28800
2024-07-08,0.9,0.94,0.87,0.9,6900
2024-07-05,0.96,0.96,0.89,0.94,24700
2024-07-03,0.95,0.95,0.9,0.92,22400
2024-07-03,0.93,0.94,0.9,0.92,37907
2024-07-02,0.88,0.96,0.88,0.92,58000
2024-07-01,0.87,0.92,0.86,0.92,28100
2024-06-28,0.9,0.92,0.87,0.89,41700
2024-06-27,0.87,0.92,0.86,0.91,43200
2024-06-26,0.89,0.9,0.85,0.88,9700
2024-06-25,0.86,0.87,0.82,0.83,60300
2024-06-24,0.95,0.95,0.88,0.89,13700
2024-06-21,0.87,0.93,0.83,0.93,119600
2024-06-20,0.82,0.9,0.8,0.83,102900
2024-06-18,0.97,1.0,0.78,0.78,376300
2024-06-17,1.06,1.06,0.96,0.99,87900
2024-06-14,1.0,1.11,0.96,1.06,136300
2024-06-13,0.98,1.0,0.95,0.98,48400
2024-06-12,0.97,0.98,0.9,0.98,40800
2024-06-11,1.0,1.01,0.97,0.98,14800
2024-06-10,0.96,1.03,0.96,1.01,33500
2024-06-07,0.96,0.98,0.96,0.97,14500
2024-06-06,0.97,0.99,0.96,0.98,15300
2024-06-05,1.03,1.03,0.98,1.0,7100
2024-06-04,1.01,1.03,0.9,1.03,66900
2024-06-03,1.03,1.03,1.0,1.03,38100
2024-05-31,1.01,1.05,1.0,1.03,8900
2024-05-30,1.0,1.05,1.0,1.02,27000
2024-05-29,1.01,1.03,1.0,1.03,66800
2024-05-28,1.02,1.05,0.97,1.03,104600
2024-05-24,1.02,1.04,1.02,1.03,7700
2024-05-23,1.03,1.04,1.02,1.04,21900
2024-05-22,1.03,1.1,1.0,1.02,61200
2024-05-21,1.11,1.11,1.03,1.05,27200
2024-05-20,1.05,1.14,1.0,1.08,94900
2024-05-17,1.17,1.17,1.08,1.08,41900
2024-05-16,1.18,1.18,1.11,1.15,43400
2024-05-15,0.99,1.27,0.99,1.22,497300
2024-05-14,1.03,1.03,1.0,1.02,77000
2024-05-13,1.01,1.04,1.01,1.03,28600
2024-05-10,1.02,1.03,1.01,1.01,12700
2024-05-09,1.04,1.07,1.02,1.02,16100
2024-05-08,1.01,1.04,1.0,1.04,31700
2024-05-07,0.99,1.05,0.99,0.99,92300
2024-05-06,1.03,1.06,1.02,1.03,36400
2024-05-03,1.03,1.04,0.99,1.02,66600
2024-05-02,1.0,1.03,0.99,1.02,18300
2024-05-01,1.01,1.06,1.0,1.0,78700
2024-04-30,1.01,1.1,0.97,1.03,45400
2024-04-29,1.05,1.1,0.98,0.99,41400
2024-04-26,1.08,1.08,1.02,1.05,39900
2024-04-25,0.99,1.14,0.99,1.12,259800
2024-04-24,0.97,1.05,0.95,0.97,32600
2024-04-23,0.94,1.01,0.93,0.95,20800
2024-04-22,0.97,0.99,0.92,0.93,60200
2024-04-19,1.02,1.02,0.95,0.99,77200
2024-04-18,1.0,1.05,1.0,1.04,17900
2024-04-17,1.02,1.04,1.0,1.01,46400
2024-04-16,1.01,1.07,1.0,1.02,70900
2024-04-15,1.12,1.14,1.0,1.02,150800
2024-04-12,1.14,1.16,1.12,1.12,30700
2024-04-11,1.19,1.19,1.02,1.14,90800
2024-04-10,1.15,1.22,1.15,1.2,50700
2024-04-09,1.18,1.2,1.13,1.19,70500
2024-04-08,1.24,1.24,1.15,1.17,87000
2024-04-05,1.12,1.24,1.12,1.2,162800
2024-04-04,1.03,1.13,1.03,1.1,122600
2024-04-03,0.99,1.02,0.98,1.01,55400
2024-04-02,1.09,1.09,0.97,0.98,70600
