datetime,open,high,low,close,volume
2025-04-01,0.25,0.311,0.215,0.23,65800
2025-03-31,0.19,0.33,0.19,0.222,219000
2025-03-28,0.21,0.239,0.185,0.19,164000
2025-03-27,0.19,0.2,0.185,0.19,25100
2025-03-26,0.202,0.211,0.19,0.19,41000
2025-03-25,0.229,0.241,0.19,0.22,37400
2025-03-24,0.225,0.24,0.214,0.227,34100
2025-03-21,0.248,0.248,0.21,0.226,18800
2025-03-20,0.25,0.25,0.213,0.226,38600
2025-03-19,0.23,0.24,0.214,0.23,28900
2025-03-18,0.19,0.227,0.19,0.227,97500
2025-03-17,0.2,0.218,0.2,0.205,46500
2025-03-14,0.195,0.21,0.191,0.21,33500
2025-03-13,0.21,0.217,0.19,0.195,19800
2025-03-12,0.2,0.22,0.195,0.201,32000
2025-03-11,0.205,0.22,0.173,0.192,133900
2025-03-10,0.238,0.238,0.198,0.205,50500
2025-03-07,0.22,0.232,0.212,0.22,18200
2025-03-06,0.219,0.24,0.218,0.225,67500
2025-03-05,0.19,0.219,0.19,0.219,99500
2025-03-04,0.17,0.19,0.17,0.185,17400
2025-03-03,0.195,0.197,0.161,0.175,67800
2025-02-28,0.185,0.195,0.175,0.192,18800
2025-02-27,0.218,0.23,0.185,0.185,49800
2025-02-26,0.19,0.24,0.19,0.225,61100
2025-02-25,0.25,0.25,0.184,0.19,88600
2025-02-24,0.23,0.25,0.22,0.23,55400
2025-02-21,0.244,0.244,0.22,0.23,52200
2025-02-20,0.32,0.32,0.24,0.241,106400
2025-02-19,0.25,0.297,0.238,0.285,291300
2025-02-18,0.215,0.229,0.182,0.224,202600
2025-02-14,0.223,0.233,0.2,0.2,39400
2025-02-13,0.21,0.219,0.2,0.215,85100
2025-02-12,0.19,0.206,0.182,0.188,67500
2025-02-11,0.212,0.212,0.18,0.19,107300
2025-02-10,0.191,0.223,0.191,0.223,30600
2025-02-07,0.19,0.22,0.181,0.21,31200
2025-02-06,0.185,0.197,0.185,0.188,16000
2025-02-05,0.2,0.204,0.178,0.19,87600
2025-02-04,0.173,0.199,0.173,0.186,198400
2025-02-03,0.148,0.18,0.148,0.173,203400
2025-01-31,0.153,0.153,0.15,0.151,58200
2025-01-30,0.145,0.153,0.135,0.153,120500
2025-01-29,0.153,0.153,0.129,0.14,131800
2025-01-28,0.129,0.154,0.128,0.153,153800
2025-01-27,0.15,0.15,0.13,0.139,184300
2025-01-24,0.14,0.15,0.135,0.15,110200
2025-01-23,0.155,0.155,0.127,0.138,134700
2025-01-22,0.168,0.168,0.141,0.155,127500
2025-01-21,0.17,0.188,0.15,0.17,114500
2025-01-17,0.19,0.219,0.175,0.18,409400
2025-01-16,0.138,0.165,0.135,0.159,262500
2025-01-15,0.108,0.142,0.105,0.13,387800
2025-01-14,0.1,0.11,0.093,0.095,94500
2025-01-13,0.12,0.14,0.091,0.098,298700
2025-01-10,0.125,0.139,0.11,0.12,205200
2025-01-08,0.1,0.11,0.097,0.107,220300
2025-01-07,0.118,0.13,0.112,0.125,45300
2025-01-06,0.121,0.138,0.108,0.129,102700
2025-01-03,0.12,0.15,0.117,0.125,193600
2025-01-02,0.106,0.125,0.106,0.12,62900
2024-12-31,0.11,0.12,0.095,0.11,64600
2024-12-30,0.13,0.137,0.101,0.125,83200
2024-12-27,0.09,0.133,0.084,0.13,294200
2024-12-26,0.087,0.1,0.075,0.088,118200
2024-12-24,0.075,0.099,0.075,0.094,62800
2024-12-23,0.06,0.079,0.06,0.075,86500
2024-12-20,0.067,0.07,0.058,0.069,70300
2024-12-19,0.067,0.068,0.059,0.062,15400
2024-12-18,0.07,0.07,0.057,0.058,23900
2024-12-17,0.069,0.069,0.065,0.069,28000
2024-12-16,0.062,0.073,0.052,0.069,81300
2024-12-13,0.065,0.07,0.06,0.068,39800
2024-12-12,0.081,0.081,0.059,0.065,360400
2024-12-11,0.076,0.08,0.071,0.08,31300
2024-12-10,0.075,0.085,0.071,0.075,89800
2024-12-09,0.075,0.078,0.073,0.078,11900
2024-12-06,0.076,0.081,0.075,0.075,36700
2024-12-05,0.078,0.081,0.07,0.075,34700
2024-12-04,0.078,0.08,0.071,0.078,16400
2024-12-03,0.065,0.081,0.065,0.08,34800
2024-12-02,0.083,0.083,0.065,0.07,61700
2024-11-29,0.078,0.084,0.071,0.071,14900
2024-11-27,0.084,0.085,0.076,0.078,9700
2024-11-26,0.084,0.1,0.073,0.085,70900
2024-11-25,0.061,0.092,0.061,0.084,44900
2024-11-22,0.087,0.087,0.066,0.066,47600
2024-11-21,0.074,0.087,0.066,0.086,502500
2024-11-20,0.073,0.075,0.067,0.075,3900
2024-11-19,0.092,0.092,0.067,0.075,187000
2024-11-18,0.078,0.092,0.076,0.086,108300
2024-11-15,0.076,0.076,0.07,0.076,6100
2024-11-14,0.073,0.079,0.07,0.07,34300
2024-11-13,0.077,0.084,0.067,0.071,21400
2024-11-12,0.067,0.084,0.067,0.083,17300
2024-11-11,0.071,0.09,0.061,0.074,66500
2024-11-08,0.073,0.073,0.07,0.071,4600
2024-11-07,0.063,0.08,0.051,0.063,88500
2024-11-06,0.061,0.061,0.056,0.059,22900
2024-11-05,0.061,0.061,0.061,0.061,2600
2024-11-04,0.06,0.075,0.055,0.058,51400
2024-11-01,0.072,0.079,0.06,0.06,5400
2024-10-31,0.083,0.084,0.072,0.079,1700
2024-10-30,0.081,0.081,0.064,0.067,36000
2024-10-29,0.073,0.084,0.062,0.083,24800
2024-10-28,0.066,0.079,0.055,0.072,56400
2024-10-25,0.068,0.08,0.066,0.071,16700
2024-10-24,0.068,0.068,0.062,0.065,19500
2024-10-23,0.071,0.071,0.055,0.059,72000
2024-10-22,0.079,0.079,0.072,0.073,18400
2024-10-21,0.08,0.08,0.075,0.08,18000
2024-10-18,0.089,0.089,0.075,0.085,11500
2024-10-17,0.074,0.09,0.07,0.086,30500
2024-10-16,0.079,0.079,0.067,0.074,6700
2024-10-15,0.071,0.079,0.065,0.078,39700
2024-10-14,0.071,0.085,0.066,0.085,43900
2024-10-11,0.07,0.099,0.065,0.099,42300
2024-10-10,0.069,0.074,0.064,0.07,14700
2024-10-09,0.061,0.07,0.061,0.069,15200
2024-10-08,0.066,0.07,0.061,0.065,27400
2024-10-07,0.061,0.073,0.061,0.073,34600
2024-10-04,0.077,0.077,0.056,0.075,4900
