datetime,open,high,low,close,volume
2025-04-01,1.36,1.384,1.24,1.28,1013600
2025-03-31,1.41,1.5,1.33,1.37,913100
2025-03-28,1.61,1.63,1.43,1.47,475900
2025-03-27,1.52,1.655,1.52,1.61,1314500
2025-03-26,1.64,1.64,1.48,1.54,1386800
2025-03-25,1.75,1.75,1.595,1.64,758900
2025-03-24,1.78,1.805,1.69,1.74,617800
2025-03-21,1.75,1.79,1.65,1.76,1141400
2025-03-20,1.68,1.805,1.68,1.78,703700
2025-03-19,1.79,1.855,1.705,1.725,672700
2025-03-18,1.93,1.94,1.74,1.77,584900
2025-03-17,1.95,2.04,1.915,1.95,405200
2025-03-14,1.88,1.995,1.835,1.95,825300
2025-03-13,1.96,2.0,1.8,1.86,887500
2025-03-12,1.83,2.01,1.83,1.97,842100
2025-03-11,1.86,1.984,1.72,1.85,739000
2025-03-10,1.98,2.03,1.815,1.86,692400
2025-03-07,2.11,2.17,2.0,2.01,646500
2025-03-06,2.04,2.175,2.0,2.11,570700
2025-03-05,1.84,2.125,1.81,2.09,1001400
2025-03-04,1.85,1.899,1.78,1.84,1153300
2025-03-03,2.12,2.212,1.81,1.9,1287300
2025-02-28,2.17,2.17,1.965,2.07,2689000
2025-02-27,2.33,2.39,2.17,2.18,600900
2025-02-26,2.29,2.44,2.23,2.33,541300
2025-02-25,2.36,2.39,2.23,2.3,418500
2025-02-24,2.36,2.38,2.255,2.35,561000
2025-02-21,2.45,2.5,2.35,2.36,547200
2025-02-20,2.43,2.51,2.41,2.43,597100
2025-02-19,2.38,2.47,2.35,2.41,446800
2025-02-18,2.46,2.62,2.42,2.43,643100
2025-02-14,2.54,2.7,2.45,2.47,662400
2025-02-13,2.46,2.62,2.44,2.51,796500
2025-02-12,2.45,2.54,2.41,2.46,685800
2025-02-11,2.69,2.69,2.465,2.49,1036600
2025-02-10,3.06,3.06,2.72,2.73,617900
2025-02-07,3.23,3.28,3.03,3.03,424100
2025-02-06,3.33,3.41,3.21,3.26,423200
2025-02-05,3.0,3.37,2.96,3.35,755300
2025-02-04,2.86,3.08,2.82,3.04,580400
2025-02-03,2.91,3.06,2.83,2.91,422400
2025-01-31,3.11,3.16,2.955,2.98,377000
2025-01-30,3.12,3.19,3.05,3.11,453200
2025-01-29,3.12,3.2,3.03,3.11,447600
2025-01-28,3.04,3.15,2.99,3.12,414900
2025-01-27,3.04,3.18,2.99,3.06,693700
2025-01-24,3.06,3.1,2.98,3.04,459000
2025-01-23,3.09,3.12,2.94,3.05,577200
