datetime,open,high,low,close,volume
2025-04-01,0.8,0.84,0.78,0.81,17600
2025-03-31,0.82,0.87,0.78,0.82,20300
2025-03-28,0.83,0.85,0.79,0.85,17300
2025-03-27,0.83,0.86,0.81,0.83,34500
2025-03-26,0.87,0.92,0.82,0.88,20000
2025-03-25,0.9,0.92,0.86,0.88,27100
2025-03-24,0.94,0.95,0.76,0.91,194000
2025-03-21,0.86,0.94,0.86,0.91,322700
2025-03-20,0.8,0.85,0.73,0.83,2810900
2025-03-19,0.78,0.82,0.78,0.8,2500
2025-03-18,0.77,0.81,0.77,0.8,2200
2025-03-17,0.81,0.83,0.79,0.8,14000
2025-03-14,0.85,0.85,0.77,0.83,6800
2025-03-13,0.85,0.87,0.84,0.84,600
2025-03-12,0.75,0.82,0.75,0.82,11100
2025-03-11,0.78,0.78,0.7,0.76,25800
2025-03-10,0.82,0.83,0.78,0.78,50100
2025-03-07,0.87,0.87,0.81,0.83,20500
2025-03-06,0.85,0.86,0.8,0.8,40100
2025-03-05,0.85,0.86,0.82,0.83,3800
2025-03-04,0.85,0.89,0.82,0.83,14200
2025-03-03,0.85,0.92,0.85,0.87,10100
2025-02-28,0.89,0.92,0.89,0.89,10100
2025-02-27,0.92,0.92,0.88,0.9,14300
2025-02-26,0.88,0.89,0.87,0.87,14200
2025-02-25,0.88,0.9,0.88,0.89,38300
2025-02-24,0.93,0.98,0.81,0.9,53500
2025-02-21,0.92,0.96,0.9,0.94,32200
2025-02-20,0.93,0.93,0.89,0.93,10700
2025-02-19,0.98,0.98,0.91,0.92,38300
2025-02-18,0.96,1.01,0.96,0.97,7000
2025-02-14,0.98,1.01,0.95,0.97,65900
2025-02-13,1.0,1.01,0.99,0.99,27000
2025-02-12,1.0,1.02,0.99,1.0,10300
2025-02-11,1.0,1.04,1.0,1.01,12000
2025-02-10,1.05,1.05,1.01,1.03,14200
2025-02-07,1.06,1.08,1.01,1.05,5200
2025-02-06,1.03,1.07,1.01,1.06,17200
2025-02-05,1.0,1.06,0.94,1.04,26300
2025-02-04,0.96,1.03,0.94,1.0,27400
2025-02-03,0.94,1.03,0.92,0.96,11200
2025-01-31,0.98,0.99,0.91,0.95,19200
2025-01-30,0.89,1.07,0.89,0.99,108700
2025-01-29,0.85,0.9,0.82,0.88,27200
2025-01-28,0.94,0.94,0.86,0.86,22900
2025-01-27,0.98,1.0,0.88,0.88,45300
2025-01-24,0.95,1.06,0.94,1.0,83300
2025-01-23,1.02,1.04,0.93,0.93,93900
2025-01-22,1.26,1.5,0.95,1.01,402100
2025-01-21,1.08,1.27,1.08,1.2,157600
2025-01-17,1.11,1.13,1.08,1.13,10700
2025-01-16,1.11,1.12,1.06,1.1,6400
2025-01-15,1.05,1.14,1.01,1.11,65900
2025-01-14,1.08,1.1,1.04,1.05,33000
2025-01-13,1.14,1.14,1.01,1.1,86200
2025-01-10,1.09,1.14,1.06,1.14,92800
2025-01-08,1.02,1.17,0.98,1.12,176900
2025-01-07,1.01,1.04,1.0,1.04,66900
2025-01-06,1.01,1.06,0.92,1.03,258400
2025-01-03,1.0,1.03,0.99,1.01,52000
2025-01-02,1.0,1.08,1.0,1.02,70400
2024-12-31,1.05,1.07,0.98,1.05,142400
2024-12-30,1.01,1.08,1.0,1.02,102500
2024-12-27,1.0,1.05,0.95,1.05,247500
2024-12-26,0.83,1.0,0.83,0.99,217100
2024-12-24,0.82,0.94,0.8,0.84,62400
2024-12-23,0.78,1.03,0.78,0.8,253600
2024-12-20,0.73,0.8,0.73,0.78,185500
2024-12-19,1.0,1.02,0.7,0.77,4259700
2024-12-18,0.71,0.85,0.7,0.79,561400
2024-12-17,0.7,0.72,0.7,0.72,6200
2024-12-16,0.71,0.72,0.7,0.7,87900
2024-12-13,0.71,0.73,0.71,0.72,8800
2024-12-12,0.72,0.73,0.72,0.72,25900
2024-12-11,0.72,0.73,0.72,0.72,7300
2024-12-10,0.72,0.73,0.71,0.73,4600
2024-12-09,0.73,0.75,0.71,0.72,36300
2024-12-06,0.75,0.75,0.71,0.71,5400
2024-12-05,0.74,0.74,0.71,0.71,5400
2024-12-04,0.71,0.72,0.71,0.72,2100
2024-12-03,0.72,0.72,0.7,0.71,8000
2024-12-02,0.75,0.75,0.7,0.72,67300
2024-11-29,0.75,0.75,0.74,0.74,1600
2024-11-27,0.75,0.75,0.75,0.75,15800
2024-11-26,0.74,0.75,0.73,0.75,16100
2024-11-25,0.73,0.77,0.73,0.74,13100
2024-11-22,0.73,0.77,0.72,0.72,9600
2024-11-21,0.75,0.8,0.68,0.75,17100
2024-11-20,0.77,0.79,0.75,0.75,9600
2024-11-19,0.74,0.8,0.74,0.76,18900
2024-11-18,0.76,0.79,0.73,0.74,16000
2024-11-15,0.78,0.82,0.76,0.76,15200
2024-11-14,0.78,0.81,0.76,0.78,5000
2024-11-13,0.8,0.8,0.78,0.79,14900
2024-11-12,0.75,0.82,0.73,0.78,14400
2024-11-11,0.82,0.83,0.68,0.75,72700
2024-11-08,0.86,0.87,0.81,0.82,25300
2024-11-07,0.88,0.9,0.86,0.86,16700
2024-11-06,0.85,0.95,0.85,0.88,26900
2024-11-05,0.86,0.89,0.86,0.88,21200
2024-11-04,0.84,0.88,0.84,0.88,10500
2024-11-01,0.84,0.89,0.82,0.85,13300
2024-10-31,1.0,1.0,0.86,0.89,29000
2024-10-30,0.9,0.95,0.9,0.95,24800
2024-10-29,0.92,0.95,0.88,0.91,31900
2024-10-28,0.91,0.96,0.9,0.92,48600
2024-10-25,0.93,1.0,0.8,0.85,93100
2024-10-24,0.83,0.96,0.83,0.93,118200
2024-10-23,0.82,0.85,0.82,0.83,12400
2024-10-22,0.85,0.85,0.8,0.85,3200
2024-10-21,0.82,0.86,0.82,0.85,7100
2024-10-18,0.78,0.85,0.76,0.83,63100
2024-10-17,0.76,0.77,0.69,0.77,63600
2024-10-16,0.74,0.76,0.74,0.76,11100
2024-10-15,0.75,0.75,0.73,0.75,11000
2024-10-14,0.77,0.77,0.73,0.73,22100
2024-10-11,0.74,0.76,0.73,0.74,22300
2024-10-10,0.74,0.76,0.74,0.76,5700
2024-10-09,0.73,0.77,0.73,0.74,14500
2024-10-08,0.77,0.77,0.75,0.75,3900
2024-10-07,0.75,0.77,0.75,0.77,10600
2024-10-04,0.77,0.77,0.75,0.77,16900
2024-10-03,0.77,0.77,0.73,0.75,3100
2024-10-02,0.76,0.8,0.76,0.77,22700
2024-10-01,0.74,0.78,0.74,0.76,7000
2024-09-30,0.75,0.81,0.75,0.79,8700
2024-09-29,0.75,0.81,0.75,0.7926,8712
2024-09-27,0.79,0.8,0.77,0.79,22400
2024-09-26,0.86,0.86,0.8,0.82,14500
2024-09-25,0.8,0.86,0.8,0.85,19200
2024-09-24,0.79,0.82,0.79,0.8,12200
2024-09-23,0.791,0.82,0.79,0.801,12196
2024-09-20,0.73,0.86,0.73,0.86,42500
2024-09-19,0.73,0.77,0.73,0.76,12100
2024-09-18,0.76,0.78,0.74,0.74,15500
2024-09-17,0.75,0.8,0.75,0.76,9500
2024-09-16,0.75,0.78,0.75,0.78,2500
2024-09-13,0.77,0.77,0.75,0.75,7500
2024-09-12,0.76,0.77,0.75,0.75,5900
2024-09-11,0.81,0.82,0.75,0.75,11100
2024-09-10,0.8,0.8,0.75,0.77,27500
2024-09-09,0.78,0.8,0.76,0.8,10200
2024-09-06,0.82,0.82,0.74,0.75,22900
2024-09-05,0.83,0.84,0.8,0.8,22300
2024-09-04,0.83,0.87,0.82,0.82,15200
2024-09-03,0.82,0.9,0.82,0.83,21800
2024-08-30,0.89,0.89,0.83,0.85,17100
2024-08-29,0.85,0.9,0.85,0.89,19000
2024-08-28,0.85,0.9,0.85,0.86,14700
2024-08-27,0.9,0.91,0.86,0.9,17000
2024-08-26,0.93,0.93,0.88,0.91,11700
2024-08-23,0.92,0.95,0.89,0.9,120800
2024-08-22,0.93,0.98,0.87,0.97,221700
2024-08-21,0.86,0.93,0.86,0.91,59900
2024-08-20,0.9,0.92,0.84,0.87,54600
2024-08-19,0.94,1.0,0.87,0.92,236300
2024-08-18,0.936,0.9999,0.87,0.92,236250
2024-08-16,0.86,1.02,0.86,0.94,184700
2024-08-15,0.859,1.02,0.859,0.942,184705
2024-08-14,0.72,0.86,0.72,0.85,109000
2024-08-13,0.72,0.73,0.7,0.72,16900
2024-08-12,0.7,0.73,0.7,0.73,16500
2024-08-09,0.66,0.74,0.66,0.72,6400
2024-08-08,0.73,0.75,0.69,0.69,2000
2024-08-07,0.68,0.75,0.67,0.75,40400
2024-08-06,0.65,0.68,0.64,0.68,10800
2024-08-05,0.67,0.67,0.61,0.66,128400
2024-08-02,0.75,0.75,0.6,0.67,115300
2024-08-01,0.76,0.78,0.73,0.73,45800
2024-07-31,0.77,0.77,0.73,0.76,19700
2024-07-30,0.74,0.75,0.73,0.73,12300
2024-07-29,0.75,0.8,0.75,0.75,28400
2024-07-26,0.73,0.77,0.73,0.76,20300
2024-07-25,0.71,0.79,0.71,0.73,54600
2024-07-24,0.76,0.82,0.71,0.72,110700
2024-07-23,0.7,0.75,0.69,0.75,18000
2024-07-22,0.73,0.73,0.69,0.73,22900
2024-07-19,0.75,0.78,0.74,0.74,40600
2024-07-18,0.79,0.79,0.73,0.75,22600
2024-07-17,0.82,0.82,0.75,0.76,63500
2024-07-16,0.79,0.82,0.77,0.8,130400
2024-07-15,0.78,0.81,0.77,0.77,26800
2024-07-12,0.78,0.79,0.78,0.78,31100
2024-07-11,0.75,0.81,0.75,0.77,34100
2024-07-10,0.77,0.8,0.73,0.76,47600
2024-07-09,0.77,0.84,0.77,0.79,27000
2024-07-08,0.8,0.8,0.76,0.79,32700
2024-07-05,0.76,0.85,0.74,0.81,10600
2024-07-03,0.82,0.82,0.75,0.78,9000
2024-07-02,0.86,0.86,0.75,0.79,47400
2024-07-01,0.9,0.91,0.81,0.83,59900
2024-06-28,1.0,1.01,0.82,0.88,70600
2024-06-27,1.0,1.01,0.96,1.0,66800
2024-06-26,0.98,1.01,0.98,1.0,29700
2024-06-25,0.98,1.02,0.96,1.0,39300
2024-06-24,1.03,1.03,0.9,1.0,142300
2024-06-21,1.0,1.02,0.97,1.0,73900
2024-06-20,1.01,1.05,0.98,1.03,71400
