datetime,open,high,low,close,volume
2025-04-01,25.1,25.12,25.02,25.05,18900
2025-03-31,25.05,25.1,24.97,25.0,218400
2025-03-28,25.15,25.22,25.08,25.09,23100
2025-03-27,25.48,25.48,25.03,25.12,54500
2025-03-26,25.74,25.78,25.32,25.36,26100
2025-03-25,25.81,25.81,25.62,25.69,20600
2025-03-24,25.77,25.82,25.62,25.71,18200
2025-03-21,25.83,25.83,25.58,25.679,24100
2025-03-20,25.86,26.0,25.7,25.745,29800
2025-03-19,25.72,25.85,25.62,25.77,29700
2025-03-18,25.7,25.72,25.51,25.69,15300
2025-03-17,25.63,25.74,25.63,25.64,9400
2025-03-14,25.65,25.71,25.5,25.62,12200
2025-03-13,25.54,25.61,25.39,25.6,13500
2025-03-12,25.48,25.62,25.35,25.55,9500
2025-03-11,25.48,25.5,25.39,25.44,19100
2025-03-10,25.68,25.68,25.44,25.46,50300
2025-03-07,25.7,25.7,25.53,25.68,29900
2025-03-06,25.712,25.75,25.314,25.59,27700
2025-03-05,25.76,25.78,25.62,25.73,6100
2025-03-04,25.71,25.745,25.282,25.7,11200
2025-03-03,25.77,25.77,25.615,25.7,20800
2025-02-28,25.68,25.73,25.44,25.68,20700
2025-02-27,25.94,26.02,25.86,26.01,20800
2025-02-26,25.89,25.92,25.815,25.92,21100
2025-02-25,25.85,25.87,25.75,25.86,48000
2025-02-24,25.77,25.82,25.66,25.82,8200
2025-02-21,25.74,25.76,25.65,25.76,14200
2025-02-20,25.68,25.7,25.585,25.69,25500
2025-02-19,25.67,25.72,25.525,25.639,11100
2025-02-18,25.77,25.77,25.65,25.651,4500
2025-02-14,25.71,25.77,25.605,25.73,7800
2025-02-13,25.66,25.71,25.56,25.58,9500
2025-02-12,25.43,25.59,25.31,25.5,11000
2025-02-11,25.7,25.71,25.6,25.64,5900
2025-02-10,25.53,25.74,25.43,25.71,16600
2025-02-07,25.54,25.54,25.336,25.53,7800
2025-02-06,25.39,25.54,25.3,25.51,40800
2025-02-05,25.35,25.39,25.281,25.38,5500
2025-02-04,25.26,25.32,25.22,25.25,4800
2025-02-03,25.16,25.28,25.04,25.18,13500
2025-01-31,25.31,25.389,25.148,25.21,11800
2025-01-30,25.37,25.4,25.261,25.36,15400
2025-01-29,25.37,25.43,25.16,25.25,8400
2025-01-28,25.5,25.5,25.28,25.365,6400
2025-01-27,25.48,25.498,25.4,25.46,14400
2025-01-24,25.27,25.48,25.27,25.385,11500
2025-01-23,25.35,25.35,25.16,25.27,13500
2025-01-22,25.54,25.61,25.38,25.38,6600
2025-01-21,25.42,25.65,25.4,25.555,10700
2025-01-17,25.41,25.555,25.23,25.34,9500
2025-01-16,25.44,25.51,25.27,25.35,24700
2025-01-15,25.12,25.48,25.12,25.46,17400
2025-01-14,24.89,25.05,24.89,24.95,18900
