datetime,open,high,low,close,volume
2025-04-01,20.03,20.69,19.98,20.17,40100
2025-03-31,20.27,20.29,19.75,20.27,114400
2025-03-28,20.51,20.82,20.17,20.5,84200
2025-03-27,20.56,20.99,20.3,20.63,25100
2025-03-26,20.73,20.87,20.44,20.51,37500
2025-03-25,20.48,20.86,20.42,20.72,21100
2025-03-24,20.6,20.79,20.43,20.52,35700
2025-03-21,19.81,20.41,19.57,20.31,71800
2025-03-20,19.62,19.96,19.0,19.84,94100
2025-03-19,19.31,19.89,19.17,19.83,30800
2025-03-18,19.3,19.55,19.11,19.23,37600
2025-03-17,19.59,19.73,19.29,19.45,47000
2025-03-14,19.47,19.73,18.5,19.56,39500
2025-03-13,19.87,19.87,19.1,19.28,65900
2025-03-12,19.81,20.14,19.68,19.95,40300
2025-03-11,19.63,19.77,19.25,19.6,41000
2025-03-10,19.79,19.98,19.2,19.58,56200
2025-03-07,19.89,20.17,19.51,20.14,52600
2025-03-06,19.8,20.22,19.5,19.82,43700
2025-03-05,19.51,20.13,19.02,19.95,56300
2025-03-04,19.25,19.75,19.15,19.63,73600
2025-03-03,19.74,19.82,19.34,19.45,63600
2025-02-28,18.69,19.64,18.69,19.64,77700
2025-02-27,19.35,19.55,18.86,18.98,148300
2025-02-26,19.25,19.48,19.11,19.45,32800
2025-02-25,19.53,19.65,18.65,19.31,80700
2025-02-24,20.18,20.36,19.39,19.49,38700
2025-02-21,20.89,21.06,20.14,20.18,27900
2025-02-20,20.85,21.05,20.31,20.64,28100
2025-02-19,21.39,21.56,20.88,21.09,24300
2025-02-18,21.7,22.44,21.2,21.61,28800
2025-02-14,22.57,22.61,21.74,21.9,37200
2025-02-13,21.04,22.54,20.01,22.4,85200
2025-02-12,20.12,21.15,20.04,21.0,68700
2025-02-11,20.84,20.96,20.34,20.59,34300
2025-02-10,20.84,20.99,20.66,20.75,26000
2025-02-07,21.31,21.31,20.58,20.75,43000
2025-02-06,21.3,21.48,21.1,21.17,26300
2025-02-05,21.12,21.68,21.08,21.44,34100
2025-02-04,20.74,21.19,20.5,21.05,33800
2025-02-03,20.84,21.2,20.6,20.75,34800
2025-01-31,21.61,21.88,21.0,21.13,43500
2025-01-30,21.32,21.69,21.21,21.59,35800
2025-01-29,21.54,21.58,21.02,21.2,28100
