datetime,open,high,low,close,volume
2025-04-01,17.55,17.61,17.36,17.4099,12693
2025-03-31,17.9124,18.12,17.31,17.31,41265
2025-03-28,18.005,18.09,17.87,18.09,1429
2025-03-27,17.9,18.08,17.8526,18.08,2289
2025-03-26,18.1,18.13,18.0,18.042,2035
2025-03-25,18.16,18.16,18.1,18.1,565
2025-03-24,18.21,18.21,18.08,18.08,2681
2025-03-21,18.12,18.2799,18.0135,18.0867,3179
2025-03-20,18.5,18.5,18.395,18.42,4507
2025-03-19,18.45,18.45,18.3201,18.38,7976
2025-03-18,18.39,18.42,18.24,18.39,6292
2025-03-17,18.355,18.44,18.232,18.35,4529
2025-03-14,18.19,18.27,18.0863,18.23,5486
2025-03-13,18.28,18.45,18.28,18.41,6805
2025-03-12,18.3573,18.3573,18.25,18.25,1385
2025-03-11,18.433,18.433,18.15,18.1968,6130
2025-03-10,18.22,18.2365,18.12,18.23,12071
2025-03-07,18.1244,18.2,17.9452,18.11,6457
2025-03-06,18.0,18.0,17.8886,17.8886,1138
2025-03-05,17.92,17.985,17.9,17.9,1603
2025-03-04,18.0,18.0,17.6,17.7496,9525
2025-03-03,18.13,18.13,17.75,17.75,7734
2025-02-28,18.09,18.09,17.89,17.89,1275
2025-02-27,17.7,17.79,17.52,17.79,32643
2025-02-26,17.85,17.85,17.61,17.75,3180
2025-02-25,17.7,18.0,17.61,17.8,16120
2025-02-24,17.65,17.77,17.65,17.65,13723
2025-02-21,17.8,18.49,17.67,17.685,5679
2025-02-20,17.87,17.87,17.8,17.8,2288
2025-02-19,17.98,17.98,17.65,17.85,17433
2025-02-18,18.05,18.06,18.0,18.0,2269
2025-02-14,17.97,18.12,17.9699,18.0051,13339
2025-02-13,17.95,18.09,17.9,17.92,10905
2025-02-12,18.01,18.01,17.9,17.9687,24740
2025-02-11,18.04,18.11,18.01,18.03,19502
2025-02-10,18.06,18.335,18.02,18.08,10086
2025-02-07,18.06,18.25,18.06,18.12,2282
2025-02-06,18.16,18.24,18.03,18.15,2069
2025-02-05,18.37,18.425,18.18,18.28,5596
2025-02-04,18.35,18.6,18.35,18.45,4096
2025-02-03,18.21,18.62,18.06,18.6,8305
2025-01-31,18.03,18.66,18.01,18.35,11450
2025-01-30,18.2,18.3,18.0649,18.0649,2859
2025-01-29,18.27,18.27,18.26,18.26,1883
2025-01-28,18.17,18.3,18.12,18.22,4210
2025-01-27,18.08,18.26,18.0101,18.26,4201
