datetime,open,high,low,close,volume
2025-04-01,0.36,0.36,0.342,0.346,224200
2025-03-31,0.379,0.379,0.32,0.352,706800
2025-03-28,0.38,0.395,0.361,0.365,331700
2025-03-27,0.4,0.4,0.385,0.39,80000
2025-03-26,0.4,0.407,0.375,0.391,529500
2025-03-25,0.4,0.41,0.38,0.389,340800
2025-03-24,0.39,0.4,0.386,0.39,237500
2025-03-21,0.409,0.41,0.382,0.392,385800
2025-03-20,0.407,0.41,0.39,0.402,172900
2025-03-19,0.407,0.41,0.39,0.404,144100
2025-03-18,0.403,0.415,0.398,0.404,106100
2025-03-17,0.4,0.42,0.39,0.415,201500
2025-03-14,0.4,0.43,0.375,0.4,353100
2025-03-13,0.375,0.4,0.371,0.394,396200
2025-03-12,0.375,0.4,0.37,0.386,203400
2025-03-11,0.37,0.399,0.37,0.373,300500
2025-03-10,0.38,0.403,0.372,0.386,294500
2025-03-07,0.39,0.4,0.371,0.39,318200
2025-03-06,0.39,0.44,0.37,0.39,1276300
2025-03-05,0.37,0.4,0.345,0.38,428700
2025-03-04,0.361,0.375,0.323,0.375,1140400
2025-03-03,0.451,0.455,0.375,0.384,1122600
2025-02-28,0.462,0.468,0.44,0.455,388000
2025-02-27,0.479,0.507,0.461,0.468,571100
2025-02-26,0.499,0.519,0.474,0.483,850700
2025-02-25,0.489,0.499,0.469,0.498,669000
2025-02-24,0.48,0.528,0.435,0.498,1908800
2025-02-21,0.44,0.49,0.44,0.473,1183100
2025-02-20,0.485,0.5,0.443,0.469,3770800
2025-02-19,0.601,0.674,0.49,0.514,66327200
2025-02-18,0.401,0.42,0.383,0.409,13437600
2025-02-14,0.389,0.448,0.38,0.42,1136100
2025-02-13,0.382,0.4,0.367,0.385,349600
2025-02-12,0.361,0.399,0.361,0.39,326400
2025-02-11,0.39,0.395,0.365,0.37,988600
2025-02-10,0.411,0.423,0.381,0.403,553800
2025-02-07,0.409,0.42,0.389,0.42,850100
2025-02-06,0.44,0.44,0.405,0.421,629500
2025-02-05,0.426,0.445,0.405,0.426,706300
2025-02-04,0.425,0.48,0.41,0.428,845800
2025-02-03,0.44,0.447,0.38,0.416,1745700
2025-01-31,0.461,0.5,0.459,0.472,545500
2025-01-30,0.53,0.57,0.471,0.488,998600
2025-01-29,0.48,0.525,0.469,0.522,748900
2025-01-28,0.513,0.53,0.42,0.469,1895800
2025-01-27,0.56,0.6,0.49,0.523,2049700
2025-01-24,0.52,0.64,0.485,0.56,8663400
2025-01-23,0.49,0.5,0.46,0.485,2934500
2025-01-22,0.512,0.548,0.36,0.482,1227500
2025-01-21,0.559,0.56,0.51,0.525,1077100
2025-01-17,0.572,0.6,0.549,0.569,585400
2025-01-16,0.572,0.613,0.541,0.572,686100
2025-01-15,0.599,0.64,0.578,0.599,1023400
2025-01-14,0.521,0.599,0.516,0.564,844100
2025-01-13,0.54,0.55,0.502,0.511,1193100
2025-01-10,0.676,0.69,0.56,0.575,1923600
2025-01-08,0.69,0.698,0.6,0.66,2277800
2025-01-07,0.82,0.82,0.71,0.722,2852200
2025-01-06,0.74,1.1,0.702,0.83,20621500
2025-01-03,0.729,0.729,0.632,0.659,2056600
2025-01-02,0.7,0.704,0.622,0.686,3709300
2024-12-31,0.66,0.79,0.651,0.671,4868200
2024-12-30,0.72,0.723,0.566,0.62,4336600
2024-12-27,0.83,0.9,0.71,0.776,9866100
2024-12-26,0.45,0.777,0.44,0.723,35577800
2024-12-24,0.428,0.47,0.425,0.44,728800
2024-12-23,0.44,0.45,0.406,0.43,1130300
2024-12-20,0.475,0.498,0.417,0.43,3042000
2024-12-19,0.395,0.487,0.36,0.47,6745700
2024-12-18,0.38,0.395,0.35,0.373,1909400
2024-12-17,0.45,0.452,0.375,0.397,3584000
2024-12-16,0.565,0.57,0.44,0.51,6767000
2024-12-13,0.855,0.92,0.637,0.684,141889200
2024-12-12,0.438,0.842,0.438,0.519,71972200
2024-12-11,0.469,0.485,0.424,0.441,113600
2024-12-10,0.46,0.47,0.421,0.458,59900
2024-12-09,0.455,0.47,0.423,0.45,183900
2024-12-06,0.455,0.47,0.44,0.469,137900
2024-12-05,0.443,0.47,0.412,0.432,294400
2024-12-04,0.46,0.48,0.41,0.441,376900
2024-12-03,0.483,0.5,0.44,0.47,171800
2024-12-02,0.569,0.569,0.43,0.479,341000
2024-11-29,0.57,0.58,0.515,0.543,89800
2024-11-27,0.569,0.58,0.51,0.551,243200
2024-11-26,0.465,0.589,0.441,0.551,587200
2024-11-25,0.421,0.499,0.42,0.453,126600
2024-11-22,0.449,0.46,0.38,0.433,260100
2024-11-21,0.44,0.449,0.416,0.449,140600
2024-11-20,0.411,0.515,0.402,0.44,178400
2024-11-19,0.447,0.477,0.408,0.43,147100
2024-11-18,0.517,0.517,0.43,0.479,320800
2024-11-15,0.56,0.579,0.351,0.48,2620600
2024-11-14,0.456,0.47,0.42,0.448,219800
2024-11-13,0.47,0.495,0.43,0.47,156700
2024-11-12,0.466,0.52,0.438,0.485,119800
2024-11-11,0.45,0.52,0.43,0.475,285800
2024-11-08,0.55,0.55,0.395,0.45,2493600
2024-11-07,0.543,0.62,0.532,0.579,274000
2024-11-06,0.59,0.592,0.51,0.56,202400
2024-11-05,0.611,0.64,0.56,0.58,80800
2024-11-04,0.57,0.6,0.55,0.57,57800
2024-11-01,0.681,0.681,0.547,0.59,82100
2024-10-31,0.68,0.72,0.65,0.693,47900
2024-10-30,0.68,0.731,0.68,0.699,52900
2024-10-29,0.691,0.715,0.67,0.705,35500
2024-10-28,0.7,0.728,0.65,0.698,199700
2024-10-25,0.7,0.7,0.64,0.7,25600
2024-10-24,0.72,0.75,0.6,0.681,58400
2024-10-23,0.78,0.799,0.67,0.7,61800
2024-10-22,0.83,0.86,0.74,0.74,48100
2024-10-21,0.817,0.9,0.777,0.807,73600
2024-10-18,0.85,0.85,0.8,0.817,11400
2024-10-17,0.861,0.893,0.81,0.851,20200
2024-10-16,0.819,0.893,0.8,0.829,29800
2024-10-15,0.901,1.005,0.75,0.792,45900
2024-10-14,0.95,0.95,0.892,0.9,4700
2024-10-11,0.94,0.95,0.9,0.94,2500
2024-10-10,0.93,0.998,0.901,0.909,123300
2024-10-09,0.95,0.95,0.91,0.91,4600
2024-10-08,0.96,0.96,0.91,0.96,15300
2024-10-07,0.98,1.0,0.914,0.931,3000
2024-10-04,0.905,1.07,0.905,0.95,13600
2024-10-03,0.96,0.96,0.9,0.95,9000
2024-10-02,0.88,0.96,0.822,0.96,8000
2024-10-01,0.92,0.95,0.794,0.927,16300
2024-09-30,0.95,0.979,0.92,0.949,4100
2024-09-27,1.03,1.03,0.945,0.96,4800
2024-09-26,0.972,1.0,0.945,0.995,6900
2024-09-25,0.94,1.07,0.932,0.972,7700
2024-09-24,1.03,1.03,0.93,0.93,17500
2024-09-23,1.02,1.114,0.985,0.985,16900
2024-09-20,1.07,1.195,0.95,0.956,31700
2024-09-19,1.122,1.18,1.1,1.1,42600
2024-09-18,1.163,1.163,1.08,1.1,3900
2024-09-17,1.19,1.24,1.13,1.13,3200
2024-09-16,1.19,1.25,1.184,1.25,1500
2024-09-13,1.27,1.27,1.112,1.26,3600
2024-09-12,1.21,1.24,1.17,1.17,4400
2024-09-11,1.104,1.26,1.101,1.26,14700
2024-09-10,1.17,1.18,1.05,1.18,10600
2024-09-09,1.06,1.09,1.03,1.03,4600
2024-09-06,1.05,1.107,1.05,1.06,1900
2024-09-05,1.139,1.139,1.02,1.05,5300
2024-09-04,1.095,1.1,1.05,1.09,1400
2024-09-03,1.13,1.13,1.01,1.01,14700
2024-08-30,1.18,1.25,1.1,1.1,11300
2024-08-29,1.33,1.33,1.1,1.16,30000
2024-08-28,1.23,1.34,1.14,1.14,10400
2024-08-27,1.335,1.335,1.23,1.24,10300
2024-08-26,1.39,1.39,1.3,1.32,4100
2024-08-23,1.31,1.39,1.27,1.39,3700
2024-08-22,1.39,1.39,1.337,1.337,9000
2024-08-21,1.45,1.47,1.36,1.39,4700
2024-08-20,1.26,1.46,1.26,1.45,21700
2024-08-19,1.24,1.3,1.18,1.3,5000
2024-08-16,1.25,1.31,1.25,1.29,6900
2024-08-15,1.1,1.261,1.09,1.261,9600
2024-08-14,1.1,1.12,1.086,1.1,4800
2024-08-13,1.07,1.12,1.066,1.066,6600
2024-08-12,1.09,1.11,1.07,1.07,2500
2024-08-09,1.11,1.11,1.11,1.11,1700
2024-08-08,1.13,1.195,1.115,1.15,1300
2024-08-07,1.18,1.18,1.09,1.121,2800
2024-08-06,1.225,1.225,1.15,1.15,3600
2024-08-05,1.06,1.16,1.06,1.081,10000
2024-08-02,1.065,1.2,1.065,1.11,11100
2024-08-01,1.11,1.16,1.065,1.16,2500
2024-07-31,1.12,1.2,1.11,1.15,4700
2024-07-30,1.06,1.32,1.06,1.12,34200
2024-07-29,1.11,1.15,1.06,1.08,6400
2024-07-26,1.09,1.288,1.07,1.145,21800
2024-07-25,1.05,1.065,1.02,1.055,6100
2024-07-24,0.93,1.09,0.93,1.05,41300
2024-07-23,1.01,1.05,0.977,0.98,10800
2024-07-22,1.15,1.15,1.01,1.03,12600
2024-07-19,1.139,1.139,1.06,1.09,4800
2024-07-18,1.07,1.09,1.07,1.07,5700
2024-07-17,1.07,1.07,1.01,1.07,12300
2024-07-16,1.089,1.089,1.06,1.07,7500
2024-07-15,1.061,1.07,1.06,1.07,6700
2024-07-12,1.0,1.09,1.0,1.06,11900
2024-07-11,1.06,1.09,0.99,1.02,15400
2024-07-10,1.05,1.067,1.01,1.01,7300
2024-07-09,1.13,1.13,1.01,1.01,9200
2024-07-08,1.15,1.15,1.07,1.08,6500
2024-07-05,1.09,1.104,1.0,1.09,16500
2024-07-03,1.07,1.11,1.07,1.07,14500
2024-07-02,1.13,1.17,1.1,1.1,13100
2024-07-01,1.23,1.24,1.13,1.15,5300
2024-06-28,1.17,1.17,1.114,1.12,3400
2024-06-27,1.18,1.2,1.1,1.1,6800
2024-06-26,1.17,1.254,1.11,1.12,28800
2024-06-25,1.15,1.245,1.11,1.11,7300
2024-06-24,1.129,1.23,1.095,1.17,9600
2024-06-21,1.17,1.29,1.07,1.1,11000
2024-06-20,1.1,1.14,1.09,1.09,8100
2024-06-18,1.2,1.2,1.12,1.131,17900
2024-06-17,1.26,1.3,1.11,1.12,14100
2024-06-14,1.12,1.21,1.11,1.19,10300
2024-06-13,1.29,1.29,1.11,1.11,44000
2024-06-12,1.52,1.52,1.26,1.28,59300
2024-06-11,1.02,1.49,1.01,1.375,140000
2024-06-10,1.13,1.14,1.01,1.02,16900
2024-06-07,1.12,1.13,1.0,1.08,13900
2024-06-06,1.18,1.19,1.1,1.13,11900
2024-06-05,0.96,1.25,0.96,1.16,17400
2024-06-04,1.09,1.09,0.995,0.995,13900
2024-06-03,1.13,1.13,1.04,1.09,14200
2024-05-31,1.08,1.15,1.06,1.11,14100
2024-05-30,1.09,1.14,1.09,1.09,9100
2024-05-29,1.11,1.15,1.09,1.14,22700
2024-05-28,1.14,1.21,1.13,1.13,6700
2024-05-24,1.37,1.37,1.13,1.14,15000
2024-05-23,1.18,1.31,1.17,1.17,11400
2024-05-22,1.2,1.24,1.19,1.2,14800
2024-05-21,1.25,1.3,1.23,1.23,20900
2024-05-20,1.42,1.42,1.29,1.29,9000
2024-05-17,1.32,1.39,1.32,1.37,27000
2024-05-16,1.4,1.4,1.3,1.3,33900
2024-05-15,1.33,1.365,1.29,1.33,21500
2024-05-14,1.405,1.405,1.3,1.33,169300
2024-05-13,1.45,1.5,1.4,1.41,15900
2024-05-10,1.5,1.518,1.47,1.47,10600
2024-05-09,1.528,1.53,1.5,1.5,11900
2024-05-08,1.6,1.6,1.58,1.58,4100
2024-05-07,1.56,1.661,1.5,1.53,14400
