datetime,open,high,low,close,volume
2025-04-01,6.13,6.23,5.65,6.01,2740700
2025-03-31,6.25,6.5,6.1,6.29,2562700
2025-03-28,6.52,6.68,6.36,6.5,944500
2025-03-27,6.47,6.56,6.37,6.525,1177500
2025-03-26,6.58,6.69,6.39,6.47,1059600
2025-03-25,6.44,6.785,6.37,6.61,1053000
2025-03-24,6.33,6.52,6.22,6.4,1171000
2025-03-21,6.52,6.62,6.365,6.47,3742500
2025-03-20,6.75,6.79,6.6,6.61,1059900
2025-03-19,6.98,6.98,6.6,6.81,1734100
2025-03-18,6.7,7.14,6.4,6.56,2489700
2025-03-17,6.73,6.73,6.38,6.54,1951600
2025-03-14,6.29,6.78,6.275,6.75,1920100
2025-03-13,6.3,6.36,6.02,6.29,1071300
2025-03-12,6.3,6.49,5.98,6.3,1763800
2025-03-11,6.17,6.58,5.8,6.3,4656100
2025-03-10,6.59,7.39,5.7,6.07,57705800
2025-03-07,4.29,4.55,4.24,4.3,1067600
2025-03-06,4.33,4.475,4.29,4.29,715700
2025-03-05,4.56,4.59,4.24,4.39,660900
2025-03-04,4.34,4.52,4.22,4.44,1115400
2025-03-03,4.53,4.593,4.25,4.26,849000
2025-02-28,4.49,4.7,4.17,4.52,767600
2025-02-27,4.49,4.79,4.36,4.5,867600
2025-02-26,4.41,4.71,4.39,4.51,571000
2025-02-25,4.31,4.54,4.09,4.52,1116500
2025-02-24,4.73,4.73,4.285,4.31,1780900
2025-02-21,5.0,5.05,4.55,4.6,1897100
2025-02-20,4.78,4.89,4.56,4.8,3597400
2025-02-19,4.22,4.59,4.11,4.57,849200
2025-02-18,4.05,4.29,3.963,4.22,970000
2025-02-14,4.04,4.13,3.93,4.07,682000
2025-02-13,4.1,4.14,3.945,4.01,324400
2025-02-12,3.9,4.085,3.771,4.05,249700
2025-02-11,3.98,4.04,3.79,3.96,564700
2025-02-10,4.23,4.299,4.01,4.06,491300
2025-02-07,4.25,4.35,4.127,4.24,484600
2025-02-06,4.23,4.28,4.13,4.26,266700
2025-02-05,4.09,4.27,4.08,4.21,927100
2025-02-04,4.22,4.27,4.015,4.08,312500
2025-02-03,3.91,4.295,3.87,4.22,836800
2025-01-31,3.9,3.97,3.81,3.94,383100
2025-01-30,3.95,4.04,3.82,3.9,395900
2025-01-29,3.93,3.99,3.82,3.86,393700
