datetime,open,high,low,close,volume
2025-04-01,3.68,3.825,3.56,3.78,268700
2025-03-31,3.57,3.75,3.51,3.68,180700
2025-03-28,3.81,3.87,3.62,3.69,287500
2025-03-27,4.06,4.06,3.81,3.89,169000
2025-03-26,3.94,4.08,3.86,4.03,286100
2025-03-25,4.0,4.1,3.88,3.91,292500
2025-03-24,4.28,4.323,3.93,4.04,420200
2025-03-21,3.95,4.27,3.79,4.27,1508900
2025-03-20,4.03,4.068,3.85,4.03,446100
2025-03-19,4.38,4.43,4.09,4.13,281100
2025-03-18,4.45,4.46,4.19,4.28,223300
2025-03-17,4.3,4.54,4.24,4.45,263500
2025-03-14,4.13,4.35,4.045,4.27,320100
2025-03-13,4.37,4.42,3.94,4.07,364900
2025-03-12,4.22,4.41,4.13,4.39,240000
2025-03-11,4.35,4.36,4.11,4.17,257000
2025-03-10,4.65,4.66,4.39,4.39,296000
2025-03-07,5.02,5.045,4.65,4.76,269100
2025-03-06,4.8,5.11,4.62,5.01,373200
2025-03-05,4.63,4.91,4.615,4.88,262800
2025-03-04,4.5,4.7,4.26,4.6,343600
2025-03-03,5.0,5.109,4.52,4.62,260100
2025-02-28,4.95,5.02,4.78,4.92,365600
2025-02-27,5.06,5.2,4.87,5.0,192700
2025-02-26,5.04,5.1,4.85,5.02,241900
2025-02-25,5.44,5.5,4.96,5.0,299500
2025-02-24,5.59,5.59,5.25,5.41,182800
2025-02-21,5.78,5.78,5.37,5.52,398700
2025-02-20,5.74,5.824,5.54,5.69,198000
2025-02-19,5.93,5.93,5.5,5.7,324400
2025-02-18,5.19,5.99,5.16,5.96,531200
2025-02-14,4.89,5.27,4.89,5.14,403300
2025-02-13,4.51,5.38,4.51,4.81,505100
2025-02-12,4.64,4.84,4.55,4.77,352400
2025-02-11,4.41,4.78,4.41,4.68,366600
2025-02-10,4.51,4.595,4.28,4.42,229500
2025-02-07,4.81,4.849,4.345,4.48,167700
2025-02-06,4.6,4.88,4.56,4.77,451600
2025-02-05,4.34,4.62,4.24,4.56,473400
2025-02-04,3.96,4.4,3.935,4.38,283700
2025-02-03,3.99,4.01,3.78,3.95,388600
2025-01-31,4.15,4.29,4.06,4.14,214100
2025-01-30,4.15,4.175,4.023,4.11,145600
2025-01-29,4.13,4.14,3.93,4.11,212200
2025-01-28,4.02,4.2,3.9,4.11,426200
2025-01-27,4.18,4.215,3.99,4.04,187200
2025-01-24,4.23,4.335,4.13,4.21,218500
2025-01-23,4.29,4.329,4.18,4.23,183700
2025-01-22,4.44,4.44,4.26,4.34,148600
2025-01-21,4.37,4.48,4.28,4.45,172400
2025-01-17,4.37,4.475,4.3,4.35,235200
2025-01-16,4.59,4.62,4.33,4.35,179500
2025-01-15,4.62,4.77,4.52,4.64,360700
2025-01-14,4.33,4.61,4.33,4.42,523300
2025-01-13,4.16,4.36,4.13,4.34,230000
2025-01-10,4.51,4.51,4.245,4.28,267100
2025-01-08,4.98,4.981,4.61,4.64,446100
2025-01-07,5.07,5.25,4.98,5.03,406900
2025-01-06,5.34,5.45,5.0,5.05,251400
2025-01-03,5.2,5.31,4.96,5.25,299400
2025-01-02,5.16,5.46,4.98,5.17,228800
2024-12-31,5.18,5.37,4.965,5.1,216200
2024-12-30,5.09,5.205,4.81,5.11,239800
2024-12-27,5.07,5.41,5.06,5.17,255800
2024-12-26,4.79,5.196,4.75,5.1,361500
2024-12-24,4.88,5.02,4.735,4.8,321100
2024-12-23,4.81,5.01,4.66,4.83,350900
2024-12-20,5.06,5.49,4.68,4.77,1346000
2024-12-19,5.42,5.59,5.08,5.12,345800
2024-12-18,6.61,6.746,5.31,5.41,466300
2024-12-17,5.55,6.85,5.52,6.58,1322500
2024-12-16,5.41,5.86,5.332,5.52,379800
2024-12-13,5.69,5.74,5.5,5.51,302100
2024-12-12,5.92,6.13,5.645,5.7,456600
2024-12-11,6.25,6.7,5.95,6.09,784300
2024-12-10,5.06,6.4,4.86,6.27,2284500
2024-12-09,4.62,4.91,4.41,4.46,341800
2024-12-06,4.37,4.6,4.31,4.51,230700
2024-12-05,4.19,4.36,4.13,4.33,237600
2024-12-04,4.17,4.41,4.11,4.18,228000
2024-12-03,3.95,4.438,3.92,4.19,348700
2024-12-02,4.32,4.32,3.91,4.03,260600
2024-11-29,4.35,4.42,4.16,4.33,111800
2024-11-27,4.41,4.66,4.27,4.36,501800
2024-11-26,3.77,4.55,3.7,4.44,591600
2024-11-25,3.55,3.88,3.55,3.79,221800
2024-11-22,3.5,3.65,3.465,3.55,218900
2024-11-21,3.26,3.505,3.224,3.46,172700
2024-11-20,3.31,3.335,3.15,3.25,356600
2024-11-19,3.32,3.41,3.25,3.32,188600
2024-11-18,3.44,3.58,3.33,3.4,311100
2024-11-15,3.66,3.685,3.37,3.46,370900
2024-11-14,3.65,3.75,3.48,3.65,213100
2024-11-13,3.62,3.75,3.53,3.62,284400
2024-11-12,3.63,3.685,3.55,3.57,260800
2024-11-11,3.8,3.92,3.53,3.69,347500
2024-11-08,3.8,3.91,3.7,3.83,426200
2024-11-07,4.39,4.4,3.28,3.88,1390300
2024-11-06,4.49,4.73,4.36,4.62,355000
2024-11-05,4.24,4.4,4.19,4.26,153300
2024-11-04,4.48,4.55,4.24,4.33,343800
2024-11-01,4.65,4.7,4.41,4.45,326900
2024-10-31,4.7,4.775,4.62,4.62,192300
2024-10-30,4.92,5.0,4.73,4.79,334100
2024-10-29,5.05,5.06,4.77,4.95,389100
2024-10-28,4.82,5.33,4.81,5.06,237800
2024-10-25,4.83,5.0,4.77,4.81,205400
2024-10-24,4.82,5.07,4.76,4.81,269700
2024-10-23,5.51,5.51,4.77,4.85,338900
2024-10-22,5.45,5.67,5.45,5.53,246800
2024-10-21,5.57,5.67,5.41,5.49,213100
2024-10-18,5.62,5.73,5.38,5.57,260700
2024-10-17,6.03,6.03,5.53,5.58,427700
2024-10-16,6.25,6.4,6.07,6.07,232300
2024-10-15,6.52,6.57,6.14,6.16,243400
2024-10-14,6.51,6.65,6.12,6.53,294800
2024-10-11,6.37,6.825,6.31,6.51,485200
2024-10-10,6.06,6.37,5.91,6.33,342600
2024-10-09,6.12,6.66,5.93,6.13,498100
2024-10-08,6.26,6.39,5.991,6.08,367500
2024-10-07,6.72,6.9,6.25,6.41,312000
2024-10-04,6.5,7.05,6.23,6.79,550200
