datetime,open,high,low,close,volume
2025-04-01,22.16,22.555,22.16,22.555,2000
2025-03-31,22.01,22.32,21.93,22.32,800
2025-03-28,22.63,22.63,22.42,22.479,7900
2025-03-27,23.56,23.56,23.19,23.19,14500
2025-03-26,23.823,23.823,23.46,23.563,10400
2025-03-25,24.4,24.4,24.21,24.293,7600
2025-03-24,24.17,24.23,24.16,24.211,1900
2025-03-21,23.17,23.596,23.17,23.596,16900
2025-03-20,23.27,23.75,23.27,23.417,9900
2025-03-19,23.25,23.52,23.21,23.432,3600
2025-03-18,22.85,22.88,22.77,22.844,14200
2025-03-17,23.22,23.53,23.22,23.382,8300
2025-03-14,23.12,23.215,23.093,23.215,19600
2025-03-13,22.77,23.0,22.4,22.414,5400
2025-03-12,23.03,23.04,22.96,22.999,70500
2025-03-11,22.42,22.69,22.42,22.451,5300
2025-03-10,22.2,22.309,21.98,22.082,96000
2025-03-07,23.27,23.27,23.254,23.254,1100
2025-03-06,24.1,24.1,23.33,23.379,1300
2025-03-05,24.38,24.7,24.17,24.682,414800
2025-03-04,23.62,24.53,23.62,24.368,21900
2025-03-03,25.21,25.21,24.45,24.609,2500
2025-02-28,24.95,25.34,24.78,25.329,5100
2025-02-27,25.51,25.62,24.88,24.904,7300
2025-02-26,25.67,25.8,25.55,25.63,195500
2025-02-25,25.57,25.62,24.98,25.363,63500
2025-02-24,26.3,26.3,25.76,25.79,24700
2025-02-21,26.92,26.92,26.201,26.201,36300
2025-02-20,27.18,27.265,27.04,27.265,4300
2025-02-19,27.74,27.765,27.59,27.691,3100
2025-02-18,28.03,28.03,27.86,27.973,10700
2025-02-14,27.79,27.987,27.77,27.987,700
2025-02-13,27.63,27.843,27.5,27.843,4200
2025-02-12,27.2,27.47,27.2,27.423,3200
2025-02-11,27.38,27.54,27.3,27.461,5000
2025-02-10,27.54,27.69,27.54,27.612,600
2025-02-07,26.48,27.47,26.48,27.217,3400
2025-02-06,27.21,27.3,27.14,27.261,5200
2025-02-05,27.07,27.173,27.07,27.173,800
2025-02-04,26.751,26.97,26.751,26.925,1500
2025-02-03,26.15,26.62,26.13,26.462,21200
2025-01-31,26.98,26.98,26.51,26.557,6300
2025-01-30,26.37,26.5,26.24,26.436,9500
2025-01-29,26.43,26.5,26.28,26.493,2900
2025-01-28,26.57,26.81,26.57,26.717,4400
2025-01-27,25.69,26.19,25.672,25.861,3600
2025-01-24,26.7,26.71,26.53,26.586,11000
2025-01-23,26.44,26.591,26.41,26.591,23100
2025-01-22,26.39,26.45,26.38,26.401,3300
2025-01-21,25.76,25.885,25.76,25.885,14500
2025-01-17,25.553,25.553,25.553,25.553,100
2025-01-16,25.45,25.47,25.28,25.28,5600
2025-01-15,25.27,25.37,25.27,25.315,702900
2025-01-14,24.9,24.9,24.6,24.646,25600
2025-01-13,24.564,24.666,24.56,24.666,1100
2025-01-10,24.74,24.84,24.674,24.84,400
2025-01-08,25.3,25.315,25.18,25.315,900
2025-01-07,25.47,25.47,25.26,25.26,20500
2025-01-06,25.906,25.906,25.906,25.906,100
2025-01-03,25.23,25.514,25.23,25.514,4300
