datetime,open,high,low,close,volume
2025-04-01,3.27,3.41,3.22,3.27,574800
2025-03-31,3.48,3.56,3.29,3.29,313300
2025-03-28,3.4,3.56,3.4,3.54,313800
2025-03-27,3.31,3.45,3.3,3.42,107200
2025-03-26,3.36,3.38,3.2,3.3,231700
2025-03-25,3.53,3.58,3.3,3.38,270200
2025-03-24,3.68,3.73,3.46,3.53,300100
2025-03-21,3.44,3.71,3.41,3.64,1448700
2025-03-20,3.34,3.54,3.33,3.48,195100
2025-03-19,3.27,3.35,3.22,3.34,200300
2025-03-18,3.48,3.48,3.22,3.29,474500
2025-03-17,3.46,3.61,3.46,3.52,345100
2025-03-14,3.13,3.46,3.12,3.43,492600
2025-03-13,3.36,3.42,3.11,3.12,474400
2025-03-12,3.64,3.68,3.36,3.38,380500
2025-03-11,3.77,3.79,3.56,3.61,456300
2025-03-10,3.55,3.9,3.54,3.73,649800
2025-03-07,3.5,3.63,3.44,3.54,574400
2025-03-06,3.4,3.57,3.35,3.46,366100
2025-03-05,3.43,3.54,3.31,3.42,497800
2025-03-04,3.36,3.47,3.33,3.43,414400
2025-03-03,3.43,3.6,3.37,3.39,493900
2025-02-28,3.55,3.73,3.32,3.38,832400
2025-02-27,3.64,3.72,3.54,3.65,430300
2025-02-26,3.6,3.82,3.6,3.67,296100
2025-02-25,3.78,3.83,3.61,3.63,197800
2025-02-24,3.9,3.9,3.73,3.75,191500
2025-02-21,3.88,3.99,3.8,3.86,215900
2025-02-20,3.78,3.88,3.68,3.83,286300
2025-02-19,3.64,3.9,3.61,3.79,246300
2025-02-18,3.63,3.71,3.56,3.66,330300
2025-02-14,3.55,3.68,3.47,3.55,256700
2025-02-13,3.48,3.52,3.4,3.51,206700
2025-02-12,3.5,3.51,3.42,3.47,176600
2025-02-11,3.43,3.54,3.41,3.5,213100
2025-02-10,3.43,3.52,3.41,3.41,196000
2025-02-07,3.5,3.52,3.37,3.43,200200
2025-02-06,3.46,3.54,3.46,3.51,182500
2025-02-05,3.58,3.58,3.44,3.46,398600
2025-02-04,3.57,3.6,3.49,3.49,313800
2025-02-03,3.71,3.78,3.59,3.6,278300
2025-01-31,3.75,3.79,3.68,3.78,230100
2025-01-30,3.85,3.92,3.74,3.75,189000
2025-01-29,3.8,3.89,3.76,3.83,270900
2025-01-28,3.85,3.9,3.76,3.81,194700
2025-01-27,3.98,4.04,3.77,3.84,285400
2025-01-24,3.84,4.05,3.84,3.98,377000
2025-01-23,3.88,3.88,3.73,3.84,402700
2025-01-22,3.92,4.0,3.86,3.91,237400
2025-01-21,4.04,4.05,3.9,3.9,264800
2025-01-17,4.03,4.07,3.95,3.97,329400
2025-01-16,4.04,4.07,3.88,3.98,229100
2025-01-15,4.0,4.18,4.0,4.01,230600
2025-01-14,4.0,4.1,3.85,3.98,380100
2025-01-13,3.97,4.0,3.91,3.99,191800
2025-01-10,4.01,4.07,3.95,4.0,297000
2025-01-08,4.23,4.25,4.03,4.11,474500
2025-01-07,4.47,4.51,4.22,4.27,313500
2025-01-06,4.81,4.91,4.44,4.49,369100
2025-01-03,4.87,4.89,4.75,4.79,168500
2025-01-02,4.96,5.14,4.76,4.81,276800
2024-12-31,4.87,5.07,4.8,4.99,306200
2024-12-30,4.86,4.86,4.65,4.85,345400
2024-12-27,4.9,4.98,4.79,4.9,183700
2024-12-26,4.73,4.99,4.63,4.92,239400
2024-12-24,4.68,4.79,4.55,4.77,160000
2024-12-23,4.54,4.74,4.49,4.69,339400
2024-12-20,4.5,4.66,4.48,4.54,873200
2024-12-19,4.69,4.73,4.47,4.59,428500
2024-12-18,4.96,4.98,4.62,4.69,440300
2024-12-17,5.02,5.15,4.84,4.92,384500
2024-12-16,5.2,5.2,4.98,5.05,225500
2024-12-13,5.27,5.31,5.12,5.2,172900
2024-12-12,5.41,5.47,5.25,5.28,169900
2024-12-11,5.64,5.64,5.35,5.43,218200
2024-12-10,5.6,5.79,5.35,5.58,431400
2024-12-09,5.13,5.86,5.1,5.69,580900
2024-12-06,5.19,5.27,5.08,5.15,326300
2024-12-05,5.07,5.22,4.98,5.15,336900
2024-12-04,5.1,5.17,4.92,5.05,366100
2024-12-03,5.25,5.28,5.0,5.13,377200
2024-12-02,5.21,5.36,5.05,5.23,261500
2024-11-29,5.2,5.25,5.09,5.18,126400
2024-11-27,5.19,5.25,4.97,5.14,278600
2024-11-26,5.3,5.35,5.12,5.16,388000
2024-11-25,5.13,5.53,5.13,5.37,572200
2024-11-22,4.85,5.15,4.81,5.02,480000
2024-11-21,4.5,4.84,4.47,4.81,384200
2024-11-20,4.24,4.51,4.17,4.48,496500
2024-11-19,4.54,4.56,4.29,4.29,572300
2024-11-18,4.69,4.77,4.53,4.56,509000
2024-11-15,4.85,4.85,4.53,4.74,674200
2024-11-14,4.8,4.88,4.73,4.79,525700
2024-11-13,4.84,5.06,4.75,4.88,592600
2024-11-12,4.73,4.95,4.61,4.77,590400
2024-11-11,4.61,4.91,4.51,4.81,540300
2024-11-08,4.8,4.8,4.53,4.6,642100
2024-11-07,5.16,5.24,4.56,4.8,1534300
2024-11-06,5.31,5.51,5.19,5.43,574800
2024-11-05,5.05,5.29,4.98,5.26,435300
2024-11-04,5.22,5.22,4.85,4.99,531400
2024-11-01,5.28,5.29,5.09,5.19,540400
2024-10-31,5.42,5.43,5.2,5.2,327600
2024-10-30,5.44,5.53,5.36,5.42,223700
2024-10-29,5.39,5.46,5.28,5.44,322000
2024-10-28,5.48,5.51,5.25,5.43,352700
2024-10-25,5.47,5.49,5.33,5.39,181200
2024-10-24,5.45,5.47,5.3,5.45,211900
2024-10-23,5.48,5.48,5.34,5.44,209400
2024-10-22,5.5,5.54,5.35,5.49,280800
2024-10-21,5.55,5.58,5.37,5.48,311100
2024-10-18,5.65,5.67,5.39,5.56,538200
2024-10-17,5.86,5.9,5.61,5.64,627200
2024-10-16,6.07,6.07,5.8,5.87,468500
2024-10-15,5.8,6.15,5.8,6.02,606200
2024-10-14,6.03,6.03,5.82,5.82,423800
2024-10-11,5.82,6.17,5.81,6.06,726400
2024-10-10,5.86,5.95,5.75,5.81,569000
2024-10-09,5.82,5.96,5.76,5.92,321600
2024-10-08,5.91,5.93,5.74,5.85,526500
2024-10-07,5.85,5.96,5.78,5.94,316500
2024-10-04,5.94,6.03,5.74,5.82,482100
2024-10-03,5.67,5.91,5.67,5.89,551000
2024-10-02,5.97,6.04,5.66,5.76,1073400
2024-10-01,5.86,6.28,5.86,5.98,2637900
2024-09-30,5.59,5.95,5.03,5.87,19693300
2024-09-27,4.11,4.25,3.99,4.05,317000
2024-09-26,3.92,4.03,3.85,4.01,352200
2024-09-25,3.9,3.92,3.67,3.85,628800
2024-09-24,4.07,4.08,3.91,3.92,511400
2024-09-23,4.05,4.17,3.96,4.02,462300
2024-09-20,4.18,4.24,4.04,4.08,715800
2024-09-19,4.48,4.48,4.17,4.22,462200
2024-09-18,4.3,4.58,4.24,4.33,387600
2024-09-17,4.4,4.57,4.31,4.31,329400
2024-09-16,4.33,4.41,4.24,4.35,311200
2024-09-13,4.1,4.39,4.07,4.3,318200
2024-09-12,4.23,4.32,3.83,4.04,523700
2024-09-11,4.2,4.25,4.03,4.17,249700
2024-09-10,4.25,4.34,4.15,4.23,349300
2024-09-09,4.4,4.53,4.1,4.23,496400
2024-09-06,4.67,4.8,4.41,4.45,392200
2024-09-05,4.81,4.93,4.52,4.69,606400
2024-09-04,4.98,5.26,4.79,4.79,367300
2024-09-03,5.05,5.24,4.8,4.98,466000
2024-08-30,5.35,5.39,5.02,5.11,698000
2024-08-29,5.14,5.48,5.05,5.36,454600
2024-08-28,5.08,5.21,4.93,5.06,424700
2024-08-27,5.02,5.29,4.92,5.15,531500
2024-08-26,4.6,5.2,4.5,5.11,750600
2024-08-23,4.05,4.55,4.02,4.53,820300
2024-08-22,4.19,4.2,4.01,4.03,481200
2024-08-21,4.07,4.24,4.07,4.17,388400
2024-08-20,4.3,4.36,4.09,4.17,331200
2024-08-19,4.08,4.27,4.01,4.26,347300
2024-08-16,4.03,4.2,4.01,4.09,514200
2024-08-15,3.99,4.21,3.98,4.02,466500
2024-08-14,4.3,4.34,3.91,3.94,510800
2024-08-13,4.21,4.38,4.01,4.32,737500
2024-08-12,4.52,4.52,4.0,4.06,941700
2024-08-09,4.51,4.97,3.71,4.51,1695800
2024-08-08,5.45,5.45,5.14,5.18,507200
2024-08-07,5.61,5.84,5.33,5.35,494600
2024-08-06,6.27,6.29,5.35,5.48,505400
2024-08-05,6.4,6.66,6.25,6.33,321600
2024-08-02,7.06,7.23,6.9,6.95,202200
2024-08-01,8.01,8.14,7.37,7.54,344800
2024-07-31,8.4,8.45,7.92,7.98,424700
2024-07-30,7.94,8.33,7.94,8.3,269100
2024-07-29,8.07,8.07,7.79,7.9,224600
2024-07-26,8.29,8.42,7.98,8.1,420500
2024-07-25,7.63,8.32,7.59,8.05,327000
2024-07-24,7.7,7.97,7.56,7.58,186400
2024-07-23,7.58,7.89,7.49,7.81,172700
2024-07-22,7.46,7.76,7.36,7.68,295000
2024-07-19,7.48,7.5,7.25,7.43,202800
2024-07-18,7.69,8.15,7.44,7.49,573700
2024-07-17,7.49,7.87,7.28,7.7,592800
2024-07-16,7.05,7.71,7.05,7.71,589500
2024-07-15,7.0,7.15,6.84,6.96,462300
2024-07-12,6.35,6.91,6.29,6.88,458000
2024-07-11,5.86,6.33,5.86,6.28,392400
2024-07-10,5.92,6.02,5.64,5.73,334000
2024-07-09,5.64,6.25,5.57,5.93,888100
2024-07-08,5.5,5.7,5.45,5.63,371100
2024-07-05,5.61,5.62,5.31,5.45,346500
2024-07-03,5.56,5.75,5.49,5.65,170600
2024-07-02,5.73,5.87,5.26,5.5,496100
2024-07-01,5.86,6.02,5.67,5.75,397800
2024-06-28,5.6,6.02,5.6,5.88,1770700
2024-06-27,5.21,5.78,5.11,5.56,674400
2024-06-26,5.26,5.28,5.01,5.18,813900
2024-06-25,6.16,6.25,5.27,5.27,931500
2024-06-24,6.9,6.92,6.16,6.16,661500
2024-06-21,7.12,7.41,6.89,6.93,5008200
2024-06-20,6.57,7.08,6.52,7.06,759000
2024-06-18,6.4,6.73,6.4,6.63,642600
2024-06-17,6.38,6.42,6.0,6.42,603000
2024-06-14,6.64,6.77,6.33,6.42,501000
2024-06-13,6.84,7.0,6.49,6.69,533300
2024-06-12,7.0,7.21,6.81,6.84,805800
2024-06-11,6.37,6.82,6.27,6.77,753000
2024-06-10,6.1,6.46,5.54,6.43,1343100
2024-06-07,6.3,6.59,6.19,6.32,724100
2024-06-06,6.55,6.73,6.28,6.4,503100
2024-06-05,6.32,6.76,6.18,6.61,509900
2024-06-04,6.16,6.35,6.1,6.31,468500
2024-06-03,6.4,6.43,6.05,6.23,396700
2024-05-31,6.21,6.42,6.15,6.28,392800
2024-05-30,6.19,6.43,6.11,6.17,488900
2024-05-29,6.15,6.2,5.94,6.06,283400
2024-05-28,6.36,6.53,6.19,6.27,365600
2024-05-24,6.47,6.61,6.31,6.31,253500
2024-05-23,6.7,6.77,6.36,6.44,367800
2024-05-22,6.82,6.93,6.65,6.67,225200
2024-05-21,7.0,7.04,6.77,6.9,281800
2024-05-20,7.26,7.36,7.07,7.08,272100
2024-05-17,7.7,7.83,7.24,7.28,275400
2024-05-16,7.56,8.02,7.56,7.69,411500
2024-05-15,7.47,7.72,7.31,7.57,275300
2024-05-14,7.57,7.85,7.34,7.36,286400
2024-05-13,7.3,7.87,7.3,7.46,425600
2024-05-10,7.22,7.32,6.84,7.27,459800
2024-05-09,8.1,8.19,7.07,7.15,1060100
2024-05-08,7.89,8.36,7.85,8.26,301900
2024-05-07,7.89,8.08,7.87,7.94,304200
2024-05-06,7.73,8.16,7.73,7.89,299500
2024-05-03,7.73,7.88,7.52,7.66,246700
2024-05-02,7.45,7.64,7.22,7.53,268400
2024-05-01,7.21,7.57,7.17,7.3,290600
2024-04-30,7.75,7.75,7.27,7.28,283600
2024-04-29,7.71,8.2,7.71,7.85,301500
2024-04-26,7.84,8.0,7.66,7.72,210000
2024-04-25,7.9,8.06,7.73,7.76,254500
2024-04-24,8.05,8.15,7.92,8.02,301200
2024-04-23,8.06,8.27,8.0,8.1,259700
2024-04-22,8.52,8.58,8.13,8.16,225800
2024-04-19,8.03,8.5,8.03,8.34,459700
2024-04-18,7.87,8.31,7.87,8.1,375900
2024-04-17,8.09,8.2,7.87,7.89,368500
2024-04-16,8.07,8.14,7.8,8.02,413300
2024-04-15,8.18,8.49,7.89,8.22,536300
2024-04-12,8.35,8.44,8.17,8.22,209200
2024-04-11,8.59,8.65,8.27,8.41,267500
2024-04-10,9.22,9.24,8.09,8.54,562300
2024-04-09,8.96,9.5,8.96,9.41,276300
2024-04-08,8.66,9.1,8.66,8.95,378700
2024-04-05,8.63,8.77,8.18,8.6,876000
2024-04-04,8.86,9.01,8.62,8.66,613100
2024-04-03,9.54,9.56,8.76,8.78,584000
2024-04-02,9.98,10.07,9.5,9.64,431400
