datetime,open,high,low,close,volume
2025-04-01,23.77,23.77,23.46,23.56,14100
2025-03-31,23.78,23.93,23.65,23.77,449900
2025-03-28,23.47,24.05,23.47,23.75,58300
2025-03-27,23.54,23.67,23.49,23.62,13900
2025-03-26,23.55,23.83,23.46,23.6,48600
2025-03-25,23.45,23.62,23.43,23.58,73100
2025-03-24,23.47,23.54,23.41,23.46,10000
2025-03-21,23.5,23.6,23.4,23.47,21800
2025-03-20,23.39,23.53,23.35,23.45,5000
2025-03-19,23.46,23.51,23.36,23.38,11100
2025-03-18,23.34,23.48,23.33,23.48,23400
2025-03-17,23.37,23.43,23.32,23.37,8100
2025-03-14,23.44,23.46,23.32,23.38,16600
2025-03-13,23.49,23.5,23.26,23.38,35300
2025-03-12,23.49,23.52,23.36,23.42,38500
2025-03-11,23.43,23.68,23.41,23.5,15100
2025-03-10,23.55,23.62,23.43,23.46,8700
2025-03-07,23.37,23.69,23.27,23.56,25500
2025-03-06,23.47,23.5,23.24,23.42,29800
2025-03-05,23.39,23.65,23.36,23.42,11900
2025-03-04,23.44,23.69,23.43,23.48,26700
2025-03-03,23.41,23.47,23.17,23.41,9500
2025-02-28,23.39,23.46,23.22,23.34,29400
2025-02-27,23.45,23.45,23.26,23.36,8500
2025-02-26,23.45,23.47,23.28,23.43,12900
2025-02-25,23.26,23.45,23.24,23.45,18900
2025-02-24,23.33,23.35,23.18,23.27,22100
2025-02-21,23.18,23.34,23.15,23.26,13100
2025-02-20,23.16,23.34,23.14,23.2,16100
2025-02-19,23.18,23.22,23.12,23.22,21000
2025-02-18,23.15,23.17,23.08,23.08,26800
2025-02-14,23.06,23.18,23.06,23.14,23500
2025-02-13,23.05,24.0,23.03,23.06,61100
2025-02-12,23.09,23.19,22.98,23.01,55800
2025-02-11,23.15,23.22,23.07,23.19,32300
2025-02-10,23.15,23.34,23.11,23.25,22300
2025-02-07,23.04,23.22,23.04,23.2,17500
2025-02-06,23.2,23.25,23.02,23.24,17900
2025-02-05,23.04,23.22,22.97,23.2,22800
2025-02-04,22.89,23.14,22.89,23.14,18700
2025-02-03,22.82,23.05,22.82,23.03,21700
2025-01-31,23.16,23.16,22.83,22.83,30700
2025-01-30,22.85,23.07,22.85,23.06,7000
2025-01-29,23.03,25.33,23.0,23.04,10600
2025-01-28,22.95,23.15,22.83,23.13,13700
2025-01-27,22.95,23.06,22.93,23.06,21800
2025-01-24,22.9,23.05,22.9,23.01,13500
2025-01-23,22.98,23.1,22.88,22.95,75200
2025-01-22,22.97,23.03,22.85,22.9,15000
2025-01-21,22.95,22.95,22.86,22.95,17900
2025-01-17,22.79,22.98,22.75,22.95,32500
2025-01-16,22.79,22.84,22.7,22.71,12100
2025-01-15,22.78,22.83,22.75,22.79,38100
2025-01-14,22.67,22.75,22.67,22.74,8000
2025-01-13,22.75,22.91,22.62,22.74,29800
2025-01-10,22.73,22.78,22.55,22.74,21700
2025-01-08,22.72,22.75,22.6,22.73,26400
2025-01-07,22.64,22.78,22.56,22.73,35000
2025-01-06,22.67,22.69,22.62,22.68,14100
2025-01-03,22.69,22.71,22.65,22.69,9500
2025-01-02,22.6,22.79,22.58,22.72,45600
2024-12-31,22.76,22.76,22.53,22.53,636600
2024-12-30,22.63,22.75,22.6,22.69,30000
2024-12-27,22.67,22.86,22.58,22.6,47200
2024-12-26,22.61,22.78,22.61,22.66,15700
2024-12-24,22.82,22.86,22.66,22.71,6900
2024-12-23,22.69,22.93,22.67,22.78,29200
2024-12-20,22.68,22.86,22.68,22.81,42500
2024-12-19,22.66,22.74,22.58,22.66,32600
2024-12-18,22.68,22.76,22.61,22.7,48100
2024-12-17,22.66,22.76,22.66,22.73,42500
2024-12-16,22.68,22.75,22.63,22.72,46300
2024-12-13,22.82,22.82,22.66,22.71,15900
2024-12-12,22.75,22.84,22.7,22.78,32700
2024-12-11,22.73,22.86,22.71,22.82,34800
2024-12-10,22.86,22.86,22.64,22.7,51100
2024-12-09,22.81,22.9,22.71,22.77,18200
2024-12-06,22.93,22.94,22.88,22.94,13500
2024-12-05,22.95,22.95,22.81,22.92,11300
2024-12-04,22.76,24.0,22.71,22.89,28300
2024-12-03,22.75,22.77,22.7,22.75,47500
2024-12-02,22.79,22.81,22.69,22.72,57700
2024-11-29,22.87,23.02,22.65,22.75,90100
2024-11-27,22.94,23.04,22.9,23.02,10300
2024-11-26,22.92,23.0,22.83,22.88,16500
2024-11-25,22.95,23.08,22.9,22.97,10000
2024-11-22,22.95,22.95,22.85,22.95,9400
2024-11-21,22.82,22.97,22.82,22.95,12900
2024-11-20,22.8,22.86,22.8,22.86,17200
2024-11-19,22.89,22.9,22.82,22.85,8100
2024-11-18,22.91,22.91,22.81,22.87,7500
2024-11-15,22.81,22.92,22.78,22.86,11100
2024-11-14,22.78,22.91,22.78,22.86,18100
2024-11-13,22.85,22.91,22.8,22.86,12300
2024-11-12,22.98,22.98,22.76,22.86,9700
2024-11-11,22.95,22.96,22.81,22.96,7900
2024-11-08,22.88,23.02,22.88,23.01,30000
2024-11-07,22.81,22.88,22.74,22.88,25000
2024-11-06,22.9,22.98,22.79,22.84,28300
2024-11-05,22.81,23.02,22.75,23.02,21000
2024-11-04,22.81,22.95,22.72,22.93,21600
2024-11-01,22.81,22.87,22.68,22.75,24900
2024-10-31,22.86,22.97,22.69,22.75,48300
2024-10-30,22.98,22.98,22.78,22.89,15800
2024-10-29,22.78,22.94,22.73,22.94,5800
2024-10-28,22.87,23.03,22.87,22.94,19000
2024-10-25,22.95,22.96,22.8,22.92,6600
2024-10-24,22.89,22.95,22.84,22.94,12100
2024-10-23,22.82,22.96,22.74,22.91,16500
