datetime,open,high,low,close,volume
2025-04-01,23.42,23.42,23.33,23.37,18100
2025-03-31,23.4,23.7,23.15,23.56,407900
2025-03-28,23.26,23.67,22.85,23.5,57700
2025-03-27,23.3,23.42,23.25,23.36,86000
2025-03-26,23.31,23.53,23.22,23.4,26800
2025-03-25,23.27,23.6,23.22,23.44,59600
2025-03-24,23.21,23.35,23.14,23.3,8200
2025-03-21,23.01,23.34,23.01,23.21,21200
2025-03-20,23.09,23.1,23.0,23.01,15400
2025-03-19,22.75,23.34,22.75,23.1,8800
2025-03-18,23.28,23.35,23.13,23.15,10500
2025-03-17,23.13,23.29,22.98,23.07,6600
2025-03-14,22.71,23.32,22.71,23.1,16700
2025-03-13,23.23,23.4,22.6,22.98,33300
2025-03-12,23.35,23.35,23.21,23.31,19200
2025-03-11,23.22,23.41,23.22,23.3,12000
2025-03-10,23.21,23.42,23.21,23.3,22500
2025-03-07,23.32,23.43,23.22,23.23,14900
2025-03-06,23.2,23.2,22.82,23.17,17300
2025-03-05,23.26,23.28,23.08,23.26,11100
2025-03-04,23.04,23.34,22.88,23.26,34700
2025-03-03,23.02,23.03,22.8,23.0,11600
2025-02-28,22.98,23.08,22.8,23.08,28200
2025-02-27,22.66,23.05,22.66,23.0,12100
2025-02-26,22.73,22.95,22.73,22.95,23500
2025-02-25,22.79,22.89,22.61,22.8,25100
2025-02-24,22.75,22.79,22.25,22.75,17400
2025-02-21,22.61,22.73,22.61,22.68,3600
2025-02-20,22.65,22.78,22.37,22.73,28300
2025-02-19,22.48,22.7,22.41,22.63,15300
2025-02-18,22.49,22.74,22.49,22.6,32200
2025-02-14,22.47,22.64,22.41,22.6,9400
2025-02-13,22.35,22.54,22.35,22.5,8900
2025-02-12,22.53,22.59,22.41,22.48,15900
2025-02-11,22.71,22.73,22.43,22.59,16200
2025-02-10,22.43,22.6,22.43,22.56,32200
2025-02-07,22.46,22.53,22.42,22.43,28800
2025-02-06,22.5,22.54,22.46,22.5,28200
2025-02-05,22.44,22.54,22.44,22.52,20200
2025-02-04,22.45,22.49,22.35,22.42,30400
2025-02-03,22.28,22.5,22.28,22.4,14800
2025-01-31,22.28,22.47,22.28,22.31,10300
2025-01-30,22.42,22.5,22.42,22.43,14400
2025-01-29,22.43,22.52,22.43,22.46,8400
2025-01-28,22.53,22.58,22.4,22.45,29700
2025-01-27,22.38,22.51,22.38,22.47,24000
2025-01-24,22.4,22.45,22.38,22.44,14100
2025-01-23,22.42,22.49,22.35,22.44,134500
2025-01-22,22.38,22.49,22.38,22.43,14700
2025-01-21,22.49,22.49,22.39,22.43,22400
2025-01-17,22.34,22.42,22.32,22.41,31900
