datetime,open,high,low,close,volume
2025-04-01,179.28,179.56,174.27,177.99001,5963400
2025-03-31,175.42,180.2,173.96001,179.7,9222700
2025-03-28,179.66,180.73,175.58,176.33,5490600
2025-03-27,183.02,183.02,177.52,180.75999,5035900
2025-03-26,184.25999,186.00999,183.28,184.49001,5814200
2025-03-25,184.49001,186.84,183.55,183.97,4357200
2025-03-24,182.95,187.48,182.53,185.50999,5694900
2025-03-21,178.53,179.84,177.03999,179.0,11822900
2025-03-20,179.41,181.81,178.5,180.67999,4980000
2025-03-19,179.67,183.66,178.71001,181.74001,5675000
2025-03-18,179.7,179.77,177.61,179.45,4077700
2025-03-17,176.10001,181.28999,175.97,179.99001,4940400
2025-03-14,175.60001,176.86,175.07001,176.42,4927900
2025-03-13,175.08,176.97,172.09,173.60001,5277200
2025-03-12,178.25,179.62,174.75,175.7,5436100
2025-03-11,188.11,188.33,176.91,177.34,7981400
2025-03-10,187.62,189.47,183.41,186.49001,9161400
2025-03-07,189.25999,191.27,185.72,190.52,7706800
2025-03-06,191.75999,193.92,188.5,189.34,7120200
2025-03-05,195.22,197.0,190.75999,195.57001,5484400
2025-03-04,196.37,198.92999,193.02,194.84,7159200
2025-03-03,199.00999,200.25,193.59,194.39,6141300
2025-02-28,193.28999,196.25,191.49001,195.99001,9024500
2025-02-27,197.5,198.13,191.14999,191.3,7761700
2025-02-26,199.98,200.03,195.78,198.24001,5611600
2025-02-25,201.47,202.59,198.44,199.98,7441700
2025-02-24,202.14,205.41,200.35001,200.74001,7675900
2025-02-21,204.66,205.75,201.31,202.0,7349900
2025-02-20,199.32001,204.25999,197.91,203.96001,9190100
2025-02-19,189.74001,197.96001,188.73,196.32001,8438300
2025-02-18,182.66,187.16,182.66,186.46001,4578700
2025-02-14,181.50999,184.72,181.06,183.03,4137900
2025-02-13,179.14999,182.3,178.61,180.8,3737300
2025-02-12,177.48,180.44,176.75999,179.99001,5364200
2025-02-11,179.35001,181.92999,179.0,179.25,3795300
2025-02-10,181.35001,181.57001,179.10001,180.31,3827100
2025-02-07,183.28,183.42,179.28,180.0,5380500
2025-02-06,181.28,183.64,180.34,183.28,5089800
2025-02-05,179.50999,181.8,177.69,181.59,5939800
2025-02-04,180.02,183.05,179.55,180.56,5785700
2025-02-03,183.03,183.31,178.39999,180.94,6311500
2025-01-31,183.78,189.03,183.08,184.61,6333700
2025-01-30,180.5,185.87,180.27,185.27,5807100
2025-01-29,181.02,181.67,179.61,180.27,4183800
2025-01-28,185.53,185.64999,180.35001,180.57001,8720300
2025-01-27,185.75,190.09,183.7,187.03,11771300
2025-01-24,190.0,191.5,185.03,185.52,15856600
2025-01-23,194.82001,200.64,193.81,200.61,12694700
2025-01-22,195.77,198.67999,195.3,197.05,8222000
2025-01-21,191.67,196.5,191.60001,195.23,9621700
2025-01-17,192.53999,192.92999,190.02,192.42,5407500
2025-01-16,195.17,195.48,187.14,187.37,7463300
2025-01-15,195.67,198.95,195.67,197.50999,6288600
2025-01-14,191.53999,193.61,190.17999,193.5,4254200
2025-01-13,189.83,191.75999,187.64999,191.09,4799600
2025-01-10,192.91,192.91,188.42,190.14999,7223500
2025-01-08,191.8,192.69,188.07001,191.66,4230400
2025-01-07,193.82001,195.00999,191.09,192.21001,5035200
2025-01-06,190.25,193.77,189.24001,192.17999,4682000
2025-01-03,188.92999,191.14,187.2,190.50999,4574100
2025-01-02,189.32001,190.13,184.97,186.95,4500500
2024-12-31,188.66,189.10001,186.06,187.50999,3050500
2024-12-30,189.69,189.69,187.21001,187.96001,4065200
2024-12-27,190.44,191.78,189.69,191.17999,3253500
2024-12-26,190.61,192.72,190.52,191.73,2019000
2024-12-24,190.49001,192.47,190.47,192.44,1950900
2024-12-23,186.03,190.42,186.03,190.14,4297600
2024-12-20,184.47,188.47,183.35001,186.87,11462100
2024-12-19,186.89,187.36,183.88,184.47,6290000
2024-12-18,188.45,192.36,184.81,185.0,8281900
2024-12-17,189.12,191.5,187.50999,188.12,5046100
2024-12-16,191.86,191.98,189.17999,189.46001,5829700
2024-12-13,188.81,192.23,188.3,191.59,4772800
2024-12-12,190.5,192.25999,189.60001,191.71001,4025600
2024-12-11,192.14,192.97,190.21001,191.7,6057800
2024-12-10,193.33,193.69,189.44,190.17999,6064200
2024-12-09,192.03,197.81,191.60001,193.45,3880300
2024-12-06,193.66,195.14,192.60001,193.10001,5140700
2024-12-05,195.75,197.14999,192.21001,192.99001,6049100
2024-12-04,197.7,198.47,195.61,196.64999,7172600
2024-12-03,198.66,199.97,197.0,197.23,4743400
2024-12-02,199.78,202.41,198.48,201.78,6373900
2024-11-29,200.08,202.50999,199.7,201.03,3167400
2024-11-27,200.64,201.42,197.64999,199.19,4732200
2024-11-26,206.0,206.91,199.14999,200.95,5260500
2024-11-25,201.42999,204.14,199.96001,202.92999,9274400
2024-11-22,197.77,198.91,196.5,198.0,7861300
2024-11-21,198.25,200.42999,195.89999,198.2,8080300
2024-11-20,198.08,199.60001,196.47,198.19,7344400
2024-11-19,205.89,206.33,200.99001,201.07001,6716000
2024-11-18,202.2,207.67,201.53,207.17999,7912900
2024-11-15,203.85001,204.77,200.28,201.12,5970400
2024-11-14,205.27,207.07001,204.38,206.0,4783800
2024-11-13,211.00999,211.85001,205.34,205.72,7921800
