datetime,open,high,low,close,volume
2025-04-01,1.26,1.31,1.18,1.29,242300
2025-03-31,1.28,1.29,1.23,1.29,209900
2025-03-28,1.37,1.37,1.28,1.29,240900
2025-03-27,1.36,1.37,1.32,1.36,190700
2025-03-26,1.39,1.43,1.3,1.34,228100
2025-03-25,1.36,1.39,1.33,1.36,223000
2025-03-24,1.28,1.43,1.27,1.35,865500
2025-03-21,1.31,1.31,1.23,1.28,317600
2025-03-20,1.27,1.33,1.27,1.31,203900
2025-03-19,1.27,1.32,1.25,1.29,250700
2025-03-18,1.39,1.39,1.26,1.3,230000
2025-03-17,1.25,1.37,1.22,1.34,339000
2025-03-14,1.16,1.25,1.16,1.25,274200
2025-03-13,1.25,1.25,1.17,1.18,205200
2025-03-12,1.21,1.26,1.13,1.24,347900
2025-03-11,1.21,1.23,1.18,1.2,135900
2025-03-10,1.29,1.31,1.18,1.22,445800
2025-03-07,1.3,1.33,1.26,1.33,211100
2025-03-06,1.3,1.37,1.28,1.3,227100
2025-03-05,1.32,1.36,1.25,1.35,209800
2025-03-04,1.31,1.35,1.21,1.33,472800
2025-03-03,1.48,1.49,1.34,1.34,451500
2025-02-28,1.44,1.48,1.43,1.46,417100
2025-02-27,1.55,1.55,1.44,1.44,360000
2025-02-26,1.54,1.61,1.43,1.52,491500
2025-02-25,1.57,1.59,1.47,1.5,579600
2025-02-24,1.68,1.68,1.5,1.6,612500
2025-02-21,1.83,1.83,1.67,1.69,952500
2025-02-20,1.74,1.94,1.73,1.83,973900
2025-02-19,1.9,1.92,1.72,1.73,820700
2025-02-18,2.04,2.07,1.83,1.92,1360000
2025-02-14,2.13,2.17,2.02,2.05,532200
2025-02-13,2.16,2.22,2.08,2.14,705400
2025-02-12,2.14,2.17,2.09,2.15,254800
2025-02-11,2.23,2.25,2.13,2.17,319100
2025-02-10,2.43,2.43,2.21,2.28,500500
2025-02-07,2.29,2.57,2.22,2.38,534900
2025-02-06,2.23,2.36,2.12,2.28,544000
2025-02-05,2.2,2.24,2.12,2.21,368100
2025-02-04,2.34,2.37,2.17,2.24,398300
2025-02-03,2.29,2.29,2.15,2.22,660700
2025-01-31,2.37,2.57,2.35,2.43,415000
2025-01-30,2.51,2.54,2.35,2.4,395100
2025-01-29,2.5,2.63,2.3,2.47,915100
2025-01-28,2.39,2.72,2.33,2.44,1797300
2025-01-27,2.38,2.5,2.18,2.26,671800
2025-01-24,2.56,2.6,2.43,2.48,584800
2025-01-23,2.72,2.73,2.51,2.52,542400
2025-01-22,2.74,2.85,2.66,2.68,512400
2025-01-21,2.84,2.88,2.69,2.69,511600
2025-01-17,2.89,3.0,2.8,2.83,490300
2025-01-16,2.98,3.06,2.84,2.87,688200
2025-01-15,2.8,3.0,2.67,3.0,1078100
2025-01-14,2.7,2.75,2.58,2.69,702900
2025-01-13,2.78,2.8,2.42,2.6,867000
2025-01-10,2.73,3.09,2.61,2.94,1144200
2025-01-08,3.02,3.03,2.73,2.79,1093600
2025-01-07,3.17,3.2,2.92,3.2,1432500
2025-01-06,3.41,3.49,3.09,3.25,1885600
2025-01-03,3.54,3.6,3.23,3.3,2077000
2025-01-02,3.56,3.56,3.2,3.4,1987800
2024-12-31,4.2,4.24,3.37,3.47,2342400
2024-12-30,3.8,4.31,3.57,4.2,4117800
2024-12-27,4.15,4.28,3.45,3.5,3007200
2024-12-26,3.42,4.03,3.33,3.9,3526100
2024-12-24,3.22,3.35,3.07,3.29,965200
2024-12-23,3.43,3.44,3.05,3.16,2444000
2024-12-20,4.05,4.38,3.0,3.48,3791100
2024-12-19,5.53,5.56,3.77,3.9,2313100
2024-12-18,5.89,5.92,4.82,4.99,917700
2024-12-17,6.39,6.7,5.5,5.65,1338200
2024-12-16,5.35,7.0,5.21,6.82,3589000
2024-12-13,5.11,5.3,4.52,5.19,1106200
2024-12-12,5.28,5.83,5.11,5.33,797800
2024-12-11,5.76,5.86,5.11,5.35,1203200
2024-12-10,6.35,6.5,5.58,6.07,757300
2024-12-09,6.03,6.72,5.8,6.34,1394100
2024-12-06,6.43,6.55,5.25,5.85,1836300
2024-12-05,7.0,7.21,6.25,6.7,1466700
2024-12-04,7.57,8.39,7.01,7.36,1529800
2024-12-03,8.33,8.6,7.0,7.55,2235200
2024-12-02,9.77,10.4,7.76,8.94,5830900
2024-11-29,6.13,9.73,6.13,8.7,10595900
2024-11-27,5.55,6.34,5.15,6.12,3744400
2024-11-26,6.93,8.0,5.25,5.39,17406600
2024-11-25,3.58,6.23,3.58,5.97,15396000
2024-11-22,3.27,3.67,3.15,3.49,1232400
2024-11-21,3.51,3.54,3.11,3.2,1506700
2024-11-20,3.72,3.88,3.44,3.64,1772400
2024-11-19,4.06,4.5,3.77,4.0,8345500
2024-11-18,4.69,5.22,3.62,3.89,69671400
2024-11-15,3.1,3.48,2.63,2.9,4653300
2024-11-14,3.03,4.88,2.76,3.58,167330000
2024-11-13,1.82,1.86,1.57,1.61,723600
2024-11-12,1.9,1.94,1.7,1.82,450400
2024-11-11,2.1,2.1,1.86,1.9,374900
2024-11-08,2.16,2.23,1.8,2.01,968000
2024-11-07,2.46,2.58,2.22,2.25,445100
2024-11-06,2.37,2.46,2.17,2.37,465500
2024-11-05,2.2,2.5,2.15,2.31,656300
2024-11-04,2.34,2.47,2.26,2.26,697800
2024-11-01,2.79,2.79,2.53,2.58,597300
2024-10-31,2.87,2.89,2.51,2.66,1092900
2024-10-30,2.89,3.2,2.6,2.72,2297700
