datetime,open,high,low,close,volume
2025-04-01,3.08,3.13,3.05,3.1,1412900
2025-03-31,3.1,3.11,3.06,3.08,1471100
2025-03-28,3.1,3.13,3.06,3.11,1112900
2025-03-27,3.14,3.18,3.1,3.11,932500
2025-03-26,3.17,3.2,3.14,3.16,829100
2025-03-25,3.14,3.25,3.13,3.17,5560700
2025-03-24,3.13,3.13,3.08,3.1,6850900
2025-03-21,3.16,3.19,3.13,3.17,2126800
2025-03-20,3.17,3.22,3.13,3.2,4785800
2025-03-19,3.13,3.16,3.1,3.14,2374900
2025-03-18,3.14,3.15,3.08,3.11,5466400
2025-03-17,3.07,3.16,3.04,3.13,5141500
2025-03-14,2.9,3.04,2.89,3.03,5018300
2025-03-13,2.7,2.84,2.7,2.84,1023400
2025-03-12,2.65,2.76,2.65,2.73,1241100
2025-03-11,2.7,2.7,2.64,2.68,1105900
2025-03-10,2.75,2.77,2.69,2.73,797600
2025-03-07,2.81,2.88,2.81,2.86,812400
2025-03-06,2.8,2.85,2.77,2.81,1906100
2025-03-05,2.87,2.91,2.81,2.83,1239100
2025-03-04,2.83,2.85,2.73,2.83,1015400
2025-03-03,2.88,2.91,2.83,2.84,650800
2025-02-28,2.89,2.92,2.81,2.86,2613100
2025-02-27,2.92,2.97,2.89,2.94,639500
2025-02-26,2.87,2.89,2.81,2.82,953700
2025-02-25,2.87,2.93,2.87,2.89,1413100
2025-02-24,2.9,2.93,2.82,2.83,539500
2025-02-21,2.89,2.91,2.85,2.85,761300
2025-02-20,2.95,2.97,2.89,2.89,1174100
2025-02-19,3.0,3.04,2.94,2.94,885900
2025-02-18,3.02,3.08,2.99,3.03,1032400
2025-02-14,2.93,3.06,2.93,3.04,1433300
2025-02-13,2.88,2.91,2.85,2.87,1187500
2025-02-12,2.9,2.9,2.81,2.86,1116000
2025-02-11,2.97,2.98,2.9,2.94,1579700
2025-02-10,2.86,2.91,2.85,2.88,1556100
2025-02-07,2.87,2.87,2.76,2.78,908000
2025-02-06,2.81,2.86,2.78,2.85,959900
2025-02-05,2.83,2.84,2.78,2.8,2360300
2025-02-04,2.87,2.89,2.81,2.88,667000
2025-02-03,2.8,2.9,2.79,2.9,1216000
2025-01-31,2.97,2.97,2.84,2.84,1517100
2025-01-30,2.84,2.95,2.84,2.93,1448200
2025-01-29,2.84,2.88,2.81,2.83,766000
2025-01-28,2.85,2.87,2.8,2.82,1129000
2025-01-27,2.84,2.87,2.79,2.87,1109900
2025-01-24,2.77,2.78,2.74,2.75,766000
2025-01-23,2.81,2.82,2.75,2.78,836300
2025-01-22,2.73,2.82,2.73,2.79,1686900
2025-01-21,2.71,2.74,2.69,2.72,1769400
2025-01-17,2.69,2.72,2.65,2.67,881500
2025-01-16,2.73,2.73,2.64,2.69,1453300
2025-01-15,2.7,2.77,2.67,2.77,1968700
2025-01-14,2.57,2.62,2.55,2.6,1727000
2025-01-13,2.6,2.64,2.59,2.6,791300
2025-01-10,2.6,2.62,2.55,2.59,1556400
2025-01-08,2.67,2.72,2.65,2.72,1621600
2025-01-07,2.77,2.82,2.71,2.74,3009000
2025-01-06,2.6,2.63,2.57,2.58,962400
2025-01-03,2.62,2.64,2.55,2.56,900400
2025-01-02,2.58,2.66,2.58,2.63,1358600
2024-12-31,2.61,2.67,2.61,2.63,1080900
2024-12-30,2.59,2.61,2.53,2.6,2420300
2024-12-27,2.57,2.61,2.56,2.59,2163400
2024-12-26,2.63,2.64,2.58,2.6,2008300
2024-12-24,2.64,2.68,2.62,2.66,379800
2024-12-23,2.66,2.66,2.62,2.64,2086100
2024-12-20,2.7,2.75,2.67,2.68,3423400
2024-12-19,2.62,2.69,2.61,2.65,3132900
