datetime,open,high,low,close,volume
2025-04-01,25.78,25.95,25.78,25.929,23000
2025-03-31,25.9,25.99,25.87,25.99,14700
2025-03-28,25.86,25.92,25.84,25.92,5200
2025-03-27,25.876,25.9,25.86,25.9,2200
2025-03-26,25.68,25.838,25.68,25.838,5900
2025-03-25,25.9,25.9,25.79,25.815,10200
2025-03-24,25.95,25.95,25.8,25.831,3800
2025-03-21,25.98,25.98,25.76,25.8,18200
2025-03-20,25.82,25.85,25.81,25.835,3600
2025-03-19,25.94,25.94,25.8,25.831,2100
2025-03-18,25.8,25.86,25.8,25.805,7200
2025-03-17,25.765,25.79,25.76,25.789,2100
2025-03-14,25.68,25.7,25.675,25.7,2900
2025-03-13,25.689,25.689,25.645,25.645,5900
2025-03-12,25.6,25.655,25.59,25.655,4900
2025-03-11,25.62,25.67,25.62,25.655,5000
2025-03-10,25.51,25.663,25.51,25.628,8600
2025-03-07,25.69,25.69,25.62,25.665,2100
2025-03-06,25.79,25.79,25.61,25.62,10800
2025-03-05,25.57,25.71,25.57,25.685,8700
2025-03-04,25.48,25.68,25.48,25.657,14800
2025-03-03,25.73,25.73,25.542,25.555,11000
2025-02-28,25.62,25.62,25.533,25.575,8800
2025-02-27,25.74,25.74,25.57,25.61,7300
2025-02-26,25.73,25.73,25.64,25.67,4900
2025-02-25,25.66,25.727,25.65,25.7,10800
2025-02-24,25.66,25.75,25.66,25.725,7900
2025-02-21,25.78,25.8,25.75,25.75,3500
2025-02-20,25.796,25.83,25.79,25.81,5900
2025-02-19,25.8,25.829,25.76,25.805,3500
2025-02-18,25.66,25.82,25.66,25.82,5500
2025-02-14,25.86,25.86,25.65,25.67,25300
2025-02-13,25.89,25.89,25.72,25.77,6800
2025-02-12,25.74,25.78,25.69,25.765,6100
2025-02-11,25.84,25.84,25.7,25.745,2900
2025-02-10,25.75,25.75,25.7,25.725,7100
2025-02-07,25.69,25.7,25.617,25.635,7400
2025-02-06,25.7,25.7,25.55,25.635,11300
2025-02-05,25.7,25.7,25.632,25.66,17000
2025-02-04,25.64,25.64,25.595,25.615,20100
2025-02-03,25.56,25.57,25.5,25.555,13000
2025-01-31,25.74,25.74,25.52,25.6,19700
2025-01-30,25.6,25.6,25.507,25.553,8300
2025-01-29,25.524,25.524,25.433,25.49,15000
2025-01-28,25.56,25.56,25.44,25.501,29500
2025-01-27,25.65,26.005,25.42,25.484,50400
2025-01-24,25.57,25.6,25.55,25.56,34100
2025-01-23,25.68,25.68,25.45,25.525,63700
2025-01-22,25.431,25.5,25.35,25.467,20700
2025-01-21,25.34,25.48,25.34,25.425,18100
2025-01-17,25.41,25.42,25.36,25.384,4100
2025-01-16,25.37,25.4,25.36,25.4,20800
2025-01-15,25.25,25.4,25.25,25.305,16700
2025-01-14,25.245,25.31,25.245,25.289,10300
2025-01-13,25.22,25.225,25.167,25.225,4100
2025-01-10,25.39,25.39,25.2,25.221,11800
2025-01-08,25.239,25.24,25.227,25.227,900
2025-01-07,25.24,25.24,25.215,25.215,3700
2025-01-06,25.27,25.284,25.19,25.19,5600
2025-01-03,25.22,25.24,25.2,25.225,6100
2025-01-02,25.25,25.25,25.18,25.215,4800
2024-12-31,25.18,25.185,25.16,25.185,11500
2024-12-30,25.09,25.11,25.03,25.085,5100
2024-12-27,25.6,25.6,25.08,25.11,10000
2024-12-26,25.169,25.17,25.15,25.155,4300
2024-12-24,25.1,25.15,25.08,25.125,8100
2024-12-23,25.11,25.11,25.03,25.101,6300
2024-12-20,25.01,25.11,25.01,25.091,5300
2024-12-19,25.16,25.16,25.0,25.005,9800
2024-12-18,25.23,25.23,25.015,25.015,16200
2024-12-17,25.22,25.22,25.18,25.19,18200
2024-12-16,25.35,25.35,25.231,25.231,18700
2024-12-13,25.25,25.28,25.23,25.243,18900
2024-12-12,25.5,25.5,25.25,25.273,7800
2024-12-11,25.48,25.48,25.25,25.28,6000
2024-12-10,25.2,25.256,25.2,25.237,6500
2024-12-09,25.35,25.35,25.18,25.19,14200
2024-12-06,25.37,25.37,25.11,25.135,19800
2024-12-05,25.15,25.15,25.06,25.085,16900
2024-12-04,25.11,25.13,25.061,25.105,9500
2024-12-03,25.15,25.15,25.051,25.14,17500
2024-12-02,25.42,25.42,25.09,25.11,20600
2024-11-29,25.48,25.5,25.22,25.225,26400
2024-11-27,25.26,25.26,25.2,25.223,24600
2024-11-26,25.39,25.39,25.14,25.181,15300
2024-11-25,25.4,25.4,25.12,25.136,12600
2024-11-22,25.48,25.48,25.237,25.275,14900
2024-11-21,27.139,27.139,25.11,25.195,65000
2024-11-20,25.14,25.16,25.103,25.128,5400
