datetime,open,high,low,close,volume
2025-04-01,0.56,0.59,0.51,0.52,243200
2025-03-31,0.53,0.61,0.53,0.57,197000
2025-03-28,0.53,0.56,0.53,0.55,178400
2025-03-27,0.56,0.57,0.52,0.53,389200
2025-03-26,0.53,0.56,0.51,0.51,229800
2025-03-25,0.55,0.57,0.55,0.55,57800
2025-03-24,0.55,0.57,0.53,0.55,115600
2025-03-21,0.55,0.56,0.53,0.55,289500
2025-03-20,0.54,0.56,0.54,0.54,17400
2025-03-19,0.55,0.57,0.53,0.56,121800
2025-03-18,0.57,0.58,0.53,0.55,80900
2025-03-17,0.55,0.58,0.55,0.57,185500
2025-03-14,0.57,0.58,0.55,0.56,40500
2025-03-13,0.59,0.59,0.55,0.58,191300
2025-03-12,0.57,0.59,0.56,0.57,45000
2025-03-11,0.58,0.61,0.56,0.59,39600
2025-03-10,0.6,0.63,0.58,0.58,77300
2025-03-07,0.63,0.63,0.58,0.61,61000
2025-03-06,0.6,0.63,0.58,0.61,113300
2025-03-05,0.59,0.62,0.58,0.58,38500
2025-03-04,0.59,0.62,0.59,0.62,107100
2025-03-03,0.6,0.62,0.58,0.62,203700
2025-02-28,0.62,0.62,0.58,0.62,194100
2025-02-27,0.6,0.65,0.57,0.64,185900
2025-02-26,0.57,0.59,0.56,0.58,57400
2025-02-25,0.6,0.61,0.56,0.57,111200
2025-02-24,0.58,0.58,0.56,0.56,51600
2025-02-21,0.6,0.6,0.55,0.55,128300
2025-02-20,0.58,0.61,0.58,0.58,74900
2025-02-19,0.6,0.62,0.58,0.59,102200
2025-02-18,0.64,0.64,0.59,0.59,175700
2025-02-14,0.57,0.64,0.57,0.63,174500
2025-02-13,0.58,0.6,0.56,0.57,98600
2025-02-12,0.6,0.61,0.58,0.58,49600
2025-02-11,0.57,0.6,0.56,0.59,85200
2025-02-10,0.6,0.6,0.57,0.58,127900
2025-02-07,0.61,0.63,0.59,0.6,53200
2025-02-06,0.61,0.64,0.58,0.62,104600
2025-02-05,0.58,0.59,0.57,0.58,26300
2025-02-04,0.6,0.6,0.57,0.58,168800
2025-02-03,0.58,0.6,0.57,0.6,80600
2025-01-31,0.59,0.62,0.59,0.6,85600
2025-01-30,0.62,0.63,0.6,0.63,74400
2025-01-29,0.6,0.62,0.58,0.61,67000
2025-01-28,0.58,0.62,0.57,0.62,95200
2025-01-27,0.64,0.64,0.58,0.58,102900
2025-01-24,0.61,0.65,0.59,0.62,185300
2025-01-23,0.62,0.64,0.61,0.63,74300
2025-01-22,0.63,0.64,0.58,0.61,279800
2025-01-21,0.61,0.65,0.61,0.63,103000
2025-01-17,0.64,0.66,0.62,0.63,90500
2025-01-16,0.62,0.65,0.62,0.64,9700
2025-01-15,0.62,0.66,0.62,0.63,46700
2025-01-14,0.61,0.66,0.61,0.66,50400
2025-01-13,0.64,0.67,0.62,0.62,75600
2025-01-10,0.62,0.69,0.62,0.65,248900
2025-01-08,0.66,0.69,0.62,0.63,98200
2025-01-07,0.64,0.69,0.63,0.66,116300
2025-01-06,0.67,0.67,0.63,0.64,38400
2025-01-03,0.65,0.67,0.62,0.67,147300
2025-01-02,0.59,0.63,0.59,0.63,88800
2024-12-31,0.62,0.62,0.59,0.6,128200
2024-12-30,0.59,0.63,0.59,0.63,167500
2024-12-27,0.62,0.65,0.59,0.62,162700
2024-12-26,0.63,0.64,0.61,0.62,74300
2024-12-24,0.63,0.66,0.62,0.65,51300
2024-12-23,0.62,0.66,0.61,0.61,86200
2024-12-20,0.6,0.68,0.58,0.68,419700
2024-12-19,0.62,0.66,0.57,0.58,509400
2024-12-18,0.58,0.68,0.58,0.61,480900
2024-12-17,0.62,0.64,0.57,0.59,456800
2024-12-16,0.58,0.68,0.58,0.62,358900
2024-12-13,0.6,0.62,0.56,0.56,391500
2024-12-12,0.63,0.65,0.59,0.61,314000
2024-12-11,0.59,0.69,0.57,0.65,1284700
2024-12-10,0.58,0.6,0.56,0.58,5082200
2024-12-09,0.65,0.65,0.58,0.59,84900
2024-12-06,0.57,0.63,0.55,0.63,242800
2024-12-05,0.57,0.6,0.52,0.57,486100
2024-12-04,0.62,0.62,0.56,0.57,161700
2024-12-03,0.62,0.65,0.58,0.59,211200
2024-12-02,0.7,0.72,0.59,0.65,385700
2024-11-29,0.7,0.72,0.62,0.69,160500
2024-11-27,0.69,0.73,0.62,0.7,373600
2024-11-26,0.72,0.75,0.69,0.69,114800
2024-11-25,0.78,0.8,0.68,0.7,151500
2024-11-22,0.8,0.84,0.77,0.79,57900
2024-11-21,0.8,0.84,0.75,0.81,194400
2024-11-20,0.69,0.82,0.69,0.81,315200
2024-11-19,0.66,0.7,0.64,0.67,106800
2024-11-18,0.65,0.7,0.65,0.66,97500
2024-11-15,0.7,0.72,0.64,0.68,263600
2024-11-14,0.74,0.77,0.68,0.72,111600
2024-11-13,0.73,0.8,0.7,0.76,211800
2024-11-12,0.69,0.76,0.69,0.75,158800
2024-11-11,0.68,0.74,0.68,0.71,127200
2024-11-08,0.64,0.76,0.63,0.69,313400
2024-11-07,0.61,0.69,0.58,0.66,283900
2024-11-06,0.6,0.65,0.58,0.6,96800
2024-11-05,0.59,0.65,0.59,0.6,85000
2024-11-04,0.61,0.63,0.6,0.6,36700
2024-11-01,0.59,0.63,0.57,0.6,51200
2024-10-31,0.61,0.63,0.55,0.55,297000
2024-10-30,0.6,0.61,0.6,0.61,105200
2024-10-29,0.63,0.66,0.6,0.6,119100
2024-10-28,0.7,0.7,0.62,0.63,138100
2024-10-25,0.7,0.73,0.67,0.7,91400
