datetime,open,high,low,close,volume
2025-04-01,5.35,5.44,5.26,5.312,29900
2025-03-31,5.47,5.65,5.31,5.33,79000
2025-03-28,5.0,5.47,4.75,5.32,156700
2025-03-27,5.5,5.57,4.88,5.01,47600
2025-03-26,6.345,6.84,5.58,5.598,122233
2025-03-25,6.597,6.849,6.516,6.813,8367
2025-03-24,7.11,7.11,6.417,6.66,18411
2025-03-21,6.75,7.182,6.48,6.633,26789
2025-03-20,6.84,7.182,6.75,6.858,11700
2025-03-19,7.155,7.2,6.75,6.84,36222
2025-03-18,7.434,7.47,6.822,7.074,43222
2025-03-17,8.01,8.01,7.317,7.353,31378
2025-03-14,6.705,8.1,6.705,8.001,69333
2025-03-13,7.335,8.01,6.75,7.02,55978
2025-03-12,8.55,8.55,7.29,7.29,25667
2025-03-11,8.37,8.46,7.515,7.587,26433
2025-03-10,9.0,9.0,7.92,8.46,31311
2025-03-07,9.18,9.18,8.271,8.55,50456
2025-03-06,8.271,8.37,7.866,8.136,33478
2025-03-05,8.73,8.73,7.65,8.271,40444
2025-03-04,7.065,8.1,7.02,7.866,51567
2025-03-03,7.425,9.54,6.966,7.11,64567
2025-02-28,6.795,7.407,6.309,6.831,53022
2025-02-27,7.605,7.605,6.75,7.2,41100
2025-02-26,8.55,9.0,7.299,7.353,33933
2025-02-25,6.84,8.37,6.615,7.767,226956
2025-02-24,7.38,7.38,6.3,6.75,77800
2025-02-21,7.65,8.19,7.065,7.065,32900
2025-02-20,9.0,9.0,7.452,7.992,37900
2025-02-19,7.704,8.271,7.704,8.19,26211
2025-02-18,9.54,9.54,7.785,7.902,47789
2025-02-14,8.1,8.73,7.686,8.73,32811
2025-02-13,8.748,9.9,8.01,8.172,70589
2025-02-12,9.72,9.72,8.685,9.0,42622
2025-02-11,9.9,9.9,8.712,9.09,28256
2025-02-10,8.694,9.9,8.46,9.333,95722
2025-02-07,9.0,9.0,8.28,8.685,29978
2025-02-06,8.82,9.0,8.28,8.28,33533
2025-02-05,10.44,10.44,8.487,8.721,68300
2025-02-04,8.28,10.98,8.28,9.27,130467
2025-02-03,8.1,8.775,7.47,8.775,61733
2025-01-31,9.27,9.45,8.46,8.622,36789
2025-01-30,9.045,9.54,8.64,9.27,23711
2025-01-29,9.72,9.72,8.172,8.856,77333
2025-01-28,8.37,9.72,7.74,9.27,112589
2025-01-27,8.82,8.82,7.29,7.92,128000
2025-01-24,9.72,10.44,8.235,8.82,219056
2025-01-23,11.52,11.52,9.9,10.26,41367
2025-01-22,11.52,11.79,10.08,11.25,112811
2025-01-21,13.41,13.86,9.63,10.935,136644
2025-01-17,12.87,13.5,12.474,13.41,76011
2025-01-16,11.25,13.14,11.142,13.05,87222
2025-01-15,10.53,11.25,10.35,11.25,53744
2025-01-14,10.89,11.25,10.44,10.683,50922
2025-01-13,11.79,11.97,10.71,10.863,85722
2025-01-10,10.71,11.88,9.9,11.88,95944
2025-01-08,10.35,10.62,9.45,10.17,141000
2025-01-07,11.7,11.7,9.9,10.8,91433
2025-01-06,13.86,13.95,11.97,12.24,90711
2025-01-03,13.14,14.4,11.34,12.573,203756
2025-01-02,10.8,12.51,10.62,12.15,238589
2024-12-31,9.63,10.35,8.55,10.35,110856
2024-12-30,8.1,10.53,7.587,9.54,161322
2024-12-27,7.353,7.65,7.11,7.65,60633
2024-12-26,7.2,7.65,6.435,7.605,25233
2024-12-24,7.695,7.695,6.309,7.02,41000
2024-12-23,6.975,7.974,6.975,7.227,71444
2024-12-20,6.579,7.38,6.03,7.047,88667
2024-12-19,7.326,8.1,6.093,7.164,174011
2024-12-18,8.55,10.35,6.813,7.515,537311
2024-12-17,3.096,8.145,3.015,8.118,538711
2024-12-16,3.087,3.087,2.7,2.997,50556
2024-12-13,2.907,2.997,2.745,2.745,33700
2024-12-12,2.97,3.015,2.835,2.835,19633
2024-12-11,2.727,3.105,2.727,2.97,41156
2024-12-10,2.799,2.997,2.583,2.745,21122
2024-12-09,3.33,3.456,2.826,2.835,53856
2024-12-06,3.15,3.249,2.925,3.24,24744
2024-12-05,3.06,3.249,2.763,3.195,49022
2024-12-04,2.547,2.79,2.385,2.79,24544
2024-12-03,2.502,2.565,2.349,2.475,38422
2024-12-02,2.61,2.628,2.475,2.511,31956
2024-11-29,2.592,2.592,2.448,2.511,14256
2024-11-27,2.61,2.61,2.457,2.565,21211
2024-11-26,2.52,2.646,2.52,2.565,30678
2024-11-25,2.43,2.7,2.43,2.52,19789
2024-11-22,2.655,2.655,2.295,2.52,21944
2024-11-21,2.52,2.745,2.295,2.295,34467
2024-11-20,2.88,2.88,2.511,2.565,16633
2024-11-19,2.97,3.06,2.745,2.745,23667
2024-11-18,2.565,2.916,2.43,2.907,38356
2024-11-15,2.448,2.664,2.25,2.421,27644
2024-11-14,2.826,2.826,2.466,2.466,20433
2024-11-13,2.889,2.943,2.565,2.862,59522
2024-11-12,3.06,3.15,2.862,2.934,40444
2024-11-11,3.33,3.33,2.754,3.132,34500
2024-11-08,3.15,3.384,2.754,3.186,55744
2024-11-07,3.096,3.285,3.015,3.105,41144
2024-11-06,3.24,3.402,3.123,3.303,28222
2024-11-05,2.7,3.249,2.7,3.249,10300
2024-11-04,3.465,3.6,3.123,3.15,14089
2024-11-01,3.51,3.6,3.213,3.33,26811
2024-10-31,3.762,3.78,3.402,3.492,11278
2024-10-30,3.762,4.05,3.762,3.78,32811
2024-10-29,4.095,4.14,3.888,3.933,6456
2024-10-28,3.402,4.122,3.402,4.113,14789
2024-10-25,3.546,3.78,3.546,3.744,19289
2024-10-24,3.969,4.005,3.51,3.672,17167
2024-10-23,3.825,4.032,3.42,3.843,30322
2024-10-22,4.581,4.581,3.69,3.87,33311
2024-10-21,3.951,4.527,3.825,4.374,37233
2024-10-18,3.267,3.96,3.015,3.96,35844
2024-10-17,2.655,3.285,2.529,3.24,42889
2024-10-16,2.943,3.159,2.745,2.745,36956
2024-10-15,3.42,3.42,2.907,2.988,29344
2024-10-14,3.51,3.51,3.15,3.33,29933
2024-10-11,3.402,3.555,3.285,3.402,26822
2024-10-10,3.555,3.771,3.24,3.42,19844
2024-10-09,3.411,3.672,3.411,3.528,32911
2024-10-08,3.888,3.987,3.15,3.357,139956
2024-10-07,4.149,4.797,3.96,4.05,35422
2024-10-04,4.77,4.77,4.518,4.527,14556
2024-10-03,4.752,4.77,4.05,4.635,31667
2024-10-02,4.77,4.815,4.491,4.725,25500
2024-10-01,4.824,4.851,4.608,4.815,4089
2024-09-30,5.202,5.202,4.509,4.698,34678
2024-09-27,4.68,5.022,4.23,5.022,87711
2024-09-26,4.905,4.941,4.5,4.941,79989
2024-09-25,4.932,4.932,4.5,4.905,42211
2024-09-24,5.022,5.04,4.86,4.932,30911
2024-09-23,5.256,5.85,4.932,5.004,74622
2024-09-20,5.517,5.679,5.22,5.292,24144
2024-09-19,6.237,6.237,5.553,5.589,20289
2024-09-18,5.85,6.147,5.445,6.075,27189
2024-09-17,6.57,6.57,5.535,5.535,12644
2024-09-16,6.12,6.66,5.85,5.85,14622
2024-09-13,6.057,6.426,6.03,6.03,8033
2024-09-12,6.696,6.696,5.985,6.228,11444
2024-09-11,6.48,6.48,5.94,6.39,5433
2024-09-10,6.03,6.462,6.03,6.39,15378
2024-09-09,5.85,6.273,5.85,6.12,7100
2024-09-06,6.3,6.75,6.219,6.327,3789
2024-09-05,6.75,6.75,6.093,6.363,4789
2024-09-04,5.544,6.39,5.544,6.39,8578
2024-09-03,6.3,6.39,5.625,5.976,7900
2024-08-30,6.39,6.39,5.76,5.85,34222
2024-08-29,6.39,6.39,5.85,6.12,43722
2024-08-28,6.39,6.57,6.165,6.39,39167
2024-08-27,6.525,7.2,6.309,6.39,19033
2024-08-26,6.804,7.056,6.57,6.75,11500
2024-08-23,7.2,7.2,6.75,6.777,15656
