datetime,open,high,low,close,volume
2025-04-01,0.072,0.072,0.046,0.061,3500
2025-03-31,0.066,0.075,0.057,0.075,5700
2025-03-28,0.046,0.046,0.046,0.046,0
2025-03-27,0.065,0.065,0.046,0.046,4800
2025-03-26,0.076,0.076,0.065,0.065,200
2025-03-25,0.076,0.076,0.076,0.076,0
2025-03-24,0.076,0.076,0.076,0.076,0
2025-03-21,0.076,0.076,0.076,0.076,0
2025-03-20,0.075,0.076,0.075,0.076,7100
2025-03-19,0.065,0.08,0.065,0.08,4400
2025-03-18,0.065,0.065,0.065,0.065,500
2025-03-17,0.065,0.065,0.065,0.065,1
2025-03-14,0.065,0.065,0.065,0.065,6
2025-03-13,0.06,0.065,0.06,0.065,2100
2025-03-12,0.065,0.065,0.065,0.065,0
2025-03-11,0.059,0.065,0.056,0.065,1400
2025-03-10,0.06,0.06,0.06,0.06,0
2025-03-07,0.064,0.064,0.06,0.06,400
2025-03-06,0.052,0.052,0.052,0.052,0
2025-03-05,0.052,0.052,0.052,0.052,600
2025-03-04,0.046,0.052,0.046,0.052,1000
2025-03-03,0.058,0.058,0.058,0.058,0
2025-02-28,0.058,0.058,0.058,0.058,0
2025-02-27,0.058,0.058,0.058,0.058,300
2025-02-26,0.05,0.05,0.05,0.05,0
2025-02-25,0.05,0.05,0.05,0.05,0
2025-02-24,0.05,0.05,0.05,0.05,1600
2025-02-21,0.05,0.05,0.05,0.05,300
2025-02-20,0.076,0.076,0.046,0.05,12300
2025-02-19,0.05,0.05,0.048,0.05,11200
2025-02-18,0.054,0.054,0.044,0.044,49200
2025-02-14,0.051,0.051,0.051,0.051,0
2025-02-13,0.055,0.079,0.051,0.051,35300
2025-02-12,0.055,0.055,0.055,0.055,1800
2025-02-11,0.06,0.063,0.06,0.063,1100
2025-02-10,0.061,0.061,0.051,0.051,9300
2025-02-07,0.061,0.061,0.06,0.061,2700
2025-02-06,0.059,0.064,0.059,0.061,4800
2025-02-05,0.059,0.059,0.059,0.059,4100
2025-02-04,0.051,0.055,0.051,0.055,9600
2025-02-03,0.064,0.064,0.051,0.056,16900
2025-01-31,0.051,0.08,0.05,0.05,76300
2025-01-30,0.054,0.054,0.054,0.054,1000
2025-01-29,0.057,0.06,0.05,0.053,19300
2025-01-28,0.06,0.062,0.05,0.062,22900
2025-01-27,0.069,0.069,0.061,0.069,7000
2025-01-24,0.07,0.085,0.061,0.07,20400
2025-01-23,0.066,0.092,0.066,0.091,32900
2025-01-22,0.066,0.067,0.051,0.067,5700
2025-01-21,0.05,0.069,0.05,0.069,36300
2025-01-17,0.06,0.135,0.05,0.054,736100
2025-01-16,0.048,0.048,0.046,0.046,1900
2025-01-15,0.045,0.049,0.045,0.049,3600
2025-01-14,0.045,0.051,0.04,0.051,8500
2025-01-13,0.05,0.053,0.046,0.052,8900
2025-01-10,0.05,0.053,0.05,0.053,15600
2025-01-08,0.052,0.052,0.05,0.05,1000
2025-01-07,0.05,0.053,0.05,0.052,12800
2025-01-06,0.049,0.052,0.049,0.05,9300
2025-01-03,0.046,0.052,0.046,0.052,2200
2025-01-02,0.05,0.053,0.045,0.052,6600
2024-12-31,0.044,0.052,0.036,0.045,32600
2024-12-30,0.052,0.052,0.043,0.043,11800
2024-12-27,0.053,0.053,0.041,0.052,17400
2024-12-26,0.05,0.052,0.048,0.052,24100
2024-12-24,0.05,0.05,0.048,0.048,2300
2024-12-23,0.052,0.052,0.05,0.052,7200
2024-12-20,0.053,0.053,0.048,0.05,24700
2024-12-19,0.053,0.053,0.051,0.053,14900
2024-12-18,0.056,0.058,0.056,0.057,2400
2024-12-17,0.059,0.059,0.059,0.059,9200
2024-12-16,0.06,0.06,0.059,0.059,13300
2024-12-13,0.059,0.059,0.059,0.059,0
2024-12-12,0.052,0.06,0.052,0.059,900
2024-12-11,0.059,0.059,0.059,0.059,300
2024-12-10,0.051,0.051,0.051,0.051,3900
2024-12-09,0.06,0.06,0.06,0.06,20500
2024-12-06,0.058,0.06,0.058,0.06,3800
2024-12-05,0.051,0.06,0.051,0.058,3700
2024-12-04,0.06,0.06,0.06,0.06,600
2024-12-03,0.058,0.058,0.058,0.058,4100
2024-12-02,0.058,0.058,0.058,0.058,0
2024-11-29,0.058,0.058,0.05,0.058,2300
2024-11-27,0.055,0.06,0.055,0.06,10000
2024-11-26,0.056,0.056,0.056,0.056,0
2024-11-25,0.054,0.056,0.054,0.056,800
2024-11-22,0.054,0.054,0.054,0.054,0
2024-11-21,0.054,0.054,0.054,0.054,800
2024-11-20,0.055,0.06,0.055,0.06,1800
2024-11-19,0.055,0.055,0.055,0.055,0
2024-11-18,0.056,0.056,0.055,0.055,3600
2024-11-15,0.052,0.055,0.052,0.055,2600
2024-11-14,0.064,0.064,0.064,0.064,0
2024-11-13,0.053,0.065,0.053,0.064,5500
2024-11-12,0.053,0.053,0.053,0.053,400
2024-11-11,0.069,0.069,0.05,0.053,4900
2024-11-08,0.065,0.065,0.065,0.065,0
2024-11-07,0.058,0.069,0.052,0.065,21900
2024-11-06,0.055,0.055,0.055,0.055,10400
2024-11-05,0.064,0.064,0.052,0.052,7300
2024-11-04,0.069,0.069,0.062,0.062,6700
2024-11-01,0.07,0.07,0.069,0.069,2600
2024-10-31,0.069,0.069,0.06,0.061,29300
2024-10-30,0.07,0.07,0.06,0.06,3400
2024-10-29,0.073,0.078,0.066,0.073,1000
2024-10-28,0.066,0.078,0.066,0.078,5000
2024-10-25,0.078,0.083,0.072,0.079,22300
2024-10-24,0.076,0.089,0.066,0.083,24800
2024-10-23,0.065,0.084,0.062,0.063,8300
2024-10-22,0.098,0.098,0.071,0.071,10200
2024-10-21,0.07,0.075,0.07,0.075,39000
2024-10-18,0.072,0.1,0.063,0.088,117800
2024-10-17,0.072,0.083,0.066,0.073,87000
2024-10-16,0.172,0.305,0.113,0.113,981300
2024-10-15,0.047,0.07,0.047,0.065,38400
2024-10-14,0.047,0.047,0.047,0.047,0
2024-10-11,0.047,0.047,0.047,0.047,0
2024-10-10,0.05,0.05,0.047,0.047,4100
2024-10-09,0.061,0.061,0.06,0.06,1100
2024-10-08,0.077,0.077,0.072,0.072,1800
2024-10-07,0.08,0.08,0.079,0.079,1000
2024-10-04,0.055,0.055,0.055,0.055,800
2024-10-03,0.055,0.055,0.055,0.055,1500
2024-10-02,0.075,0.075,0.075,0.075,200
2024-10-01,0.065,0.076,0.047,0.047,800
2024-09-30,0.061,0.061,0.058,0.058,1700
2024-09-27,0.057,0.079,0.057,0.058,13000
2024-09-26,0.057,0.057,0.057,0.057,0
2024-09-25,0.06,0.06,0.055,0.057,3300
2024-09-24,0.06,0.06,0.05,0.05,400
2024-09-23,0.06,0.06,0.06,0.06,1600
2024-09-20,0.06,0.06,0.06,0.06,2200
2024-09-19,0.06,0.06,0.06,0.06,400
2024-09-18,0.04,0.04,0.04,0.04,1800
2024-09-17,0.04,0.04,0.04,0.04,0
2024-09-16,0.04,0.04,0.04,0.04,0
2024-09-13,0.04,0.04,0.04,0.04,0
2024-09-12,0.04,0.04,0.04,0.04,0
2024-09-11,0.04,0.04,0.04,0.04,700
2024-09-10,0.06,0.06,0.06,0.06,0
2024-09-09,0.06,0.06,0.06,0.06,4100
2024-09-06,0.046,0.046,0.046,0.046,6000
2024-09-05,0.047,0.047,0.047,0.047,5800
2024-09-04,0.047,0.047,0.047,0.047,700
2024-09-03,0.044,0.044,0.044,0.044,0
2024-08-30,0.051,0.055,0.044,0.044,13100
2024-08-29,0.058,0.058,0.051,0.058,8300
2024-08-28,0.062,0.062,0.051,0.061,1500
2024-08-27,0.062,0.062,0.062,0.062,2600
2024-08-26,0.062,0.062,0.062,0.062,300
2024-08-23,0.064,0.064,0.051,0.058,2200
2024-08-22,0.051,0.067,0.051,0.067,1200
2024-08-21,0.051,0.051,0.051,0.051,3500
2024-08-20,0.075,0.075,0.061,0.061,1500
2024-08-19,0.059,0.072,0.05,0.05,16600
